General Information: Election 2001 - National					
Public Funding Payments					
					
Election funding rate per first preference vote: $1.79026					
					
Party/Group/Candidate		House	Senate	Total	
TOTAL		"$7,647.99 "	$0.00 	"$7,647.99 "	
					
					
liberals for forests (LFF)					
TOTAL		"$14,332.82 "	$0.00 	"$14,332.82 "	
					
					
Progressive Labour Party (PLP)					
TOTAL		"$7,327.53 "	$0.00 	"$7,327.53 "	
					
					
Unity - Say No To Hanson (UNI)					
TOTAL		"$17,689.55 "	$0.00 	"$17,689.55 "	
					
					
Peter James ANDREN - Calare (NSW)					
TOTAL		"$73,017.54 "	$0.00 	"$73,017.54 "	
					
					
Pauline Maisie AUSTIN - Solomon (NT)					
TOTAL		"$4,257.24 "	$0.00 	"$4,257.24 "	
					
					
Conway BOWN - Herbert (QLD)					
TOTAL		"$11,588.35 "	$0.00 	"$11,588.35 "	
					
					
Peter Lachlan COCHRAN - Eden-Monaro (NSW)					
TOTAL		"$11,522.11 "	$0.00 	"$11,522.11 "	
					
					
Thomas James COOPER - Page (NSW)					
TOTAL		"$9,814.21 "	$0.00 	"$9,814.21 "	
					
					
David Bruce DALGLEISH - Wide Bay (QLD)					
TOTAL		"$5,714.51 "	$0.00 	"$5,714.51 "	
					
					
Ross Thomas DOUGLASS - Mallee (VIC)					
TOTAL		"$6,631.12 "	$0.00 	"$6,631.12 "	
					
					
Bruce Douglas HAIGH - Gwydir (NSW)					
TOTAL		"$8,301.44 "	$0.00 	"$8,301.44 "	
					
					
Rosalind HOURIGAN - Fisher (QLD)					
TOTAL		"$10,745.14 "	$0.00 	"$10,745.14 "	
					
					
Robert Karl KATTER - Kennedy (QLD)					
TOTAL		"$63,652.69 "	$0.00 	"$63,652.69 "	
					
					
Colin James KESSELS - Dickson (QLD)					
TOTAL		"$9,314.72 "	$0.00 	"$9,314.72 "	
					
					
Peter Alexander MacDONALD - Warringah (NSW)					
TOTAL		"$38,472.69 "	$0.00 	"$38,472.69 "	
					
					
Nelson Douglas MCINTOSH - Indi (VIC)					
TOTAL		"$9,459.73 "	$0.00 	"$9,459.73 "	
					
					
Peter Lloyd MELVILLE - Hinkler (QLD)					
TOTAL		"$12,794.99 "	$0.00 	"$12,794.99 "	
					
					
William Trevor MOTT - Cunningham (NSW)					
TOTAL		"$7,581.75 "	$0.00 	"$7,581.75 "	
					
					
Shane Peter PAULGER - Fairfax (QLD)					
TOTAL		"$13,460.96 "	$0.00 	"$13,460.96 "	
					
					
Kirstin STEGLEY - Goldstein (VIC)					
TOTAL		"$8,605.78 "	$0.00 	"$8,605.78 "	
					
					
Andrew Charles THEOPHANOUS - Calwell (VIC)					
TOTAL		"$15,023.86 "	$0.00 	"$15,023.86 "	
					
					
Douglas Harry TREASURE - Gippsland (VIC)					
TOTAL		"$7,606.81 "	$0.00 	"$7,606.81 "	
					
					
Graeme Francis WICKS - Wide Bay (QLD)					
TOTAL		"$6,051.08 "	$0.00 	"$6,051.08 "	
					
					
Antony Harlod WINDSOR - New England (NSW)					
TOTAL		"$64,435.04 "	$0.00 	"$64,435.04 "	
					
TOTAL ELECTION FUNDING PAID		"$19,403,108.16 "	"$19,156,301.17 "	"$38,559,409.33 "	
					
					
					
					
					
					
					
					
					
					
					
				
				
				
				
