Senate: Election 2001 - National								
Votes Counted								
By Vote Type By State By Division								
								
National Summary								
State	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
Wide Bay	81391	63427	4924	5172	3423	517	77463	95.17
TOTAL	2336698	1848840	139033	107947	99378	20329	2215527	94.81
								
Western Australia								
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Brand	78366	62511	5062	1850	4594	925	74942	95.63
Canning	76632	61882	6540	1921	2301	698	73342	95.71
Cowan	79648	65662	6274	1803	2405	530	76674	96.27
Curtin	82561	65838	5570	2920	3810	698	78836	95.49
Forrest	82248	68199	4847	2041	3089	707	78883	95.91
Fremantle	80927	66229	5708	1825	2857	531	77150	95.33
Hasluck	78418	63623	6209	2106	2587	688	75213	95.91
Kalgoorlie	82534	59793	5681	2444	3679	321	71918	87.14
Moore	74103	60300	5615	1973	2771	398	71057	95.89
O'Connor	83118	66778	8183	1744	2136	686	79527	95.68
Pearce	77880	61917	7496	2071	2369	597	74450	95.60
Perth	82049	65311	7336	2386	2516	680	78229	95.34
Stirling	85975	67816	7568	2794	3018	775	81971	95.34
Swan	78991	62181	6554	2475	2960	712	74882	94.80
Tangney	82972	67538	5989	2123	3366	464	79480	95.79
TOTAL	1206422	965578	94632	32476	44458	9410	1146554	95.04
								
South Australia								
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Adelaide	86538	68543	6020	3732	3187	841	82323	95.13
Barker	87836	73658	4305	3071	2855	867	84756	96.49
Bonython	85484	72060	5156	2004	2076	723	82019	95.95
Boothby	89617	73893	5300	3057	3496	556	86302	96.30
Grey	85745	69866	4679	3156	3061	642	81404	94.94
Hindmarsh	84806	68727	5513	3683	2844	651	81418	96.00
Kingston	85398	70805	5028	2615	3114	724	82286	96.36
Makin	88248	73883	5395	2854	2499	703	85334	96.70
Mayo	86319	71602	5821	2675	2543	560	83201	96.39
Port Adelaide	86297	71063	4923	3097	2498	824	82405	95.49
Sturt	86359	69762	5677	3382	3238	615	82674	95.73
Wakefield	86378	73411	5215	2306	1915	602	83449	96.61
TOTAL	1039025	857273	63032	35632	33326	8308	997571	96.01
								
Tasmania								
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Bass	65927	54856	2478	2623	2595	865	63417	96.19
Braddon	67749	57867	2194	2100	2592	624	65377	96.50
Denison	67938	55211	3190	2982	2924	715	65022	95.71
Franklin	67119	55755	3629	2569	2152	572	64677	96.36
Lyons	62942	52159	3904	2588	1580	431	60662	96.38
TOTAL	331675	275848	15395	12862	11843	3207	319155	96.23
								
Australian Capital Territory								
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Canberra	108959	82900	2819	2658	14972	648	103997	95.45
Fraser	112225	84435	2515	3297	15381	773	106401	94.81
TOTAL	221184	167335	5334	5955	30353	1421	210398	95.12
								
Northern Territory								
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Lingiari	57077	39402	1187	1200	3781	470	46040	80.66
Solomon	53945	42278	894	1104	5100	286	49662	92.06
TOTAL	111022	81680	2081	2304	8881	756	95702	86.20
								
NATIONAL TOTAL	12708837	10172612	780961	451902	585617	107398	12098490	95.20
