UNI	7		0		25461	0.26		1819	0.24		353	0.34		1665	0.29		895	0.20		30193	0.26
TPS	2		0		554	0.01		73	0.01		7	0.01		22	0.00		14	0.00		670	0.01
Other	70		0		77186	0.79		7425	0.97		1392	1.35		5028	0.87		3130	0.70		94161	0.81
FORMAL					9740495	95.75		763189	97.72		103122	96.02		575624	98.29		445099	98.49		11627529	96.11
INFORMAL					432117	4.25		17772	2.28		4276	3.98		9993	1.71		6803	1.51		470961	3.89
TOTAL					10172612	84.08		780961	6.46		107398	0.89		585617	4.84		451902	3.74		12098490	95.20

New South Wales																					
Enrolment 4227937																					

Group	Number		Number		Ordinary			Absent			Provisional			Pre-Poll			Postal			Total	
	Nominated		Elected		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%
LNP	6		3		1345868	41.46		105635	40.54		11382	32.00		92095	44.42		65255	50.16		1620235	41.76
ACL	4		2		1109016	34.17		77145	29.61		13876	39.01		62051	29.93		37400	28.75		1299488	33.50
DEM	6		0		196864	6.06		20223	7.76		1999	5.62		14778	7.13		7003	5.38		240867	6.21
GRN	4		1		138792	4.28		16257	6.24		1854	5.21		8828	4.26		3408	2.62		169139	4.36
HAN	3		0		181720	5.60		12837	4.93		1691	4.75		12130	5.85		8144	6.26		216522	5.58
CEC	2		0		1994	0.06		149	0.06		23	0.06		135	0.07		69	0.05		2370	0.06
CTA	2		0		61403	1.89		4831	1.85		512	1.44		3540	1.71		2411	1.85		72697	1.87
AFI	2		0		16588	0.51		1991	0.76		285	0.80		1164	0.56		984	0.76		21012	0.54
AAP	3		0		1564	0.05		158	0.06		32	0.09		101	0.05		81	0.06		1936	0.05
FPY	2		0		22445	0.69		2730	1.05		438	1.23		1463	0.71		515	0.40		27591	0.71
LEF	2		0		18971	0.58		2514	0.96		408	1.15		1337	0.64		537	0.41		23767	0.61
HMP	2		0		28887	0.89		3935	1.51		704	1.98		1540	0.74		460	0.35		35526	0.92
NDP	2		0		3672	0.11		465	0.18		88	0.25		291	0.14		80	0.06		4596	0.12
UNI	2		0		16914	0.52		1028	0.39		235	0.66		1051	0.51		503	0.39		19731	0.51
OCF	2		0		4491	0.14		356	0.14		40	0.11		300	0.14		171	0.13		5358	0.14
PLP	2		0		55685	1.72		6273	2.41		1282	3.60		3873	1.87		1370	1.05		68483	1.77
RLS	2		0		6882	0.21		423	0.16		83	0.23		401	0.19		410	0.32		8199	0.21
NGST	2		0		20795	0.64		2278	0.87		458	1.29		1381	0.67		822	0.63		25734	0.66
RPA	2		0		3984	0.12		447	0.17		61	0.17		391	0.19		218	0.17		5101	0.13
NCP	2		0		3384	0.10		354	0.14		50	0.14		178	0.09		105	0.08		4071	0.10
Other	13		0		26782	0.83		2796	1.07		530	1.49		1664	0.80		982	0.75		32754	0.84
FORMAL					3245906	96.14		260547	97.84		35573	96.32		207311	98.43		130106	98.78		3879443	96.46
INFORMAL					130250	3.86		5742	2.16		1359	3.68		3317	1.57		1613	1.22		142281	3.54
TOTAL					3376156	83.95		266289	6.62		36932	0.92		210628	5.24		131719	3.28		4021724	95.12

Victoria																					
Enrolment 3234874																					

Group	Number		Number		Ordinary			Absent			Provisional			Pre-Poll			Postal			Total	
	Nominated		Elected		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%
LNP	6		3		962755	39.46		69215	36.61		7959	31.22		59853	41.78		56072	46.47		1155854	39.61
ALP	4		2		911525	37.36		62390	33.00		10703	41.98		48889	34.13		40160	33.29		1073667	36.79
DEM	4		1		187770	7.70		19795	10.47		1954	7.66		11329	7.91		7424	6.15		228272	7.82
GRN	4		0		145377	5.96		16363	8.66		1677	6.58		7331	5.12		4069	3.37		174817	5.99
HAN	2		0		59548	2.44		3818	2.02		540	2.12		4164	2.91		3535	2.93		71605	2.45
CEC	2		0		2218	0.09		179	0.09		47	0.18		134	0.09		83	0.07		2661	0.09
CTA	2		0		14302	0.59		1146	0.61		111	0.44		918	0.64		685	0.57		17162	0.59
DLP	5		0		54464	2.23		5933	3.14		1162	4.56		3110	2.17		1882	1.56		66551	2.28
LFF	2		0		55293	2.27		5597	2.96		821	3.22		4258	2.97		4169	3.46		70138	2.40
HPA	2		0		2037	0.08		288	0.15		44	0.17		122	0.09		101	0.08		2592	0.09
PCA	2		0		29392	1.20		2778	1.47		252	0.99		1923	1.34		1797	1.49		36142	1.24
UNI	3		0		7884	0.32		716	0.38		105	0.41		576	0.40		370	0.31		9651	0.33
Other	14		0		7242	0.30		839	0.44		118	0.46		653	0.46		303	0.25		9155	0.31
FORMAL					2439807	93.84		189057	96.87		25493	94.30		143260	97.62		120650	98.08		2918267	94.39
INFORMAL					160095	6.16		6108	3.13		1542	5.70		3490	2.38		2357	1.92		173592	5.61
TOTAL					2599902	84.09		195165	6.31		27035	0.87		146750	4.75		123007	3.98		3091859	95.58

Queensland																					
Enrolment 2336698																					

Group	Number		Number		Ordinary			Absent			Provisional			Pre-Poll			Postal			Total	
	Nominated		Elected		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%
LP	4		2		619441	34.61		47990	35.12		5758	29.24		39008	39.83		38219	36.01		750416	34.90
NP	3		1		163859	9.16		10277	7.52		1030	5.23		7312	7.47		14367	13.54		196845	9.16
ALP	3		2		573741	32.06		40817	29.87		7472	37.95		28642	29.24		31567	29.74		682239	31.73
DEM	3		1		119474	6.68		11233	8.22		1245	6.32		6902	7.05		5088	4.79		143942	6.69
GRN	3		0		58442	3.27		6343	4.64		955	4.85		3437	3.51		1925	1.81		71102	3.31
HAN	4		0		180939	10.11		12113	8.87		1826	9.27		8830	9.02		11692	11.01		215400	10.02
CEC	2		0		1835	0.10		158	0.12		31	0.16		88	0.09		114	0.11		2226	0.10
CTA	2		0		18796	1.05		1652	1.21		183	0.93		990	1.01		1082	1.02		22703	1.06
HMP	2		0		22845	1.28		3020	2.21		554	2.81		1117	1.14		586	0.55		28122	1.31
RPA	2		0		2047	0.11		212	0.16		32	0.16		150	0.15		112	0.11		2553	0.12
Other	12		0		28244	1.58		2820	2.06		605	3.07		1465	1.50		1395	1.31		34529	1.61
FORMAL					1789663	96.80		136635	98.28		19691	96.86		97941	98.55		106147	98.33		2150077	97.05
INFORMAL					59177	3.20		2398	1.72		638	3.14		1437	1.45		1800	1.67		65450	2.95
TOTAL					1848840	83.45		139033	6.28		20329	0.92		99378	4.49		107947	4.87		2215527	94.81

Western Australia																					
Enrolment 1206422																					

Group	Number		Number		Ordinary			Absent			Provisional			Pre-Poll			Postal			Total	
	Nominated		Elected		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%
LP	6		3		371428	40.02		36102	38.99		2932	32.46		18636	42.53		14499	45.19		443597	40.13
NP	2		0		21841	2.35		2345	2.53		115	1.27		796	1.82		918	2.86		26015	2.35
ALP	4		2		321118	34.60		29231	31.57		3617	40.05		13663	31.18		9918	30.91		377547	34.15
DEM	3		1		53257	5.74		6466	6.98		557	6.17		2958	6.75		1535	4.78		64773	5.86
GWA	4		0		52388	5.65		7524	8.13		677	7.50		2783	6.35		1364	4.25		64736	5.86
HAN	4		0		64715	6.97		6641	7.17		651	7.21		3097	7.07		2653	8.27		77757	7.03
LFF	2		0		12949	1.40		1334	1.44		119	1.32		786	1.79		458	1.43		15646	1.42
CLA	2		0		2968	0.32		297	0.32		49	0.54		109	0.25		71	0.22		3494	0.32
CEC	2		0		1037	0.11		108	0.12		12	0.13		50	0.11		36	0.11		1243	0.11
CTA	2		0		11916	1.28		1107	1.20		93	1.03		379	0.86		314	0.98		13809	1.25
PLP	2		0		6429	0.69		745	0.80		127	1.41		244	0.56		122	0.38		7667	0.69
TPS	2		0		554	0.06		73	0.08		7	0.08		22	0.05		14	0.04		670	0.06
UNI	2		0		663	0.07		75	0.08		13	0.14		38	0.09		22	0.07		811	0.07
Other	9		0		6736	0.73		545	0.59		63	0.70		261	0.60		159	0.50		7764	0.70
FORMAL					927999	96.11		92593	97.85		9032	95.98		43822	98.57		32083	98.79		1105529	96.42
INFORMAL					37579	3.89		2039	2.15		378	4.02		636	1.43		393	1.21		41025	3.58
TOTAL					965578	84.22		94632	8.25		9410	0.82		44458	3.88		32476	2.83		1146554	95.04

South Australia																					
Enrolment 1039025																					

Group	Number		Number		Ordinary			Absent			Provisional			Pre-Poll			Postal			Total	
	Nominated		Elected		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%
LP	4		3		377466	45.55		26559	42.86		2848	35.20		14746	44.79		18812	53.33		440431	45.55
ALP	3		2		278380	33.59		19509	31.49		3300	40.78		10086	30.64		10147	28.77		321422	33.24
DEM	4		1		102848	12.41		9992	16.13		1096	13.54		4669	14.18		3384	9.59		121989	12.62
GRN	2		0		27889	3.37		2933	4.73		413	5.10		1303	3.96		847	2.40		33385	3.45
HAN	2		0		37720	4.55		2588	4.18		384	4.75		1498	4.55		1865	5.29		44055	4.56
RPA	2		0		1567	0.19		144	0.23		19	0.23		95	0.29		90	0.26		1915	0.20
Other	9		0		2898	0.35		236	0.38		32	0.40		522	1.59		130	0.37		3818	0.39
FORMAL					828768	96.67		61961	98.30		8092	97.40		32919	98.78		35275	99.00		967015	96.94
INFORMAL					28505	3.33		1071	1.70		216	2.60		407	1.22		357	1.00		30556	3.06
TOTAL					857273	85.94		63032	6.32		8308	0.83		33326	3.34		35632	3.57		997571	96.01

Tasmania																					
Enrolment 331675																					

Group	Number		Number		Ordinary			Absent			Provisional			Pre-Poll			Postal			Total	
	Nominated		Elected		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%
LP	4		3		103184	38.78		5538	36.60		813	26.10		4860	41.59		5325	42.04		119720	38.79
ALP	3		2		98757	37.12		5165	34.13		1462	46.93		3564	30.50		4761	37.59		113709	36.84
DEM	2		0		11946	4.49		922	6.09		172	5.52		737	6.31		496	3.92		14273	4.62
GRN	1		1		36494	13.72		2617	17.29		410	13.16		1788	15.30		1259	9.94		42568	13.79
HAN	2		0		8744	3.29		476	3.15		100	3.21		372	3.18		477	3.77		10169	3.29
TFP	3		0		3288	1.24		186	1.23		84	2.70		187	1.60		150	1.18		3895	1.26
LFF	2		0		1605	0.60		95	0.63		28	0.90		73	0.62		91	0.72		1892	0.61
HPA	2		0		312	0.12		19	0.13		14	0.45		16	0.14		5	0.04		366	0.12
RPA	2		0		270	0.10		25	0.17		10	0.32		34	0.29		29	0.23		368	0.12
Other	8		0		1463	0.55		90	0.59		22	0.71		54	0.46		73	0.58		1702	0.55
FORMAL					266063	96.45		15133	98.30		3115	97.13		11685	98.67		12666	98.48		308662	96.71
INFORMAL					9785	3.55		262	1.70		92	2.87		158	1.33		196	1.52		10493	3.29
TOTAL					275848	86.43		15395	4.82		3207	1.00		11843	3.71		12862	4.03		319155	96.23

Australian Capital Territory																					
Enrolment 221184																					

Group	Number		Number		Ordinary			Absent			Provisional			Pre-Poll			Postal			Total	
	Nominated		Elected		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%
LP	2		1		55489	34.04		1686	32.28		403	28.83		10488	35.02		2409	40.93		70475	34.30
ALP	2		1		68878	42.25		2056	39.36		652	46.64		12469	41.63		2276	38.67		86331	42.02
DEM	2		0		17451	10.70		608	11.64		155	11.09		3305	11.04		553	9.40		22072	10.74
GRN	2		0		11607	7.12		585	11.20		111	7.94		2246	7.50		276	4.69		14825	7.22
HAN	2		0		3448	2.12		118	2.26		43	3.08		692	2.31		184	3.13		4485	2.18
CTA	2		0		2951	1.81		90	1.72		23	1.65		424	1.42		114	1.94		3602	1.75
Other	2		0		3195	1.96		80	1.53		11	0.79		325	1.09		73	1.24		3684	1.79
FORMAL					163019	97.42		5223	97.92		1398	98.38		29949	98.67		5885	98.82		205474	97.66
INFORMAL					4316	2.58		111	2.08		23	1.62		404	1.33		70	1.18		4924	2.34
TOTAL					167335	79.53		5334	2.54		1421	0.68		30353	14.43		5955	2.83		210398	95.12

Northern Territory																					
Enrolment 111022																					

Group	Number		Number		Ordinary			Absent			Provisional			Pre-Poll			Postal			Total	
	Nominated		Elected		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%
CLP	2		1		34295	43.26		814	39.90		244	33.52		4039	46.23		1288	56.32		40680	43.71
ALP	2		1		31714	40.01		822	40.29		362	49.73		3030	34.68		572	25.01		36500	39.22
DEM	2		0		5746	7.25		152	7.45		45	6.18		691	7.91		162	7.08		6796	7.30
GRN	2		0		3369	4.25		121	5.93		34	4.67		379	4.34		75	3.28		3978	4.27
HAN	2		0		3520	4.44		112	5.49		32	4.40		514	5.88		175	7.65		4353	4.68
Other	3		0		626	0.79		19	0.93		11	1.51		84	0.96		15	0.66		755	0.81
FORMAL					79270	97.05		2040	98.03		728	96.30		8737	98.38		2287	99.26		93062	97.24
INFORMAL					2410	2.95		41	1.97		28	3.70		144	1.62		17	0.74		2640	2.76
TOTAL					81680	85.35		2081	2.17		756	0.79		8881	9.28		2304	2.41		95702	86.20
