Senate: Election 2001 - National		
List of Candidates		
		
Candidate	Party/Group Name	State
"SZENTES, George"	Independent	QLD

"TANG, Terence"	Liberal/Nationals	NSW
"TARLINTON, Don"	Pauline Hanson's One Nation	ACT
"TARLINTON, Ted"	Pauline Hanson's One Nation	ACT
"TAYLOR, Geoff"		WA
"TAYLOR, Mark"	The Greens	QLD
"THOMAS, Michael"	liberals for forests	TAS
"THOMPSON, Andy"	Non-Custodial Parents Party	NSW
"THORNE, Alison"		VIC
"TINYOW, Walter"	Independent	NSW
"TOOHEY, Brendan"	Australian Democrats	TAS
"TOSCANO, Joseph"		VIC
"TRAN, Duc-Dung"	Liberal	VIC
"TROOD, Russell"	Liberal	QLD

"WARK, David"	Australian Democrats	VIC
"WATSON, Daniel"		WA
"WATSON, John"	Liberal	TAS
"WATSON, John"	Citizens Electoral Council	WA
"WATSON, Sam"		QLD
"WATTERSON, Kerry"	Christian Democratic Party (Fred Nile Group)	WA
"WAUGH, Gavin Bruce"	Australian Labor Party	WA
"WEBBER, Ruth"	Australian Labor Party	WA
"WELLS, Ken"	D.L.P. - Democratic Labor Party	VIC
"WHOOLEY, Helen"	Progressive Labour Party	WA
"WISEMAN, David"	The Fishing Party	NSW
"WOLDRING, Klaas"	Progressive Labour Party	NSW
"WOLOWSKI, Diana"	Unity - Say No To Hanson	VIC
"WONG, Penny"	Australian Labor Party	SA
"WOODGER, Edwin"	Australians Against Further Immigration	NSW
"WOODS, Joanna"	Australian Labor Party / Country Labor	NSW

"YATES, Joanne"	Australian Democrats	NSW

"ZED, Jenna"	The Greens (WA)	WA
"ZOMBOLAS, Eileen"	Phil Cleary - Independent Australia	VIC
