Other	29	60	0	68917	2.77	5843	3.28	671	3.66	4077	2.90	2430	1.92	81938	2.77
FORMAL				2491351	95.86	177920	95.60	18311	94.14	140655	97.37	126778	98.52	2955015	96.02
INFORMAL				107540	4.14	8187	4.40	1140	5.86	3797	2.63	1911	1.48	122575	3.98
TOTAL				2598891	84.45	186107	6.05	19451	0.63	144452	4.69	128689	4.18	3077590	95.14


Queensland															
Enrolment 2336698															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	22	22	15	638899	36.44	44492	34.49	4488	29.06	38595	40.41	41485	36.78	767959	36.46
NP	11	11	4	155582	8.87	11297	8.76	1017	6.59	8283	8.67	16275	14.43	192454	9.14
ALP	27	27	7	616706	35.17	41200	31.94	6028	39.04	29986	31.39	36994	32.80	730914	34.70
DEM	27	27	0	74064	4.22	8327	6.46	859	5.56	4333	4.54	3096	2.75	90679	4.31
GRN	27	27	0	59321	3.38	7371	5.71	920	5.96	3814	3.99	2041	1.81	73467	3.49
HAN	27	27	0	122552	6.99	10170	7.88	1304	8.44	6518	6.82	8388	7.44	148932	7.07
Other	21	38	1	86399	4.93	6131	4.75	826	5.35	3990	4.18	4501	3.99	101847	4.84
FORMAL				1753523	94.87	128988	95.47	15442	93.12	95519	97.27	112780	98.14	2106252	95.17
INFORMAL				94909	5.13	6127	4.53	1141	6.88	2683	2.73	2135	1.86	106995	4.83
TOTAL				1848432	83.52	135115	6.10	16583	0.75	98202	4.44	114915	5.19	2213247	94.72


Western Australia															
Enrolment 1206422															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	15	15	8	379028	41.38	33999	39.14	1975	31.15	18416	43.12	15618	47.43	449036	41.39
NP	6	6	0	9250	1.01	1153	1.33	50	0.79	281	0.66	318	0.97	11052	1.02
ALP	15	15	7	346267	37.80	28246	32.52	2719	42.89	14516	33.99	11179	33.95	402927	37.14
DEM	15	15	0	41339	4.51	5497	6.33	357	5.63	2220	5.20	1168	3.55	50581	4.66
GWA	15	15	0	52271	5.71	8006	9.22	497	7.84	2817	6.60	1348	4.09	64939	5.99
HAN	15	15	0	56193	6.13	6139	7.07	456	7.19	2829	6.62	2375	7.21	67992	6.27
Other	15	35	0	31615	3.45	3820	4.40	286	4.51	1627	3.81	920	2.79	38268	3.53
FORMAL				915963	94.86	86860	95.14	6340	93.84	42706	97.47	32926	98.32	1084795	95.08
INFORMAL				49607	5.14	4439	4.86	416	6.16	1110	2.53	561	1.68	56133	4.92
TOTAL				965570	84.63	91299	8.00	6756	0.59	43816	3.84	33487	2.94	1140928	94.57


South Australia															
Enrolment 1039025															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	12	12	9	369241	45.73	24777	43.39	1990	35.25	14935	46.93	19498	54.49	430441	45.90
ALP	12	12	3	275730	34.15	17498	30.65	2205	39.05	10088	31.70	10841	30.30	316362	33.74
DEM	12	12	0	84218	10.43	7989	13.99	697	12.35	3508	11.02	2437	6.81	98849	10.54
GRN	12	12	0	28444	3.52	3195	5.60	307	5.44	1356	4.26	839	2.34	34141	3.64
HAN	12	12	0	38434	4.76	2609	4.57	317	5.61	1484	4.66	1730	4.83	44574	4.75
NGST	2	2	0	3475	0.43	400	0.70	57	1.01	154	0.48	116	0.32	4202	0.45
Other	5	9	0	7816	0.97	631	1.11	73	1.29	296	0.93	322	0.90	9138	0.97
FORMAL				807358	94.20	57099	94.68	5646	91.75	31821	97.10	35783	98.14	937707	94.46
INFORMAL				49695	5.80	3208	5.32	508	8.25	952	2.90	677	1.86	55040	5.54
TOTAL				857053	86.33	60307	6.07	6154	0.62	32773	3.30	36460	3.67	992747	95.55


Tasmania															
Enrolment 331675															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	5	5	0	98598	37.08	5186	35.28	630	23.93	4523	39.28	5346	40.26	114283	37.10
ALP	5	5	5	126657	47.63	6373	43.36	1476	56.06	4612	40.05	6187	46.60	145305	47.17
DEM	5	5	0	11488	4.32	946	6.44	164	6.23	712	6.18	475	3.58	13785	4.48
GRN	5	5	0	20075	7.55	1684	11.46	260	9.87	1226	10.65	807	6.08	24052	7.81
HAN	4	4	0	7617	2.86	423	2.88	72	2.73	333	2.89	402	3.03	8847	2.87
Other	1	3	0	1458	0.55	86	0.59	31	1.18	110	0.96	61	0.46	1746	0.57
FORMAL				265893	96.42	14698	97.02	2633	94.78	11516	98.04	13278	98.80	308018	96.60
INFORMAL				9869	3.58	451	2.98	145	5.22	230	1.96	161	1.20	10856	3.40
TOTAL				275762	86.48	15149	4.75	2778	0.87	11746	3.68	13439	4.21	318874	96.14


Australian Capital Territory															
Enrolment 221184															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	2	2	0	51746	32.15	1506	29.95	343	27.75	9789	33.17	2267	38.14	65651	32.39
ALP	2	2	2	76131	47.30	2129	42.33	600	48.54	13749	46.59	2606	43.84	95215	46.98
DEM	2	2	0	12760	7.93	533	10.60	119	9.63	2429	8.23	425	7.15	16266	8.03
GRN	2	2	0	11227	6.98	556	11.06	89	7.20	2141	7.26	322	5.42	14335	7.07
HAN	2	2	0	4372	2.72	151	3.00	43	3.48	801	2.71	209	3.52	5576	2.75
CTA	2	2	0	3527	2.19	126	2.51	25	2.02	488	1.65	88	1.48	4254	2.10
Other	1	1	0	1184	0.74	28	0.56	17	1.38	113	0.38	27	0.45	1369	0.68
FORMAL				160947	96.20	5029	95.52	1236	95.74	29510	97.80	5944	98.72	202666	96.48
INFORMAL				6354	3.80	236	4.48	55	4.26	664	2.20	77	1.28	7386	3.52
TOTAL				167301	79.65	5265	2.51	1291	0.61	30174	14.37	6021	2.87	210052	94.97


Northern Territory															
Enrolment 111022															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
CLP	2	2	1	31026	39.95	690	35.38	194	31.60	3769	43.86	1282	54.62	36961	40.54
ALP	2	2	1	34117	43.93	877	44.97	321	52.28	3146	36.61	650	27.69	39111	42.90
DEM	2	2	0	3959	5.10	124	6.36	28	4.56	560	6.52	124	5.28	4795	5.26
GRN	2	2	0	3040	3.91	105	5.38	38	6.19	411	4.78	71	3.03	3665	4.02
HAN	2	2	0	2780	3.58	90	4.62	20	3.26	443	5.16	153	6.52	3486	3.82
Other	2	3	0	2735	3.52	64	3.28	13	2.12	264	3.07	67	2.85	3143	3.45
FORMAL				77657	95.11	1950	95.17	614	95.19	8593	96.90	2347	98.28	91161	95.36
INFORMAL				3990	4.89	99	4.83	31	4.81	275	3.10	41	1.72	4436	4.64
TOTAL				81647	85.41	2049	2.14	645	0.67	8868	9.28	2388	2.50	95597	86.11
