House of Representatives - 2001 Election: Western Australia												
Two Candidate Preferred Preference Flow Result												
By Polling Place by Division												
												
Pearce (77880)												
		Candidate		                  	"MOYLAN, Judi"		               	"COSTELLO, Liam"		             	Total	
		"MILLER, Juanita (GWA)"	2		0	0.00		2	100.00		2	
		Total	24		77	81.91		17	18.09		94	

	Greenmount											
			1st Prefs		728	57.41		540	42.59		1268	
		"NELSON, Chris (NP)"	14		8	57.14		6	42.86		14	
		"FOX, Jack (DEM)"	88		39	44.32		49	55.68		88	
		"HILL, Vivian (CTA)"	25		19	76.00		6	24.00		25	
		"COLLINS, Ken (HAN)"	102		51	50.00		51	50.00		102	
		"SMITH, Stuart (CEC)"	8		5	62.50		3	37.50		8	
		"MILLER, Juanita (GWA)"	134		35	26.12		99	73.88		134	
		Total	371		885	54.00		754	46.00		1639	

	Guilderton											
			1st Prefs		123	63.08		72	36.92		195	
		"NELSON, Chris (NP)"	3		2	66.67		1	33.33		3	
		"FOX, Jack (DEM)"	4		2	50.00		2	50.00		4	
		"HILL, Vivian (CTA)"	3		3	100.00		0	0.00		3	
		"COLLINS, Ken (HAN)"	32		19	59.38		13	40.63		32	
		"SMITH, Stuart (CEC)"	0		0	0.00		0	0.00		0	
		"MILLER, Juanita (GWA)"	20		6	30.00		14	70.00		20	
		Total	62		155	60.31		102	39.69		257	

	Helena Valley (Pearce)											
			1st Prefs		210	61.58		131	38.42		341	
		"NELSON, Chris (NP)"	0		0	0.00		0	0.00		0	
		"FOX, Jack (DEM)"	28		7	25.00		21	75.00		28	
		"HILL, Vivian (CTA)"	6		4	66.67		2	33.33		6	
		"COLLINS, Ken (HAN)"	22		10	45.45		12	54.55		22	
		"SMITH, Stuart (CEC)"	3		2	66.67		1	33.33		3	
		"MILLER, Juanita (GWA)"	52		14	26.92		38	73.08		52	
		Total	111		247	54.65		205	45.35		452	

	Henley Brook											
			1st Prefs		579	70.87		238	29.13		817	
		"NELSON, Chris (NP)"	5		3	60.00		2	40.00		5	
		"FOX, Jack (DEM)"	37		24	64.86		13	35.14		37	
		"HILL, Vivian (CTA)"	9		8	88.89		1	11.11		9	
		"COLLINS, Ken (HAN)"	78		46	58.97		32	41.03		78	
		"SMITH, Stuart (CEC)"	1		1	100.00		0	0.00		1	
		"MILLER, Juanita (GWA)"	66		26	39.39		40	60.61		66	
		Total	196		687	67.82		326	32.18		1013	

	Herne Hill											
			1st Prefs		524	56.04		411	43.96		935	
		"NELSON, Chris (NP)"	25		18	72.00		7	28.00		25	
		"FOX, Jack (DEM)"	45		21	46.67		24	53.33		45	
		"HILL, Vivian (CTA)"	17		13	76.47		4	23.53		17	
		"COLLINS, Ken (HAN)"	110		43	39.09		67	60.91		110	
		"SMITH, Stuart (CEC)"	3		2	66.67		1	33.33		3	
		"MILLER, Juanita (GWA)"	46		14	30.43		32	69.57		46	
		Total	246		635	53.77		546	46.23		1181	

	Highbury											
			1st Prefs		55	83.33		11	16.67		66	
		"NELSON, Chris (NP)"	24		23	95.83		1	4.17		24	
		"FOX, Jack (DEM)"	2		1	50.00		1	50.00		2	
		"HILL, Vivian (CTA)"	0		0	0.00		0	0.00		0	
		"COLLINS, Ken (HAN)"	27		17	62.96		10	37.04		27	
		"SMITH, Stuart (CEC)"	0		0	0.00		0	0.00		0	
		"MILLER, Juanita (GWA)"	4		1	25.00		3	75.00		4	
		Total	57		97	78.86		26	21.14		123	

	Lancelin											
			1st Prefs		268	62.18		163	37.82		431	
		"NELSON, Chris (NP)"	10		7	70.00		3	30.00		10	
		"FOX, Jack (DEM)"	16		7	43.75		9	56.25		16	
		"HILL, Vivian (CTA)"	2		2	100.00		0	0.00		2	
		"COLLINS, Ken (HAN)"	92		38	41.30		54	58.70		92	
		"SMITH, Stuart (CEC)"	1		1	100.00		0	0.00		1	
		"MILLER, Juanita (GWA)"	26		12	46.15		14	53.85		26	
		Total	147		335	57.96		243	42.04		578	

	Ledge Point											
			1st Prefs		85	80.19		21	19.81		106	
		"NELSON, Chris (NP)"	2		2	100.00		0	0.00		2	
		"FOX, Jack (DEM)"	2		0	0.00		2	100.00		2	
		"HILL, Vivian (CTA)"	0		0	0.00		0	0.00		0	
		"COLLINS, Ken (HAN)"	6		5	83.33		1	16.67		6	
		"SMITH, Stuart (CEC)"	0		0	0.00		0	0.00		0	
		"MILLER, Juanita (GWA)"	4		2	50.00		2	50.00		4	
		Total	14		94	78.33		26	21.67		120	

	Lower Chittering											
			1st Prefs		123	69.89		53	30.11		176	
		"NELSON, Chris (NP)"	3		2	66.67		1	33.33		3	
		"FOX, Jack (DEM)"	5		4	80.00		1	20.00		5	
		"HILL, Vivian (CTA)"	2		1	50.00		1	50.00		2	
		"COLLINS, Ken (HAN)"	19		14	73.68		5	26.32		19	
		"SMITH, Stuart (CEC)"	1		0	0.00		1	100.00		1	
		"MILLER, Juanita (GWA)"	11		4	36.36		7	63.64		11	
		Total	41		148	68.20		69	31.80		217	

	Mahogany Creek											
			1st Prefs		279	61.18		177	38.82		456	
		"NELSON, Chris (NP)"	4		3	75.00		1	25.00		4	
		"FOX, Jack (DEM)"	23		7	30.43		16	69.57		23	
		"HILL, Vivian (CTA)"	6		4	66.67		2	33.33		6	
		"COLLINS, Ken (HAN)"	36		20	55.56		16	44.44		36	
		"SMITH, Stuart (CEC)"	0		0	0.00		0	0.00		0	
		"MILLER, Juanita (GWA)"	67		17	25.37		50	74.63		67	
		Total	136		330	55.74		262	44.26		592	

	Merriwa											
			1st Prefs		1041	50.10		1037	49.90		2078	
		"NELSON, Chris (NP)"	31		21	67.74		10	32.26		31	
		"FOX, Jack (DEM)"	104		38	36.54		66	63.46		104	
		"HILL, Vivian (CTA)"	28		17	60.71		11	39.29		28	
		"COLLINS, Ken (HAN)"	177		77	43.50		100	56.50		177	
		"SMITH, Stuart (CEC)"	7		3	42.86		4	57.14		7	
		"MILLER, Juanita (GWA)"	137		52	37.96		85	62.04		137	
		Total	484		1249	48.75		1313	51.25		2562	

	Midland (Pearce)											
			1st Prefs		165	51.56		155	48.44		320	
		"NELSON, Chris (NP)"	10		9	90.00		1	10.00		10	
		"FOX, Jack (DEM)"	22		4	18.18		18	81.82		22	
		"HILL, Vivian (CTA)"	10		6	60.00		4	40.00		10	
		"COLLINS, Ken (HAN)"	24		14	58.33		10	41.67		24	
		"SMITH, Stuart (CEC)"	2		2	100.00		0	0.00		2	
		"MILLER, Juanita (GWA)"	36		17	47.22		19	52.78		36	
		Total	104		217	51.18		207	48.82		424	

	Mindarie											
			1st Prefs		1053	62.31		637	37.69		1690	
		"NELSON, Chris (NP)"	11		7	63.64		4	36.36		11	
		"FOX, Jack (DEM)"	61		23	37.70		38	62.30		61	
		"HILL, Vivian (CTA)"	19		14	73.68		5	26.32		19	
		"COLLINS, Ken (HAN)"	94		56	59.57		38	40.43		94	
		"SMITH, Stuart (CEC)"	2		1	50.00		1	50.00		2	
		"MILLER, Juanita (GWA)"	103		39	37.86		64	62.14		103	
		Total	290		1193	60.25		787	39.75		1980	

	Mount Helena											
			1st Prefs		565	60.95		362	39.05		927	
		"NELSON, Chris (NP)"	18		12	66.67		6	33.33		18	
		"FOX, Jack (DEM)"	73		27	36.99		46	63.01		73	
		"HILL, Vivian (CTA)"	23		15	65.22		8	34.78		23	
		"COLLINS, Ken (HAN)"	97		55	56.70		42	43.30		97	
		"SMITH, Stuart (CEC)"	3		0	0.00		3	100.00		3	
		"MILLER, Juanita (GWA)"	155		40	25.81		115	74.19		155	
		Total	369		714	55.09		582	44.91		1296	

	Muchea											
			1st Prefs		172	68.53		79	31.47		251	
		"NELSON, Chris (NP)"	3		3	100.00		0	0.00		3	
		"FOX, Jack (DEM)"	10		5	50.00		5	50.00		10	
		"HILL, Vivian (CTA)"	4		4	100.00		0	0.00		4	
		"COLLINS, Ken (HAN)"	66		32	48.48		34	51.52		66	
		"SMITH, Stuart (CEC)"	3		1	33.33		2	66.67		3	
		"MILLER, Juanita (GWA)"	13		4	30.77		9	69.23		13	
		Total	99		221	63.14		129	36.86		350	

	Mundaring											
			1st Prefs		893	58.33		638	41.67		1531	
		"NELSON, Chris (NP)"	22		15	68.18		7	31.82		22	
		"FOX, Jack (DEM)"	140		51	36.43		89	63.57		140	
		"HILL, Vivian (CTA)"	28		26	92.86		2	7.14		28	
		"COLLINS, Ken (HAN)"	144		75	52.08		69	47.92		144	
		"SMITH, Stuart (CEC)"	2		2	100.00		0	0.00		2	
		"MILLER, Juanita (GWA)"	199		54	27.14		145	72.86		199	
		Total	535		1116	54.02		950	45.98		2066	

	Narrogin											
			1st Prefs		923	66.02		475	33.98		1398	
		"NELSON, Chris (NP)"	248		221	89.11		27	10.89		248	
		"FOX, Jack (DEM)"	47		25	53.19		22	46.81		47	
		"HILL, Vivian (CTA)"	25		16	64.00		9	36.00		25	
		"COLLINS, Ken (HAN)"	225		109	48.44		116	51.56		225	
		"SMITH, Stuart (CEC)"	15		6	40.00		9	60.00		15	
		"MILLER, Juanita (GWA)"	89		26	29.21		63	70.79		89	
		Total	649		1326	64.78		721	35.22		2047	

	Narrogin Regional Hospital											
			1st Prefs		112	58.03		81	41.97		193	
		"NELSON, Chris (NP)"	37		31	83.78		6	16.22		37	
		"FOX, Jack (DEM)"	4		3	75.00		1	25.00		4	
		"HILL, Vivian (CTA)"	7		6	85.71		1	14.29		7	
		"COLLINS, Ken (HAN)"	27		17	62.96		10	37.04		27	
		"SMITH, Stuart (CEC)"	4		2	50.00		2	50.00		4	
		"MILLER, Juanita (GWA)"	14		4	28.57		10	71.43		14	
		Total	93		175	61.19		111	38.81		286	

	Northam											
			1st Prefs		811	57.72		594	42.28		1405	
		"NELSON, Chris (NP)"	81		71	87.65		10	12.35		81	
		"FOX, Jack (DEM)"	43		15	34.88		28	65.12		43	
		"HILL, Vivian (CTA)"	16		10	62.50		6	37.50		16	
		"COLLINS, Ken (HAN)"	198		91	45.96		107	54.04		198	
		"SMITH, Stuart (CEC)"	11		5	45.45		6	54.55		11	
		"MILLER, Juanita (GWA)"	66		16	24.24		50	75.76		66	
		Total	415		1019	55.99		801	44.01		1820	

	Northam East											
			1st Prefs		389	55.89		307	44.11		696	
		"NELSON, Chris (NP)"	38		36	94.74		2	5.26		38	
		"FOX, Jack (DEM)"	25		17	68.00		8	32.00		25	
		"HILL, Vivian (CTA)"	8		4	50.00		4	50.00		8	
		"COLLINS, Ken (HAN)"	119		55	46.22		64	53.78		119	
		"SMITH, Stuart (CEC)"	2		2	100.00		0	0.00		2	
		"MILLER, Juanita (GWA)"	42		10	23.81		32	76.19		42	
		Total	234		513	55.16		417	44.84		930	

	Northam North											
			1st Prefs		168	37.17		284	62.83		452	
		"NELSON, Chris (NP)"	24		22	91.67		2	8.33		24	
		"FOX, Jack (DEM)"	12		4	33.33		8	66.67		12	
		"HILL, Vivian (CTA)"	7		4	57.14		3	42.86		7	
		"COLLINS, Ken (HAN)"	70		26	37.14		44	62.86		70	
		"SMITH, Stuart (CEC)"	2		0	0.00		2	100.00		2	
		"MILLER, Juanita (GWA)"	26		7	26.92		19	73.08		26	
		Total	141		231	38.95		362	61.05		593	

	Parkerville											
			1st Prefs		454	64.67		248	35.33		702	
		"NELSON, Chris (NP)"	8		6	75.00		2	25.00		8	
		"FOX, Jack (DEM)"	64		25	39.06		39	60.94		64	
		"HILL, Vivian (CTA)"	14		12	85.71		2	14.29		14	
		"COLLINS, Ken (HAN)"	61		29	47.54		32	52.46		61	
		"SMITH, Stuart (CEC)"	1		0	0.00		1	100.00		1	
		"MILLER, Juanita (GWA)"	129		42	32.56		87	67.44		129	
		Total	277		568	58.02		411	41.98		979	

	Perth (Pearce)											
			1st Prefs		33	54.10		28	45.90		61	
		"NELSON, Chris (NP)"	3		3	100.00		0	0.00		3	
		"FOX, Jack (DEM)"	8		4	50.00		4	50.00		8	
		"HILL, Vivian (CTA)"	4		1	25.00		3	75.00		4	
		"COLLINS, Ken (HAN)"	8		5	62.50		3	37.50		8	
		"SMITH, Stuart (CEC)"	1		0	0.00		1	100.00		1	
		"MILLER, Juanita (GWA)"	20		7	35.00		13	65.00		20	
		Total	44		53	50.48		52	49.52		105	

	Pickering Brook											
			1st Prefs		182	71.65		72	28.35		254	
		"NELSON, Chris (NP)"	9		7	77.78		2	22.22		9	
		"FOX, Jack (DEM)"	13		6	46.15		7	53.85		13	
		"HILL, Vivian (CTA)"	3		3	100.00		0	0.00		3	
		"COLLINS, Ken (HAN)"	21		15	71.43		6	28.57		21	
		"SMITH, Stuart (CEC)"	1		0	0.00		1	100.00		1	
		"MILLER, Juanita (GWA)"	26		9	34.62		17	65.38		26	
		Total	73		222	67.89		105	32.11		327	

	Pingelly											
			1st Prefs		279	68.55		128	31.45		407	
		"NELSON, Chris (NP)"	83		81	97.59		2	2.41		83	
		"FOX, Jack (DEM)"	8		2	25.00		6	75.00		8	
		"HILL, Vivian (CTA)"	4		3	75.00		1	25.00		4	
		"COLLINS, Ken (HAN)"	58		34	58.62		24	41.38		58	
		"SMITH, Stuart (CEC)"	29		11	37.93		18	62.07		29	
		"MILLER, Juanita (GWA)"	13		9	69.23		4	30.77		13	
		Total	195		419	69.60		183	30.40		602	

	Popanyinning											
			1st Prefs		69	74.19		24	25.81		93	
		"NELSON, Chris (NP)"	15		14	93.33		1	6.67		15	
		"FOX, Jack (DEM)"	1		0	0.00		1	100.00		1	
		"HILL, Vivian (CTA)"	1		0	0.00		1	100.00		1	
		"COLLINS, Ken (HAN)"	11		6	54.55		5	45.45		11	
		"SMITH, Stuart (CEC)"	2		1	50.00		1	50.00		2	
		"MILLER, Juanita (GWA)"	0		0	0.00		0	0.00		0	
		Total	30		90	73.17		33	26.83		123	

	Quindanning											
			1st Prefs		54	83.08		11	16.92		65	
		"NELSON, Chris (NP)"	10		9	90.00		1	10.00		10	
		"FOX, Jack (DEM)"	4		1	25.00		3	75.00		4	
		"HILL, Vivian (CTA)"	0		0	0.00		0	0.00		0	
		"COLLINS, Ken (HAN)"	15		9	60.00		6	40.00		15	
		"SMITH, Stuart (CEC)"	0		0	0.00		0	0.00		0	
		"MILLER, Juanita (GWA)"	5		1	20.00		4	80.00		5	
		Total	34		74	74.75		25	25.25		99	

	Quinns Rock											
			1st Prefs		1154	54.64		958	45.36		2112	
		"NELSON, Chris (NP)"	19		15	78.95		4	21.05		19	
		"FOX, Jack (DEM)"	120		52	43.33		68	56.67		120	
		"HILL, Vivian (CTA)"	32		20	62.50		12	37.50		32	
		"COLLINS, Ken (HAN)"	192		71	36.98		121	63.02		192	
		"SMITH, Stuart (CEC)"	10		3	30.00		7	70.00		10	
		"MILLER, Juanita (GWA)"	215		72	33.49		143	66.51		215	
		Total	588		1387	51.37		1313	48.63		2700	

	Rottnest (Pearce)											
			1st Prefs		19	70.37		8	29.63		27	
		"NELSON, Chris (NP)"	1		1	100.00		0	0.00		1	
		"FOX, Jack (DEM)"	0		0	0.00		0	0.00		0	
		"HILL, Vivian (CTA)"	1		1	100.00		0	0.00		1	
		"COLLINS, Ken (HAN)"	1		1	100.00		0	0.00		1	
		"SMITH, Stuart (CEC)"	0		0	0.00		0	0.00		0	
		"MILLER, Juanita (GWA)"	6		3	50.00		3	50.00		6	
		Total	9		25	69.44		11	30.56		36	

	Sawyers Valley											
			1st Prefs		219	57.03		165	42.97		384	
		"NELSON, Chris (NP)"	3		3	100.00		0	0.00		3	
		"FOX, Jack (DEM)"	23		8	34.78		15	65.22		23	
		"HILL, Vivian (CTA)"	7		6	85.71		1	14.29		7	
		"COLLINS, Ken (HAN)"	35		22	62.86		13	37.14		35	
		"SMITH, Stuart (CEC)"	3		1	33.33		2	66.67		3	
		"MILLER, Juanita (GWA)"	47		19	40.43		28	59.57		47	
		Total	118		278	55.38		224	44.62		502	

	Seabird											
			1st Prefs		36	66.67		18	33.33		54	
		"NELSON, Chris (NP)"	1		1	100.00		0	0.00		1	
		"FOX, Jack (DEM)"	1		0	0.00		1	100.00		1	
		"HILL, Vivian (CTA)"	0		0	0.00		0	0.00		0	
		"COLLINS, Ken (HAN)"	10		6	60.00		4	40.00		10	
		"SMITH, Stuart (CEC)"	0		0	0.00		0	0.00		0	
		"MILLER, Juanita (GWA)"	4		1	25.00		3	75.00		4	
		Total	16		44	62.86		26	37.14		70	

	Stoneville											
			1st Prefs		448	64.83		243	35.17		691	
		"NELSON, Chris (NP)"	7		7	100.00		0	0.00		7	
		"FOX, Jack (DEM)"	52		17	32.69		35	67.31		52	
		"HILL, Vivian (CTA)"	24		21	87.50		3	12.50		24	
		"COLLINS, Ken (HAN)"	107		57	53.27		50	46.73		107	
		"SMITH, Stuart (CEC)"	4		2	50.00		2	50.00		4	
		"MILLER, Juanita (GWA)"	83		33	39.76		50	60.24		83	
		Total	277		585	60.43		383	39.57		968	

	Stratton											
			1st Prefs		726	45.18		881	54.82		1607	
		"NELSON, Chris (NP)"	27		20	74.07		7	25.93		27	
		"FOX, Jack (DEM)"	145		57	39.31		88	60.69		145	
		"HILL, Vivian (CTA)"	24		11	45.83		13	54.17		24	
		"COLLINS, Ken (HAN)"	147		72	48.98		75	51.02		147	
		"SMITH, Stuart (CEC)"	6		3	50.00		3	50.00		6	
		"MILLER, Juanita (GWA)"	138		44	31.88		94	68.12		138	
		Total	487		933	44.56		1161	55.44		2094	

	Swan View (Pearce)											
			1st Prefs		1573	48.68		1658	51.32		3231	
		"NELSON, Chris (NP)"	51		39	76.47		12	23.53		51	
		"FOX, Jack (DEM)"	242		123	50.83		119	49.17		242	
		"HILL, Vivian (CTA)"	38		26	68.42		12	31.58		38	
		"COLLINS, Ken (HAN)"	292		138	47.26		154	52.74		292	
		"SMITH, Stuart (CEC)"	12		6	50.00		6	50.00		12	
		"MILLER, Juanita (GWA)"	257		94	36.58		163	63.42		257	
		Total	892		1999	48.48		2124	51.52		4123	

	Toodyay											
			1st Prefs		677	62.57		405	37.43		1082	
		"NELSON, Chris (NP)"	34		33	97.06		1	2.94		34	
		"FOX, Jack (DEM)"	71		34	47.89		37	52.11		71	
		"HILL, Vivian (CTA)"	9		4	44.44		5	55.56		9	
		"COLLINS, Ken (HAN)"	153		78	50.98		75	49.02		153	
		"SMITH, Stuart (CEC)"	8		4	50.00		4	50.00		8	
		"MILLER, Juanita (GWA)"	135		41	30.37		94	69.63		135	
		Total	410		871	58.38		621	41.62		1492	

	Two Rocks											
			1st Prefs		342	50.44		336	49.56		678	
		"NELSON, Chris (NP)"	9		8	88.89		1	11.11		9	
		"FOX, Jack (DEM)"	34		12	35.29		22	64.71		34	
		"HILL, Vivian (CTA)"	6		3	50.00		3	50.00		6	
		"COLLINS, Ken (HAN)"	86		49	56.98		37	43.02		86	
		"SMITH, Stuart (CEC)"	0		0	0.00		0	0.00		0	
