Senate - 2001 Election: Western Australia																																																															
First Preference Votes by Group																																																															
By Polling Place																																																															
Brand (78366)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Leda		5	0.30		5	0.30		1	0.06		15	0.91		1	0.06		365	22.23		9	0.55		0	0.00		138	8.40		33	2.01		1	0.06		4	0.24		1	0.06		14	0.85		83	5.05		876	53.35		88	5.36		3	0.18		1642	97.04		50	2.96		1692	2.26
Madora		1	0.26		0	0.00		0	0.00		5	1.29		2	0.52		154	39.69		3	0.77		0	0.00		30	7.73		16	4.12		0	0.00		0	0.00		0	0.00		0	0.00		21	5.41		136	35.05		20	5.15		0	0.00		388	95.80		17	4.20		405	0.54
Mandurah		5	0.33		4	0.26		0	0.00		16	1.06		2	0.13		580	38.36		11	0.73		1	0.07		107	7.08		34	2.25		0	0.00		5	0.33		0	0.00		11	0.73		43	2.84		640	42.33		53	3.51		0	0.00		1512	95.21		76	4.79		1588	2.12
Mandurah Central		15	1.10		5	0.37		0	0.00		8	0.59		2	0.15		504	36.92		12	0.88		2	0.15		114	8.35		23	1.68		0	0.00		8	0.59		0	0.00		10	0.73		32	2.34		591	43.30		39	2.86		0	0.00		1365	94.27		83	5.73		1448	1.93
Mandurah East		6	0.54		0	0.00		0	0.00		6	0.54		2	0.18		353	31.63		6	0.54		0	0.00		117	10.48		23	2.06		1	0.09		5	0.45		0	0.00		7	0.63		33	2.96		511	45.79		45	4.03		1	0.09		1116	94.74		62	5.26		1178	1.57
Mandurah South		15	0.71		1	0.05		1	0.05		14	0.66		5	0.24		891	42.13		28	1.32		0	0.00		183	8.65		48	2.27		1	0.05		5	0.24		0	0.00		15	0.71		59	2.79		806	38.11		43	2.03		0	0.00		2115	95.23		106	4.77		2221	2.96
Meadow Springs		7	0.38		4	0.22		1	0.05		29	1.56		3	0.16		823	44.29		14	0.75		0	0.00		129	6.94		54	2.91		0	0.00		5	0.27		0	0.00		9	0.48		78	4.20		627	33.75		74	3.98		1	0.05		1858	97.07		56	2.93		1914	2.55
Meadow Springs North		9	1.17		4	0.52		0	0.00		6	0.78		1	0.13		425	55.34		15	1.95		0	0.00		33	4.30		21	2.73		0	0.00		1	0.13		0	0.00		0	0.00		25	3.26		218	28.39		10	1.30		0	0.00		768	97.09		23	2.91		791	1.06
Medina		20	0.82		1	0.04		0	0.00		32	1.31		3	0.12		443	18.14		20	0.82		2	0.08		260	10.65		46	1.88		3	0.12		14	0.57		0	0.00		29	1.19		84	3.44		1362	55.77		122	5.00		1	0.04		2442	95.88		105	4.12		2547	3.40
Parmelia		15	0.70		3	0.14		0	0.00		28	1.31		3	0.14		415	19.38		12	0.56		0	0.00		192	8.97		47	2.20		1	0.05		10	0.47		1	0.05		19	0.89		107	5.00		1219	56.94		67	3.13		2	0.09		2141	96.10		87	3.90		2228	2.97
Perth (Brand)		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		14	35.00		0	0.00		0	0.00		0	0.00		1	2.50		0	0.00		0	0.00		0	0.00		1	2.50		5	12.50		18	45.00		1	2.50		0	0.00		40	97.56		1	2.44		41	0.05
Port Kennedy		9	0.38		3	0.13		0	0.00		20	0.83		2	0.08		724	30.19		19	0.79		1	0.04		143	5.96		53	2.21		0	0.00		8	0.33		0	0.00		14	0.58		121	5.05		1200	50.04		80	3.34		1	0.04		2398	97.24		68	2.76		2466	3.29
Rockingham		33	0.73		1	0.02		4	0.09		42	0.93		12	0.27		1279	28.40		26	0.58		1	0.02		342	7.59		166	3.69		2	0.04		14	0.31		0	0.00		33	0.73		167	3.71		2202	48.89		177	3.93		3	0.07		4504	95.57		209	4.43		4713	6.29
Rockingham Beach		11	0.60		3	0.16		0	0.00		15	0.82		5	0.27		623	34.17		13	0.71		0	0.00		150	8.23		50	2.74		0	0.00		6	0.33		0	0.00		15	0.82		89	4.88		779	42.73		64	3.51		0	0.00		1823	96.51		66	3.49		1889	2.52
Rottnest (Brand)		0	0.00		0	0.00		0	0.00		1	4.17		0	0.00		7	29.17		0	0.00		0	0.00		4	16.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	12.50		9	37.50		0	0.00		0	0.00		24	96.00		1	4.00		25	0.03
Safety Bay		32	0.83		5	0.13		3	0.08		41	1.06		0	0.00		1262	32.58		65	1.68		0	0.00		342	8.83		118	3.05		1	0.03		12	0.31		0	0.00		21	0.54		174	4.49		1570	40.54		226	5.84		1	0.03		3873	95.58		179	4.42		4052	5.41
Safety Bay Central		13	0.43		1	0.03		2	0.07		21	0.70		1	0.03		1008	33.49		25	0.83		0	0.00		242	8.04		87	2.89		1	0.03		9	0.30		0	0.00		18	0.60		112	3.72		1332	44.25		137	4.55		1	0.03		3010	96.69		103	3.31		3113	4.15
Secret Harbour		5	0.43		3	0.26		0	0.00		11	0.95		2	0.17		510	43.89		8	0.69		1	0.09		57	4.91		37	3.18		0	0.00		0	0.00		0	0.00		3	0.26		54	4.65		433	37.26		38	3.27		0	0.00		1162	97.40		31	2.60		1193	1.59
Singleton		7	0.69		1	0.10		0	0.00		21	2.08		0	0.00		346	34.26		11	1.09		0	0.00		70	6.93		39	3.86		0	0.00		0	0.00		0	0.00		7	0.69		47	4.65		412	40.79		49	4.85		0	0.00		1010	98.06		20	1.94		1030	1.37
Waikiki		15	0.38		16	0.40		2	0.05		54	1.36		2	0.05		1309	32.96		29	0.73		3	0.08		276	6.95		111	2.79		2	0.05		13	0.33		0	0.00		20	0.50		175	4.41		1790	45.07		154	3.88		1	0.03		3972	97.23		113	2.77		4085	5.45
Warnbro		16	0.56		3	0.10		2	0.07		16	0.56		3	0.10		846	29.49		17	0.59		0	0.00		218	7.60		78	2.72		1	0.03		8	0.28		1	0.03		11	0.38		142	4.95		1368	47.68		137	4.78		2	0.07		2869	96.96		90	3.04		2959	3.95
Warnbro East		16	0.67		7	0.30		0	0.00		20	0.84		1	0.04		596	25.14		12	0.51		1	0.04		157	6.62		53	2.24		2	0.08		6	0.25		0	0.00		12	0.51		114	4.81		1278	53.90		95	4.01		1	0.04		2371	97.21		68	2.79		2439	3.25
Wellard		7	1.28		0	0.00		0	0.00		10	1.83		1	0.18		195	35.78		3	0.55		0	0.00		44	8.07		13	2.39		0	0.00		0	0.00		0	0.00		1	0.18		17	3.12		228	41.83		24	4.40		2	0.37		545	95.11		28	4.89		573	0.76
Special Hospitals		4	1.04		2	0.52		1	0.26		2	0.52		0	0.00		142	37.08		3	0.78		1	0.26		12	3.13		12	3.13		0	0.00		11	2.87		0	0.00		2	0.52		8	2.09		180	47.00		3	0.78		0	0.00		383	95.75		17	4.25		400	0.53
Prison Mobiles		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		1	33.33		0	0.00		0	0.00		3	100.00		0	0.00		3	0.00
Total Ordinary		354	0.59		81	0.13		32	0.05		610	1.01		77	0.13		18475	30.68		474	0.79		19	0.03		4790	7.95		1543	2.56		20	0.03		194	0.32		3	0.00		426	0.71		2441	4.05		28214	46.85		2436	4.05		27	0.04		60216	96.33		2295	3.67		62511	83.41
ABSENT		17	0.34		7	0.14		5	0.10		49	0.99		5	0.10		1585	32.08		57	1.15		1	0.02		434	8.78		90	1.82		1	0.02		15	0.30		1	0.02		39	0.79		239	4.84		2070	41.89		324	6.56		2	0.04		4941	97.61		121	2.39		5062	6.75
POSTAL		3	0.16		2	0.11		0	0.00		7	0.38		3	0.16		612	33.55		27	1.48		1	0.05		177	9.70		33	1.81		0	0.00		1	0.05		0	0.00		7	0.38		56	3.07		833	45.67		62	3.40		0	0.00		1824	98.59		26	1.41		1850	2.47
PRE_POLL		29	0.64		7	0.16		2	0.04		23	0.51		5	0.11		1573	34.84		43	0.95		4	0.09		387	8.57		141	3.12		7	0.16		7	0.16		0	0.00		28	0.62		186	4.12		1917	42.46		152	3.37		4	0.09		4515	98.28		79	1.72		4594	6.13
PROVISIONAL		5	0.57		1	0.11		1	0.11		9	1.02		0	0.00		211	23.95		5	0.57		1	0.11		79	8.97		14	1.59		1	0.11		4	0.45		0	0.00		15	1.70		36	4.09		462	52.44		37	4.20		0	0.00		881	95.24		44	4.76		925	1.23
Division Summary		408	0.56		98	0.14		40	0.06		698	0.96		90	0.12		22456	31.03		606	0.84		26	0.04		5867	8.11		1821	2.52		29	0.04		221	0.31		4	0.01		515	0.71		2958	4.09		33496	46.28		3011	4.16		33	0.05		72377	96.58		2565	3.42		74942	95.63
