House of Representatives - 2001 Election: Western Australia																									
Distribution of Preferences																									
By Polling Place																									
																									
Curtin																									
					BUCKLE			GILMOUR			BISHOP			FOWLER			WALKER			WOOD			MCDONALD		
		TOTAL								1761	75.91		303	13.06		256	11.03								2320
	SIXTH									87	33.98		169	66.02			Excluded								256
		TOTAL								1848	79.66		472	20.34											2320
										Elected															
																									
Doubleview (Curtin)                                            																									
	FIRST			52	8.44		18	2.92		334	54.22		154	25.00		39	6.33		17	2.76		2	0.32		616
	SECOND			0	0.00		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		2
		TOTAL		52	8.44		19	3.08		335	54.38		154	25.00		39	6.33		17	2.76					616
	THIRD			2	11.76		6	35.29		6	35.29		2	11.76		1	5.88			Excluded					17
		TOTAL		54	8.77		25	4.06		341	55.36		156	25.32		40	6.49								616
	FOURTH			11	44.00			Excluded		6	24.00		5	20.00		3	12.00								25
		TOTAL		65	10.55					347	56.33		161	26.14		43	6.98								616
	FIFTH				Excluded					26	40.00		14	21.54		25	38.46								65
		TOTAL								373	60.55		175	28.41		68	11.04								616
	SIXTH									24	35.29		44	64.71			Excluded								68
		TOTAL								397	64.45		219	35.55											616
										Elected															
																									
Floreat                                                        																									
	FIRST			92	4.43		38	1.83		1350	64.97		402	19.35		142	6.83		39	1.88		15	0.72		2078
	SECOND			1	6.67		1	6.67		10	66.67		0	0.00		2	13.33		1	6.67			Excluded		15
		TOTAL		93	4.48		39	1.88		1360	65.45		402	19.35		144	6.93		40	1.92					2078
	THIRD			4	10.00		3	7.50		18	45.00		0	0.00		15	37.50			Excluded					40
		TOTAL		97	4.67		42	2.02		1378	66.31		402	19.35		159	7.65								2078
	FOURTH			7	16.67			Excluded		19	45.24		9	21.43		7	16.67								42
		TOTAL		104	5.00					1397	67.23		411	19.78		166	7.99								2078
	FIFTH				Excluded					24	23.08		31	29.81		49	47.12								104
		TOTAL								1421	68.38		442	21.27		215	10.35								2078
	SIXTH									62	28.84		153	71.16			Excluded								215
		TOTAL								1483	71.37		595	28.63											2078
										Elected															
																									
Floreat East                                                   																									
	FIRST			58	3.58		24	1.48		987	61.00		373	23.05		134	8.28		26	1.61		16	0.99		1618
	SECOND			1	6.25		2	12.50		8	50.00		2	12.50		1	6.25		2	12.50			Excluded		16
		TOTAL		59	3.65		26	1.61		995	61.50		375	23.18		135	8.34		28	1.73					1618
	THIRD			2	7.14		3	10.71		10	35.71		3	10.71		10	35.71			Excluded					28
		TOTAL		61	3.77		29	1.79		1005	62.11		378	23.36		145	8.96								1618
	FOURTH			4	13.79			Excluded		15	51.72		3	10.34		7	24.14								29
		TOTAL		65	4.02					1020	63.04		381	23.55		152	9.39								1618
	FIFTH				Excluded					17	26.15		17	26.15		31	47.69								65
		TOTAL								1037	64.09		398	24.60		183	11.31								1618
	SIXTH									58	31.69		125	68.31			Excluded								183
		TOTAL								1095	67.68		523	32.32											1618
										Elected															
																									
Graylands                                                      																									
	FIRST			172	6.17		83	2.98		1672	59.97		598	21.45		187	6.71		60	2.15		16	0.57		2788
	SECOND			2	12.50		0	0.00		9	56.25		1	6.25		2	12.50		2	12.50			Excluded		16
		TOTAL		174	6.24		83	2.98		1681	60.29		599	21.48		189	6.78		62	2.22					2788
	THIRD			5	8.06		1	1.61		21	33.87		1	1.61		34	54.84			Excluded					62
		TOTAL		179	6.42		84	3.01		1702	61.05		600	21.52		223	8.00								2788
	FOURTH			12	14.29			Excluded		39	46.43		12	14.29		21	25.00								84
		TOTAL		191	6.85					1741	62.45		612	21.95		244	8.75								2788
	FIFTH				Excluded					49	25.65		40	20.94		102	53.40								191
		TOTAL								1790	64.20		652	23.39		346	12.41								2788
	SIXTH									132	38.15		214	61.85			Excluded								346
		TOTAL								1922	68.94		866	31.06											2788
										Elected															
																									
Jolimont                                                       																									
	FIRST			95	7.36		35	2.71		649	50.27		331	25.64		142	11.00		32	2.48		7	0.54		1291
	SECOND			2	28.57		1	14.29		3	42.86		0	0.00		0	0.00		1	14.29			Excluded		7
		TOTAL		97	7.51		36	2.79		652	50.50		331	25.64		142	11.00		33	2.56					1291
	THIRD			3	9.09		0	0.00		13	39.39		4	12.12		13	39.39			Excluded					33
		TOTAL		100	7.75		36	2.79		665	51.51		335	25.95		155	12.01								1291
	FOURTH			7	19.44			Excluded		18	50.00		7	19.44		4	11.11								36
		TOTAL		107	8.29					683	52.90		342	26.49		159	12.32								1291
	FIFTH				Excluded					26	24.30		18	16.82		63	58.88								107
		TOTAL								709	54.92		360	27.89		222	17.20								1291
	SIXTH									68	30.63		154	69.37			Excluded								222
		TOTAL								777	60.19		514	39.81											1291
										Elected															
																									
Joondanna                                                      																									
	FIRST			97	5.76		62	3.68		700	41.59		654	38.86		129	7.66		17	1.01		24	1.43		1683
	SECOND			1	4.17		0	0.00		8	33.33		2	8.33		7	29.17		6	25.00			Excluded		24
		TOTAL		98	5.82		62	3.68		708	42.07		656	38.98		136	8.08		23	1.37					1683
	THIRD			2	8.70		2	8.70		9	39.13		1	4.35		9	39.13			Excluded					23
		TOTAL		100	5.94		64	3.80		717	42.60		657	39.04		145	8.62								1683
	FOURTH			9	14.06			Excluded		24	37.50		13	20.31		18	28.13								64
		TOTAL		109	6.48					741	44.03		670	39.81		163	9.69								1683
	FIFTH				Excluded					30	27.52		31	28.44		48	44.04								109
		TOTAL								771	45.81		701	41.65		211	12.54								1683
	SIXTH									51	24.17		160	75.83			Excluded								211
		TOTAL								822	48.84		861	51.16											1683
										Elected															
																									
King Edward Memorial Hospital                                  																									
	FIRST			34	7.74		7	1.59		213	48.52		117	26.65		60	13.67		6	1.37		2	0.46		439
	SECOND			0	0.00		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		2
		TOTAL		34	7.74		8	1.82		214	48.75		117	26.65		60	13.67		6	1.37					439
	THIRD			1	16.67		0	0.00		1	16.67		1	16.67		3	50.00			Excluded					6
		TOTAL		35	7.97		8	1.82		215	48.97		118	26.88		63	14.35								439
	FOURTH			0	0.00			Excluded		3	37.50		3	37.50		2	25.00								8
		TOTAL		35	7.97					218	49.66		121	27.56		65	14.81								439
	FIFTH				Excluded					15	42.86		9	25.71		11	31.43								35
		TOTAL								233	53.08		130	29.61		76	17.31								439
	SIXTH									15	19.74		61	80.26			Excluded								76
		TOTAL								248	56.49		191	43.51											439
										Elected															
																									
Leederville                                                    																									
	FIRST			106	10.81		16	1.63		380	38.74		326	33.23		136	13.86		12	1.22		5	0.51		981
	SECOND			0	0.00		0	0.00		3	60.00		2	40.00		0	0.00		0	0.00			Excluded		5
		TOTAL		106	10.81		16	1.63		383	39.04		328	33.44		136	13.86		12	1.22					981
	THIRD			1	8.33		1	8.33		7	58.33		0	0.00		3	25.00			Excluded					12
		TOTAL		107	10.91		17	1.73		390	39.76		328	33.44		139	14.17								981
	FOURTH			3	17.65			Excluded		6	35.29		1	5.88		7	41.18								17
		TOTAL		110	11.21					396	40.37		329	33.54		146	14.88								981
	FIFTH				Excluded					22	20.00		21	19.09		67	60.91								110
		TOTAL								418	42.61		350	35.68		213	21.71								981
	SIXTH									64	30.05		149	69.95			Excluded								213
		TOTAL								482	49.13		499	50.87											981
										Elected															
																									
Leederville North                                              																									
	FIRST			103	8.23		18	1.44		503	40.21		469	37.49		131	10.47		17	1.36		10	0.80		1251
	SECOND			1	10.00		0	0.00		9	90.00		0	0.00		0	0.00		0	0.00			Excluded		10
		TOTAL		104	8.31		18	1.44		512	40.93		469	37.49		131	10.47		17	1.36					1251
	THIRD			1	5.88		2	11.76		5	29.41		2	11.76		7	41.18			Excluded					17
		TOTAL		105	8.39		20	1.60		517	41.33		471	37.65		138	11.03								1251
	FOURTH			3	15.00			Excluded		8	40.00		4	20.00		5	25.00								20
		TOTAL		108	8.63					525	41.97		475	37.97		143	11.43								1251
	FIFTH				Excluded					19	17.59		25	23.15		64	59.26								108
		TOTAL								544	43.49		500	39.97		207	16.55								1251
	SIXTH									45	21.74		162	78.26			Excluded								207
		TOTAL								589	47.08		662	52.92											1251
										Elected															
																									
Leederville West                                               																									
	FIRST			121	6.73		28	1.56		908	50.53		506	28.16		174	9.68		39	2.17		21	1.17		1797
	SECOND			3	14.29		2	9.52		7	33.33		5	23.81		1	4.76		3	14.29			Excluded		21
		TOTAL		124	6.90		30	1.67		915	50.92		511	28.44		175	9.74		42	2.34					1797
	THIRD			4	9.52		1	2.38		19	45.24		5	11.90		13	30.95			Excluded					42
		TOTAL		128	7.12		31	1.73		934	51.98		516	28.71		188	10.46								1797
	FOURTH			6	19.35			Excluded		12	38.71		8	25.81		5	16.13								31
		TOTAL		134	7.46					946	52.64		524	29.16		193	10.74								1797
	FIFTH				Excluded					26	19.40		33	24.63		75	55.97								134
		TOTAL								972	54.09		557	31.00		268	14.91								1797
	SIXTH									67	25.00		201	75.00			Excluded								268
		TOTAL								1039	57.82		758	42.18											1797
										Elected															
																									
Mosman Park                                                    																									
	FIRST			154	6.50		81	3.42		1141	48.14		660	27.85		267	11.27		48	2.03		19	0.80		2370
	SECOND			2	10.53		3	15.79		10	52.63		2	10.53		1	5.26		1	5.26			Excluded		19
		TOTAL		156	6.58		84	3.54		1151	48.57		662	27.93		268	11.31		49	2.07					2370
	THIRD			4	8.16		1	2.04		26	53.06		2	4.08		16	32.65			Excluded					49
		TOTAL		160	6.75		85	3.59		1177	49.66		664	28.02		284	11.98								2370
	FOURTH			8	9.41			Excluded		41	48.24		17	20.00		19	22.35								85
		TOTAL		168	7.09					1218	51.39		681	28.73		303	12.78								2370
	FIFTH				Excluded					37	22.02		36	21.43		95	56.55								168
		TOTAL								1255	52.95		717	30.25		398	16.79								2370
	SIXTH									109	27.39		289	72.61			Excluded								398
		TOTAL								1364	57.55		1006	42.45											2370
										Elected															
																									
Mosman Park South                                              																									
	FIRST			29	3.40		30	3.52		506	59.39		206	24.18		62	7.28		9	1.06		10	1.17		852
	SECOND			0	0.00		3	30.00		2	20.00		3	30.00		1	10.00		1	10.00			Excluded		10
		TOTAL		29	3.40		33	3.87		508	59.62		209	24.53		63	7.39		10	1.17					852
	THIRD			0	0.00		1	10.00		3	30.00		0	0.00		6	60.00			Excluded					10
		TOTAL		29	3.40		34	3.99		511	59.98		209	24.53		69	8.10								852
	FOURTH			2	5.88			Excluded		22	64.71		2	5.88		8	23.53								34
		TOTAL		31	3.64					533	62.56		211	24.77		77	9.04								852
	FIFTH				Excluded					8	25.81		5	16.13		18	58.06								31
		TOTAL								541	63.50		216	25.35		95	11.15								852
	SIXTH									34	35.79		61	64.21			Excluded								95
		TOTAL								575	67.49		277	32.51											852
										Elected															
																									
Mount Hawthorn                                                 																									
	FIRST			141	8.05		31	1.77		677	38.66		670	38.26		192	10.97		26	1.48		14	0.80		1751
	SECOND			1	7.14		1	7.14		8	57.14		3	21.43		0	0.00		1	7.14			Excluded		14
		TOTAL		142	8.11		32	1.83		685	39.12		673	38.44		192	10.97		27	1.54					1751
	THIRD			3	11.11		1	3.70		10	37.04		1	3.70		12	44.44			Excluded					27
		TOTAL		145	8.28		33	1.88		695	39.69		674	38.49		204	11.65								1751
	FOURTH			6	18.18			Excluded		13	39.39		7	21.21		7	21.21								33
		TOTAL		151	8.62					708	40.43		681	38.89		211	12.05								1751
	FIFTH				Excluded					34	22.52		28	18.54		89	58.94								151
		TOTAL								742	42.38		709	40.49		300	17.13								1751
	SIXTH									63	21.00		237	79.00			Excluded								300
		TOTAL								805	45.97		946	54.03											1751
										Elected															
																									
Mount Hawthorn East                                            																									
	FIRST			76	6.80		23	2.06		462	41.32		423	37.84		107	9.57		12	1.07		15	1.34		1118
	SECOND			0	0.00		1	6.67		5	33.33		3	20.00		1	6.67		5	33.33			Excluded		15
		TOTAL		76	6.80		24	2.15		467	41.77		426	38.10		108	9.66		17	1.52					1118
	THIRD			4	23.53		1	5.88		4	23.53		0	0.00		8	47.06			Excluded					17
		TOTAL		80	7.16		25	2.24		471	42.13		426	38.10		116	10.38								1118
	FOURTH			8	32.00			Excluded		10	40.00		3	12.00		4	16.00								25
		TOTAL		88	7.87					481	43.02		429	38.37		120	10.73								1118
	FIFTH				Excluded					27	30.68		28	31.82		33	37.50								88
		TOTAL								508	45.44		457	40.88		153	13.69								1118
	SIXTH									34	22.22		119	77.78			Excluded								153
		TOTAL								542	48.48		576	51.52											1118
										Elected															
																									
Mount Hawthorn West                                            																									
	FIRST			75	8.80		37	4.34		342	40.14		307	36.03		72	8.45		8	0.94		11	1.29		852
	SECOND			1	9.09		1	9.09		5	45.45		1	9.09		2	18.18		1	9.09			Excluded		11
		TOTAL		76	8.92		38	4.46		347	40.73		308	36.15		74	8.69		9	1.06					852
	THIRD			2	22.22		0	0.00		4	44.44		1	11.11		2	22.22			Excluded					9
		TOTAL		78	9.15		38	4.46		351	41.20		309	36.27		76	8.92								852
	FOURTH			7	18.42			Excluded		19	50.00		7	18.42		5	13.16								38
		TOTAL		85	9.98					370	43.43		316	37.09		81	9.51								852
	FIFTH				Excluded					22	25.88		18	21.18		45	52.94								85
		TOTAL								392	46.01		334	39.20		126	14.79								852
	SIXTH									33	26.19		93	73.81			Excluded								126
		TOTAL								425	49.88		427	50.12											852
										Elected															
																									
Nedlands Central                                               																									
	FIRST			62	10.26		16	2.65		256	42.38		157	25.99		93	15.40		12	1.99		8	1.32		604
	SECOND			4	50.00		1	12.50		1	12.50		1	12.50		0	0.00		1	12.50			Excluded		8
		TOTAL		66	10.93		17	2.81		257	42.55		158	26.16		93	15.40		13	2.15					604
	THIRD			1	7.69		1	7.69		7	53.85		0	0.00		4	30.77			Excluded					13
		TOTAL		67	11.09		18	2.98		264	43.71		158	26.16		97	16.06								604
	FOURTH			3	16.67			Excluded		8	44.44		1	5.56		6	33.33								18
		TOTAL		70	11.59					272	45.03		159	26.32		103	17.05								604
	FIFTH				Excluded					11	15.71		22	31.43		37	52.86								70
		TOTAL								283	46.85		181	29.97		140	23.18								604
	SIXTH									19	13.57		121	86.43			Excluded								140
		TOTAL								302	50.00		302	50.00											604
										Elected															
																									
Nedlands East                                                  																									
	FIRST			87	6.19		25	1.78		881	62.66		212	15.08		141	10.03		49	3.49		11	0.78		1406
	SECOND			1	9.09		2	18.18		7	63.64		0	0.00		0	0.00		1	9.09			Excluded		11
		TOTAL		88	6.26		27	1.92		888	63.16		212	15.08		141	10.03		50	3.56					1406
	THIRD			4	8.00		2	4.00		21	42.00		2	4.00		21	42.00			Excluded					50
		TOTAL		92	6.54		29	2.06		909	64.65		214	15.22		162	11.52								1406
	FOURTH			5	17.24			Excluded		17	58.62		4	13.79		3	10.34								29
		TOTAL		97	6.90					926	65.86		218	15.50		165	11.74								1406
	FIFTH				Excluded					24	24.74		17	17.53		56	57.73								97
		TOTAL								950	67.57		235	16.71		221	15.72								1406
	SIXTH									69	31.22		152	68.78			Excluded								221
		TOTAL								1019	72.48		387	27.52											1406
										Elected															
																									
Nedlands North                                                 																									
	FIRST			107	8.05		22	1.65		692	52.03		303	22.78		158	11.88		43	3.23		5	0.38		1330
	SECOND			0	0.00		0	0.00		2	40.00		0	0.00		3	60.00		0	0.00			Excluded		5
		TOTAL		107	8.05		22	1.65		694	52.18		303	22.78		161	12.11		43	3.23					1330
	THIRD			2	4.65		1	2.33		20	46.51		3	6.98		17	39.53			Excluded					43
		TOTAL		109	8.20		23	1.73		714	53.68		306	23.01		178	13.38								1330
	FOURTH			4	17.39			Excluded		13	56.52		4	17.39		2	8.70								23
		TOTAL		113	8.50					727	54.66		310	23.31		180	13.53								1330
	FIFTH				Excluded					21	18.58		26	23.01		66	58.41								113
		TOTAL								748	56.24		336	25.26		246	18.50								1330
	SIXTH									66	26.83		180	73.17			Excluded								246
		TOTAL								814	61.20		516	38.80											1330
										Elected															
																									
Nedlands South                                                 																									
	FIRST			143	7.66		23	1.23		1059	56.69		377	20.18		171	9.15		62	3.32		33	1.77		1868
	SECOND			2	6.06		4	12.12		21	63.64		1	3.03		1	3.03		4	12.12			Excluded		33
		TOTAL		145	7.76		27	1.45		1080	57.82		378	20.24		172	9.21		66	3.53					1868
	THIRD			6	9.09		3	4.55		23	34.85		6	9.09		28	42.42			Excluded					66
		TOTAL		151	8.08		30	1.61		1103	59.05		384	20.56		200	10.71								1868
	FOURTH			3	10.00			Excluded		17	56.67		3	10.00		7	23.33								30
		TOTAL		154	8.24					1120	59.96		387	20.72		207	11.08								1868
	FIFTH				Excluded					34	22.08		32	20.78		88	57.14								154
		TOTAL								1154	61.78		419	22.43		295	15.79								1868
	SIXTH									84	28.47		211	71.53			Excluded								295
		TOTAL								1238	66.27		630	33.73											1868
										Elected															
																									
Peppermint Grove                                               																									
	FIRST			11	2.27		8	1.65		362	74.79		52	10.74		31	6.40		14	2.89		6	1.24		484
	SECOND			0	0.00		0	0.00		6	100.00		0	0.00		0	0.00		0	0.00			Excluded		6
		TOTAL		11	2.27		8	1.65		368	76.03		52	10.74		31	6.40		14	2.89					484
	THIRD			4	28.57		0	0.00		6	42.86		1	7.14		3	21.43			Excluded					14
		TOTAL		15	3.10		8	1.65		374	77.27		53	10.95		34	7.02								484
	FOURTH			2	25.00			Excluded		5	62.50		1	12.50		0	0.00								8
		TOTAL		17	3.51					379	78.31		54	11.16		34	7.02								484
	FIFTH				Excluded					3	17.65		3	17.65		11	64.71								17
		TOTAL								382	78.93		57	11.78		45	9.30								484
	SIXTH									16	35.56		29	64.44			Excluded								45
		TOTAL								398	82.23		86	17.77											484
										Elected															
																									
Perth (Curtin)                                                 																									
	FIRST			35	14.77		6	2.53		77	32.49		74	31.22		35	14.77		5	2.11		5	2.11		237
	SECOND			0	0.00		0	0.00		2	40.00		0	0.00		2	40.00		1	20.00			Excluded		5
		TOTAL		35	14.77		6	2.53		79	33.33		74	31.22		37	15.61		6	2.53					237
	THIRD			2	33.33		0	0.00		1	16.67		1	16.67		2	33.33			Excluded					6
		TOTAL		37	15.61		6	2.53		80	33.76		75	31.65		39	16.46								237
	FOURTH			0	0.00			Excluded		4	66.67		1	16.67		1	16.67								6
		TOTAL		37	15.61					84	35.44		76	32.07		40	16.88								237
	FIFTH				Excluded					6	16.22		10	27.03		21	56.76								37
		TOTAL								90	37.97		86	36.29		61	25.74								237
	SIXTH									20	32.79		41	67.21			Excluded								61
		TOTAL								110	46.41		127	53.59											237
										Elected															
																									
Rottnest (Curtin)                                              																									
	FIRST			9	4.37		1	0.49		129	62.62		36	17.48		21	10.19		9	4.37		1	0.49		206
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1
		TOTAL		9	4.37		1	0.49		129	62.62		36	17.48		21	10.19		10	4.85					206
	THIRD			1	10.00		0	0.00		2	20.00		2	20.00		5	50.00			Excluded					10
		TOTAL		10	4.85		1	0.49		131	63.59		38	18.45		26	12.62								206
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		1	100.00								1
		TOTAL		10	4.85					131	63.59		38	18.45		27	13.11								206
	FIFTH				Excluded					1	10.00		1	10.00		8	80.00								10
		TOTAL								132	64.08		39	18.93		35	16.99								206
	SIXTH									16	45.71		19	54.29			Excluded								35
		TOTAL								148	71.84		58	28.16											206
										Elected															
																									
Shenton Park East                                              																									
	FIRST			67	8.29		13	1.61		361	44.68		219	27.10		121	14.98		17	2.10		10	1.24		808
	SECOND			5	50.00		0	0.00		2	20.00		1	10.00		1	10.00		1	10.00			Excluded		10
		TOTAL		72	8.91		13	1.61		363	44.93		220	27.23		122	15.10		18	2.23					808
	THIRD			2	11.11		4	22.22		4	22.22		1	5.56		7	38.89			Excluded					18
		TOTAL		74	9.16		17	2.10		367	45.42		221	27.35		129	15.97								808
	FOURTH			1	5.88			Excluded		8	47.06		4	23.53		4	23.53								17
		TOTAL		75	9.28					375	46.41		225	27.85		133	16.46								808
