House of Representatives - 2001 Election: Western Australia																																											
First Preference Votes and TCP																																											
By Candidate by Polling Place																																											
																																											
Pearce (77880)																																											
		NELSON			FOX			HILL			# MOYLAN			COSTELLO			COLLINS			SMITH			MILLER			FORMAL			INFORMAL			TOTAL											
	Herne Hill	25	2.12		45	3.81		17	1.44		524	44.37		411	34.80		110	9.31		3	0.25		46	3.90		1181	92.99		89	7.01		1270	1.72		635	53.77		546	46.23				
	Highbury	24	19.51		2	1.63		0	0.00		55	44.72		11	8.94		27	21.95		0	0.00		4	3.25		123	93.18		9	6.82		132	0.18		97	78.86		26	21.14				
	Lancelin	10	1.73		16	2.77		2	0.35		268	46.37		163	28.20		92	15.92		1	0.17		26	4.50		578	93.83		38	6.17		616	0.83		335	57.96		243	42.04				
	Ledge Point	2	1.67		2	1.67		0	0.00		85	70.83		21	17.50		6	5.00		0	0.00		4	3.33		120	93.02		9	6.98		129	0.17		94	78.33		26	21.67				
	Lower Chittering	3	1.38		5	2.30		2	0.92		123	56.68		53	24.42		19	8.76		1	0.46		11	5.07		217	93.94		14	6.06		231	0.31		148	68.20		69	31.80				
	Mahogany Creek	4	0.68		23	3.89		6	1.01		279	47.13		177	29.90		36	6.08		0	0.00		67	11.32		592	96.10		24	3.90		616	0.83		330	55.74		262	44.26				
	Merriwa	31	1.21		104	4.06		28	1.09		1041	40.63		1037	40.48		177	6.91		7	0.27		137	5.35		2562	93.57		176	6.43		2738	3.70		1249	48.75		1313	51.25				
	Midland (Pearce)	10	2.36		22	5.19		10	2.36		165	38.92		155	36.56		24	5.66		2	0.47		36	8.49		424	94.85		23	5.15		447	0.60		217	51.18		207	48.82				
	Mindarie	11	0.56		61	3.08		19	0.96		1053	53.18		637	32.17		94	4.75		2	0.10		103	5.20		1980	96.44		73	3.56		2053	2.78		1193	60.25		787	39.75				
	Mount Helena	18	1.39		73	5.63		23	1.77		565	43.60		362	27.93		97	7.48		3	0.23		155	11.96		1296	94.88		70	5.12		1366	1.85		714	55.09		582	44.91				
	Muchea	3	0.86		10	2.86		4	1.14		172	49.14		79	22.57		66	18.86		3	0.86		13	3.71		350	90.91		35	9.09		385	0.52		221	63.14		129	36.86				
	Mundaring	22	1.06		140	6.78		28	1.36		893	43.22		638	30.88		144	6.97		2	0.10		199	9.63		2066	95.43		99	4.57		2165	2.93		1116	54.02		950	45.98				
	Narrogin	248	12.12		47	2.30		25	1.22		923	45.09		475	23.20		225	10.99		15	0.73		89	4.35		2047	94.94		109	5.06		2156	2.91		1326	64.78		721	35.22				
	Narrogin Regional Hospital	37	12.94		4	1.40		7	2.45		112	39.16		81	28.32		27	9.44		4	1.40		14	4.90		286	95.33		14	4.67		300	0.41		175	61.19		111	38.81				
	Northam	81	4.45		43	2.36		16	0.88		811	44.56		594	32.64		198	10.88		11	0.60		66	3.63		1820	94.45		107	5.55		1927	2.61		1019	55.99		801	44.01				
	Northam East	38	4.09		25	2.69		8	0.86		389	41.83		307	33.01		119	12.80		2	0.22		42	4.52		930	92.17		79	7.83		1009	1.36		513	55.16		417	44.84				
	Northam North	24	4.05		12	2.02		7	1.18		168	28.33		284	47.89		70	11.80		2	0.34		26	4.38		593	92.22		50	7.78		643	0.87		231	38.95		362	61.05				
	Parkerville	8	0.82		64	6.54		14	1.43		454	46.37		248	25.33		61	6.23		1	0.10		129	13.18		979	95.70		44	4.30		1023	1.38		568	58.02		411	41.98				
	Perth (Pearce)	3	2.86		8	7.62		4	3.81		33	31.43		28	26.67		8	7.62		1	0.95		20	19.05		105	99.06		1	0.94		106	0.14		53	50.48		52	49.52				
	Pickering Brook	9	2.75		13	3.98		3	0.92		182	55.66		72	22.02		21	6.42		1	0.31		26	7.95		327	91.34		31	8.66		358	0.48		222	67.89		105	32.11				
	Pingelly	83	13.79		8	1.33		4	0.66		279	46.35		128	21.26		58	9.63		29	4.82		13	2.16		602	96.47		22	3.53		624	0.84		419	69.60		183	30.40				
	Popanyinning	15	12.20		1	0.81		1	0.81		69	56.10		24	19.51		11	8.94		2	1.63		0	0.00		123	97.62		3	2.38		126	0.17		90	73.17		33	26.83				
	Quindanning	10	10.10		4	4.04		0	0.00		54	54.55		11	11.11		15	15.15		0	0.00		5	5.05		99	94.29		6	5.71		105	0.14		74	74.75		25	25.25				
	Quinns Rock	19	0.70		120	4.44		32	1.19		1154	42.74		958	35.48		192	7.11		10	0.37		215	7.96		2700	95.91		115	4.09		2815	3.81		1387	51.37		1313	48.63				
	Rottnest (Pearce)	1	2.78		0	0.00		1	2.78		19	52.78		8	22.22		1	2.78		0	0.00		6	16.67		36	94.74		2	5.26		38	0.05		25	69.44		11	30.56				
	Sawyers Valley	3	0.60		23	4.58		7	1.39		219	43.63		165	32.87		35	6.97		3	0.60		47	9.36		502	95.62		23	4.38		525	0.71		278	55.38		224	44.62				
	Seabird	1	1.43		1	1.43		0	0.00		36	51.43		18	25.71		10	14.29		0	0.00		4	5.71		70	98.59		1	1.41		71	0.10		44	62.86		26	37.14				
	Stoneville	7	0.72		52	5.37		24	2.48		448	46.28		243	25.10		107	11.05		4	0.41		83	8.57		968	95.00		51	5.00		1019	1.38		585	60.43		383	39.57				
	Stratton	27	1.29		145	6.92		24	1.15		726	34.67		881	42.07		147	7.02		6	0.29		138	6.59		2094	95.57		97	4.43		2191	2.96		933	44.56		1161	55.44				
	Swan View (Pearce)	51	1.24		242	5.87		38	0.92		1573	38.15		1658	40.21		292	7.08		12	0.29		257	6.23		4123	93.98		264	6.02		4387	5.93		1999	48.48		2124	51.52				
	Toodyay	34	2.28		71	4.76		9	0.60		677	45.38		405	27.14		153	10.25		8	0.54		135	9.05		1492	94.97		79	5.03		1571	2.12		871	58.38		621	41.62				
	Two Rocks	9	1.04		34	3.91		6	0.69		342	39.36		336	38.67		86	9.90		0	0.00		56	6.44		869	92.94		66	7.06		935	1.26		438	50.40		431	49.60				
	Upper Swan	12	0.74		69	4.25		11	0.68		947	58.38		387	23.86		101	6.23		4	0.25		91	5.61		1622	94.96		86	5.04		1708	2.31		1083	66.77		539	33.23				
	Walliston (Pearce)	3	0.70		23	5.34		5	1.16		228	52.90		90	20.88		30	6.96		2	0.46		50	11.60		431	94.31		26	5.69		457	0.62		287	66.59		144	33.41				
	Wandering	23	12.57		4	2.19		1	0.55		111	60.66		22	12.02		17	9.29		1	0.55		4	2.19		183	98.39		3	1.61		186	0.25		151	82.51		32	17.49				
	West Dale	10	8.70		0	0.00		0	0.00		83	72.17		4	3.48		16	13.91		2	1.74		0	0.00		115	92.74		9	7.26		124	0.17		102	88.70		13	11.30				
	Williams	80	19.42		4	0.97		2	0.49		214	51.94		37	8.98		52	12.62		4	0.97		19	4.61		412	93.21		30	6.79		442	0.60		332	80.58		80	19.42				
	Woodridge	10	2.64		13	3.43		2	0.53		170	44.85		91	24.01		58	15.30		2	0.53		33	8.71		379	94.28		23	5.72		402	0.54		222	58.58		157	41.42				
	Wooroloo	3	0.83		14	3.87		0	0.00		159	43.92		99	27.35		50	13.81		2	0.55		35	9.67		362	94.03		23	5.97		385	0.52		207	57.18		155	42.82				
	Wundowie	19	3.55		13	2.43		7	1.31		176	32.90		222	41.50		56	10.47		3	0.56		39	7.29		535	93.04		40	6.96		575	0.78		246	45.98		289	54.02				
	Yanchep	16	1.53		52	4.98		9	0.86		424	40.57		354	33.88		98	9.38		2	0.19		90	8.61		1045	94.91		56	5.09		1101	1.49		531	50.81		514	49.19				
	York	85	5.74		38	2.57		19	1.28		694	46.89		357	24.12		194	13.11		4	0.27		89	6.01		1480	95.05		77	4.95		1557	2.11		907	61.28		573	38.72				
	Special Hospitals	13	8.33		2	1.28		2	1.28		70	44.87		60	38.46		6	3.85		0	0.00		3	1.92		156	93.41		11	6.59		167	0.23		88	56.41		68	43.59				
	Prison Mobiles	0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00				
	Total Ordinary	1625	2.77		2563	4.37		691	1.18		26348	44.90		18087	30.82		5057	8.62		234	0.40		4072	6.94		58677	94.76		3242	5.24		61919	83.72		33238	56.65		25439	43.35				
	ABSENT	265	3.84		398	5.77		107	1.55		2879	41.77		1908	27.68		629	9.13		47	0.68		660	9.57		6893	95.55		321	4.45		7214	9.75		3906	56.67		2987	43.33				
	POSTAL	40	1.92		59	2.83		32	1.54		1088	52.21		539	25.86		199	9.55		9	0.43		118	5.66		2084	98.12		40	1.88		2124	2.87		1347	64.64		737	35.36				
	PRE_POLL	47	2.08		109	4.81		21	0.93		1054	46.55		645	28.49		187	8.26		9	0.40		192	8.48		2264	97.54		57	2.46		2321	3.14		1306	57.69		958	42.31				
	PROVISIONAL	8	2.20		18	4.96		7	1.93		140	38.57		127	34.99		33	9.09		0	0.00		30	8.26		363	94.29		22	5.71		385	0.52		182	50.14		181	49.86				
	Division Summary	1985	2.82		3147	4.48		858	1.22		31509	44.83		21306	30.32		6105	8.69		299	0.43		5072	7.22		70281	95.02		3682	4.98		73963	94.97		39979	56.88		30302	43.12				
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
