House of Representatives - 2001 Election: Western Australia																							
Distribution of Preferences																							
By Polling Place																							
																							
Perth																							
					HEWETT			XAMON			SMITH			GILBERTHORPE			WEBB			CHILTON			
	FIFTH							Excluded		116	73.42					42	26.58					158	
		TOTAL								825	61.80					510	38.20					1335	
										Elected													
																							
Bedford West                                                   																							
	FIRST			80	6.42		83	6.66		650	52.13		37	2.97		388	31.11		9	0.72		1247	
	SECOND			2	22.22		3	33.33		2	22.22		2	22.22		0	0.00			Excluded		9	
		TOTAL		82	6.58		86	6.90		652	52.29		39	3.13		388	31.11					1247	
	THIRD			6	15.38		4	10.26		7	17.95			Excluded		22	56.41					39	
		TOTAL		88	7.06		90	7.22		659	52.85					410	32.88					1247	
	FOURTH				Excluded		58	65.91		18	20.45					12	13.64					88	
		TOTAL					148	11.87		677	54.29					422	33.84					1247	
	FIFTH							Excluded		108	72.97					40	27.03					148	
		TOTAL								785	62.95					462	37.05					1247	
										Elected													
																							
Beechboro                                                      																							
	FIRST			95	4.81		62	3.14		1236	62.58		103	5.22		461	23.34		18	0.91		1975	
	SECOND			0	0.00		10	55.56		3	16.67		1	5.56		4	22.22			Excluded		18	
		TOTAL		95	4.81		72	3.65		1239	62.73		104	5.27		465	23.54					1975	
	THIRD			13	12.50		21	20.19		37	35.58			Excluded		33	31.73					104	
		TOTAL		108	5.47		93	4.71		1276	64.61					498	25.22					1975	
	FOURTH				Excluded		59	54.63		30	27.78					19	17.59					108	
		TOTAL					152	7.70		1306	66.13					517	26.18					1975	
	FIFTH							Excluded		120	78.95					32	21.05					152	
		TOTAL								1426	72.20					549	27.80					1975	
										Elected													
																							
Beechboro East                                                 																							
	FIRST			125	6.52		114	5.95		1060	55.32		118	6.16		483	25.21		16	0.84		1916	
	SECOND			3	18.75		1	6.25		3	18.75		6	37.50		3	18.75			Excluded		16	
		TOTAL		128	6.68		115	6.00		1063	55.48		124	6.47		486	25.37					1916	
	THIRD			15	12.10		28	22.58		41	33.06			Excluded		40	32.26					124	
		TOTAL		143	7.46		143	7.46		1104	57.62					526	27.45					1916	
	FOURTH				Excluded		88	61.54		36	25.17					19	13.29					143	
		TOTAL					231	12.06		1140	59.50					545	28.44					1916	
	FIFTH							Excluded		177	76.62					54	23.38					231	
		TOTAL								1317	68.74					599	31.26					1916	
										Elected													
																							
Beechboro West                                                 																							
	FIRST			111	6.67		50	3.01		974	58.57		99	5.95		423	25.44		6	0.36		1663	
	SECOND			2	33.33		2	33.33		1	16.67		0	0.00		1	16.67			Excluded		6	
		TOTAL		113	6.79		52	3.13		975	58.63		99	5.95		424	25.50					1663	
	THIRD			12	12.12		12	12.12		25	25.25			Excluded		50	50.51					99	
		TOTAL		125	7.52		64	3.85		1000	60.13					474	28.50					1663	
	FOURTH				Excluded		69	55.20		34	27.20					22	17.60					125	
		TOTAL					133	8.00		1034	62.18					496	29.83					1663	
	FIFTH							Excluded		84	63.16					49	36.84					133	
		TOTAL								1118	67.23					545	32.77					1663	
										Elected													
																							
Coolbinia                                                      																							
	FIRST			54	5.69		80	8.43		312	32.88		20	2.11		478	50.37		5	0.53		949	
	SECOND			2	40.00		1	20.00		1	20.00		0	0.00		1	20.00			Excluded		5	
		TOTAL		56	5.90		81	8.54		313	32.98		20	2.11		479	50.47					949	
	THIRD			2	10.00		2	10.00		6	30.00			Excluded		10	50.00					20	
		TOTAL		58	6.11		83	8.75		319	33.61					489	51.53					949	
	FOURTH				Excluded		36	62.07		12	20.69					10	17.24					58	
		TOTAL					119	12.54		331	34.88					499	52.58					949	
	FIFTH							Excluded		91	76.47					28	23.53					119	
		TOTAL								422	44.47					527	55.53					949	
										Elected													
																							
Dianella                                                       																							
	FIRST			67	7.07		42	4.44		437	46.15		39	4.12		353	37.28		9	0.95		947	
	SECOND			0	0.00		3	33.33		1	11.11		2	22.22		3	33.33			Excluded		9	
		TOTAL		67	7.07		45	4.75		438	46.25		41	4.33		356	37.59					947	
	THIRD			2	4.88		6	14.63		17	41.46			Excluded		16	39.02					41	
		TOTAL		69	7.29		51	5.39		455	48.05					372	39.28					947	
	FOURTH				Excluded		38	55.07		22	31.88					9	13.04					69	
		TOTAL					89	9.40		477	50.37					381	40.23					947	
	FIFTH							Excluded		63	70.79					26	29.21					89	
		TOTAL								540	57.02					407	42.98					947	
										Elected													
																							
Dianella Central                                               																							
	FIRST			90	4.54		99	5.00		901	45.48		81	4.09		796	40.18		14	0.71		1981	
	SECOND			1	7.14		4	28.57		2	14.29		4	28.57		3	21.43			Excluded		14	
		TOTAL		91	4.59		103	5.20		903	45.58		85	4.29		799	40.33					1981	
	THIRD			8	9.41		21	24.71		20	23.53			Excluded		36	42.35					85	
		TOTAL		99	5.00		124	6.26		923	46.59					835	42.15					1981	
	FOURTH				Excluded		62	62.63		24	24.24					13	13.13					99	
		TOTAL					186	9.39		947	47.80					848	42.81					1981	
	FIFTH							Excluded		137	73.66					49	26.34					186	
		TOTAL								1084	54.72					897	45.28					1981	
										Elected													
																							
Dianella North                                                 																							
	FIRST			94	7.43		79	6.25		572	45.22		53	4.19		456	36.05		11	0.87		1265	
	SECOND			4	36.36		1	9.09		1	9.09		2	18.18		3	27.27			Excluded		11	
		TOTAL		98	7.75		80	6.32		573	45.30		55	4.35		459	36.28					1265	
	THIRD			7	12.73		13	23.64		14	25.45			Excluded		21	38.18					55	
		TOTAL		105	8.30		93	7.35		587	46.40					480	37.94					1265	
	FOURTH				Excluded		63	60.00		26	24.76					16	15.24					105	
		TOTAL					156	12.33		613	48.46					496	39.21					1265	
	FIFTH							Excluded		113	72.44					43	27.56					156	
		TOTAL								726	57.39					539	42.61					1265	
										Elected													
																							
East Perth                                                     																							
	FIRST			60	7.08		62	7.31		300	35.38		26	3.07		398	46.93		2	0.24		848	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		2	
		TOTAL		60	7.08		62	7.31		300	35.38		27	3.18		399	47.05					848	
	THIRD			2	7.41		2	7.41		8	29.63			Excluded		15	55.56					27	
		TOTAL		62	7.31		64	7.55		308	36.32					414	48.82					848	
	FOURTH				Excluded		41	66.13		14	22.58					7	11.29					62	
		TOTAL					105	12.38		322	37.97					421	49.65					848	
	FIFTH							Excluded		81	77.14					24	22.86					105	
		TOTAL								403	47.52					445	52.48					848	
										Elected													
																							
Eden Hill                                                      																							
	FIRST			161	5.97		133	4.93		1526	56.54		143	5.30		717	26.57		19	0.70		2699	
	SECOND			3	15.79		8	42.11		4	21.05		0	0.00		4	21.05			Excluded		19	
		TOTAL		164	6.08		141	5.22		1530	56.69		143	5.30		721	26.71					2699	
	THIRD			15	10.49		26	18.18		36	25.17			Excluded		66	46.15					143	
		TOTAL		179	6.63		167	6.19		1566	58.02					787	29.16					2699	
	FOURTH				Excluded		124	69.27		33	18.44					22	12.29					179	
		TOTAL					291	10.78		1599	59.24					809	29.97					2699	
	FIFTH							Excluded		223	76.63					68	23.37					291	
		TOTAL								1822	67.51					877	32.49					2699	
										Elected													
																							
Embleton                                                       																							
	FIRST			80	4.80		102	6.13		883	53.03		88	5.29		497	29.85		15	0.90		1665	
	SECOND			1	6.67		2	13.33		3	20.00		1	6.67		8	53.33			Excluded		15	
		TOTAL		81	4.86		104	6.25		886	53.21		89	5.35		505	30.33					1665	
	THIRD			13	14.61		19	21.35		29	32.58			Excluded		28	31.46					89	
		TOTAL		94	5.65		123	7.39		915	54.95					533	32.01					1665	
	FOURTH				Excluded		58	61.70		21	22.34					15	15.96					94	
		TOTAL					181	10.87		936	56.22					548	32.91					1665	
	FIFTH							Excluded		128	70.72					53	29.28					181	
		TOTAL								1064	63.90					601	36.10					1665	
										Elected													
																							
Hampton Park                                                   																							
	FIRST			109	5.20		83	3.96		1022	48.78		109	5.20		757	36.13		15	0.72		2095	
	SECOND			2	13.33		5	33.33		0	0.00		5	33.33		3	20.00			Excluded		15	
		TOTAL		111	5.30		88	4.20		1022	48.78		114	5.44		760	36.28					2095	
	THIRD			10	8.77		23	20.18		37	32.46			Excluded		44	38.60					114	
		TOTAL		121	5.78		111	5.30		1059	50.55					804	38.38					2095	
	FOURTH				Excluded		66	54.55		24	19.83					31	25.62					121	
		TOTAL					177	8.45		1083	51.69					835	39.86					2095	
	FIFTH							Excluded		125	70.62					52	29.38					177	
		TOTAL								1208	57.66					887	42.34					2095	
										Elected													
																							
Highgate                                                       																							
	FIRST			207	9.88		275	13.13		1042	49.74		32	1.53		506	24.15		33	1.58		2095	
	SECOND			2	6.06		14	42.42		7	21.21		2	6.06		8	24.24			Excluded		33	
		TOTAL		209	9.98		289	13.79		1049	50.07		34	1.62		514	24.53					2095	
	THIRD			6	17.65		6	17.65		6	17.65			Excluded		16	47.06					34	
		TOTAL		215	10.26		295	14.08		1055	50.36					530	25.30					2095	
	FOURTH				Excluded		150	69.77		48	22.33					17	7.91					215	
		TOTAL					445	21.24		1103	52.65					547	26.11					2095	
	FIFTH							Excluded		375	84.27					70	15.73					445	
		TOTAL								1478	70.55					617	29.45					2095	
										Elected													
																							
Inglewood                                                      																							
	FIRST			103	8.49		123	10.14		572	47.16		35	2.89		370	30.50		10	0.82		1213	
	SECOND			3	30.00		4	40.00		1	10.00		0	0.00		2	20.00			Excluded		10	
		TOTAL		106	8.74		127	10.47		573	47.24		35	2.89		372	30.67					1213	
	THIRD			4	11.43		7	20.00		6	17.14			Excluded		18	51.43					35	
		TOTAL		110	9.07		134	11.05		579	47.73					390	32.15					1213	
	FOURTH				Excluded		72	65.45		29	26.36					9	8.18					110	
		TOTAL					206	16.98		608	50.12					399	32.89					1213	
	FIFTH							Excluded		164	79.61					42	20.39					206	
		TOTAL								772	63.64					441	36.36					1213	
										Elected													
																							
Inglewood North                                                																							
	FIRST			189	8.39		192	8.52		997	44.25		60	2.66		798	35.42		17	0.75		2253	
	SECOND			2	11.76		10	58.82		1	5.88		2	11.76		2	11.76			Excluded		17	
		TOTAL		191	8.48		202	8.97		998	44.30		62	2.75		800	35.51					2253	
	THIRD			11	17.74		18	29.03		13	20.97			Excluded		20	32.26					62	
		TOTAL		202	8.97		220	9.76		1011	44.87					820	36.40					2253	
	FOURTH				Excluded		134	66.34		44	21.78					24	11.88					202	
		TOTAL					354	15.71		1055	46.83					844	37.46					2253	
	FIFTH							Excluded		265	74.86					89	25.14					354	
		TOTAL								1320	58.59					933	41.41					2253	
										Elected													
																							
Kiara                                                          																							
	FIRST			93	6.40		56	3.86		812	55.92		94	6.47		391	26.93		6	0.41		1452	
	SECOND			1	16.67		3	50.00		0	0.00		0	0.00		2	33.33			Excluded		6	
		TOTAL		94	6.47		59	4.06		812	55.92		94	6.47		393	27.07					1452	
	THIRD			6	6.38		24	25.53		24	25.53			Excluded		40	42.55					94	
		TOTAL		100	6.89		83	5.72		836	57.58					433	29.82					1452	
	FOURTH				Excluded		60	60.00		32	32.00					8	8.00					100	
		TOTAL					143	9.85		868	59.78					441	30.37					1452	
	FIFTH							Excluded		95	66.43					48	33.57					143	
		TOTAL								963	66.32					489	33.68					1452	
										Elected													
																							
Lockridge                                                      																							
	FIRST			158	9.16		79	4.58		1110	64.39		101	5.86		265	15.37		11	0.64		1724	
	SECOND			4	36.36		1	9.09		0	0.00		4	36.36		2	18.18			Excluded		11	
		TOTAL		162	9.40		80	4.64		1110	64.39		105	6.09		267	15.49					1724	
	THIRD			17	16.19		28	26.67		32	30.48			Excluded		28	26.67					105	
		TOTAL		179	10.38		108	6.26		1142	66.24					295	17.11					1724	
	FOURTH				Excluded		124	69.27		41	22.91					14	7.82					179	
		TOTAL					232	13.46		1183	68.62					309	17.92					1724	
	FIFTH							Excluded		162	69.83					70	30.17					232	
		TOTAL								1345	78.02					379	21.98					1724	
										Elected													
																							
Maylands                                                       																							
	FIRST			271	9.05		246	8.22		1436	47.98		106	3.54		900	30.07		34	1.14		2993	
	SECOND			8	23.53		9	26.47		5	14.71		2	5.88		10	29.41			Excluded		34	
		TOTAL		279	9.32		255	8.52		1441	48.15		108	3.61		910	30.40					2993	
	THIRD			16	14.81		23	21.30		33	30.56			Excluded		36	33.33					108	
		TOTAL		295	9.86		278	9.29		1474	49.25					946	31.61					2993	
	FOURTH				Excluded		181	61.36		79	26.78					35	11.86					295	
		TOTAL					459	15.34		1553	51.89					981	32.78					2993	
	FIFTH							Excluded		352	76.69					107	23.31					459	
		TOTAL								1905	63.65					1088	36.35					2993	
										Elected													
																							
Maylands East                                                  																							
	FIRST			116	7.67		116	7.67		689	45.57		66	4.37		517	34.19		8	0.53		1512	
	SECOND			2	25.00		4	50.00		1	12.50		0	0.00		1	12.50			Excluded		8	
		TOTAL		118	7.80		120	7.94		690	45.63		66	4.37		518	34.26					1512	
	THIRD			5	7.58		10	15.15		21	31.82			Excluded		30	45.45					66	
		TOTAL		123	8.13		130	8.60		711	47.02					548	36.24					1512	
	FOURTH				Excluded		83	67.48		21	17.07					19	15.45					123	
		TOTAL					213	14.09		732	48.41					567	37.50					1512	
	FIFTH							Excluded		151	70.89					62	29.11					213	
		TOTAL								883	58.40					629	41.60					1512	
										Elected													
																							
Menora                                                         																							
	FIRST			15	3.99		10	2.66		160	42.55		11	2.93		178	47.34		2	0.53		376	
	SECOND			0	0.00		0	0.00		1	50.00		1	50.00		0	0.00			Excluded		2	
		TOTAL		15	3.99		10	2.66		161	42.82		12	3.19		178	47.34					376	
	THIRD			0	0.00		1	8.33		4	33.33			Excluded		7	58.33					12	
		TOTAL		15	3.99		11	2.93		165	43.88					185	49.20					376	
	FOURTH				Excluded		11	73.33		2	13.33					2	13.33					15	
		TOTAL					22	5.85		167	44.41					187	49.73					376	
	FIFTH							Excluded		20	90.91					2	9.09					22	
		TOTAL								187	49.73					189	50.27					376	
										Elected													
																							
Menora South                                                   																							
	FIRST			42	5.06		43	5.18		255	30.72		15	1.81		472	56.87		3	0.36		830	
	SECOND			1	33.33		0	0.00		0	0.00		1	33.33		1	33.33			Excluded		3	
		TOTAL		43	5.18		43	5.18		255	30.72		16	1.93		473	56.99					830	
	THIRD			3	18.75		3	18.75		2	12.50			Excluded		8	50.00					16	
		TOTAL		46	5.54		46	5.54		257	30.96					481	57.95					830	
	FOURTH				Excluded		32	69.57		7	15.22					7	15.22					46	
		TOTAL					78	9.40		264	31.81					488	58.80					830	
	FIFTH							Excluded		59	75.64					19	24.36					78	
		TOTAL								323	38.92					507	61.08					830	
										Elected													
																							
Mercy Hospital                                                 																							
	FIRST			30	7.03		39	9.13		163	38.17		13	3.04		176	41.22		6	1.41		427	
	SECOND			1	16.67		2	33.33		0	0.00		2	33.33		1	16.67			Excluded		6	
		TOTAL		31	7.26		41	9.60		163	38.17		15	3.51		177	41.45					427	
	THIRD			1	6.67		3	20.00		6	40.00			Excluded		5	33.33					15	
		TOTAL		32	7.49		44	10.30		169	39.58					182	42.62					427	
	FOURTH				Excluded		23	71.88		6	18.75					3	9.38					32	
		TOTAL					67	15.69		175	40.98					185	43.33					427	
	FIFTH							Excluded		44	65.67					23	34.33					67	
		TOTAL								219	51.29					208	48.71					427	
										Elected													
																							
Morley                                                         																							
	FIRST			142	6.37		119	5.34		1077	48.30		95	4.26		779	34.93		18	0.81		2230	
	SECOND			4	22.22		6	33.33		2	11.11		0	0.00		6	33.33			Excluded		18	
		TOTAL		146	6.55		125	5.61		1079	48.39		95	4.26		785	35.20					2230	
	THIRD			14	14.74		20	21.05		24	25.26			Excluded		37	38.95					95	
		TOTAL		160	7.17		145	6.50		1103	49.46					822	36.86					2230	
	FOURTH				Excluded		105	65.63		36	22.50					19	11.88					160	
		TOTAL					250	11.21		1139	51.08					841	37.71					2230	
	FIFTH							Excluded		187	74.80					63	25.20					250	
		TOTAL								1326	59.46					904	40.54					2230	
										Elected													
																							
Morley North                                                   																							
	FIRST			58	6.42		30	3.32		389	43.03		52	5.75		365	40.38		10	1.11		904	
	SECOND			4	40.00		3	30.00		0	0.00		1	10.00		2	20.00			Excluded		10	
		TOTAL		62	6.86		33	3.65		389	43.03		53	5.86		367	40.60					904	
	THIRD			8	15.09		11	20.75		12	22.64			Excluded		22	41.51					53	
		TOTAL		70	7.74		44	4.87		401	44.36					389	43.03					904	
	FOURTH				Excluded		48	68.57		15	21.43					7	10.00					70	
		TOTAL					92	10.18		416	46.02					396	43.81					904	
	FIFTH							Excluded		67	72.83					25	27.17					92	
		TOTAL								483	53.43					421	46.57					904	
										Elected													
																							
Morley South                                                   																							
	FIRST			168	5.79		117	4.03		1516	52.24		148	5.10		943	32.49		10	0.34		2902	
	SECOND			2	20.00		2	20.00		2	20.00		1	10.00		3	30.00			Excluded		10	
		TOTAL		170	5.86		119	4.10		1518	52.31		149	5.13		946	32.60					2902	
	THIRD			26	17.45		30	20.13		44	29.53			Excluded		49	32.89					149	
		TOTAL		196	6.75		149	5.13		1562	53.82					995	34.29					2902	
	FOURTH				Excluded		114	58.16		53	27.04					29	14.80					196	
		TOTAL					263	9.06		1615	55.65					1024	35.29					2902	
	FIFTH							Excluded		182	69.20					81	30.80					263	
		TOTAL								1797	61.92					1105	38.08					2902	
										Elected													
																							
Mount Lawley                                                   																							
	FIRST			231	8.99		283	11.02		940	36.59		68	2.65		1031	40.13		16	0.62		2569	
	SECOND			3	18.75		7	43.75		0	0.00		2	12.50		4	25.00			Excluded		16	
		TOTAL		234	9.11		290	11.29		940	36.59		70	2.72		1035	40.29					2569	
	THIRD			2	2.86		20	28.57		18	25.71			Excluded		30	42.86					70	
		TOTAL		236	9.19		310	12.07		958	37.29					1065	41.46					2569	
	FOURTH				Excluded		149	63.14		48	20.34					39	16.53					236	
		TOTAL					459	17.87		1006	39.16					1104	42.97					2569	
	FIFTH							Excluded		377	82.14					82	17.86					459	
		TOTAL								1383	53.83					1186	46.17					2569	
										Elected													
																							
Mount Lawley East                                              																							
	FIRST			49	6.87		74	10.38		280	39.27		13	1.82		290	40.67		7	0.98		713	
	SECOND			2	28.57		3	42.86		2	28.57		0	0.00		0	0.00			Excluded		7	
		TOTAL		51	7.15		77	10.80		282	39.55		13	1.82		290	40.67					713	
	THIRD			3	23.08		3	23.08		2	15.38			Excluded		5	38.46					13	
		TOTAL		54	7.57		80	11.22		284	39.83					295	41.37					713	
	FOURTH				Excluded		34	62.96		10	18.52					10	18.52					54	
		TOTAL					114	15.99		294	41.23					305	42.78					713	
	FIFTH							Excluded		87	76.32					27	23.68					114	
		TOTAL								381	53.44					332	46.56					713	
										Elected													
																							
Mount Lawley South                                             																							
	FIRST			70	11.06		86	13.59		275	43.44		19	3.00		179	28.28		4	0.63		633	
	SECOND			0	0.00		3	75.00		0	0.00		0	0.00		1	25.00			Excluded		4	
		TOTAL		70	11.06		89	14.06		275	43.44		19	3.00		180	28.44					633	
	THIRD			2	10.53		4	21.05		4	21.05			Excluded		9	47.37					19	
		TOTAL		72	11.37		93	14.69		279	44.08					189	29.86					633	
	FOURTH				Excluded		34	47.22		24	33.33					14	19.44					72	
		TOTAL					127	20.06		303	47.87					203	32.07					633	
	FIFTH							Excluded		104	81.89					23	18.11					127	
		TOTAL								407	64.30					226	35.70					633	
										Elected													
																							
Mount Lawley West                                              																							
	FIRST			45	7.72		71	12.18		279	47.86		9	1.54		175	30.02		4	0.69		583	
	SECOND			2	50.00		1	25.00		0	0.00		1	25.00		0	0.00			Excluded		4	
		TOTAL		47	8.06		72	12.35		279	47.86		10	1.72		175	30.02					583	
	THIRD			1	10.00		2	20.00		3	30.00			Excluded		4	40.00					10	
		TOTAL		48	8.23		74	12.69		282	48.37					179	30.70					583	
	FOURTH				Excluded		32	66.67		10	20.83					6	12.50					48	
		TOTAL					106	18.18		292	50.09					185	31.73					583	
	FIFTH							Excluded		94	88.68					12	11.32					106	
		TOTAL								386	66.21					197	33.79					583	
										Elected													
																							
Noranda West (Perth)                                           																							
	FIRST			34	6.98		19	3.90		219	44.97		16	3.29		194	39.84		5	1.03		487	
	SECOND			2	40.00		2	40.00		1	20.00		0	0.00		0	0.00			Excluded		5	
		TOTAL		36	7.39		21	4.31		220	45.17		16	3.29		194	39.84					487	
	THIRD			3	18.75		3	18.75		2	12.50			Excluded		8	50.00					16	
		TOTAL		39	8.01		24	4.93		222	45.59					202	41.48					487	
	FOURTH				Excluded		25	64.10		10	25.64					4	10.26					39	
		TOTAL					49	10.06		232	47.64					206	42.30					487	
	FIFTH							Excluded		32	65.31					17	34.69					49	
		TOTAL								264	54.21					223	45.79					487	
										Elected													
																							
North Perth                                                    																							
	FIRST			59	7.31		53	6.57		370	45.85		19	2.35		304	37.67		2	0.25		807	
	SECOND			2	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		61	7.56		53	6.57		370	45.85		19	2.35		304	37.67					807	
	THIRD			0	0.00		3	15.79		2	10.53			Excluded		14	73.68					19	
		TOTAL		61	7.56		56	6.94		372	46.10					318	39.41					807	
	FOURTH				Excluded		31	50.82		18	29.51					12	19.67					61	
		TOTAL					87	10.78		390	48.33					330	40.89					807	
	FIFTH							Excluded		67	77.01					20	22.99					87	
		TOTAL								457	56.63					350	43.37					807	
										Elected													
																							
North Perth Central                                            																							
	FIRST			150	7.67		195	9.97		988	50.51		29	1.48		574	29.35		20	1.02		1956	
	SECOND			4	20.00		6	30.00		4	20.00		0	0.00		6	30.00			Excluded		20	
		TOTAL		154	7.87		201	10.28		992	50.72		29	1.48		580	29.65					1956	
	THIRD			0	0.00		6	20.69		11	37.93			Excluded		12	41.38					29	
		TOTAL		154	7.87		207	10.58		1003	51.28					592	30.27					1956	
	FOURTH				Excluded		103	66.88		34	22.08					17	11.04					154	
		TOTAL					310	15.85		1037	53.02					609	31.13					1956	
	FIFTH							Excluded		240	77.42					70	22.58					310	
		TOTAL								1277	65.29					679	34.71					1956	
										Elected													
																							
Northbridge                                                    																							
	FIRST			18	9.89		31	17.03		76	41.76		7	3.85		48	26.37		2	1.10		182	
	SECOND			1	50.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		19	10.44		32	17.58		76	41.76		7	3.85		48	26.37					182	
	THIRD			1	14.29		0	0.00		4	57.14			Excluded		2	28.57					7	
		TOTAL		20	10.99		32	17.58		80	43.96					50	27.47					182	
	FOURTH				Excluded		12	60.00		4	20.00					4	20.00					20	
		TOTAL					44	24.18		84	46.15					54	29.67					182	
	FIFTH							Excluded		35	79.55					9	20.45					44	
		TOTAL								119	65.38					63	34.62					182	
										Elected													
																							
Perth (Perth)                                                  																							
	FIRST			83	11.96		89	12.82		286	41.21		25	3.60		205	29.54		6	0.86		694	
	SECOND			2	33.33		4	66.67		0	0.00		0	0.00		0	0.00			Excluded		6	
		TOTAL		85	12.25		93	13.40		286	41.21		25	3.60		205	29.54					694	
	THIRD			5	20.00		6	24.00		2	8.00			Excluded		12	48.00					25	
		TOTAL		90	12.97		99	14.27		288	41.50					217	31.27					694	
	FOURTH				Excluded		45	50.00		34	37.78					11	12.22					90	
		TOTAL					144	20.75		322	46.40					228	32.85					694	
	FIFTH							Excluded		115	79.86					29	20.14					144	
		TOTAL								437	62.97					257	37.03					694	
										Elected													
																							
Rottnest (Perth)                                               																							
	FIRST			5	7.14		8	11.43		19	27.14		1	1.43		36	51.43		1	1.43		70	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		5	7.14		9	12.86		19	27.14		1	1.43		36	51.43					70	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		1	100.00					1	
		TOTAL		5	7.14		9	12.86		19	27.14					37	52.86					70	
