Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Curtin (82561)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
	Doubleview (Curtin)		3	0.47		2	0.31		1	0.16		5	0.78		1	0.16		334	52.27		11	1.72		0	0.00		19	2.97		9	1.41		0	0.00		4	0.63		0	0.00		0	0.00		61	9.55		143	22.38		45	7.04		1	0.16		639	96.67		22	3.33		661	0.84
	Floreat		6	0.29		5	0.24		3	0.14		10	0.48		2	0.10		1136	54.51		152	7.29		1	0.05		50	2.40		62	2.98		0	0.00		5	0.24		1	0.05		1	0.05		148	7.10		365	17.51		135	6.48		2	0.10		2084	97.93		44	2.07		2128	2.70
	Floreat East		9	0.55		7	0.43		0	0.00		18	1.11		1	0.06		864	53.27		62	3.82		1	0.06		47	2.90		35	2.16		1	0.06		7	0.43		0	0.00		3	0.18		94	5.80		344	21.21		129	7.95		0	0.00		1622	98.42		26	1.58		1648	2.09
	Graylands		12	0.43		8	0.29		2	0.07		21	0.75		2	0.07		1493	53.61		131	4.70		3	0.11		84	3.02		91	3.27		2	0.07		11	0.39		2	0.07		9	0.32		212	7.61		528	18.96		172	6.18		2	0.07		2785	95.74		124	4.26		2909	3.69
	Jolimont		3	0.23		3	0.23		0	0.00		5	0.39		0	0.00		559	43.54		68	5.30		2	0.16		39	3.04		45	3.50		0	0.00		3	0.23		2	0.16		3	0.23		113	8.80		308	23.99		128	9.97		3	0.23		1284	96.25		50	3.75		1334	1.69
	Joondanna		9	0.53		2	0.12		0	0.00		16	0.95		1	0.06		653	38.64		21	1.24		1	0.06		73	4.32		23	1.36		2	0.12		13	0.77		2	0.12		11	0.65		111	6.57		620	36.69		131	7.75		1	0.06		1690	95.16		86	4.84		1776	2.25
	King Edward Memorial Hospital		0	0.00		0	0.00		0	0.00		4	0.91		0	0.00		198	45.00		12	2.73		1	0.23		5	1.14		7	1.59		0	0.00		2	0.45		0	0.00		2	0.45		37	8.41		124	28.18		48	10.91		0	0.00		440	96.92		14	3.08		454	0.58
	Leederville		4	0.40		2	0.20		1	0.10		6	0.60		0	0.00		351	35.14		9	0.90		0	0.00		19	1.90		11	1.10		0	0.00		4	0.40		3	0.30		7	0.70		146	14.61		311	31.13		124	12.41		1	0.10		999	95.87		43	4.13		1042	1.32
	Leederville North		7	0.57		2	0.16		1	0.08		7	0.57		3	0.24		448	36.39		19	1.54		2	0.16		19	1.54		16	1.30		1	0.08		10	0.81		0	0.00		16	1.30		135	10.97		425	34.52		120	9.75		0	0.00		1231	93.47		86	6.53		1317	1.67
	Leederville West		4	0.22		4	0.22		0	0.00		19	1.05		1	0.06		769	42.67		95	5.27		1	0.06		26	1.44		55	3.05		1	0.06		8	0.44		2	0.11		10	0.55		162	8.99		457	25.36		186	10.32		2	0.11		1802	96.47		66	3.53		1868	2.37
	Mosman Park		19	0.80		7	0.29		0	0.00		20	0.84		2	0.08		1023	42.84		79	3.31		1	0.04		93	3.89		51	2.14		1	0.04		13	0.54		0	0.00		13	0.54		175	7.33		631	26.42		258	10.80		2	0.08		2388	96.72		81	3.28		2469	3.13
	Mosman Park South		4	0.47		1	0.12		1	0.12		9	1.06		0	0.00		421	49.59		53	6.24		0	0.00		36	4.24		13	1.53		0	0.00		4	0.47		0	0.00		3	0.35		38	4.48		204	24.03		61	7.18		1	0.12		849	95.82		37	4.18		886	1.12
	Mount Hawthorn		5	0.28		0	0.00		1	0.06		13	0.73		0	0.00		634	35.76		27	1.52		1	0.06		34	1.92		17	0.96		1	0.06		9	0.51		1	0.06		13	0.73		175	9.87		642	36.21		199	11.22		1	0.06		1773	94.76		98	5.24		1871	2.37
	Mount Hawthorn East		5	0.45		0	0.00		0	0.00		11	0.99		0	0.00		426	38.38		14	1.26		0	0.00		26	2.34		15	1.35		1	0.09		8	0.72		2	0.18		6	0.54		101	9.10		384	34.59		111	10.00		0	0.00		1110	94.31		67	5.69		1177	1.49
	Mount Hawthorn West		3	0.35		0	0.00		1	0.12		5	0.59		0	0.00		317	37.43		12	1.42		1	0.12		36	4.25		5	0.59		0	0.00		6	0.71		0	0.00		7	0.83		82	9.68		299	35.30		73	8.62		0	0.00		847	94.43		50	5.57		897	1.14
	Nedlands Central		1	0.16		1	0.16		0	0.00		7	1.15		0	0.00		225	37.07		29	4.78		3	0.49		18	2.97		20	3.29		0	0.00		0	0.00		0	0.00		0	0.00		80	13.18		129	21.25		92	15.16		2	0.33		607	99.02		6	0.98		613	0.78
	Nedlands East		4	0.29		0	0.00		0	0.00		7	0.50		0	0.00		775	55.32		84	6.00		2	0.14		28	2.00		59	4.21		0	0.00		5	0.36		1	0.07		2	0.14		107	7.64		199	14.20		126	8.99		2	0.14		1401	97.29		39	2.71		1440	1.83
	Nedlands North		2	0.15		3	0.22		0	0.00		5	0.37		0	0.00		615	45.96		59	4.41		1	0.07		16	1.20		70	5.23		0	0.00		1	0.07		1	0.07		2	0.15		130	9.72		264	19.73		168	12.56		1	0.07		1338	98.24		24	1.76		1362	1.73
	Nedlands South		3	0.16		3	0.16		0	0.00		22	1.17		1	0.05		935	49.55		114	6.04		3	0.16		32	1.70		78	4.13		1	0.05		5	0.26		0	0.00		2	0.11		179	9.49		340	18.02		168	8.90		1	0.05		1887	98.33		32	1.67		1919	2.43
	Peppermint Grove		1	0.21		1	0.21		0	0.00		6	1.24		0	0.00		318	65.70		36	7.44		0	0.00		12	2.48		13	2.69		0	0.00		0	0.00		0	0.00		0	0.00		14	2.89		49	10.12		34	7.02		0	0.00		484	97.58		12	2.42		496	0.63
	Perth (Curtin)		0	0.00		0	0.00		0	0.00		2	0.83		0	0.00		78	32.37		3	1.24		2	0.83		10	4.15		3	1.24		1	0.41		1	0.41		1	0.41		1	0.41		33	13.69		69	28.63		37	15.35		0	0.00		241	97.18		7	2.82		248	0.31
	Rottnest (Curtin)		1	0.48		0	0.00		0	0.00		1	0.48		0	0.00		119	56.94		6	2.87		0	0.00		2	0.96		7	3.35		0	0.00		1	0.48		0	0.00		0	0.00		14	6.70		39	18.66		19	9.09		0	0.00		209	98.58		3	1.42		212	0.27
	Shenton Park East		1	0.12		3	0.37		1	0.12		8	0.98		1	0.12		339	41.39		26	3.17		0	0.00		16	1.95		24	2.93		0	0.00		5	0.61		0	0.00		1	0.12		87	10.62		186	22.71		120	14.65		1	0.12		819	98.08		16	1.92		835	1.06
	Shenton Park West		8	0.55		2	0.14		0	0.00		6	0.41		0	0.00		537	36.96		97	6.68		0	0.00		26	1.79		56	3.85		0	0.00		4	0.28		2	0.14		0	0.00		152	10.46		347	23.88		213	14.66		3	0.21		1453	97.39		39	2.61		1492	1.89
	Sir Charles Gairdner Hospital		1	0.61		0	0.00		0	0.00		1	0.61		0	0.00		60	36.81		13	7.98		2	1.23		4	2.45		3	1.84		0	0.00		1	0.61		1	0.61		0	0.00		14	8.59		44	26.99		19	11.66		0	0.00		163	97.02		5	2.98		168	0.21
	Subiaco		7	0.28		4	0.16		1	0.04		13	0.53		1	0.04		1051	42.57		94	3.81		3	0.12		62	2.51		87	3.52		0	0.00		10	0.41		2	0.08		6	0.24		265	10.73		551	22.32		308	12.47		4	0.16		2469	97.70		58	2.30		2527	3.21
	Subiaco North		3	0.65		1	0.22		2	0.43		3	0.65		0	0.00		175	38.04		16	3.48		0	0.00		14	3.04		9	1.96		0	0.00		3	0.65		5	1.09		1	0.22		61	13.26		115	25.00		52	11.30		0	0.00		460	97.46		12	2.54		472	0.60
	Swanbourne		3	0.18		1	0.06		2	0.12		8	0.48		0	0.00		879	53.02		105	6.33		1	0.06		48	2.90		60	3.62		0	0.00		5	0.30		1	0.06		1	0.06		144	8.69		259	15.62		141	8.50		0	0.00		1658	97.53		42	2.47		1700	2.16
	Tuart Hill (Curtin)		0	0.00		0	0.00		0	0.00		1	0.46		0	0.00		80	36.53		3	1.37		1	0.46		2	0.91		3	1.37		0	0.00		2	0.91		0	0.00		3	1.37		17	7.76		78	35.62		29	13.24		0	0.00		219	95.22		11	4.78		230	0.29
	Wembley Central		4	0.51		1	0.13		1	0.13		7	0.89		0	0.00		415	52.73		27	3.43		0	0.00		37	4.70		11	1.40		0	0.00		5	0.64		0	0.00		2	0.25		52	6.61		168	21.35		56	7.12		1	0.13		787	97.28		22	2.72		809	1.03
	Wembley Downs		6	0.26		7	0.30		0	0.00		52	2.24		4	0.17		1205	51.89		73	3.14		1	0.04		87	3.75		66	2.84		0	0.00		8	0.34		2	0.09		0	0.00		168	7.24		452	19.47		187	8.05		4	0.17		2322	97.15		68	2.85		2390	3.03
	Wembley North		7	0.39		2	0.11		2	0.11		14	0.77		4	0.22		754	41.50		29	1.60		0	0.00		76	4.18		17	0.94		1	0.06		21	1.16		3	0.17		13	0.72		160	8.81		574	31.59		138	7.59		2	0.11		1817	96.60		64	3.40		1881	2.39
	Wembley South		4	0.65		3	0.49		0	0.00		6	0.97		0	0.00		314	50.97		43	6.98		0	0.00		13	2.11		5	0.81		0	0.00		2	0.32		0	0.00		0	0.00		48	7.79		126	20.45		51	8.28		1	0.16		616	96.25		24	3.75		640	0.81
	Wembley West		13	0.58		3	0.13		0	0.00		33	1.48		0	0.00		982	44.00		59	2.64		0	0.00		61	2.73		50	2.24		2	0.09		12	0.54		0	0.00		8	0.36		243	10.89		588	26.34		176	7.89		2	0.09		2232	97.85		49	2.15		2281	2.89
	West Perth (Curtin)		0	0.00		2	0.38		0	0.00		5	0.94		1	0.19		187	35.08		7	1.31		0	0.00		8	1.50		13	2.44		0	0.00		6	1.13		1	0.19		5	0.94		67	12.57		171	32.08		59	11.07		1	0.19		533	95.86		23	4.14		556	0.71
	West Perth Central		2	0.52		0	0.00		1	0.26		0	0.00		1	0.26		187	49.08		30	7.87		0	0.00		8	2.10		9	2.36		0	0.00		2	0.52		0	0.00		2	0.52		28	7.35		81	21.26		29	7.61		1	0.26		381	95.25		19	4.75		400	0.51
	Woodlands		11	0.49		2	0.09		1	0.04		34	1.52		2	0.09		1204	53.99		53	2.38		2	0.09		78	3.50		67	3.00		0	0.00		5	0.22		0	0.00		9	0.40		143	6.41		479	21.48		136	6.10		4	0.18		2230	96.62		78	3.38		2308	2.93
	Woodlands North		4	0.52		0	0.00		0	0.00		12	1.55		0	0.00		395	51.17		24	3.11		0	0.00		40	5.18		13	1.68		0	0.00		4	0.52		0	0.00		3	0.39		42	5.44		186	24.09		49	6.35		0	0.00		772	95.66		35	4.34		807	1.02
	Special Hospitals		9	0.70		0	0.00		2	0.15		11	0.85		2	0.15		888	68.62		11	0.85		0	0.00		34	2.63		24	1.85		0	0.00		12	0.93		0	0.00		9	0.70		30	2.32		242	18.70		20	1.55		0	0.00		1294	93.90		84	6.10		1378	1.75
	Total Ordinary		233	0.37		106	0.17		28	0.04		531	0.83		35	0.05		31402	49.25		2825	4.43		49	0.08		1704	2.67		1803	2.83		15	0.02		265	0.42		39	0.06		201	0.32		5075	7.96		13803	21.65		5591	8.77		60	0.09		63765	96.85		2073	3.15		65838	83.51
	ABSENT		21	0.38		7	0.13		1	0.02		54	0.98		4	0.07		2460	44.83		156	2.84		8	0.15		160	2.92		117	2.13		4	0.07		23	0.42		6	0.11		17	0.31		491	8.95		1288	23.47		668	12.17		3	0.05		5488	98.53		82	1.47		5570	7.07
	POSTAL		5	0.17		5	0.17		3	0.10		18	0.62		3	0.10		1640	56.57		99	3.41		5	0.17		95	3.28		66	2.28		0	0.00		9	0.31		0	0.00		9	0.31		174	6.00		607	20.94		158	5.45		3	0.10		2899	99.28		21	0.72		2920	3.70
	PRE_POLL		6	0.16		4	0.11		5	0.13		17	0.45		2	0.05		1943	51.54		111	2.94		5	0.13		96	2.55		106	2.81		1	0.03		11	0.29		0	0.00		15	0.40		346	9.18		756	20.05		344	9.12		2	0.05		3770	98.95		40	1.05		3810	4.83
	PROVISIONAL		5	0.74		0	0.00		1	0.15		3	0.45		1	0.15		297	44.13		13	1.93		0	0.00		6	0.89		13	1.93		1	0.15		3	0.45		0	0.00		2	0.30		72	10.70		168	24.96		88	13.08		0	0.00		673	96.42		25	3.58		698	0.89
	Division Summary		270	0.35		122	0.16		38	0.05		623	0.81		45	0.06		37742	49.27		3204	4.18		67	0.09		2061	2.69		2105	2.75		21	0.03		311	0.41		45	0.06		244	0.32		6158	8.04		16622	21.7		6849	8.94		68	0.09		76595	97.16		2241	2.84		78836	95.49
