Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Tangney (82972)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
	Bull Creek North		19	1.51		1	0.08		0	0.00		11	0.88		1	0.08		683	54.34		36	2.86		0	0.00		67	5.33		12	0.95		1	0.08		2	0.16		0	0.00		10	0.80		60	4.77		305	24.26		49	3.90		0	0.00		1257	96.03		52	3.97		1309	1.65
	Ferndale		1	0.11		15	1.62		2	0.22		10	1.08		0	0.00		350	37.88		14	1.52		0	0.00		56	6.06		4	0.43		0	0.00		5	0.54		0	0.00		8	0.87		68	7.36		355	38.42		35	3.79		1	0.11		924	94.48		54	5.52		978	1.23
	Ferndale East		8	0.51		5	0.32		2	0.13		27	1.72		1	0.06		588	37.55		15	0.96		2	0.13		95	6.07		16	1.02		1	0.06		5	0.32		1	0.06		11	0.70		103	6.58		607	38.76		78	4.98		1	0.06		1566	96.25		61	3.75		1627	2.05
	Kardinya (Tangney)		5	0.30		7	0.42		0	0.00		23	1.37		1	0.06		653	38.85		27	1.61		2	0.12		72	4.28		29	1.73		0	0.00		9	0.54		1	0.06		14	0.83		98	5.83		662	39.38		75	4.46		3	0.18		1681	96.72		57	3.28		1738	2.19
	Langford		16	0.82		0	0.00		4	0.21		43	2.21		1	0.05		447	22.97		12	0.62		0	0.00		139	7.14		8	0.41		3	0.15		7	0.36		0	0.00		23	1.18		95	4.88		1056	54.27		89	4.57		3	0.15		1946	94.88		105	5.12		2051	2.58
	Leeming		6	0.26		10	0.43		1	0.04		26	1.12		3	0.13		1122	48.47		58	2.51		5	0.22		89	3.84		18	0.78		2	0.09		5	0.22		0	0.00		10	0.43		170	7.34		687	29.68		97	4.19		6	0.26		2315	97.51		59	2.49		2374	2.99
	Leeming East		7	0.38		9	0.49		1	0.05		23	1.26		1	0.05		977	53.45		49	2.68		10	0.55		65	3.56		20	1.09		0	0.00		4	0.22		1	0.05		6	0.33		126	6.89		463	25.33		62	3.39		4	0.22		1828	96.87		59	3.13		1887	2.37
	Leeming West		8	0.38		6	0.28		0	0.00		33	1.56		4	0.19		1082	51.18		35	1.66		3	0.14		55	2.60		20	0.95		1	0.05		4	0.19		0	0.00		5	0.24		166	7.85		583	27.58		102	4.82		7	0.33		2114	97.24		60	2.76		2174	2.74
	Lynwood		3	0.23		0	0.00		1	0.08		24	1.86		2	0.16		489	37.94		11	0.85		1	0.08		86	6.67		18	1.40		0	0.00		6	0.47		0	0.00		11	0.85		92	7.14		476	36.93		68	5.28		1	0.08		1289	96.12		52	3.88		1341	1.69
	Melville (Tangney)		2	0.22		0	0.00		0	0.00		10	1.11		0	0.00		409	45.60		9	1.00		0	0.00		42	4.68		14	1.56		0	0.00		2	0.22		0	0.00		8	0.89		80	8.92		261	29.10		60	6.69		0	0.00		897	97.29		25	2.71		922	1.16
	Melville East		5	0.24		1	0.05		0	0.00		10	0.47		0	0.00		948	44.80		48	2.27		3	0.14		94	4.44		35	1.65		0	0.00		4	0.19		0	0.00		12	0.57		163	7.70		637	30.10		155	7.33		1	0.05		2116	95.53		99	4.47		2215	2.79
	Melville South		6	0.61		0	0.00		0	0.00		7	0.72		0	0.00		462	47.34		12	1.23		1	0.10		50	5.12		14	1.43		1	0.10		3	0.31		0	0.00		3	0.31		70	7.17		295	30.23		51	5.23		1	0.10		976	96.54		35	3.46		1011	1.27
	Mt Pleasant		7	0.26		9	0.33		0	0.00		25	0.91		7	0.26		1553	56.66		74	2.70		3	0.11		91	3.32		49	1.79		0	0.00		4	0.15		0	0.00		4	0.15		179	6.53		551	20.10		183	6.68		2	0.07		2741	97.23		78	2.77		2819	3.55
	Parkwood		19	0.49		9	0.23		2	0.05		63	1.61		0	0.00		1402	35.93		32	0.82		13	0.33		162	4.15		24	0.62		1	0.03		11	0.28		1	0.03		31	0.79		280	7.18		1662	42.59		186	4.77		4	0.10		3902	96.94		123	3.06		4025	5.06
	Perth (Tangney)		0	0.00		0	0.00		0	0.00		2	1.75		0	0.00		47	41.23		1	0.88		0	0.00		2	1.75		5	4.39		0	0.00		0	0.00		1	0.88		0	0.00		13	11.40		36	31.58		7	6.14		0	0.00		114	96.61		4	3.39		118	0.15
	Riverton		8	0.38		8	0.38		0	0.00		38	1.82		0	0.00		925	44.39		62	2.98		1	0.05		91	4.37		17	0.82		0	0.00		1	0.05		0	0.00		12	0.58		133	6.38		669	32.10		115	5.52		4	0.19		2084	96.48		76	3.52		2160	2.72
	Rossmoyne		18	0.92		6	0.31		0	0.00		38	1.94		1	0.05		1068	54.66		61	3.12		6	0.31		48	2.46		25	1.28		0	0.00		1	0.05		0	0.00		8	0.41		121	6.19		442	22.62		105	5.37		6	0.31		1954	97.07		59	2.93		2013	2.53
	Rottnest (Tangney)		1	0.60		3	1.79		0	0.00		0	0.00		0	0.00		97	57.74		1	0.60		0	0.00		2	1.19		6	3.57		0	0.00		1	0.60		0	0.00		0	0.00		6	3.57		43	25.60		8	4.76		0	0.00		168	94.38		10	5.62		178	0.22
	Shelley		4	0.25		20	1.26		1	0.06		17	1.07		2	0.13		871	54.71		28	1.76		1	0.06		58	3.64		21	1.32		0	0.00		1	0.06		0	0.00		4	0.25		118	7.41		361	22.68		81	5.09		4	0.25		1592	97.31		44	2.69		1636	2.06
	Willetton		6	0.21		19	0.67		2	0.07		63	2.22		4	0.14		1335	47.01		52	1.83		1	0.04		101	3.56		20	0.70		0	0.00		2	0.07		0	0.00		15	0.53		204	7.18		870	30.63		144	5.07		2	0.07		2840	97.53		72	2.47		2912	3.66
	Willetton East		13	0.39		18	0.54		3	0.09		81	2.41		2	0.06		1374	40.89		38	1.13		9	0.27		138	4.11		24	0.71		1	0.03		11	0.33		0	0.00		15	0.45		247	7.35		1259	37.47		126	3.75		1	0.03		3360	96.50		122	3.50		3482	4.38
	Willetton North		7	0.51		5	0.37		0	0.00		22	1.61		1	0.07		614	44.95		25	1.83		2	0.15		84	6.15		19	1.39		1	0.07		0	0.00		0	0.00		7	0.51		92	6.73		428	31.33		59	4.32		0	0.00		1366	95.46		65	4.54		1431	1.80
	Willetton South		21	0.66		11	0.35		1	0.03		58	1.83		4	0.13		1334	42.19		87	2.75		15	0.47		114	3.61		30	0.95		2	0.06		3	0.09		2	0.06		18	0.57		262	8.29		1039	32.86		157	4.97		4	0.13		3162	97.38		85	2.62		3247	4.09
	Winthrop		12	0.31		41	1.07		1	0.03		51	1.33		1	0.03		1837	47.75		199	5.17		33	0.86		82	2.13		37	0.96		2	0.05		4	0.10		1	0.03		18	0.47		262	6.81		1095	28.46		151	3.93		20	0.52		3847	97.37		104	2.63		3951	4.97
	Special Hospitals		2	0.36		0	0.00		5	0.90		4	0.72		0	0.00		345	61.94		10	1.80		1	0.18		23	4.13		10	1.80		0	0.00		5	0.90		0	0.00		2	0.36		13	2.33		130	23.34		7	1.26		0	0.00		557	94.41		33	5.59		590	0.74
	Total Ordinary		278	0.43		289	0.44		33	0.05		897	1.37		51	0.08		30983	47.40		1722	2.63		155	0.24		2579	3.95		820	1.25		24	0.04		128	0.20		11	0.02		312	0.48		4512	6.90		19244	29.44		3227	4.94		98	0.15		65363	96.78		2175	3.22		67538	84.97
	ABSENT		9	0.15		16	0.27		9	0.15		65	1.11		3	0.05		2599	44.19		110	1.87		8	0.14		311	5.29		96	1.63		3	0.05		14	0.24		1	0.02		30	0.51		473	8.04		1715	29.16		411	6.99		9	0.15		5882	98.21		107	1.79		5989	7.54
	POSTAL		5	0.24		6	0.29		1	0.05		27	1.29		1	0.05		1142	54.54		36	1.72		1	0.05		119	5.68		24	1.15		0	0.00		3	0.14		1	0.05		7	0.33		104	4.97		545	26.03		70	3.34		2	0.10		2094	98.63		29	1.37		2123	2.67
	PRE_POLL		6	0.18		6	0.18		2	0.06		23	0.69		1	0.03		1620	48.69		57	1.71		10	0.30		139	4.18		49	1.47		2	0.06		8	0.24		1	0.03		10	0.30		239	7.18		984	29.58		166	4.99		4	0.12		3327	98.84		39	1.16		3366	4.24
	PROVISIONAL		2	0.45		1	0.22		0	0.00		4	0.89		0	0.00		195	43.53		4	0.89		2	0.45		19	4.24		4	0.89		0	0.00		2	0.45		0	0.00		6	1.34		36	8.04		149	33.26		24	5.36		0	0.00		448	96.55		16	3.45		464	0.58
	Division Summary		300	0.39		318	0.41		45	0.06		1016	1.32		56	0.07		36539	47.38		1929	2.5		176	0.23		3167	4.11		993	1.29		29	0.04		155	0.2		14	0.02		365	0.47		5364	6.96		22637	29.36		3898	5.05		113	0.15		77114	97.02		2366	2.98		79480	95.79
