Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Hasluck (78418)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
	Guildford		3	0.25		1	0.08		1	0.08		12	0.99		1	0.08		477	39.39		20	1.65		0	0.00		62	5.12		16	1.32		0	0.00		6	0.50		1	0.08		13	1.07		113	9.33		368	30.39		117	9.66		0	0.00		1211	95.35		59	4.65		1270	1.69
	Hazelmere		2	0.16		0	0.00		0	0.00		18	1.48		3	0.25		434	35.60		18	1.48		2	0.16		91	7.47		9	0.74		1	0.08		4	0.33		0	0.00		5	0.41		80	6.56		472	38.72		77	6.32		3	0.25		1219	97.36		33	2.64		1252	1.66
	Helena Valley (Hasluck)		4	0.34		0	0.00		0	0.00		24	2.03		1	0.08		521	43.97		22	1.86		0	0.00		72	6.08		16	1.35		0	0.00		2	0.17		0	0.00		6	0.51		85	7.17		372	31.39		59	4.98		1	0.08		1185	98.10		23	1.90		1208	1.61
	High Wycombe		10	0.41		1	0.04		1	0.04		38	1.56		1	0.04		930	38.29		17	0.70		2	0.08		202	8.32		17	0.70		3	0.12		4	0.16		0	0.00		13	0.54		115	4.73		963	39.65		109	4.49		3	0.12		2429	96.24		95	3.76		2524	3.36
	High Wycombe South		6	0.28		0	0.00		0	0.00		29	1.34		2	0.09		820	37.88		10	0.46		0	0.00		163	7.53		16	0.74		2	0.09		5	0.23		0	0.00		6	0.28		134	6.19		863	39.86		108	4.99		1	0.05		2165	97.00		67	3.00		2232	2.97
	Huntingdale (Hasluck)		4	0.20		1	0.05		0	0.00		43	2.17		2	0.10		694	35.02		15	0.76		1	0.05		144	7.27		16	0.81		1	0.05		3	0.15		0	0.00		11	0.55		135	6.81		837	42.23		75	3.78		0	0.00		1982	97.20		57	2.80		2039	2.71
	Kalamunda		7	0.23		4	0.13		2	0.07		51	1.69		10	0.33		1456	48.31		68	2.26		1	0.03		152	5.04		39	1.29		1	0.03		5	0.17		1	0.03		5	0.17		224	7.43		760	25.22		224	7.43		4	0.13		3014	97.23		86	2.77		3100	4.12
	Kalamunda North		8	0.50		6	0.38		0	0.00		24	1.51		2	0.13		812	51.17		26	1.64		1	0.06		86	5.42		25	1.58		1	0.06		4	0.25		0	0.00		3	0.19		104	6.55		376	23.69		109	6.87		0	0.00		1587	97.00		49	3.00		1636	2.18
	Kenwick		9	0.39		0	0.00		1	0.04		65	2.79		5	0.21		719	30.87		13	0.56		5	0.21		244	10.48		19	0.82		1	0.04		8	0.34		0	0.00		22	0.94		99	4.25		1017	43.67		99	4.25		3	0.13		2329	96.36		88	3.64		2417	3.21
	Koongamia		2	0.38		0	0.00		0	0.00		8	1.52		0	0.00		130	24.62		5	0.95		0	0.00		41	7.77		5	0.95		0	0.00		4	0.76		0	0.00		5	0.95		18	3.41		266	50.38		43	8.14		1	0.19		528	94.29		32	5.71		560	0.74
	Lesmurdie		18	0.60		3	0.10		0	0.00		70	2.33		4	0.13		1522	50.62		74	2.46		2	0.07		222	7.38		39	1.30		1	0.03		2	0.07		1	0.03		5	0.17		203	6.75		669	22.25		168	5.59		4	0.13		3007	97.31		83	2.69		3090	4.11
	Maddington		17	0.62		1	0.04		2	0.07		58	2.11		2	0.07		796	29.00		16	0.58		4	0.15		235	8.56		21	0.77		3	0.11		9	0.33		0	0.00		33	1.20		132	4.81		1291	47.03		122	4.44		3	0.11		2745	94.85		149	5.15		2894	3.85
	Maddington East		4	0.43		2	0.21		0	0.00		20	2.13		2	0.21		288	30.61		7	0.74		3	0.32		78	8.29		7	0.74		0	0.00		6	0.64		0	0.00		7	0.74		55	5.84		423	44.95		38	4.04		1	0.11		941	96.61		33	3.39		974	1.29
	Maddington North		2	0.30		0	0.00		0	0.00		1	0.15		0	0.00		229	34.91		7	1.07		0	0.00		61	9.30		10	1.52		0	0.00		2	0.30		0	0.00		4	0.61		26	3.96		290	44.21		24	3.66		0	0.00		656	95.35		32	4.65		688	0.91
	Maida Vale		9	0.37		7	0.28		0	0.00		33	1.34		2	0.08		1283	52.15		39	1.59		1	0.04		157	6.38		31	1.26		0	0.00		5	0.20		0	0.00		5	0.20		167	6.79		611	24.84		109	4.43		1	0.04		2460	96.58		87	3.42		2547	3.39
	Middle Swan		8	0.48		3	0.18		1	0.06		14	0.84		2	0.12		485	28.96		12	0.72		0	0.00		128	7.64		5	0.30		2	0.12		5	0.30		0	0.00		22	1.31		98	5.85		814	48.60		73	4.36		3	0.18		1675	93.58		115	6.42		1790	2.38
	Midland (Hasluck)		12	0.58		0	0.00		3	0.14		31	1.49		5	0.24		589	28.24		17	0.81		2	0.10		145	6.95		15	0.72		2	0.10		12	0.58		2	0.10		40	1.92		135	6.47		947	45.40		128	6.14		1	0.05		2086	93.25		151	6.75		2237	2.97
	Perth (Hasluck)		0	0.00		1	0.85		0	0.00		1	0.85		0	0.00		39	33.05		1	0.85		0	0.00		4	3.39		1	0.85		0	0.00		1	0.85		0	0.00		2	1.69		13	11.02		41	34.75		14	11.86		0	0.00		118	97.52		3	2.48		121	0.16
	Rottnest (Hasluck)		0	0.00		0	0.00		0	0.00		2	5.00		0	0.00		24	60.00		0	0.00		0	0.00		2	5.00		1	2.50		0	0.00		0	0.00		0	0.00		2	5.00		1	2.50		3	7.50		5	12.50		0	0.00		40	100.00		0	0.00		40	0.05
	Swan View (Hasluck)		5	1.74		0	0.00		0	0.00		3	1.04		1	0.35		90	31.25		1	0.35		0	0.00		23	7.99		2	0.69		0	0.00		0	0.00		1	0.35		2	0.69		24	8.33		115	39.93		21	7.29		0	0.00		288	96.00		12	4.00		300	0.40
	Thornlie (Hasluck)		10	0.31		7	0.22		3	0.09		69	2.14		1	0.03		1292	40.04		28	0.87		1	0.03		236	7.31		36	1.12		1	0.03		9	0.28		1	0.03		21	0.65		190	5.89		1204	37.31		116	3.59		2	0.06		3227	96.50		117	3.50		3344	4.45
	Thornlie East		12	0.38		5	0.16		3	0.10		77	2.47		6	0.19		1164	37.28		35	1.12		1	0.03		262	8.39		33	1.06		3	0.10		9	0.29		0	0.00		20	0.64		170	5.45		1207	38.66		113	3.62		2	0.06		3122	96.54		112	3.46		3234	4.30
	Thornlie South (Hasluck)		0	0.00		0	0.00		0	0.00		4	1.98		0	0.00		85	42.08		2	0.99		0	0.00		10	4.95		1	0.50		0	0.00		0	0.00		0	0.00		0	0.00		6	2.97		86	42.57		8	3.96		0	0.00		202	98.54		3	1.46		205	0.27
	Thornlie West		10	0.42		7	0.29		2	0.08		55	2.30		1	0.04		822	34.41		14	0.59		0	0.00		165	6.91		27	1.13		0	0.00		13	0.54		0	0.00		20	0.84		121	5.06		1027	42.99		104	4.35		1	0.04		2389	95.33		117	4.67		2506	3.33
	Walliston (Hasluck)		2	0.16		4	0.31		0	0.00		33	2.58		1	0.08		617	48.17		14	1.09		0	0.00		91	7.10		20	1.56		0	0.00		4	0.31		0	0.00		5	0.39		83	6.48		346	27.01		60	4.68		1	0.08		1281	96.46		47	3.54		1328	1.77
	Wattle Grove		3	0.33		1	0.11		0	0.00		17	1.89		1	0.11		471	52.28		14	1.55		1	0.11		73	8.10		8	0.89		0	0.00		5	0.55		0	0.00		3	0.33		55	6.10		196	21.75		52	5.77		1	0.11		901	96.88		29	3.12		930	1.24
	Special Hospitals		4	1.00		1	0.25		1	0.25		1	0.25		0	0.00		187	46.87		3	0.75		0	0.00		18	4.51		6	1.50		0	0.00		5	1.25		0	0.00		9	2.26		12	3.01		148	37.09		4	1.00		0	0.00		399	94.55		23	5.45		422	0.56
	Total Ordinary		261	0.43		80	0.13		33	0.05		1245	2.04		81	0.13		23345	38.17		693	1.13		38	0.06		4705	7.69		621	1.02		27	0.04		183	0.30		10	0.02		425	0.69		3567	5.83		22724	37.16		3076	5.03		46	0.08		61160	96.13		2463	3.87		63623	84.59
	ABSENT		16	0.26		6	0.10		4	0.07		107	1.77		12	0.20		2178	35.94		81	1.34		2	0.03		510	8.42		62	1.02		4	0.07		17	0.28		3	0.05		68	1.12		413	6.82		2129	35.13		445	7.34		3	0.05		6060	97.60		149	2.40		6209	8.26
	POSTAL		7	0.34		1	0.05		0	0.00		42	2.02		0	0.00		930	44.65		39	1.87		1	0.05		167	8.02		32	1.54		1	0.05		4	0.19		0	0.00		12	0.58		96	4.61		674	32.36		75	3.60		2	0.10		2083	98.91		23	1.09		2106	2.80
	PRE_POLL		13	0.51		3	0.12		0	0.00		41	1.61		3	0.12		1018	40.06		31	1.22		2	0.08		217	8.54		32	1.26		0	0.00		5	0.20		0	0.00		16	0.63		166	6.53		871	34.28		121	4.76		2	0.08		2541	98.22		46	1.78		2587	3.44
	PROVISIONAL		3	0.46		0	0.00		0	0.00		10	1.54		3	0.46		158	24.38		9	1.39		2	0.31		59	9.10		9	1.39		0	0.00		5	0.77		0	0.00		8	1.23		55	8.49		272	41.98		54	8.33		1	0.15		648	94.19		40	5.81		688	0.91
	Division Summary		300	0.41		90	0.12		37	0.05		1445	1.99		99	0.14		27629	38.11		853	1.18		45	0.06		5658	7.8		756	1.04		32	0.04		214	0.3		13	0.02		529	0.73		4297	5.93		26670	36.79		3771	5.2		54	0.07		72492	96.38		2721	3.62		75213	95.91
