House of Representatives - 2001 Election: Western Australia																													
Distribution of Preferences																													
By Polling Place																													
																													
Swan																													
					MAKIN			MCCUTCHEON			BRENNAN			TAPLEY			VINCIULLO			WILKIE			JEFFREYS			SMITH			
		TOTAL		8	0.94		34	3.99		262	30.72		13	1.52		25	2.93		459	53.81		52	6.10					853	
	THIRD				Excluded		6	75.00		0	0.00		0	0.00		1	12.50		1	12.50		0	0.00					8	
		TOTAL					40	4.69		262	30.72		13	1.52		26	3.05		460	53.93		52	6.10					853	
	FOURTH						0	0.00		7	53.85			Excluded		5	38.46		1	7.69		0	0.00					13	
		TOTAL					40	4.69		269	31.54					31	3.63		461	54.04		52	6.10					853	
	FIFTH						5	16.13		11	35.48						Excluded		6	19.35		9	29.03					31	
		TOTAL					45	5.28		280	32.83								467	54.75		61	7.15					853	
	SIXTH						34	55.74		3	4.92								24	39.34			Excluded					61	
		TOTAL					79	9.26		283	33.18								491	57.56								853	
	SEVENTH							Excluded		31	39.24								48	60.76								79	
		TOTAL								314	36.81								539	63.19								853	
																			Elected										
																													
Cannington                                                     																													
	FIRST			50	2.80		111	6.22		536	30.01		34	1.90		96	5.38		870	48.71		83	4.65		6	0.34		1786	
	SECOND			1	16.67		0	0.00		0	0.00		1	16.67		1	16.67		0	0.00		3	50.00			Excluded		6	
		TOTAL		51	2.86		111	6.22		536	30.01		35	1.96		97	5.43		870	48.71		86	4.82					1786	
	THIRD				Excluded		24	47.06		5	9.80		4	7.84		6	11.76		9	17.65		3	5.88					51	
		TOTAL					135	7.56		541	30.29		39	2.18		103	5.77		879	49.22		89	4.98					1786	
	FOURTH						7	17.95		14	35.90			Excluded		4	10.26		9	23.08		5	12.82					39	
		TOTAL					142	7.95		555	31.08					107	5.99		888	49.72		94	5.26					1786	
	FIFTH						16	14.95		35	32.71						Excluded		25	23.36		31	28.97					107	
		TOTAL					158	8.85		590	33.03								913	51.12		125	7.00					1786	
	SIXTH						53	42.40		21	16.80								51	40.80			Excluded					125	
		TOTAL					211	11.81		611	34.21								964	53.98								1786	
	SEVENTH							Excluded		99	46.92								112	53.08								211	
		TOTAL								710	39.75								1076	60.25								1786	
																			Elected										
																													
Cannington East                                                																													
	FIRST			49	2.28		101	4.70		609	28.31		55	2.56		174	8.09		1082	50.30		74	3.44		7	0.33		2151	
	SECOND			1	14.29		0	0.00		0	0.00		0	0.00		1	14.29		3	42.86		2	28.57			Excluded		7	
		TOTAL		50	2.32		101	4.70		609	28.31		55	2.56		175	8.14		1085	50.44		76	3.53					2151	
	THIRD				Excluded		25	50.00		5	10.00		2	4.00		4	8.00		10	20.00		4	8.00					50	
		TOTAL					126	5.86		614	28.54		57	2.65		179	8.32		1095	50.91		80	3.72					2151	
	FOURTH						3	5.26		38	66.67			Excluded		7	12.28		9	15.79		0	0.00					57	
		TOTAL					129	6.00		652	30.31					186	8.65		1104	51.32		80	3.72					2151	
	FIFTH						23	12.37		86	46.24						Excluded		45	24.19		32	17.20					186	
		TOTAL					152	7.07		738	34.31								1149	53.42		112	5.21					2151	
	SIXTH						47	41.96		18	16.07								47	41.96			Excluded					112	
		TOTAL					199	9.25		756	35.15								1196	55.60								2151	
	SEVENTH							Excluded		90	45.23								109	54.77								199	
		TOTAL								846	39.33								1305	60.67								2151	
																			Elected										
																													
Carlisle                                                       																													
	FIRST			26	2.05		65	5.11		401	31.55		14	1.10		76	5.98		631	49.65		54	4.25		4	0.31		1271	
	SECOND			0	0.00		0	0.00		1	25.00		0	0.00		1	25.00		0	0.00		2	50.00			Excluded		4	
		TOTAL		26	2.05		65	5.11		402	31.63		14	1.10		77	6.06		631	49.65		56	4.41					1271	
	THIRD				Excluded		12	46.15		6	23.08		0	0.00		3	11.54		2	7.69		3	11.54					26	
		TOTAL					77	6.06		408	32.10		14	1.10		80	6.29		633	49.80		59	4.64					1271	
	FOURTH						1	7.14		11	78.57			Excluded		0	0.00		2	14.29		0	0.00					14	
		TOTAL					78	6.14		419	32.97					80	6.29		635	49.96		59	4.64					1271	
	FIFTH						3	3.75		44	55.00						Excluded		18	22.50		15	18.75					80	
		TOTAL					81	6.37		463	36.43								653	51.38		74	5.82					1271	
	SIXTH						39	52.70		9	12.16								26	35.14			Excluded					74	
		TOTAL					120	9.44		472	37.14								679	53.42								1271	
	SEVENTH							Excluded		46	38.33								74	61.67								120	
		TOTAL								518	40.76								753	59.24								1271	
																			Elected										
																													
Cloverdale                                                     																													
	FIRST			17	1.52		55	4.92		295	26.39		9	0.81		83	7.42		613	54.83		42	3.76		4	0.36		1118	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		2	50.00		0	0.00		2	50.00			Excluded		4	
		TOTAL		17	1.52		55	4.92		295	26.39		9	0.81		85	7.60		613	54.83		44	3.94					1118	
	THIRD				Excluded		8	47.06		2	11.76		3	17.65		0	0.00		0	0.00		4	23.53					17	
		TOTAL					63	5.64		297	26.57		12	1.07		85	7.60		613	54.83		48	4.29					1118	
	FOURTH						3	25.00		5	41.67			Excluded		1	8.33		2	16.67		1	8.33					12	
		TOTAL					66	5.90		302	27.01					86	7.69		615	55.01		49	4.38					1118	
	FIFTH						9	10.47		39	45.35						Excluded		23	26.74		15	17.44					86	
		TOTAL					75	6.71		341	30.50								638	57.07		64	5.72					1118	
	SIXTH						33	51.56		9	14.06								22	34.38			Excluded					64	
		TOTAL					108	9.66		350	31.31								660	59.03								1118	
	SEVENTH							Excluded		53	49.07								55	50.93								108	
		TOTAL								403	36.05								715	63.95								1118	
																			Elected										
																													
Cloverdale North                                               																													
	FIRST			40	1.54		101	3.88		762	29.25		58	2.23		144	5.53		1387	53.24		104	3.99		9	0.35		2605	
	SECOND			0	0.00		1	11.11		0	0.00		1	11.11		0	0.00		2	22.22		5	55.56			Excluded		9	
		TOTAL		40	1.54		102	3.92		762	29.25		59	2.26		144	5.53		1389	53.32		109	4.18					2605	
	THIRD				Excluded		23	57.50		4	10.00		4	10.00		3	7.50		5	12.50		1	2.50					40	
		TOTAL					125	4.80		766	29.40		63	2.42		147	5.64		1394	53.51		110	4.22					2605	
	FOURTH						9	14.29		33	52.38			Excluded		6	9.52		6	9.52		9	14.29					63	
		TOTAL					134	5.14		799	30.67					153	5.87		1400	53.74		119	4.57					2605	
	FIFTH						18	11.76		56	36.60						Excluded		38	24.84		41	26.80					153	
		TOTAL					152	5.83		855	32.82								1438	55.20		160	6.14					2605	
	SIXTH						73	45.63		28	17.50								59	36.88			Excluded					160	
		TOTAL					225	8.64		883	33.90								1497	57.47								2605	
	SEVENTH							Excluded		105	46.67								120	53.33								225	
		TOTAL								988	37.93								1617	62.07								2605	
																			Elected										
																													
Cloverdale West                                                																													
	FIRST			45	1.76		130	5.08		757	29.58		35	1.37		120	4.69		1333	52.09		127	4.96		12	0.47		2559	
	SECOND			0	0.00		1	8.33		1	8.33		1	8.33		3	25.00		2	16.67		4	33.33			Excluded		12	
		TOTAL		45	1.76		131	5.12		758	29.62		36	1.41		123	4.81		1335	52.17		131	5.12					2559	
	THIRD				Excluded		17	37.78		9	20.00		3	6.67		2	4.44		13	28.89		1	2.22					45	
		TOTAL					148	5.78		767	29.97		39	1.52		125	4.88		1348	52.68		132	5.16					2559	
	FOURTH						6	15.38		16	41.03			Excluded		6	15.38		6	15.38		5	12.82					39	
		TOTAL					154	6.02		783	30.60					131	5.12		1354	52.91		137	5.35					2559	
	FIFTH						18	13.74		57	43.51						Excluded		32	24.43		24	18.32					131	
		TOTAL					172	6.72		840	32.83								1386	54.16		161	6.29					2559	
	SIXTH						75	46.58		27	16.77								59	36.65			Excluded					161	
		TOTAL					247	9.65		867	33.88								1445	56.47								2559	
	SEVENTH							Excluded		98	39.68								149	60.32								247	
		TOTAL								965	37.71								1594	62.29								2559	
																			Elected										
																													
Como                                                           																													
	FIRST			18	0.57		208	6.63		1768	56.32		28	0.89		75	2.39		845	26.92		186	5.93		11	0.35		3139	
	SECOND			1	9.09		0	0.00		2	18.18		0	0.00		2	18.18		1	9.09		5	45.45			Excluded		11	
		TOTAL		19	0.61		208	6.63		1770	56.39		28	0.89		77	2.45		846	26.95		191	6.08					3139	
	THIRD				Excluded		9	47.37		3	15.79		1	5.26		0	0.00		1	5.26		5	26.32					19	
		TOTAL					217	6.91		1773	56.48		29	0.92		77	2.45		847	26.98		196	6.24					3139	
	FOURTH						7	24.14		13	44.83			Excluded		4	13.79		4	13.79		1	3.45					29	
		TOTAL					224	7.14		1786	56.90					81	2.58		851	27.11		197	6.28					3139	
	FIFTH						11	13.58		40	49.38						Excluded		14	17.28		16	19.75					81	
		TOTAL					235	7.49		1826	58.17								865	27.56		213	6.79					3139	
	SIXTH						92	43.19		41	19.25								80	37.56			Excluded					213	
		TOTAL					327	10.42		1867	59.48								945	30.11								3139	
	SEVENTH							Excluded		141	43.12								186	56.88								327	
		TOTAL								2008	63.97								1131	36.03								3139	
																			Elected										
																													
Como North                                                     																													
	FIRST			6	0.99		36	5.91		312	51.23		6	0.99		15	2.46		209	34.32		24	3.94		1	0.16		609	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		6	0.99		37	6.08		312	51.23		6	0.99		15	2.46		209	34.32		24	3.94					609	
	THIRD				Excluded		5	83.33		0	0.00		0	0.00		0	0.00		0	0.00		1	16.67					6	
		TOTAL					42	6.90		312	51.23		6	0.99		15	2.46		209	34.32		25	4.11					609	
	FOURTH						1	16.67		3	50.00			Excluded		1	16.67		0	0.00		1	16.67					6	
		TOTAL					43	7.06		315	51.72					16	2.63		209	34.32		26	4.27					609	
	FIFTH						2	12.50		5	31.25						Excluded		7	43.75		2	12.50					16	
		TOTAL					45	7.39		320	52.55								216	35.47		28	4.60					609	
	SIXTH						14	50.00		3	10.71								11	39.29			Excluded					28	
		TOTAL					59	9.69		323	53.04								227	37.27								609	
	SEVENTH							Excluded		23	38.98								36	61.02								59	
		TOTAL								346	56.81								263	43.19								609	
																			Elected										
																													
Como South                                                     																													
	FIRST			11	0.94		70	6.00		677	58.01		17	1.46		32	2.74		300	25.71		56	4.80		4	0.34		1167	
	SECOND			0	0.00		0	0.00		1	25.00		1	25.00		0	0.00		1	25.00		1	25.00			Excluded		4	
		TOTAL		11	0.94		70	6.00		678	58.10		18	1.54		32	2.74		301	25.79		57	4.88					1167	
	THIRD				Excluded		4	36.36		1	9.09		1	9.09		0	0.00		3	27.27		2	18.18					11	
		TOTAL					74	6.34		679	58.18		19	1.63		32	2.74		304	26.05		59	5.06					1167	
	FOURTH						1	5.26		11	57.89			Excluded		3	15.79		3	15.79		1	5.26					19	
		TOTAL					75	6.43		690	59.13					35	3.00		307	26.31		60	5.14					1167	
	FIFTH						4	11.43		13	37.14						Excluded		5	14.29		13	37.14					35	
		TOTAL					79	6.77		703	60.24								312	26.74		73	6.26					1167	
	SIXTH						34	46.58		19	26.03								20	27.40			Excluded					73	
		TOTAL					113	9.68		722	61.87								332	28.45								1167	
	SEVENTH							Excluded		44	38.94								69	61.06								113	
		TOTAL								766	65.64								401	34.36								1167	
																			Elected										
																													
Kensington                                                     																													
	FIRST			24	1.10		148	6.77		983	44.95		20	0.91		54	2.47		772	35.30		181	8.28		5	0.23		2187	
	SECOND			0	0.00		1	20.00		0	0.00		0	0.00		0	0.00		2	40.00		2	40.00			Excluded		5	
		TOTAL		24	1.10		149	6.81		983	44.95		20	0.91		54	2.47		774	35.39		183	8.37					2187	
	THIRD				Excluded		12	50.00		2	8.33		0	0.00		0	0.00		8	33.33		2	8.33					24	
		TOTAL					161	7.36		985	45.04		20	0.91		54	2.47		782	35.76		185	8.46					2187	
	FOURTH						6	30.00		10	50.00			Excluded		2	10.00		0	0.00		2	10.00					20	
		TOTAL					167	7.64		995	45.50					56	2.56		782	35.76		187	8.55					2187	
	FIFTH						9	16.07		26	46.43						Excluded		13	23.21		8	14.29					56	
		TOTAL					176	8.05		1021	46.68								795	36.35		195	8.92					2187	
	SIXTH						92	47.18		27	13.85								76	38.97			Excluded					195	
		TOTAL					268	12.25		1048	47.92								871	39.83								2187	
	SEVENTH							Excluded		102	38.06								166	61.94								268	
		TOTAL								1150	52.58								1037	47.42								2187	
																			Elected										
																													
Kewdale                                                        																													
	FIRST			27	1.61		87	5.20		485	29.01		22	1.32		136	8.13		851	50.90		57	3.41		7	0.42		1672	
	SECOND			1	14.29		0	0.00		0	0.00		1	14.29		1	14.29		2	28.57		2	28.57			Excluded		7	
		TOTAL		28	1.67		87	5.20		485	29.01		23	1.38		137	8.19		853	51.02		59	3.53					1672	
	THIRD				Excluded		11	39.29		3	10.71		1	3.57		2	7.14		6	21.43		5	17.86					28	
		TOTAL					98	5.86		488	29.19		24	1.44		139	8.31		859	51.38		64	3.83					1672	
	FOURTH						5	20.83		8	33.33			Excluded		3	12.50		6	25.00		2	8.33					24	
		TOTAL					103	6.16		496	29.67					142	8.49		865	51.73		66	3.95					1672	
	FIFTH						11	7.75		82	57.75						Excluded		31	21.83		18	12.68					142	
		TOTAL					114	6.82		578	34.57								896	53.59		84	5.02					1672	
	SIXTH						44	52.38		9	10.71								31	36.90			Excluded					84	
		TOTAL					158	9.45		587	35.11								927	55.44								1672	
	SEVENTH							Excluded		79	50.00								79	50.00								158	
		TOTAL								666	39.83								1006	60.17								1672	
																			Elected										
																													
Kewdale West                                                   																													
	FIRST			41	1.61		127	5.00		850	33.44		41	1.61		153	6.02		1195	47.01		127	5.00		8	0.31		2542	
	SECOND			0	0.00		1	12.50		1	12.50		0	0.00		1	12.50		1	12.50		4	50.00			Excluded		8	
		TOTAL		41	1.61		128	5.04		851	33.48		41	1.61		154	6.06		1196	47.05		131	5.15					2542	
	THIRD				Excluded		25	60.98		2	4.88		2	4.88		3	7.32		7	17.07		2	4.88					41	
		TOTAL					153	6.02		853	33.56		43	1.69		157	6.18		1203	47.32		133	5.23					2542	
	FOURTH						5	11.63		22	51.16			Excluded		6	13.95		4	9.30		6	13.95					43	
		TOTAL					158	6.22		875	34.42					163	6.41		1207	47.48		139	5.47					2542	
	FIFTH						28	17.18		73	44.79						Excluded		25	15.34		37	22.70					163	
		TOTAL					186	7.32		948	37.29								1232	48.47		176	6.92					2542	
	SIXTH						89	50.57		25	14.20								62	35.23			Excluded					176	
		TOTAL					275	10.82		973	38.28								1294	50.90								2542	
	SEVENTH							Excluded		114	41.45								161	58.55								275	
		TOTAL								1087	42.76								1455	57.24								2542	
																			Elected										
																													
Lathlain                                                       																													
	FIRST			13	0.71		96	5.25		715	39.14		24	1.31		87	4.76		799	43.73		86	4.71		7	0.38		1827	
	SECOND			2	28.57		3	42.86		0	0.00		0	0.00		0	0.00		1	14.29		1	14.29			Excluded		7	
		TOTAL		15	0.82		99	5.42		715	39.14		24	1.31		87	4.76		800	43.79		87	4.76					1827	
	THIRD				Excluded		9	60.00		2	13.33		1	6.67		1	6.67		1	6.67		1	6.67					15	
		TOTAL					108	5.91		717	39.24		25	1.37		88	4.82		801	43.84		88	4.82					1827	
	FOURTH						7	28.00		7	28.00			Excluded		4	16.00		4	16.00		3	12.00					25	
		TOTAL					115	6.29		724	39.63					92	5.04		805	44.06		91	4.98					1827	
	FIFTH						10	10.87		46	50.00						Excluded		20	21.74		16	17.39					92	
		TOTAL					125	6.84		770	42.15								825	45.16		107	5.86					1827	
	SIXTH						47	43.93		20	18.69								40	37.38			Excluded					107	
		TOTAL					172	9.41		790	43.24								865	47.35								1827	
	SEVENTH							Excluded		84	48.84								88	51.16								172	
		TOTAL								874	47.84								953	52.16								1827	
																			Elected										
																													
Manning                                                        																													
	FIRST			25	0.78		162	5.02		1705	52.88		37	1.15		86	2.67		1023	31.73		177	5.49		9	0.28		3224	
	SECOND			2	22.22		1	11.11		1	11.11		0	0.00		0	0.00		0	0.00		5	55.56			Excluded		9	
		TOTAL		27	0.84		163	5.06		1706	52.92		37	1.15		86	2.67		1023	31.73		182	5.65					3224	
	THIRD				Excluded		12	44.44		7	25.93		2	7.41		2	7.41		2	7.41		2	7.41					27	
		TOTAL					175	5.43		1713	53.13		39	1.21		88	2.73		1025	31.79		184	5.71					3224	
	FOURTH						6	15.38		21	53.85			Excluded		6	15.38		3	7.69		3	7.69					39	
		TOTAL					181	5.61		1734	53.78					94	2.92		1028	31.89		187	5.80					3224	
	FIFTH						15	15.96		41	43.62						Excluded		21	22.34		17	18.09					94	
		TOTAL					196	6.08		1775	55.06								1049	32.54		204	6.33					3224	
	SIXTH						114	55.88		17	8.33								73	35.78			Excluded					204	
		TOTAL					310	9.62		1792	55.58								1122	34.80								3224	
	SEVENTH							Excluded		137	44.19								173	55.81								310	
		TOTAL								1929	59.83								1295	40.17								3224	
																			Elected										
																													
Manning North                                                  																													
	FIRST			13	0.98		67	5.04		517	38.90		20	1.50		56	4.21		589	44.32		64	4.82		3	0.23		1329	
	SECOND			1	33.33		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		1	33.33			Excluded		3	
		TOTAL		14	1.05		67	5.04		517	38.90		21	1.58		56	4.21		589	44.32		65	4.89					1329	
	THIRD				Excluded		10	71.43		1	7.14		0	0.00		0	0.00		1	7.14		2	14.29					14	
		TOTAL					77	5.79		518	38.98		21	1.58		56	4.21		590	44.39		67	5.04					1329	
	FOURTH						3	14.29		12	57.14			Excluded		1	4.76		2	9.52		3	14.29					21	
		TOTAL					80	6.02		530	39.88					57	4.29		592	44.54		70	5.27					1329	
	FIFTH						7	12.28		21	36.84						Excluded		14	24.56		15	26.32					57	
		TOTAL					87	6.55		551	41.46								606	45.60		85	6.40					1329	
	SIXTH						34	40.00		16	18.82								35	41.18			Excluded					85	
		TOTAL					121	9.10		567	42.66								641	48.23								1329	
	SEVENTH							Excluded		45	37.19								76	62.81								121	
		TOTAL								612	46.05								717	53.95								1329	
																			Elected										
																													
Millen                                                         																													
	FIRST			10	0.78		73	5.68		411	31.98		17	1.32		68	5.29		591	45.99		111	8.64		4	0.31		1285	
	SECOND			1	25.00		1	25.00		0	0.00		1	25.00		0	0.00		1	25.00		0	0.00			Excluded		4	
		TOTAL		11	0.86		74	5.76		411	31.98		18	1.40		68	5.29		592	46.07		111	8.64					1285	
	THIRD				Excluded		3	27.27		1	9.09		0	0.00		1	9.09		3	27.27		3	27.27					11	
		TOTAL					77	5.99		412	32.06		18	1.40		69	5.37		595	46.30		114	8.87					1285	
	FOURTH						3	16.67		5	27.78			Excluded		4	22.22		1	5.56		5	27.78					18	
		TOTAL					80	6.23		417	32.45					73	5.68		596	46.38		119	9.26					1285	
	FIFTH						6	8.22		36	49.32						Excluded		15	20.55		16	21.92					73	
		TOTAL					86	6.69		453	35.25								611	47.55		135	10.51					1285	
	SIXTH						72	53.33		15	11.11								48	35.56			Excluded					135	
		TOTAL					158	12.30		468	36.42								659	51.28								1285	
	SEVENTH							Excluded		58	36.71								100	63.29								158	
		TOTAL								526	40.93								759	59.07								1285	
																			Elected										
																													
Perth (Swan)                                                   																													
	FIRST			3	1.35		18	8.07		69	30.94		1	0.45		6	2.69		97	43.50		27	12.11		2	0.90		223	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00			Excluded		2	
		TOTAL		3	1.35		18	8.07		69	30.94		1	0.45		7	3.14		97	43.50		28	12.56					223	
	THIRD				Excluded		2	66.67		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00					3	
		TOTAL					20	8.97		69	30.94		1	0.45		7	3.14		98	43.95		28	12.56					223	
	FOURTH						0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00					1	
		TOTAL					20	8.97		69	30.94					7	3.14		98	43.95		29	13.00					223	
	FIFTH						0	0.00		3	42.86						Excluded		1	14.29		3	42.86					7	
		TOTAL					20	8.97		72	32.29								99	44.39		32	14.35					223	
	SIXTH						14	43.75		5	15.63								13	40.63			Excluded					32	
		TOTAL					34	15.25		77	34.53								112	50.22								223	
	SEVENTH							Excluded		11	32.35								23	67.65								34	
		TOTAL								88	39.46								135	60.54								223	
																			Elected										
																													
Perth Domestic Airport                                         																													
	FIRST			0	0.00		1	2.70		13	35.14		0	0.00		0	0.00		20	54.05		3	8.11		0	0.00		37	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		1	2.70		13	35.14		0	0.00		0	0.00		20	54.05		3	8.11					37	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	
		TOTAL					1	2.70		13	35.14		0	0.00		0	0.00		20	54.05		3	8.11					37	
	FOURTH						0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	
		TOTAL					1	2.70		13	35.14					0	0.00		20	54.05		3	8.11					37	
	FIFTH						0	0.00		0	0.00						Excluded		0	0.00		0	0.00					0	
		TOTAL					1	2.70		13	35.14								20	54.05		3	8.11					37	
	SIXTH						2	66.67		0	0.00								1	33.33			Excluded					3	
		TOTAL					3	8.11		13	35.14								21	56.76								37	
	SEVENTH							Excluded		1	33.33								2	66.67								3	
		TOTAL								14	37.84								23	62.16								37	
																			Elected										
																													
Perth International Airport                                    																													
	FIRST			0	0.00		3	8.82		12	35.29		0	0.00		0	0.00		13	38.24		6	17.65		0	0.00		34	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		3	8.82		12	35.29		0	0.00		0	0.00		13	38.24		6	17.65					34	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	
		TOTAL					3	8.82		12	35.29		0	0.00		0	0.00		13	38.24		6	17.65					34	
	FOURTH						0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	
		TOTAL					3	8.82		12	35.29					0	0.00		13	38.24		6	17.65					34	
	FIFTH						0	0.00		0	0.00						Excluded		0	0.00		0	0.00					0	
		TOTAL					3	8.82		12	35.29								13	38.24		6	17.65					34	
	SIXTH						4	66.67		1	16.67								1	16.67			Excluded					6	
		TOTAL					7	20.59		13	38.24								14	41.18								34	
	SEVENTH							Excluded		4	57.14								3	42.86								7	
		TOTAL								17	50.00								17	50.00								34	
																			Elected										
																													
Queens Park                                                    																													
	FIRST			20	1.94		46	4.45		310	30.01		30	2.90		51	4.94		532	51.50		41	3.97		3	0.29		1033	
	SECOND			0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		2	66.67			Excluded		3	
		TOTAL		20	1.94		46	4.45		311	30.11		30	2.90		51	4.94		532	51.50		43	4.16					1033	
