Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Cowan (79648)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
	Girrawheen Central		2	0.33		0	0.00		2	0.33		4	0.65		0	0.00		122	19.84		6	0.98		0	0.00		43	6.99		5	0.81		0	0.00		1	0.16		0	0.00		5	0.81		17	2.76		380	61.79		28	4.55		0	0.00		615	96.09		25	3.91		640	0.83
	Girrawheen East		14	0.96		0	0.00		1	0.07		46	3.15		1	0.07		279	19.08		13	0.89		1	0.07		89	6.09		3	0.21		0	0.00		11	0.75		0	0.00		34	2.33		59	4.04		860	58.82		49	3.35		2	0.14		1462	93.06		109	6.94		1571	2.05
	Greenwood		23	0.65		1	0.03		1	0.03		44	1.24		0	0.00		1476	41.72		55	1.55		1	0.03		177	5.00		29	0.82		1	0.03		6	0.17		1	0.03		16	0.45		268	7.57		1233	34.85		204	5.77		2	0.06		3538	97.06		107	2.94		3645	4.75
	Greenwood East		3	0.42		2	0.28		1	0.14		6	0.85		2	0.28		244	34.41		4	0.56		0	0.00		39	5.50		1	0.14		0	0.00		1	0.14		1	0.14		5	0.71		55	7.76		307	43.30		38	5.36		0	0.00		709	95.17		36	4.83		745	0.97
	Greenwood West		3	0.16		5	0.26		1	0.05		31	1.63		1	0.05		761	40.07		23	1.21		1	0.05		115	6.06		18	0.95		2	0.11		5	0.26		1	0.05		8	0.42		148	7.79		662	34.86		112	5.90		2	0.11		1899	96.54		68	3.46		1967	2.57
	Kingsley		14	0.38		5	0.14		2	0.05		49	1.33		5	0.14		1697	45.93		37	1.00		2	0.05		191	5.17		31	0.84		2	0.05		6	0.16		0	0.00		22	0.60		245	6.63		1237	33.48		148	4.01		2	0.05		3695	97.08		111	2.92		3806	4.96
	Kingsley East		7	0.47		2	0.13		1	0.07		15	1.01		0	0.00		710	47.88		22	1.48		0	0.00		65	4.38		7	0.47		1	0.07		2	0.13		0	0.00		6	0.40		114	7.69		448	30.21		81	5.46		2	0.13		1483	98.34		25	1.66		1508	1.97
	Kingsley South		8	0.33		5	0.21		1	0.04		32	1.34		0	0.00		1102	46.11		31	1.30		1	0.04		123	5.15		25	1.05		0	0.00		1	0.04		0	0.00		6	0.25		151	6.32		789	33.01		115	4.81		0	0.00		2390	98.23		43	1.77		2433	3.17
	Koondoola		10	0.49		1	0.05		1	0.05		25	1.22		2	0.10		416	20.38		11	0.54		0	0.00		121	5.93		11	0.54		6	0.29		16	0.78		2	0.10		36	1.76		67	3.28		1241	60.80		74	3.63		1	0.05		2041	93.88		133	6.12		2174	2.84
	Landsdale		6	0.31		0	0.00		1	0.05		38	1.96		1	0.05		858	44.36		18	0.93		2	0.10		95	4.91		16	0.83		1	0.05		2	0.10		0	0.00		8	0.41		116	6.00		706	36.50		66	3.41		0	0.00		1934	97.38		52	2.62		1986	2.59
	Marangaroo		7	0.28		2	0.08		0	0.00		38	1.53		1	0.04		751	30.17		13	0.52		0	0.00		139	5.58		9	0.36		3	0.12		15	0.60		1	0.04		41	1.65		94	3.78		1278	51.35		96	3.86		1	0.04		2489	94.07		157	5.93		2646	3.45
	Marangaroo Central		9	0.30		3	0.10		2	0.07		47	1.59		3	0.10		782	26.44		19	0.64		1	0.03		161	5.44		19	0.64		1	0.03		14	0.47		0	0.00		41	1.39		119	4.02		1657	56.02		80	2.70		0	0.00		2958	94.93		158	5.07		3116	4.06
	Noranda		2	0.11		1	0.05		3	0.16		23	1.24		1	0.05		780	42.21		13	0.70		0	0.00		54	2.92		20	1.08		2	0.11		12	0.65		0	0.00		11	0.60		90	4.87		794	42.97		42	2.27		0	0.00		1848	95.60		85	4.40		1933	2.52
	Noranda West (Cowan)		4	0.46		0	0.00		1	0.11		10	1.15		1	0.11		412	47.30		6	0.69		2	0.23		26	2.99		11	1.26		0	0.00		2	0.23		0	0.00		10	1.15		46	5.28		303	34.79		32	3.67		5	0.57		871	95.61		40	4.39		911	1.19
	Perth (Cowan)		2	1.55		0	0.00		0	0.00		1	0.78		0	0.00		49	37.98		1	0.78		0	0.00		4	3.10		1	0.78		0	0.00		0	0.00		0	0.00		1	0.78		9	6.98		52	40.31		9	6.98		0	0.00		129	99.23		1	0.77		130	0.17
	Rottnest (Cowan)		1	1.41		0	0.00		0	0.00		0	0.00		0	0.00		34	47.89		0	0.00		0	0.00		4	5.63		2	2.82		0	0.00		0	0.00		0	0.00		0	0.00		5	7.04		24	33.80		1	1.41		0	0.00		71	98.61		1	1.39		72	0.09
	Tapping		3	0.31		0	0.00		0	0.00		10	1.04		2	0.21		473	49.27		6	0.63		0	0.00		47	4.90		6	0.63		0	0.00		1	0.10		0	0.00		4	0.42		51	5.31		326	33.96		31	3.23		0	0.00		960	97.66		23	2.34		983	1.28
	Wanneroo		19	0.49		5	0.13		2	0.05		44	1.12		3	0.08		1640	41.90		23	0.59		1	0.03		331	8.46		43	1.10		0	0.00		14	0.36		0	0.00		22	0.56		236	6.03		1324	33.83		205	5.24		2	0.05		3914	95.58		181	4.42		4095	5.34
	Wanneroo East		18	0.56		3	0.09		4	0.12		47	1.46		6	0.19		1355	42.11		40	1.24		0	0.00		228	7.09		40	1.24		1	0.03		8	0.25		0	0.00		15	0.47		161	5.00		1165	36.20		127	3.95		0	0.00		3218	95.69		145	4.31		3363	4.39
	Wanneroo West		1	0.16		4	0.65		0	0.00		21	3.43		0	0.00		261	42.58		4	0.65		1	0.16		39	6.36		4	0.65		0	0.00		0	0.00		0	0.00		0	0.00		33	5.38		220	35.89		23	3.75		2	0.33		613	97.30		17	2.70		630	0.82
	Warwick		10	0.80		2	0.16		0	0.00		14	1.13		0	0.00		502	40.35		12	0.96		3	0.24		77	6.19		10	0.80		0	0.00		1	0.08		0	0.00		6	0.48		74	5.95		461	37.06		71	5.71		1	0.08		1244	97.26		35	2.74		1279	1.67
	Warwick West		6	0.61		0	0.00		0	0.00		8	0.81		2	0.20		449	45.49		10	1.01		2	0.20		45	4.56		9	0.91		0	0.00		3	0.30		0	0.00		4	0.41		55	5.57		344	34.85		50	5.07		0	0.00		987	97.05		30	2.95		1017	1.33
	Woodvale		3	0.15		3	0.15		0	0.00		44	2.15		0	0.00		1006	49.12		28	1.37		1	0.05		94	4.59		11	0.54		2	0.10		3	0.15		0	0.00		12	0.59		120	5.86		628	30.66		90	4.39		3	0.15		2048	96.65		71	3.35		2119	2.76
	Woodvale North		5	0.15		11	0.33		1	0.03		22	0.66		3	0.09		1626	48.76		24	0.72		1	0.03		127	3.81		13	0.39		0	0.00		4	0.12		0	0.00		11	0.33		236	7.08		1126	33.76		122	3.66		3	0.09		3335	97.06		101	2.94		3436	4.48
	Special Hospitals		6	1.81		0	0.00		0	0.00		1	0.30		0	0.00		184	55.42		4	1.20		0	0.00		9	2.71		13	3.92		0	0.00		4	1.20		0	0.00		11	3.31		1	0.30		98	29.52		1	0.30		0	0.00		332	92.74		26	7.26		358	0.47
	Total Ordinary		279	0.44		76	0.12		37	0.06		869	1.38		46	0.07		24251	38.39		554	0.88		39	0.06		3389	5.36		474	0.75		38	0.06		186	0.29		8	0.01		503	0.80		3552	5.62		26350	41.71		2483	3.93		36	0.06		63170	96.20		2492	3.80		65662	85.64
	ABSENT		18	0.29		12	0.20		6	0.10		78	1.27		3	0.05		2288	37.29		62	1.01		6	0.10		366	5.97		78	1.27		8	0.13		21	0.34		2	0.03		52	0.85		395	6.44		2376	38.73		363	5.92		1	0.02		6135	97.78		139	2.22		6274	8.18
	POSTAL		3	0.17		4	0.22		2	0.11		11	0.62		2	0.11		810	45.33		16	0.90		1	0.06		130	7.27		16	0.90		3	0.17		2	0.11		0	0.00		10	0.56		94	5.26		634	35.48		46	2.57		3	0.17		1787	99.11		16	0.89		1803	2.35
	PRE_POLL		7	0.30		4	0.17		2	0.08		30	1.27		1	0.04		1040	44.11		21	0.89		3	0.13		154	6.53		26	1.10		5	0.21		9	0.38		0	0.00		13	0.55		156	6.62		802	34.01		84	3.56		1	0.04		2358	98.05		47	1.95		2405	3.14
	PROVISIONAL		5	0.98		0	0.00		0	0.00		10	1.97		0	0.00		147	28.94		6	1.18		2	0.39		25	4.92		8	1.57		0	0.00		7	1.38		0	0.00		15	2.95		25	4.92		245	48.23		12	2.36		1	0.20		508	95.85		22	4.15		530	0.69
	Division Summary		312	0.42		96	0.13		47	0.06		998	1.35		52	0.07		28536	38.58		659	0.89		51	0.07		4064	5.5		602	0.81		54	0.07		225	0.3		10	0.01		593	0.8		4222	5.71		30407	41.11		2988	4.04		42	0.06		73958	96.46		2716	3.54		76674	96.27
