House of Representatives - 2001 Election: Western Australia																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
Kalgoorlie																																			
					HODDY			HAASE			BROWNING			SCOTT			MILLER			BURT			BUTSON			SMITH			PAYNE			MCCUMSTIE			
	FIFTH			0	0.00		0	0.00		1	50.00		1	50.00		0	0.00					0	0.00									Excluded		2	
		TOTAL		2	3.85		18	34.62		17	32.69		12	23.08		0	0.00					3	5.77											52	
	SIXTH			0	0.00		2	66.67		0	0.00		1	33.33		0	0.00						Excluded											3	
		TOTAL		2	3.85		20	38.46		17	32.69		13	25.00		0	0.00																	52	
	SEVENTH				Excluded		0	0.00		0	0.00		1	50.00		1	50.00																	2	
		TOTAL					20	38.46		17	32.69		14	26.92		1	1.92																	52	
	EIGHTH						0	0.00		1	100.00		0	0.00			Excluded																	1	
		TOTAL					20	38.46		18	34.62		14	26.92																				52	
	NINTH						8	57.14		6	42.86			Excluded																				14	
		TOTAL					28	53.85		24	46.15																							52	
							Elected																												
																																			
Balgo                                                          																																			
	FIRST			9	5.52		16	9.82		117	71.78		3	1.84		7	4.29		6	3.68		3	1.84		0	0.00		0	0.00		2	1.23		163	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		9	5.52		16	9.82		117	71.78		3	1.84		7	4.29		6	3.68		3	1.84		0	0.00					2	1.23		163	
	THIRD			1	16.67		0	0.00		1	16.67		1	16.67		2	33.33			Excluded		1	16.67		0	0.00					0	0.00		6	
		TOTAL		10	6.13		16	9.82		118	72.39		4	2.45		9	5.52					4	2.45		0	0.00					2	1.23		163	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		10	6.13		16	9.82		118	72.39		4	2.45		9	5.52					4	2.45								2	1.23		163	
	FIFTH			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00					1	50.00									Excluded		2	
		TOTAL		11	6.75		16	9.82		118	72.39		4	2.45		9	5.52					5	3.07											163	
	SIXTH			4	80.00		1	20.00		0	0.00		0	0.00		0	0.00						Excluded											5	
		TOTAL		15	9.20		17	10.43		118	72.39		4	2.45		9	5.52																	163	
	SEVENTH				Excluded		6	40.00		4	26.67		2	13.33		3	20.00																	15	
		TOTAL					23	14.11		122	74.85		6	3.68		12	7.36																	163	
	EIGHTH						3	25.00		3	25.00		6	50.00			Excluded																	12	
		TOTAL					26	15.95		125	76.69		12	7.36																				163	
	NINTH						5	41.67		7	58.33			Excluded																				12	
		TOTAL					31	19.02		132	80.98																							163	
							Elected																												
																																			
Bodallin                                                       																																			
	FIRST			3	4.69		36	56.25		9	14.06		8	12.50		1	1.56		0	0.00		0	0.00		0	0.00		0	0.00		7	10.94		64	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	4.69		36	56.25		9	14.06		8	12.50		1	1.56		0	0.00		0	0.00		0	0.00					7	10.94		64	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		3	4.69		36	56.25		9	14.06		8	12.50		1	1.56					0	0.00		0	0.00					7	10.94		64	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		3	4.69		36	56.25		9	14.06		8	12.50		1	1.56					0	0.00								7	10.94		64	
	FIFTH			0	0.00		6	85.71		0	0.00		1	14.29		0	0.00					0	0.00									Excluded		7	
		TOTAL		3	4.69		42	65.63		9	14.06		9	14.06		1	1.56					0	0.00											64	
	SIXTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded											0	
		TOTAL		3	4.69		42	65.63		9	14.06		9	14.06		1	1.56																	64	
	SEVENTH				Excluded		1	33.33		1	33.33		0	0.00		1	33.33																	3	
		TOTAL					43	67.19		10	15.63		9	14.06		2	3.13																	64	
	EIGHTH						1	50.00		1	50.00		0	0.00			Excluded																	2	
		TOTAL					44	68.75		11	17.19		9	14.06																				64	
	NINTH						7	77.78		2	22.22			Excluded																				9	
		TOTAL					51	79.69		13	20.31																							64	
							Elected																												
																																			
Boulder                                                        																																			
	FIRST			85	3.41		880	35.28		1010	40.50		263	10.55		55	2.21		14	0.56		114	4.57		57	2.29		4	0.16		12	0.48		2494	
	SECOND			1	25.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	25.00		1	25.00			Excluded		1	25.00		4	
		TOTAL		86	3.45		880	35.28		1010	40.50		263	10.55		55	2.21		14	0.56		115	4.61		58	2.33					13	0.52		2494	
	THIRD			0	0.00		2	14.29		3	21.43		2	14.29		1	7.14			Excluded		3	21.43		1	7.14					2	14.29		14	
		TOTAL		86	3.45		882	35.36		1013	40.62		265	10.63		56	2.25					118	4.73		59	2.37					15	0.60		2494	
	FOURTH			10	16.95		7	11.86		7	11.86		13	22.03		3	5.08					15	25.42			Excluded					4	6.78		59	
		TOTAL		96	3.85		889	35.65		1020	40.90		278	11.15		59	2.37					133	5.33								19	0.76		2494	
	FIFTH			2	10.53		7	36.84		1	5.26		2	10.53		1	5.26					6	31.58									Excluded		19	
		TOTAL		98	3.93		896	35.93		1021	40.94		280	11.23		60	2.41					139	5.57											2494	
	SIXTH			12	8.63		36	25.90		32	23.02		35	25.18		24	17.27						Excluded											139	
		TOTAL		110	4.41		932	37.37		1053	42.22		315	12.63		84	3.37																	2494	
	SEVENTH				Excluded		38	34.55		24	21.82		19	17.27		29	26.36																	110	
		TOTAL					970	38.89		1077	43.18		334	13.39		113	4.53																	2494	
	EIGHTH						33	29.20		43	38.05		37	32.74			Excluded																	113	
		TOTAL					1003	40.22		1120	44.91		371	14.88																				2494	
	NINTH						194	52.29		177	47.71			Excluded																				371	
		TOTAL					1197	48.00		1297	52.00																							2494	
							Elected																												
																																			
Broome                                                         																																			
	FIRST			101	3.82		953	36.07		1065	40.31		140	5.30		241	9.12		14	0.53		55	2.08		11	0.42		0	0.00		62	2.35		2642	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		101	3.82		953	36.07		1065	40.31		140	5.30		241	9.12		14	0.53		55	2.08		11	0.42					62	2.35		2642	
	THIRD			0	0.00		1	7.14		4	28.57		0	0.00		3	21.43			Excluded		2	14.29		3	21.43					1	7.14		14	
		TOTAL		101	3.82		954	36.11		1069	40.46		140	5.30		244	9.24					57	2.16		14	0.53					63	2.38		2642	
	FOURTH			2	14.29		1	7.14		1	7.14		2	14.29		1	7.14					6	42.86			Excluded					1	7.14		14	
		TOTAL		103	3.90		955	36.15		1070	40.50		142	5.37		245	9.27					63	2.38								64	2.42		2642	
	FIFTH			5	7.81		25	39.06		10	15.63		5	7.81		10	15.63					9	14.06									Excluded		64	
		TOTAL		108	4.09		980	37.09		1080	40.88		147	5.56		255	9.65					72	2.73											2642	
	SIXTH			5	6.94		19	26.39		13	18.06		7	9.72		28	38.89						Excluded											72	
		TOTAL		113	4.28		999	37.81		1093	41.37		154	5.83		283	10.71																	2642	
	SEVENTH				Excluded		32	28.32		33	29.20		9	7.96		39	34.51																	113	
		TOTAL					1031	39.02		1126	42.62		163	6.17		322	12.19																	2642	
	EIGHTH						59	18.32		227	70.50		36	11.18			Excluded																	322	
		TOTAL					1090	41.26		1353	51.21		199	7.53																				2642	
	NINTH						110	55.28		89	44.72			Excluded																				199	
		TOTAL					1200	45.42		1442	54.58																							2642	
							Elected																												
																																			
Broome West                                                    																																			
	FIRST			49	3.62		574	42.46		477	35.28		74	5.47		109	8.06		11	0.81		27	2.00		6	0.44		0	0.00		25	1.85		1352	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		49	3.62		574	42.46		477	35.28		74	5.47		109	8.06		11	0.81		27	2.00		6	0.44					25	1.85		1352	
	THIRD			0	0.00		3	27.27		3	27.27		0	0.00		3	27.27			Excluded		1	9.09		1	9.09					0	0.00		11	
		TOTAL		49	3.62		577	42.68		480	35.50		74	5.47		112	8.28					28	2.07		7	0.52					25	1.85		1352	
	FOURTH			0	0.00		0	0.00		1	14.29		1	14.29		0	0.00					5	71.43			Excluded					0	0.00		7	
		TOTAL		49	3.62		577	42.68		481	35.58		75	5.55		112	8.28					33	2.44								25	1.85		1352	
	FIFTH			2	8.00		10	40.00		6	24.00		2	8.00		1	4.00					4	16.00									Excluded		25	
		TOTAL		51	3.77		587	43.42		487	36.02		77	5.70		113	8.36					37	2.74											1352	
	SIXTH			10	27.03		3	8.11		4	10.81		3	8.11		17	45.95						Excluded											37	
		TOTAL		61	4.51		590	43.64		491	36.32		80	5.92		130	9.62																	1352	
	SEVENTH				Excluded		22	36.07		11	18.03		8	13.11		20	32.79																	61	
		TOTAL					612	45.27		502	37.13		88	6.51		150	11.09																	1352	
	EIGHTH						34	22.67		95	63.33		21	14.00			Excluded																	150	
		TOTAL					646	47.78		597	44.16		109	8.06																				1352	
	NINTH						65	59.63		44	40.37			Excluded																				109	
		TOTAL					711	52.59		641	47.41																							1352	
							Elected																												
																																			
Bullfinch                                                      																																			
	FIRST			1	2.44		19	46.34		6	14.63		13	31.71		0	0.00		0	0.00		2	4.88		0	0.00		0	0.00		0	0.00		41	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	2.44		19	46.34		6	14.63		13	31.71		0	0.00		0	0.00		2	4.88		0	0.00					0	0.00		41	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	2.44		19	46.34		6	14.63		13	31.71		0	0.00					2	4.88		0	0.00					0	0.00		41	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		1	2.44		19	46.34		6	14.63		13	31.71		0	0.00					2	4.88								0	0.00		41	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		0	
		TOTAL		1	2.44		19	46.34		6	14.63		13	31.71		0	0.00					2	4.88											41	
	SIXTH			1	50.00		0	0.00		0	0.00		0	0.00		1	50.00						Excluded											2	
		TOTAL		2	4.88		19	46.34		6	14.63		13	31.71		1	2.44																	41	
	SEVENTH				Excluded		0	0.00		0	0.00		1	50.00		1	50.00																	2	
		TOTAL					19	46.34		6	14.63		14	34.15		2	4.88																	41	
	EIGHTH						0	0.00		0	0.00		2	100.00			Excluded																	2	
		TOTAL					19	46.34		6	14.63		16	39.02																				41	
	NINTH						8	50.00		8	50.00			Excluded																				16	
		TOTAL					27	65.85		14	34.15																							41	
							Elected																												
																																			
Burracoppin                                                    																																			
	FIRST			3	4.55		47	71.21		4	6.06		6	9.09		1	1.52		0	0.00		0	0.00		0	0.00		0	0.00		5	7.58		66	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	4.55		47	71.21		4	6.06		6	9.09		1	1.52		0	0.00		0	0.00		0	0.00					5	7.58		66	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		3	4.55		47	71.21		4	6.06		6	9.09		1	1.52					0	0.00		0	0.00					5	7.58		66	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		3	4.55		47	71.21		4	6.06		6	9.09		1	1.52					0	0.00								5	7.58		66	
	FIFTH			1	20.00		4	80.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		5	
		TOTAL		4	6.06		51	77.27		4	6.06		6	9.09		1	1.52					0	0.00											66	
	SIXTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded											0	
		TOTAL		4	6.06		51	77.27		4	6.06		6	9.09		1	1.52																	66	
	SEVENTH				Excluded		2	50.00		1	25.00		1	25.00		0	0.00																	4	
		TOTAL					53	80.30		5	7.58		7	10.61		1	1.52																	66	
	EIGHTH						1	100.00		0	0.00		0	0.00			Excluded																	1	
		TOTAL					54	81.82		5	7.58		7	10.61																				66	
	NINTH						3	42.86		4	57.14			Excluded																				7	
		TOTAL					57	86.36		9	13.64																							66	
							Elected																												
																																			
Carnarvon                                                      																																			
	FIRST			46	3.32		599	43.28		473	34.18		154	11.13		48	3.47		14	1.01		14	1.01		7	0.51		4	0.29		25	1.81		1384	
	SECOND			0	0.00		0	0.00		0	0.00		1	25.00		0	0.00		1	25.00		0	0.00		2	50.00			Excluded		0	0.00		4	
		TOTAL		46	3.32		599	43.28		473	34.18		155	11.20		48	3.47		15	1.08		14	1.01		9	0.65					25	1.81		1384	
	THIRD			2	13.33		3	20.00		6	40.00		1	6.67		1	6.67			Excluded		2	13.33		0	0.00					0	0.00		15	
		TOTAL		48	3.47		602	43.50		479	34.61		156	11.27		49	3.54					16	1.16		9	0.65					25	1.81		1384	
	FOURTH			0	0.00		0	0.00		0	0.00		1	11.11		1	11.11					5	55.56			Excluded					2	22.22		9	
		TOTAL		48	3.47		602	43.50		479	34.61		157	11.34		50	3.61					21	1.52								27	1.95		1384	
	FIFTH			2	7.41		17	62.96		2	7.41		1	3.70		1	3.70					4	14.81									Excluded		27	
		TOTAL		50	3.61		619	44.73		481	34.75		158	11.42		51	3.68					25	1.81											1384	
	SIXTH			6	24.00		3	12.00		5	20.00		8	32.00		3	12.00						Excluded											25	
		TOTAL		56	4.05		622	44.94		486	35.12		166	11.99		54	3.90																	1384	
	SEVENTH				Excluded		16	28.57		11	19.64		7	12.50		22	39.29																	56	
		TOTAL					638	46.10		497	35.91		173	12.50		76	5.49																	1384	
	EIGHTH						29	38.16		34	44.74		13	17.11			Excluded																	76	
		TOTAL					667	48.19		531	38.37		186	13.44																				1384	
	NINTH						116	62.37		70	37.63			Excluded																				186	
		TOTAL					783	56.58		601	43.42																							1384	
							Elected																												
																																			
Carnarvon East                                                 																																			
	FIRST			31	2.85		523	48.07		333	30.61		143	13.14		21	1.93		8	0.74		7	0.64		3	0.28		0	0.00		19	1.75		1088	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		31	2.85		523	48.07		333	30.61		143	13.14		21	1.93		8	0.74		7	0.64		3	0.28					19	1.75		1088	
	THIRD			2	25.00		1	12.50		0	0.00		1	12.50		2	25.00			Excluded		2	25.00		0	0.00					0	0.00		8	
		TOTAL		33	3.03		524	48.16		333	30.61		144	13.24		23	2.11					9	0.83		3	0.28					19	1.75		1088	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		1	33.33					2	66.67			Excluded					0	0.00		3	
		TOTAL		33	3.03		524	48.16		333	30.61		144	13.24		24	2.21					11	1.01								19	1.75		1088	
	FIFTH			2	10.53		10	52.63		3	15.79		1	5.26		1	5.26					2	10.53									Excluded		19	
		TOTAL		35	3.22		534	49.08		336	30.88		145	13.33		25	2.30					13	1.19											1088	
	SIXTH			3	23.08		2	15.38		0	0.00		2	15.38		6	46.15						Excluded											13	
		TOTAL		38	3.49		536	49.26		336	30.88		147	13.51		31	2.85																	1088	
	SEVENTH				Excluded		13	34.21		11	28.95		2	5.26		12	31.58																	38	
		TOTAL					549	50.46		347	31.89		149	13.69		43	3.95																	1088	
	EIGHTH						14	32.56		16	37.21		13	30.23			Excluded																	43	
		TOTAL					563	51.75		363	33.36		162	14.89																				1088	
	NINTH						114	70.37		48	29.63			Excluded																				162	
		TOTAL					677	62.22		411	37.78																							1088	
							Elected																												
																																			
Cascade                                                        																																			
	FIRST			0	0.00		61	74.39		2	2.44		11	13.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	9.76		82	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		61	74.39		2	2.44		11	13.41		0	0.00		0	0.00		0	0.00		0	0.00					8	9.76		82	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		61	74.39		2	2.44		11	13.41		0	0.00					0	0.00		0	0.00					8	9.76		82	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		0	0.00		61	74.39		2	2.44		11	13.41		0	0.00					0	0.00								8	9.76		82	
	FIFTH			0	0.00		7	87.50		0	0.00		0	0.00		0	0.00					1	12.50									Excluded		8	
		TOTAL		0	0.00		68	82.93		2	2.44		11	13.41		0	0.00					1	1.22											82	
	SIXTH			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00						Excluded											1	
		TOTAL		0	0.00		69	84.15		2	2.44		11	13.41		0	0.00																	82	
	SEVENTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00																	0	
		TOTAL					69	84.15		2	2.44		11	13.41		0	0.00																	82	
	EIGHTH						0	0.00		0	0.00		0	0.00			Excluded																	0	
		TOTAL					69	84.15		2	2.44		11	13.41																				82	
	NINTH						9	81.82		2	18.18			Excluded																				11	
		TOTAL					78	95.12		4	4.88																							82	
							Elected																												
																																			
Castletown                                                     																																			
	FIRST			54	2.84		1036	54.50		424	22.30		196	10.31		68	3.58		7	0.37		48	2.52		9	0.47		2	0.11		57	3.00		1901	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		2	
		TOTAL		54	2.84		1036	54.50		424	22.30		196	10.31		68	3.58		7	0.37		48	2.52		11	0.58					57	3.00		1901	
	THIRD			4	57.14		0	0.00		1	14.29		0	0.00		0	0.00			Excluded		1	14.29		0	0.00					1	14.29		7	
		TOTAL		58	3.05		1036	54.50		425	22.36		196	10.31		68	3.58					49	2.58		11	0.58					58	3.05		1901	
	FOURTH			0	0.00		0	0.00		0	0.00		2	18.18		3	27.27					3	27.27			Excluded					3	27.27		11	
		TOTAL		58	3.05		1036	54.50		425	22.36		198	10.42		71	3.73					52	2.74								61	3.21		1901	
	FIFTH			2	3.28		34	55.74		5	8.20		6	9.84		2	3.28					12	19.67									Excluded		61	
		TOTAL		60	3.16		1070	56.29		430	22.62		204	10.73		73	3.84					64	3.37											1901	
	SIXTH			7	10.94		19	29.69		7	10.94		16	25.00		15	23.44						Excluded											64	
		TOTAL		67	3.52		1089	57.29		437	22.99		220	11.57		88	4.63																	1901	
	SEVENTH				Excluded		26	38.81		12	17.91		8	11.94		21	31.34																	67	
		TOTAL					1115	58.65		449	23.62		228	11.99		109	5.73																	1901	
	EIGHTH						26	23.85		56	51.38		27	24.77			Excluded																	109	
		TOTAL					1141	60.02		505	26.56		255	13.41																				1901	
	NINTH						150	58.82		105	41.18			Excluded																				255	
		TOTAL					1291	67.91		610	32.09																							1901	
							Elected																												
																																			
Condingup                                                      																																			
	FIRST			2	0.88		147	65.04		35	15.49		17	7.52		1	0.44		1	0.44		4	1.77		0	0.00		0	0.00		19	8.41		226	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	0.88		147	65.04		35	15.49		17	7.52		1	0.44		1	0.44		4	1.77		0	0.00					19	8.41		226	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		1	
		TOTAL		2	0.88		147	65.04		35	15.49		17	7.52		1	0.44					5	2.21		0	0.00					19	8.41		226	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		2	0.88		147	65.04		35	15.49		17	7.52		1	0.44					5	2.21								19	8.41		226	
	FIFTH			1	5.26		14	73.68		1	5.26		3	15.79		0	0.00					0	0.00									Excluded		19	
		TOTAL		3	1.33		161	71.24		36	15.93		20	8.85		1	0.44					5	2.21											226	
	SIXTH			1	20.00		0	0.00		0	0.00		1	20.00		3	60.00						Excluded											5	
		TOTAL		4	1.77		161	71.24		36	15.93		21	9.29		4	1.77																	226	
	SEVENTH				Excluded		1	25.00		2	50.00		0	0.00		1	25.00																	4	
		TOTAL					162	71.68		38	16.81		21	9.29		5	2.21																	226	
	EIGHTH						0	0.00		2	40.00		3	60.00			Excluded																	5	
		TOTAL					162	71.68		40	17.70		24	10.62																				226	
	NINTH						16	66.67		8	33.33			Excluded																				24	
		TOTAL					178	78.76		48	21.24																							226	
							Elected																												
																																			
Cooke Point                                                    																																			
	FIRST			16	3.23		216	43.64		175	35.35		32	6.46		18	3.64		0	0.00		30	6.06		2	0.40		1	0.20		5	1.01		495	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		17	3.43		216	43.64		175	35.35		32	6.46		18	3.64		0	0.00		30	6.06		2	0.40					5	1.01		495	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		17	3.43		216	43.64		175	35.35		32	6.46		18	3.64					30	6.06		2	0.40					5	1.01		495	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		2	100.00					0	0.00			Excluded					0	0.00		2	
		TOTAL		17	3.43		216	43.64		175	35.35		32	6.46		20	4.04					30	6.06								5	1.01		495	
	FIFTH			1	20.00		4	80.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		5	
		TOTAL		18	3.64		220	44.44		175	35.35		32	6.46		20	4.04					30	6.06											495	
	SIXTH			4	13.33		9	30.00		9	30.00		5	16.67		3	10.00						Excluded											30	
		TOTAL		22	4.44		229	46.26		184	37.17		37	7.47		23	4.65																	495	
	SEVENTH				Excluded		9	40.91		7	31.82		2	9.09		4	18.18																	22	
		TOTAL					238	48.08		191	38.59		39	7.88		27	5.45																	495	
	EIGHTH						7	25.93		13	48.15		7	25.93			Excluded																	27	
		TOTAL					245	49.49		204	41.21		46	9.29																				495	
	NINTH						22	47.83		24	52.17			Excluded																				46	
		TOTAL					267	53.94		228	46.06																							495	
							Elected																												
																																			
Coolgardie                                                     																																			
	FIRST			4	1.03		135	34.70		141	36.25		67	17.22		5	1.29		10	2.57		16	4.11		6	1.54		1	0.26		4	1.03		389	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		4	1.03		135	34.70		141	36.25		67	17.22		5	1.29		11	2.83		16	4.11		6	1.54					4	1.03		389	
	THIRD			1	9.09		1	9.09		3	27.27		3	27.27		0	0.00			Excluded		1	9.09		1	9.09					1	9.09		11	
		TOTAL		5	1.29		136	34.96		144	37.02		70	17.99		5	1.29					17	4.37		7	1.80					5	1.29		389	
	FOURTH			0	0.00		0	0.00		1	14.29		1	14.29		0	0.00					4	57.14			Excluded					1	14.29		7	
		TOTAL		5	1.29		136	34.96		145	37.28		71	18.25		5	1.29					21	5.40								6	1.54		389	
	FIFTH			1	16.67		3	50.00		0	0.00		0	0.00		0	0.00					2	33.33									Excluded		6	
		TOTAL		6	1.54		139	35.73		145	37.28		71	18.25		5	1.29					23	5.91											389	
	SIXTH			1	4.35		5	21.74		3	13.04		6	26.09		8	34.78						Excluded											23	
		TOTAL		7	1.80		144	37.02		148	38.05		77	19.79		13	3.34																	389	
	SEVENTH				Excluded		5	71.43		2	28.57		0	0.00		0	0.00																	7	
		TOTAL					149	38.30		150	38.56		77	19.79		13	3.34																	389	
	EIGHTH						3	23.08		5	38.46		5	38.46			Excluded																	13	
		TOTAL					152	39.07		155	39.85		82	21.08																				389	
	NINTH						30	36.59		52	63.41			Excluded																				82	
		TOTAL					182	46.79		207	53.21																							389	
							Elected																												
																																			
Coral Bay                                                      																																			
	FIRST			4	4.76		42	50.00		21	25.00		7	8.33		7	8.33		0	0.00		0	0.00		2	2.38		0	0.00		1	1.19		84	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	4.76		42	50.00		21	25.00		7	8.33		7	8.33		0	0.00		0	0.00		2	2.38					1	1.19		84	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
