House of Representatives - 2001 Election: Western Australia																												
Distribution of Preferences 																												
By Polling Place																												
																												
Forrest																												
					GIORGI			HARVEY			CALDWELL			PROSSER			WYLIE			LLEWELLYN			KIRWAN			SMITH		
	FOURTH			1	14.29						Excluded		6	85.71		0	0.00		0	0.00					0	0.00		7
		TOTAL		68	19.26								90	25.50		11	3.12		17	4.82					167	47.31		353
	FIFTH			0	0.00								2	18.18			Excluded		5	45.45					4	36.36		11
		TOTAL		68	19.26								92	26.06					22	6.23					171	48.44		353
	SIXTH			3	13.64								5	22.73						Excluded					14	63.64		22
		TOTAL		71	20.11								97	27.48											185	52.41		353
	SEVENTH				Excluded								41	57.75											30	42.25		71
		TOTAL											138	39.09											215	60.91		353
													Elected															
																												
Augusta                                                        																												
	FIRST			98	12.86		2	0.26		12	1.57		419	54.99		18	2.36		48	6.30		0	0.00		165	21.65		762
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00		2
		TOTAL		98	12.86					12	1.57		419	54.99		18	2.36		48	6.30		0	0.00		167	21.92		762
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		98	12.86					12	1.57		419	54.99		18	2.36		48	6.30					167	21.92		762
	FOURTH			5	41.67						Excluded		6	50.00		1	8.33		0	0.00					0	0.00		12
		TOTAL		103	13.52								425	55.77		19	2.49		48	6.30					167	21.92		762
	FIFTH			3	15.79								5	26.32			Excluded		8	42.11					3	15.79		19
		TOTAL		106	13.91								430	56.43					56	7.35					170	22.31		762
	SIXTH			5	8.93								14	25.00						Excluded					37	66.07		56
		TOTAL		111	14.57								444	58.27											207	27.17		762
	SEVENTH				Excluded								79	71.17											32	28.83		111
		TOTAL											523	68.64											239	31.36		762
													Elected															
																												
Australind                                                     																												
	FIRST			253	9.14		6	0.22		49	1.77		1384	50.02		87	3.14		129	4.66		11	0.40		848	30.65		2767
	SECOND			2	33.33			Excluded		1	16.67		1	16.67		0	0.00		2	33.33		0	0.00		0	0.00		6
		TOTAL		255	9.22					50	1.81		1385	50.05		87	3.14		131	4.73		11	0.40		848	30.65		2767
	THIRD			0	0.00					1	9.09		2	18.18		0	0.00		2	18.18			Excluded		6	54.55		11
		TOTAL		255	9.22					51	1.84		1387	50.13		87	3.14		133	4.81					854	30.86		2767
	FOURTH			8	15.69						Excluded		29	56.86		6	11.76		5	9.80					3	5.88		51
		TOTAL		263	9.50								1416	51.17		93	3.36		138	4.99					857	30.97		2767
	FIFTH			6	6.45								20	21.51			Excluded		46	49.46					21	22.58		93
		TOTAL		269	9.72								1436	51.90					184	6.65					878	31.73		2767
	SIXTH			24	13.04								44	23.91						Excluded					116	63.04		184
		TOTAL		293	10.59								1480	53.49											994	35.92		2767
	SEVENTH				Excluded								194	66.21											99	33.79		293
		TOTAL											1674	60.50											1093	39.50		2767
													Elected															
																												
Australind East                                                																												
	FIRST			18	8.07		4	1.79		3	1.35		106	47.53		16	7.17		6	2.69		1	0.45		69	30.94		223
	SECOND			2	50.00			Excluded		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		1	25.00		4
		TOTAL		20	8.97					3	1.35		107	47.98		16	7.17		6	2.69		1	0.45		70	31.39		223
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		20	8.97					3	1.35		107	47.98		16	7.17		6	2.69					71	31.84		223
	FOURTH			1	33.33						Excluded		2	66.67		0	0.00		0	0.00					0	0.00		3
		TOTAL		21	9.42								109	48.88		16	7.17		6	2.69					71	31.84		223
	FIFTH			1	6.25								4	25.00			Excluded		7	43.75					4	25.00		16
		TOTAL		22	9.87								113	50.67					13	5.83					75	33.63		223
	SIXTH			2	15.38								4	30.77						Excluded					7	53.85		13
		TOTAL		24	10.76								117	52.47											82	36.77		223
	SEVENTH				Excluded								17	70.83											7	29.17		24
		TOTAL											134	60.09											89	39.91		223
													Elected															
																												
Australind North                                               																												
	FIRST			42	9.42		0	0.00		3	0.67		201	45.07		20	4.48		24	5.38		4	0.90		152	34.08		446
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		42	9.42					3	0.67		201	45.07		20	4.48		24	5.38		4	0.90		152	34.08		446
	THIRD			1	25.00					0	0.00		1	25.00		0	0.00		1	25.00			Excluded		1	25.00		4
		TOTAL		43	9.64					3	0.67		202	45.29		20	4.48		25	5.61					153	34.30		446
	FOURTH			0	0.00						Excluded		2	66.67		0	0.00		1	33.33					0	0.00		3
		TOTAL		43	9.64								204	45.74		20	4.48		26	5.83					153	34.30		446
	FIFTH			2	10.00								5	25.00			Excluded		10	50.00					3	15.00		20
		TOTAL		45	10.09								209	46.86					36	8.07					156	34.98		446
	SIXTH			5	13.89								9	25.00						Excluded					22	61.11		36
		TOTAL		50	11.21								218	48.88											178	39.91		446
	SEVENTH				Excluded								33	66.00											17	34.00		50
		TOTAL											251	56.28											195	43.72		446
													Elected															
																												
Balingup                                                       																												
	FIRST			29	8.63		3	0.89		10	2.98		151	44.94		14	4.17		66	19.64		0	0.00		63	18.75		336
	SECOND			0	0.00			Excluded		1	33.33		0	0.00		1	33.33		0	0.00		1	33.33		0	0.00		3
		TOTAL		29	8.63					11	3.27		151	44.94		15	4.46		66	19.64		1	0.30		63	18.75		336
	THIRD			1	100.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1
		TOTAL		30	8.93					11	3.27		151	44.94		15	4.46		66	19.64					63	18.75		336
	FOURTH			0	0.00						Excluded		7	63.64		3	27.27		1	9.09					0	0.00		11
		TOTAL		30	8.93								158	47.02		18	5.36		67	19.94					63	18.75		336
	FIFTH			2	11.11								3	16.67			Excluded		8	44.44					5	27.78		18
		TOTAL		32	9.52								161	47.92					75	22.32					68	20.24		336
	SIXTH			4	5.33								8	10.67						Excluded					63	84.00		75
		TOTAL		36	10.71								169	50.30											131	38.99		336
	SEVENTH				Excluded								20	55.56											16	44.44		36
		TOTAL											189	56.25											147	43.75		336
													Elected															
																												
Binningup                                                      																												
	FIRST			53	10.02		2	0.38		11	2.08		280	52.93		13	2.46		38	7.18		1	0.19		131	24.76		529
	SECOND			1	50.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		54	10.21					12	2.27		280	52.93		13	2.46		38	7.18		1	0.19		131	24.76		529
	THIRD			1	100.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1
		TOTAL		55	10.40					12	2.27		280	52.93		13	2.46		38	7.18					131	24.76		529
	FOURTH			1	8.33						Excluded		11	91.67		0	0.00		0	0.00					0	0.00		12
		TOTAL		56	10.59								291	55.01		13	2.46		38	7.18					131	24.76		529
	FIFTH			0	0.00								2	15.38			Excluded		9	69.23					2	15.38		13
		TOTAL		56	10.59								293	55.39					47	8.88					133	25.14		529
	SIXTH			12	25.53								4	8.51						Excluded					31	65.96		47
		TOTAL		68	12.85								297	56.14											164	31.00		529
	SEVENTH				Excluded								43	63.24											25	36.76		68
		TOTAL											340	64.27											189	35.73		529
													Elected															
																												
Boyanup                                                        																												
	FIRST			86	12.80		3	0.45		11	1.64		311	46.28		26	3.87		40	5.95		4	0.60		191	28.42		672
	SECOND			1	33.33			Excluded		1	33.33		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL		87	12.95					12	1.79		311	46.28		26	3.87		41	6.10		4	0.60		191	28.42		672
	THIRD			0	0.00					1	25.00		1	25.00		0	0.00		0	0.00			Excluded		2	50.00		4
		TOTAL		87	12.95					13	1.93		312	46.43		26	3.87		41	6.10					193	28.72		672
	FOURTH			2	15.38						Excluded		7	53.85		2	15.38		1	7.69					1	7.69		13
		TOTAL		89	13.24								319	47.47		28	4.17		42	6.25					194	28.87		672
	FIFTH			2	7.14								7	25.00			Excluded		12	42.86					7	25.00		28
		TOTAL		91	13.54								326	48.51					54	8.04					201	29.91		672
	SIXTH			10	18.52								13	24.07						Excluded					31	57.41		54
		TOTAL		101	15.03								339	50.45											232	34.52		672
	SEVENTH				Excluded								65	64.36											36	35.64		101
		TOTAL											404	60.12											268	39.88		672
													Elected															
																												
Bridgetown                                                     																												
	FIRST			152	9.22		3	0.18		37	2.24		708	42.94		76	4.61		199	12.07		7	0.42		467	28.32		1649
	SECOND			1	33.33			Excluded		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		1	33.33		3
		TOTAL		153	9.28					37	2.24		708	42.94		77	4.67		199	12.07		7	0.42		468	28.38		1649
	THIRD			2	28.57					0	0.00		1	14.29		0	0.00		3	42.86			Excluded		1	14.29		7
		TOTAL		155	9.40					37	2.24		709	43.00		77	4.67		202	12.25					469	28.44		1649
	FOURTH			4	10.81						Excluded		21	56.76		5	13.51		3	8.11					4	10.81		37
		TOTAL		159	9.64								730	44.27		82	4.97		205	12.43					473	28.68		1649
	FIFTH			6	7.32								14	17.07			Excluded		38	46.34					24	29.27		82
		TOTAL		165	10.01								744	45.12					243	14.74					497	30.14		1649
	SIXTH			17	7.00								42	17.28						Excluded					184	75.72		243
		TOTAL		182	11.04								786	47.67											681	41.30		1649
	SEVENTH				Excluded								119	65.38											63	34.62		182
		TOTAL											905	54.88											744	45.12		1649
													Elected															
																												
Brookhampton                                                   																												
	FIRST			11	8.59		0	0.00		6	4.69		86	67.19		2	1.56		7	5.47		0	0.00		16	12.50		128
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		11	8.59					6	4.69		86	67.19		2	1.56		7	5.47		0	0.00		16	12.50		128
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		11	8.59					6	4.69		86	67.19		2	1.56		7	5.47					16	12.50		128
	FOURTH			0	0.00						Excluded		4	66.67		0	0.00		2	33.33					0	0.00		6
		TOTAL		11	8.59								90	70.31		2	1.56		9	7.03					16	12.50		128
	FIFTH			0	0.00								1	50.00			Excluded		1	50.00					0	0.00		2
		TOTAL		11	8.59								91	71.09					10	7.81					16	12.50		128
	SIXTH			1	10.00								3	30.00						Excluded					6	60.00		10
		TOTAL		12	9.38								94	73.44											22	17.19		128
	SEVENTH				Excluded								8	66.67											4	33.33		12
		TOTAL											102	79.69											26	20.31		128
													Elected															
																												
Brunswick                                                      																												
	FIRST			97	12.92		8	1.07		10	1.33		385	51.26		18	2.40		46	6.13		5	0.67		182	24.23		751
	SECOND			3	37.50			Excluded		1	12.50		2	25.00		1	12.50		1	12.50		0	0.00		0	0.00		8
		TOTAL		100	13.32					11	1.46		387	51.53		19	2.53		47	6.26		5	0.67		182	24.23		751
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		5	100.00		5
		TOTAL		100	13.32					11	1.46		387	51.53		19	2.53		47	6.26					187	24.90		751
	FOURTH			2	18.18						Excluded		6	54.55		0	0.00		2	18.18					1	9.09		11
		TOTAL		102	13.58								393	52.33		19	2.53		49	6.52					188	25.03		751
	FIFTH			6	31.58								6	31.58			Excluded		3	15.79					4	21.05		19
		TOTAL		108	14.38								399	53.13					52	6.92					192	25.57		751
	SIXTH			8	15.38								14	26.92						Excluded					30	57.69		52
		TOTAL		116	15.45								413	54.99											222	29.56		751
	SEVENTH				Excluded								87	75.00											29	25.00		116
		TOTAL											500	66.58											251	33.42		751
													Elected															
																												
Bunbury                                                        																												
	FIRST			73	6.05		7	0.58		18	1.49		587	48.67		38	3.15		118	9.78		6	0.50		359	29.77		1206
	SECOND			3	42.86			Excluded		1	14.29		0	0.00		0	0.00		1	14.29		1	14.29		1	14.29		7
		TOTAL		76	6.30					19	1.58		587	48.67		38	3.15		119	9.87		7	0.58		360	29.85		1206
	THIRD			0	0.00					2	28.57		1	14.29		1	14.29		1	14.29			Excluded		2	28.57		7
		TOTAL		76	6.30					21	1.74		588	48.76		39	3.23		120	9.95					362	30.02		1206
	FOURTH			5	23.81						Excluded		10	47.62		3	14.29		1	4.76					2	9.52		21
		TOTAL		81	6.72								598	49.59		42	3.48		121	10.03					364	30.18		1206
	FIFTH			3	7.14								8	19.05			Excluded		18	42.86					13	30.95		42
		TOTAL		84	6.97								606	50.25					139	11.53					377	31.26		1206
	SIXTH			15	10.79								27	19.42						Excluded					97	69.78		139
		TOTAL		99	8.21								633	52.49											474	39.30		1206
	SEVENTH				Excluded								54	54.55											45	45.45		99
		TOTAL											687	56.97											519	43.03		1206
													Elected															
																												
Bunbury Central                                                																												
	FIRST			71	6.81		5	0.48		22	2.11		512	49.14		38	3.65		89	8.54		6	0.58		299	28.69		1042
	SECOND			1	20.00			Excluded		0	0.00		1	20.00		1	20.00		0	0.00		1	20.00		1	20.00		5
		TOTAL		72	6.91					22	2.11		513	49.23		39	3.74		89	8.54		7	0.67		300	28.79		1042
	THIRD			2	28.57					1	14.29		0	0.00		3	42.86		1	14.29			Excluded		0	0.00		7
		TOTAL		74	7.10					23	2.21		513	49.23		42	4.03		90	8.64					300	28.79		1042
	FOURTH			2	8.70						Excluded		14	60.87		6	26.09		1	4.35					0	0.00		23
		TOTAL		76	7.29								527	50.58		48	4.61		91	8.73					300	28.79		1042
	FIFTH			5	10.42								10	20.83			Excluded		23	47.92					10	20.83		48
		TOTAL		81	7.77								537	51.54					114	10.94					310	29.75		1042
	SIXTH			13	11.40								32	28.07						Excluded					69	60.53		114
		TOTAL		94	9.02								569	54.61											379	36.37		1042
	SEVENTH				Excluded								50	53.19											44	46.81		94
		TOTAL											619	59.40											423	40.60		1042
													Elected															
																												
Bunbury East                                                   																												
	FIRST			172	8.95		1	0.05		18	0.94		869	45.21		52	2.71		144	7.49		20	1.04		646	33.61		1922
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		173	9.00					18	0.94		869	45.21		52	2.71		144	7.49		20	1.04		646	33.61		1922
	THIRD			1	5.00					0	0.00		2	10.00		2	10.00		3	15.00			Excluded		12	60.00		20
		TOTAL		174	9.05					18	0.94		871	45.32		54	2.81		147	7.65					658	34.24		1922
	FOURTH			1	5.56						Excluded		12	66.67		1	5.56		3	16.67					1	5.56		18
		TOTAL		175	9.11								883	45.94		55	2.86		150	7.80					659	34.29		1922
	FIFTH			4	7.27								9	16.36			Excluded		31	56.36					11	20.00		55
		TOTAL		179	9.31								892	46.41					181	9.42					670	34.86		1922
	SIXTH			15	8.29								38	20.99						Excluded					128	70.72		181
		TOTAL		194	10.09								930	48.39											798	41.52		1922
	SEVENTH				Excluded								125	64.43											69	35.57		194
		TOTAL											1055	54.89											867	45.11		1922
													Elected															
																												
Burekup                                                        																												
	FIRST			50	12.95		0	0.00		19	4.92		187	48.45		14	3.63		25	6.48		6	1.55		85	22.02		386
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		50	12.95					19	4.92		187	48.45		14	3.63		25	6.48		6	1.55		85	22.02		386
	THIRD			1	16.67					0	0.00		0	0.00		0	0.00		2	33.33			Excluded		3	50.00		6
		TOTAL		51	13.21					19	4.92		187	48.45		14	3.63		27	6.99					88	22.80		386
	FOURTH			1	5.26						Excluded		11	57.89		3	15.79		3	15.79					1	5.26		19
		TOTAL		52	13.47								198	51.30		17	4.40		30	7.77					89	23.06		386
	FIFTH			0	0.00								2	11.76			Excluded		8	47.06					7	41.18		17
		TOTAL		52	13.47								200	51.81					38	9.84					96	24.87		386
	SIXTH			7	18.42								13	34.21						Excluded					18	47.37		38
		TOTAL		59	15.28								213	55.18											114	29.53		386
	SEVENTH				Excluded								42	71.19											17	28.81		59
		TOTAL											255	66.06											131	33.94		386
													Elected															
																												
Busselton                                                      																												
	FIRST			150	8.14		9	0.49		33	1.79		979	53.15		55	2.99		117	6.35		9	0.49		490	26.60		1842
	SECOND			0	0.00			Excluded		2	22.22		2	22.22		1	11.11		2	22.22		2	22.22		0	0.00		9
		TOTAL		150	8.14					35	1.90		981	53.26		56	3.04		119	6.46		11	0.60		490	26.60		1842
	THIRD			1	9.09					0	0.00		2	18.18		0	0.00		4	36.36			Excluded		4	36.36		11
		TOTAL		151	8.20					35	1.90		983	53.37		56	3.04		123	6.68					494	26.82		1842
	FOURTH			4	11.43						Excluded		24	68.57		5	14.29		1	2.86					1	2.86		35
		TOTAL		155	8.41								1007	54.67		61	3.31		124	6.73					495	26.87		1842
	FIFTH			8	13.11								11	18.03			Excluded		27	44.26					15	24.59		61
		TOTAL		163	8.85								1018	55.27					151	8.20					510	27.69		1842
	SIXTH			31	20.53								25	16.56						Excluded					95	62.91		151
		TOTAL		194	10.53								1043	56.62											605	32.84		1842
	SEVENTH				Excluded								115	59.28											79	40.72		194
		TOTAL											1158	62.87											684	37.13		1842
													Elected															
																												
Busselton East                                                 																												
	FIRST			133	9.12		5	0.34		20	1.37		810	55.52		37	2.54		71	4.87		9	0.62		374	25.63		1459
	SECOND			1	20.00			Excluded		3	60.00		0	0.00		0	0.00		1	20.00		0	0.00		0	0.00		5
		TOTAL		134	9.18					23	1.58		810	55.52		37	2.54		72	4.93		9	0.62		374	25.63		1459
	THIRD			0	0.00					0	0.00		1	11.11		1	11.11		1	11.11			Excluded		6	66.67		9
		TOTAL		134	9.18					23	1.58		811	55.59		38	2.60		73	5.00					380	26.05		1459
	FOURTH			4	17.39						Excluded		12	52.17		1	4.35		5	21.74					1	4.35		23
		TOTAL		138	9.46								823	56.41		39	2.67		78	5.35					381	26.11		1459
	FIFTH			4	10.26								7	17.95			Excluded		21	53.85					7	17.95		39
		TOTAL		142	9.73								830	56.89					99	6.79					388	26.59		1459
	SIXTH			12	12.12								17	17.17						Excluded					70	70.71		99
		TOTAL		154	10.56								847	58.05											458	31.39		1459
	SEVENTH				Excluded								114	74.03											40	25.97		154
		TOTAL											961	65.87											498	34.13		1459
													Elected															
																												
Busselton South                                                																												
	FIRST			91	6.72		4	0.30		34	2.51		689	50.89		58	4.28		114	8.42		3	0.22		361	26.66		1354
	SECOND			1	25.00			Excluded		0	0.00		1	25.00		1	25.00		0	0.00		1	25.00		0	0.00		4
		TOTAL		92	6.79					34	2.51		690	50.96		59	4.36		114	8.42		4	0.30		361	26.66		1354
	THIRD			1	25.00					0	0.00		0	0.00		2	50.00		0	0.00			Excluded		1	25.00		4
		TOTAL		93	6.87					34	2.51		690	50.96		61	4.51		114	8.42					362	26.74		1354
	FOURTH			5	14.71						Excluded		22	64.71		5	14.71		2	5.88					0	0.00		34
		TOTAL		98	7.24								712	52.58		66	4.87		116	8.57					362	26.74		1354
	FIFTH			4	6.06								13	19.70			Excluded		30	45.45					19	28.79		66
		TOTAL		102	7.53								725	53.55					146	10.78					381	28.14		1354
	SIXTH			27	18.49								32	21.92						Excluded					87	59.59		146
		TOTAL		129	9.53								757	55.91											468	34.56		1354
	SEVENTH				Excluded								88	68.22											41	31.78		129
		TOTAL											845	62.41											509	37.59		1354
													Elected															
																												
Busselton West                                                 																												
	FIRST			245	9.33		4	0.15		55	2.09		1367	52.06		90	3.43		151	5.75		13	0.50		701	26.69		2626
	SECOND			0	0.00			Excluded		1	25.00		2	50.00		0	0.00		1	25.00		0	0.00		0	0.00		4
		TOTAL		245	9.33					56	2.13		1369	52.13		90	3.43		152	5.79		13	0.50		701	26.69		2626
	THIRD			3	23.08					0	0.00		0	0.00		3	23.08		2	15.38			Excluded		5	38.46		13
		TOTAL		248	9.44					56	2.13		1369	52.13		93	3.54		154	5.86					706	26.88		2626
	FOURTH			8	14.29						Excluded		36	64.29		4	7.14		5	8.93					3	5.36		56
		TOTAL		256	9.75								1405	53.50		97	3.69		159	6.05					709	27.00		2626
	FIFTH			8	8.25								24	24.74			Excluded		45	46.39					20	20.62		97
		TOTAL		264	10.05								1429	54.42					204	7.77					729	27.76		2626
	SIXTH			41	20.10								49	24.02						Excluded					114	55.88		204
		TOTAL		305	11.61								1478	56.28											843	32.10		2626
	SEVENTH				Excluded								200	65.57											105	34.43		305
		TOTAL											1678	63.90											948	36.10		2626
													Elected															
																												
Capel                                                          																												
	FIRST			139	10.45		3	0.23		21	1.58		639	48.05		39	2.93		94	7.07		4	0.30		391	29.40		1330
	SECOND			0	0.00			Excluded		0	0.00		1	33.33		1	33.33		0	0.00		1	33.33		0	0.00		3
		TOTAL		139	10.45					21	1.58		640	48.12		40	3.01		94	7.07		5	0.38		391	29.40		1330
	THIRD			1	20.00					0	0.00		1	20.00		1	20.00		0	0.00			Excluded		2	40.00		5
		TOTAL		140	10.53					21	1.58		641	48.20		41	3.08		94	7.07					393	29.55		1330
	FOURTH			6	28.57						Excluded		11	52.38		2	9.52		1	4.76					1	4.76		21
		TOTAL		146	10.98								652	49.02		43	3.23		95	7.14					394	29.62		1330
	FIFTH			4	9.30								11	25.58			Excluded		18	41.86					10	23.26		43
		TOTAL		150	11.28								663	49.85					113	8.50					404	30.38		1330
	SIXTH			20	17.70								22	19.47						Excluded					71	62.83		113
		TOTAL		170	12.78								685	51.50											475	35.71		1330
	SEVENTH				Excluded								86	50.59											84	49.41		170
		TOTAL											771	57.97											559	42.03		1330
													Elected															
																												
Carbunup River                                                 																												
	FIRST			18	5.52		0	0.00		11	3.37		195	59.82		14	4.29		34	10.43		1	0.31		53	16.26		326
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		18	5.52					11	3.37		195	59.82		14	4.29		34	10.43		1	0.31		53	16.26		326
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1
		TOTAL		18	5.52					11	3.37		195	59.82		14	4.29		35	10.74					53	16.26		326
	FOURTH			3	27.27						Excluded		6	54.55		1	9.09		1	9.09					0	0.00		11
		TOTAL		21	6.44								201	61.66		15	4.60		36	11.04					53	16.26		326
	FIFTH			2	13.33								2	13.33			Excluded		9	60.00					2	13.33		15
		TOTAL		23	7.06								203	62.27					45	13.80					55	16.87		326
	SIXTH			6	13.33								10	22.22						Excluded					29	64.44		45
		TOTAL		29	8.90								213	65.34											84	25.77		326
	SEVENTH				Excluded								18	62.07											11	37.93		29
		TOTAL											231	70.86											95	29.14		326
													Elected															
																												
Carey Park                                                     																												
	FIRST			212	10.30		4	0.19		35	1.70		676	32.83		41	1.99		133	6.46		16	0.78		942	45.75		2059
	SECOND			1	25.00			Excluded		1	25.00		1	25.00		1	25.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		213	10.34					36	1.75		677	32.88		42	2.04		133	6.46		16	0.78		942	45.75		2059
	THIRD			0	0.00					1	6.25		1	6.25		3	18.75		6	37.50			Excluded		5	31.25		16
		TOTAL		213	10.34					37	1.80		678	32.93		45	2.19		139	6.75					947	45.99		2059
	FOURTH			3	8.11						Excluded		26	70.27		3	8.11		2	5.41					3	8.11		37
		TOTAL		216	10.49								704	34.19		48	2.33		141	6.85					950	46.14		2059
	FIFTH			7	14.58								5	10.42			Excluded		24	50.00					12	25.00		48
		TOTAL		223	10.83								709	34.43					165	8.01					962	46.72		2059
	SIXTH			29	17.58								27	16.36						Excluded					109	66.06		165
		TOTAL		252	12.24								736	35.75											1071	52.02		2059
	SEVENTH				Excluded								152	60.32											100	39.68		252
		TOTAL											888	43.13											1171	56.87		2059
													Elected															
																												
Carey Park South                                               																												
	FIRST			123	11.55		2	0.19		21	1.97		388	36.43		16	1.50		51	4.79		6	0.56		458	43.00		1065
	SECOND			1	50.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		124	11.64					21	1.97		389	36.53		16	1.50		51	4.79		6	0.56		458	43.00		1065
	THIRD			1	16.67					2	33.33		1	16.67		0	0.00		0	0.00			Excluded		2	33.33		6
		TOTAL		125	11.74					23	2.16		390	36.62		16	1.50		51	4.79					460	43.19		1065
	FOURTH			5	21.74						Excluded		12	52.17		0	0.00		3	13.04					3	13.04		23
		TOTAL		130	12.21								402	37.75		16	1.50		54	5.07					463	43.47		1065
	FIFTH			4	25.00								2	12.50			Excluded		4	25.00					6	37.50		16
		TOTAL		134	12.58								404	37.93					58	5.45					469	44.04		1065
	SIXTH			11	18.97								15	25.86						Excluded					32	55.17		58
		TOTAL		145	13.62								419	39.34											501	47.04		1065
	SEVENTH				Excluded								86	59.31											59	40.69		145
		TOTAL											505	47.42											560	52.58		1065
													Elected															
																												
Clifton Park                                                   																												
	FIRST			49	7.54		1	0.15		4	0.62		342	52.62		20	3.08		27	4.15		3	0.46		204	31.38		650
