House of Representatives - 2001 Election: Tasmania																									
Distribution of Preferences																									
By Polling Place																									
																									
Fremantle																									
					REYNOLDS			SHAVE			HARRIS			SMYTH			DELVES			SWIFT			LAWRENCE		
	THIRD			3	5.26			Excluded					35	61.40		5	8.77		8	14.04		6	10.53		57
		TOTAL		185	7.28								1013	39.88		165	6.50		177	6.97		1000	39.37		2540
	FOURTH			7	3.95								22	12.43		111	62.71			Excluded		37	20.90		177
		TOTAL		192	7.56								1035	40.75		276	10.87					1037	40.83		2540
	FIFTH				Excluded								90	46.88		61	31.77					41	21.35		192
		TOTAL											1125	44.29		337	13.27					1078	42.44		2540
	SIXTH												118	35.01			Excluded					219	64.99		337
		TOTAL											1243	48.94								1297	51.06		2540
																						Elected			
																									
Bicton                                                         																									
	FIRST			138	4.56		30	0.99		20	0.66		1453	48.03		243	8.03		193	6.38		948	31.34		3025
	SECOND			2	10.00		2	10.00			Excluded		6	30.00		6	30.00		3	15.00		1	5.00		20
		TOTAL		140	4.63		32	1.06					1459	48.23		249	8.23		196	6.48		949	31.37		3025
	THIRD			10	31.25			Excluded					20	62.50		1	3.13		1	3.13		0	0.00		32
		TOTAL		150	4.96								1479	48.89		250	8.26		197	6.51		949	31.37		3025
	FOURTH			5	2.54								21	10.66		132	67.01			Excluded		39	19.80		197
		TOTAL		155	5.12								1500	49.59		382	12.63					988	32.66		3025
	FIFTH				Excluded								102	65.81		30	19.35					23	14.84		155
		TOTAL											1602	52.96		412	13.62					1011	33.42		3025
	SIXTH												137	33.25			Excluded					275	66.75		412
		TOTAL											1739	57.49								1286	42.51		3025
																						Elected			
																									
Coogee Beach                                                   																									
	FIRST			151	7.17		14	0.67		5	0.24		771	36.63		122	5.80		112	5.32		930	44.18		2105
	SECOND			2	40.00		0	0.00			Excluded		1	20.00		1	20.00		1	20.00		0	0.00		5
		TOTAL		153	7.27		14	0.67					772	36.67		123	5.84		113	5.37		930	44.18		2105
	THIRD			1	7.14			Excluded					4	28.57		3	21.43		2	14.29		4	28.57		14
		TOTAL		154	7.32								776	36.86		126	5.99		115	5.46		934	44.37		2105
	FOURTH			6	5.22								18	15.65		60	52.17			Excluded		31	26.96		115
		TOTAL		160	7.60								794	37.72		186	8.84					965	45.84		2105
	FIFTH				Excluded								108	67.50		30	18.75					22	13.75		160
		TOTAL											902	42.85		216	10.26					987	46.89		2105
	SIXTH												67	31.02			Excluded					149	68.98		216
		TOTAL											969	46.03								1136	53.97		2105
																						Elected			
																									
Coolbellup                                                     																									
	FIRST			95	7.93		11	0.92		16	1.34		197	16.44		77	6.43		42	3.51		760	63.44		1198
	SECOND			4	25.00		1	6.25			Excluded		2	12.50		5	31.25		0	0.00		4	25.00		16
		TOTAL		99	8.26		12	1.00					199	16.61		82	6.84		42	3.51		764	63.77		1198
	THIRD			3	25.00			Excluded					3	25.00		1	8.33		2	16.67		3	25.00		12
		TOTAL		102	8.51								202	16.86		83	6.93		44	3.67		767	64.02		1198
	FOURTH			6	13.64								6	13.64		21	47.73			Excluded		11	25.00		44
		TOTAL		108	9.02								208	17.36		104	8.68					778	64.94		1198
	FIFTH				Excluded								48	44.44		29	26.85					31	28.70		108
		TOTAL											256	21.37		133	11.10					809	67.53		1198
	SIXTH												30	22.56			Excluded					103	77.44		133
		TOTAL											286	23.87								912	76.13		1198
																						Elected			
																									
Coolbellup East                                                																									
	FIRST			101	8.28		14	1.15		12	0.98		192	15.74		101	8.28		38	3.11		762	62.46		1220
	SECOND			1	8.33		0	0.00			Excluded		0	0.00		7	58.33		4	33.33		0	0.00		12
		TOTAL		102	8.36		14	1.15					192	15.74		108	8.85		42	3.44		762	62.46		1220
	THIRD			2	14.29			Excluded					9	64.29		0	0.00		3	21.43		0	0.00		14
		TOTAL		104	8.52								201	16.48		108	8.85		45	3.69		762	62.46		1220
	FOURTH			1	2.22								5	11.11		25	55.56			Excluded		14	31.11		45
		TOTAL		105	8.61								206	16.89		133	10.90					776	63.61		1220
	FIFTH				Excluded								58	55.24		23	21.90					24	22.86		105
		TOTAL											264	21.64		156	12.79					800	65.57		1220
	SIXTH												38	24.36			Excluded					118	75.64		156
		TOTAL											302	24.75								918	75.25		1220
																						Elected			
																									
East Fremantle                                                 																									
	FIRST			103	4.28		34	1.41		27	1.12		664	27.61		393	16.34		173	7.19		1011	42.04		2405
	SECOND			1	3.70		3	11.11			Excluded		2	7.41		17	62.96		1	3.70		3	11.11		27
		TOTAL		104	4.32		37	1.54					666	27.69		410	17.05		174	7.23		1014	42.16		2405
	THIRD			10	27.03			Excluded					17	45.95		6	16.22		2	5.41		2	5.41		37
		TOTAL		114	4.74								683	28.40		416	17.30		176	7.32		1016	42.25		2405
	FOURTH			4	2.27								23	13.07		109	61.93			Excluded		40	22.73		176
		TOTAL		118	4.91								706	29.36		525	21.83					1056	43.91		2405
	FIFTH				Excluded								68	57.63		19	16.10					31	26.27		118
		TOTAL											774	32.18		544	22.62					1087	45.20		2405
	SIXTH												108	19.85			Excluded					436	80.15		544
		TOTAL											882	36.67								1523	63.33		2405
																						Elected			
																									
Fremantle                                                      																									
	FIRST			60	3.71		20	1.24		19	1.18		360	22.26		313	19.36		110	6.80		735	45.45		1617
	SECOND			1	5.26		0	0.00			Excluded		3	15.79		11	57.89		2	10.53		2	10.53		19
		TOTAL		61	3.77		20	1.24					363	22.45		324	20.04		112	6.93		737	45.58		1617
	THIRD			4	20.00			Excluded					8	40.00		1	5.00		3	15.00		4	20.00		20
		TOTAL		65	4.02								371	22.94		325	20.10		115	7.11		741	45.83		1617
	FOURTH			4	3.48								17	14.78		74	64.35			Excluded		20	17.39		115
		TOTAL		69	4.27								388	24.00		399	24.68					761	47.06		1617
	FIFTH				Excluded								38	55.07		17	24.64					14	20.29		69
		TOTAL											426	26.35		416	25.73					775	47.93		1617
	SIXTH												83	19.95			Excluded					333	80.05		416
		TOTAL											509	31.48								1108	68.52		1617
																						Elected			
																									
Hamilton Hill East                                             																									
	FIRST			102	6.61		19	1.23		8	0.52		328	21.26		137	8.88		65	4.21		884	57.29		1543
	SECOND			1	12.50		2	25.00			Excluded		1	12.50		4	50.00		0	0.00		0	0.00		8
		TOTAL		103	6.68		21	1.36					329	21.32		141	9.14		65	4.21		884	57.29		1543
	THIRD			6	28.57			Excluded					6	28.57		4	19.05		4	19.05		1	4.76		21
		TOTAL		109	7.06								335	21.71		145	9.40		69	4.47		885	57.36		1543
	FOURTH			4	5.80								5	7.25		38	55.07			Excluded		22	31.88		69
		TOTAL		113	7.32								340	22.03		183	11.86					907	58.78		1543
	FIFTH				Excluded								50	44.25		33	29.20					30	26.55		113
		TOTAL											390	25.28		216	14.00					937	60.73		1543
	SIXTH												62	28.70			Excluded					154	71.30		216
		TOTAL											452	29.29								1091	70.71		1543
																						Elected			
																									
Hamilton Hill North                                            																									
	FIRST			110	5.99		23	1.25		10	0.54		403	21.96		130	7.08		69	3.76		1090	59.40		1835
	SECOND			2	20.00		1	10.00			Excluded		0	0.00		3	30.00		3	30.00		1	10.00		10
		TOTAL		112	6.10		24	1.31					403	21.96		133	7.25		72	3.92		1091	59.46		1835
	THIRD			10	41.67			Excluded					5	20.83		4	16.67		1	4.17		4	16.67		24
		TOTAL		122	6.65								408	22.23		137	7.47		73	3.98		1095	59.67		1835
	FOURTH			4	5.48								7	9.59		36	49.32			Excluded		26	35.62		73
		TOTAL		126	6.87								415	22.62		173	9.43					1121	61.09		1835
	FIFTH				Excluded								81	64.29		26	20.63					19	15.08		126
		TOTAL											496	27.03		199	10.84					1140	62.13		1835
	SIXTH												42	21.11			Excluded					157	78.89		199
		TOTAL											538	29.32								1297	70.68		1835
																						Elected			
																									
Hamilton Hill South                                            																									
	FIRST			95	7.79		21	1.72		8	0.66		227	18.62		68	5.58		44	3.61		756	62.02		1219
	SECOND			1	12.50		2	25.00			Excluded		0	0.00		3	37.50		0	0.00		2	25.00		8
		TOTAL		96	7.88		23	1.89					227	18.62		71	5.82		44	3.61		758	62.18		1219
	THIRD			7	30.43			Excluded					8	34.78		1	4.35		3	13.04		4	17.39		23
		TOTAL		103	8.45								235	19.28		72	5.91		47	3.86		762	62.51		1219
	FOURTH			4	8.51								1	2.13		25	53.19			Excluded		17	36.17		47
		TOTAL		107	8.78								236	19.36		97	7.96					779	63.90		1219
	FIFTH				Excluded								53	49.53		26	24.30					28	26.17		107
		TOTAL											289	23.71		123	10.09					807	66.20		1219
	SIXTH												32	26.02			Excluded					91	73.98		123
		TOTAL											321	26.33								898	73.67		1219
																						Elected			
																									
Hilton                                                         																									
	FIRST			81	4.86		33	1.98		17	1.02		278	16.68		261	15.66		64	3.84		933	55.97		1667
	SECOND			4	23.53		2	11.76			Excluded		2	11.76		5	29.41		1	5.88		3	17.65		17
		TOTAL		85	5.10		35	2.10					280	16.80		266	15.96		65	3.90		936	56.15		1667
	THIRD			8	22.86			Excluded					17	48.57		4	11.43		4	11.43		2	5.71		35
		TOTAL		93	5.58								297	17.82		270	16.20		69	4.14		938	56.27		1667
	FOURTH			3	4.35								4	5.80		51	73.91			Excluded		11	15.94		69
		TOTAL		96	5.76								301	18.06		321	19.26					949	56.93		1667
	FIFTH				Excluded								52	54.17		26	27.08					18	18.75		96
		TOTAL											353	21.18		347	20.82					967	58.01		1667
	SIXTH												46	13.26			Excluded					301	86.74		347
		TOTAL											399	23.94								1268	76.06		1667
																						Elected			
																									
Jandakot                                                       																									
	FIRST			82	6.67		22	1.79		4	0.33		455	37.02		67	5.45		73	5.94		526	42.80		1229
	SECOND			1	25.00		1	25.00			Excluded		1	25.00		0	0.00		1	25.00		0	0.00		4
		TOTAL		83	6.75		23	1.87					456	37.10		67	5.45		74	6.02		526	42.80		1229
	THIRD			7	30.43			Excluded					11	47.83		2	8.70		3	13.04		0	0.00		23
		TOTAL		90	7.32								467	38.00		69	5.61		77	6.27		526	42.80		1229
	FOURTH			7	9.09								8	10.39		36	46.75			Excluded		26	33.77		77
		TOTAL		97	7.89								475	38.65		105	8.54					552	44.91		1229
	FIFTH				Excluded								39	40.21		37	38.14					21	21.65		97
		TOTAL											514	41.82		142	11.55					573	46.62		1229
	SIXTH												53	37.32			Excluded					89	62.68		142
		TOTAL											567	46.14								662	53.86		1229
																						Elected			
																									
Kardinya (Fremantle)                                           																									
	FIRST			72	6.23		20	1.73		13	1.13		514	44.50		71	6.15		51	4.42		414	35.84		1155
	SECOND			4	30.77		4	30.77			Excluded		1	7.69		4	30.77		0	0.00		0	0.00		13
		TOTAL		76	6.58		24	2.08					515	44.59		75	6.49		51	4.42		414	35.84		1155
	THIRD			5	20.83			Excluded					10	41.67		1	4.17		5	20.83		3	12.50		24
		TOTAL		81	7.01								525	45.45		76	6.58		56	4.85		417	36.10		1155
	FOURTH			2	3.57								11	19.64		22	39.29			Excluded		21	37.50		56
		TOTAL		83	7.19								536	46.41		98	8.48					438	37.92		1155
	FIFTH				Excluded								56	67.47		18	21.69					9	10.84		83
		TOTAL											592	51.26		116	10.04					447	38.70		1155
	SIXTH												44	37.93			Excluded					72	62.07		116
		TOTAL											636	55.06								519	44.94		1155
																						Elected			
																									
Kardinya West                                                  																									
	FIRST			81	5.63		23	1.60		17	1.18		546	37.94		114	7.92		66	4.59		592	41.14		1439
	SECOND			0	0.00		3	17.65			Excluded		4	23.53		6	35.29		2	11.76		2	11.76		17
		TOTAL		81	5.63		26	1.81					550	38.22		120	8.34		68	4.73		594	41.28		1439
	THIRD			11	42.31			Excluded					10	38.46		3	11.54		2	7.69		0	0.00		26
		TOTAL		92	6.39								560	38.92		123	8.55		70	4.86		594	41.28		1439
	FOURTH			0	0.00								7	10.00		44	62.86			Excluded		19	27.14		70
		TOTAL		92	6.39								567	39.40		167	11.61					613	42.60		1439
	FIFTH				Excluded								51	55.43		18	19.57					23	25.00		92
		TOTAL											618	42.95		185	12.86					636	44.20		1439
	SIXTH												63	34.05			Excluded					122	65.95		185
		TOTAL											681	47.32								758	52.68		1439
																						Elected			
																									
Lakeland                                                       																									
	FIRST			114	6.50		38	2.17		19	1.08		664	37.86		90	5.13		107	6.10		722	41.16		1754
	SECOND			5	26.32		3	15.79			Excluded		3	15.79		5	26.32		1	5.26		2	10.53		19
		TOTAL		119	6.78		41	2.34					667	38.03		95	5.42		108	6.16		724	41.28		1754
	THIRD			10	24.39			Excluded					24	58.54		0	0.00		4	9.76		3	7.32		41
		TOTAL		129	7.35								691	39.40		95	5.42		112	6.39		727	41.45		1754
	FOURTH			6	5.36								20	17.86		53	47.32			Excluded		33	29.46		112
		TOTAL		135	7.70								711	40.54		148	8.44					760	43.33		1754
	FIFTH				Excluded								56	41.48		47	34.81					32	23.70		135
		TOTAL											767	43.73		195	11.12					792	45.15		1754
	SIXTH												74	37.95			Excluded					121	62.05		195
		TOTAL											841	47.95								913	52.05		1754
																						Elected			
																									
Melville (Fremantle)                                           																									
	FIRST			22	3.96		9	1.62		7	1.26		217	39.10		52	9.37		32	5.77		216	38.92		555
	SECOND			0	0.00		1	14.29			Excluded		1	14.29		3	42.86		0	0.00		2	28.57		7
		TOTAL		22	3.96		10	1.80					218	39.28		55	9.91		32	5.77		218	39.28		555
	THIRD			2	20.00			Excluded					5	50.00		0	0.00		1	10.00		2	20.00		10
		TOTAL		24	4.32								223	40.18		55	9.91		33	5.95		220	39.64		555
	FOURTH			1	3.03								6	18.18		18	54.55			Excluded		8	24.24		33
		TOTAL		25	4.50								229	41.26		73	13.15					228	41.08		555
	FIFTH				Excluded								13	52.00		4	16.00					8	32.00		25
		TOTAL											242	43.60		77	13.87					236	42.52		555
	SIXTH												21	27.27			Excluded					56	72.73		77
		TOTAL											263	47.39								292	52.61		555
																						Elected			
																									
Munster                                                        																									
	FIRST			62	6.51		10	1.05		4	0.42		318	33.37		62	6.51		29	3.04		468	49.11		953
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	25.00		2	50.00		1	25.00		4
		TOTAL		62	6.51		10	1.05					318	33.37		63	6.61		31	3.25		469	49.21		953
	THIRD			4	40.00			Excluded					1	10.00		2	20.00		0	0.00		3	30.00		10
		TOTAL		66	6.93								319	33.47		65	6.82		31	3.25		472	49.53		953
	FOURTH			3	9.68								4	12.90		14	45.16			Excluded		10	32.26		31
		TOTAL		69	7.24								323	33.89		79	8.29					482	50.58		953
	FIFTH				Excluded								38	55.07		14	20.29					17	24.64		69
		TOTAL											361	37.88		93	9.76					499	52.36		953
	SIXTH												26	27.96			Excluded					67	72.04		93
		TOTAL											387	40.61								566	59.39		953
																						Elected			
																									
North Fremantle                                                																									
	FIRST			34	3.05		8	0.72		4	0.36		428	38.45		154	13.84		80	7.19		405	36.39		1113
	SECOND			0	0.00		0	0.00			Excluded		2	50.00		1	25.00		0	0.00		1	25.00		4
		TOTAL		34	3.05		8	0.72					430	38.63		155	13.93		80	7.19		406	36.48		1113
	THIRD			3	37.50			Excluded					2	25.00		3	37.50		0	0.00		0	0.00		8
		TOTAL		37	3.32								432	38.81		158	14.20		80	7.19		406	36.48		1113
	FOURTH			3	3.75								10	12.50		57	71.25			Excluded		10	12.50		80
		TOTAL		40	3.59								442	39.71		215	19.32					416	37.38		1113
	FIFTH				Excluded								19	47.50		10	25.00					11	27.50		40
		TOTAL											461	41.42		225	20.22					427	38.36		1113
	SIXTH												44	19.56			Excluded					181	80.44		225
		TOTAL											505	45.37								608	54.63		1113
																						Elected			
																									
Palmyra                                                        																									
	FIRST			150	5.84		26	1.01		25	0.97		836	32.57		252	9.82		154	6.00		1124	43.79		2567
	SECOND			5	20.00		4	16.00			Excluded		4	16.00		6	24.00		5	20.00		1	4.00		25
		TOTAL		155	6.04		30	1.17					840	32.72		258	10.05		159	6.19		1125	43.83		2567
	THIRD			8	26.67			Excluded					16	53.33		3	10.00		3	10.00		0	0.00		30
		TOTAL		163	6.35								856	33.35		261	10.17		162	6.31		1125	43.83		2567
	FOURTH			4	2.47								18	11.11		98	60.49			Excluded		42	25.93		162
		TOTAL		167	6.51								874	34.05		359	13.99					1167	45.46		2567
	FIFTH				Excluded								87	52.10		51	30.54					29	17.37		167
		TOTAL											961	37.44		410	15.97					1196	46.59		2567
	SIXTH												130	31.71			Excluded					280	68.29		410
		TOTAL											1091	42.50								1476	57.50		2567
																						Elected			
																									
Palmyra North                                                  																									
	FIRST			25	4.75		10	1.90		2	0.38		179	34.03		52	9.89		34	6.46		224	42.59		526
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		2	100.00		0	0.00		2
		TOTAL		25	4.75		10	1.90					179	34.03		52	9.89		36	6.84		224	42.59		526
	THIRD			2	20.00			Excluded					6	60.00		2	20.00		0	0.00		0	0.00		10
		TOTAL		27	5.13								185	35.17		54	10.27		36	6.84		224	42.59		526
	FOURTH			2	5.56								5	13.89		25	69.44			Excluded		4	11.11		36
		TOTAL		29	5.51								190	36.12		79	15.02					228	43.35		526
	FIFTH				Excluded								15	51.72		7	24.14					7	24.14		29
		TOTAL											205	38.97		86	16.35					235	44.68		526
	SIXTH												22	25.58			Excluded					64	74.42		86
		TOTAL											227	43.16								299	56.84		526
																						Elected			
																									
Perth (Fremantle)                                              																									
	FIRST			1	1.12		2	2.25		3	3.37		24	26.97		14	15.73		3	3.37		42	47.19		89
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		2	66.67		1	33.33		0	0.00		3
		TOTAL		1	1.12		2	2.25					24	26.97		16	17.98		4	4.49		42	47.19		89
	THIRD			0	0.00			Excluded					1	50.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		1	1.12								25	28.09		17	19.10		4	4.49		42	47.19		89
	FOURTH			0	0.00								0	0.00		4	100.00			Excluded		0	0.00		4
		TOTAL		1	1.12								25	28.09		21	23.60					42	47.19		89
	FIFTH				Excluded								1	100.00		0	0.00					0	0.00		1
		TOTAL											26	29.21		21	23.60					42	47.19		89
	SIXTH												6	28.57			Excluded					15	71.43		21
		TOTAL											32	35.96								57	64.04		89
																						Elected			
																									
Richmond                                                       																									
	FIRST			94	3.66		28	1.09		13	0.51		1185	46.20		309	12.05		133	5.19		803	31.31		2565
	SECOND			1	7.69		1	7.69			Excluded		6	46.15		2	15.38		2	15.38		1	7.69		13
		TOTAL		95	3.70		29	1.13					1191	46.43		311	12.12		135	5.26		804	31.35		2565
	THIRD			7	24.14			Excluded					13	44.83		2	6.90		6	20.69		1	3.45		29
		TOTAL		102	3.98								1204	46.94		313	12.20		141	5.50		805	31.38		2565
	FOURTH			5	3.55								14	9.93		87	61.70			Excluded		35	24.82		141
		TOTAL		107	4.17								1218	47.49		400	15.59					840	32.75		2565
	FIFTH				Excluded								65	60.75		29	27.10					13	12.15		107
		TOTAL											1283	50.02		429	16.73					853	33.26		2565
	SIXTH												102	23.78			Excluded					327	76.22		429
		TOTAL											1385	54.00								1180	46.00		2565
																						Elected			
																									
Rottnest (Fremantle)                                           																									
	FIRST			10	4.72		3	1.42		2	0.94		64	30.19		25	11.79		22	10.38		86	40.57		212
	SECOND			0	0.00		0	0.00			Excluded		1	50.00		0	0.00		1	50.00		0	0.00		2
		TOTAL		10	4.72		3	1.42					65	30.66		25	11.79		23	10.85		86	40.57		212
	THIRD			1	33.33			Excluded					1	33.33		0	0.00		1	33.33		0	0.00		3
		TOTAL		11	5.19								66	31.13		25	11.79		24	11.32		86	40.57		212
	FOURTH			0	0.00								6	25.00		12	50.00			Excluded		6	25.00		24
		TOTAL		11	5.19								72	33.96		37	17.45					92	43.40		212
	FIFTH				Excluded								6	54.55		4	36.36					1	9.09		11
		TOTAL											78	36.79		41	19.34					93	43.87		212
	SIXTH												14	34.15			Excluded					27	65.85		41
		TOTAL											92	43.40								120	56.60		212
																						Elected			
																									
Samson                                                         																									
	FIRST			84	4.29		30	1.53		11	0.56		662	33.83		123	6.29		108	5.52		939	47.98		1957
	SECOND			1	9.09		0	0.00			Excluded		3	27.27		2	18.18		3	27.27		2	18.18		11
		TOTAL		85	4.34		30	1.53					665	33.98		125	6.39		111	5.67		941	48.08		1957
	THIRD			9	30.00			Excluded					10	33.33		4	13.33		2	6.67		5	16.67		30
		TOTAL		94	4.80								675	34.49		129	6.59		113	5.77		946	48.34		1957
	FOURTH			26	23.01								8	7.08		61	53.98			Excluded		18	15.93		113
		TOTAL		120	6.13								683	34.90		190	9.71					964	49.26		1957
	FIFTH				Excluded								66	55.00		30	25.00					24	20.00		120
		TOTAL											749	38.27		220	11.24					988	50.49		1957
	SIXTH												59	26.82			Excluded					161	73.18		220
		TOTAL											808	41.29								1149	58.71		1957
																						Elected			
																									
South Fremantle                                                																									
	FIRST			36	2.34		9	0.59		16	1.04		382	24.84		318	20.68		105	6.83		672	43.69		1538
	SECOND			1	6.25		1	6.25			Excluded		3	18.75		8	50.00		1	6.25		2	12.50		16
		TOTAL		37	2.41		10	0.65					385	25.03		326	21.20		106	6.89		674	43.82		1538
	THIRD			4	40.00			Excluded					3	30.00		1	10.00		1	10.00		1	10.00		10
		TOTAL		41	2.67								388	25.23		327	21.26		107	6.96		675	43.89		1538
	FOURTH			2	1.87								4	3.74		71	66.36			Excluded		30	28.04		107
		TOTAL		43	2.80								392	25.49		398	25.88					705	45.84		1538
	FIFTH				Excluded								25	58.14		9	20.93					9	20.93		43
		TOTAL											417	27.11		407	26.46					714	46.42		1538
	SIXTH												55	13.51			Excluded					352	86.49		407
		TOTAL											472	30.69								1066	69.31		1538
																						Elected			
																									
South Lake                                                     																									
	FIRST			132	7.15		37	2.00		16	0.87		465	25.18		90	4.87		89	4.82		1018	55.12		1847
	SECOND			4	25.00		2	12.50			Excluded		6	37.50		1	6.25		2	12.50		1	6.25		16
		TOTAL		136	7.36		39	2.11					471	25.50		91	4.93		91	4.93		1019	55.17		1847
	THIRD			4	10.26			Excluded					17	43.59		6	15.38		5	12.82		7	17.95		39
		TOTAL		140	7.58								488	26.42		97	5.25		96	5.20		1026	55.55		1847
	FOURTH			8	8.33								14	14.58		53	55.21			Excluded		21	21.88		96
		TOTAL		148	8.01								502	27.18		150	8.12					1047	56.69		1847
	FIFTH				Excluded								75	50.68		35	23.65					38	25.68		148
		TOTAL											577	31.24		185	10.02					1085	58.74		1847
	SIXTH												64	34.59			Excluded					121	65.41		185
		TOTAL											641	34.70								1206	65.30		1847
																						Elected			
																									
Spearwood                                                      																									
	FIRST			178	6.69		37	1.39		20	0.75		631	23.71		139	5.22		117	4.40		1539	57.84		2661
	SECOND			2	10.00		2	10.00			Excluded		4	20.00		9	45.00		3	15.00		0	0.00		20
		TOTAL		180	6.76		39	1.47					635	23.86		148	5.56		120	4.51		1539	57.84		2661
	THIRD			9	23.08			Excluded					20	51.28		5	12.82		1	2.56		4	10.26		39
		TOTAL		189	7.10								655	24.61		153	5.75		121	4.55		1543	57.99		2661
	FOURTH			11	9.09								14	11.57		62	51.24			Excluded		34	28.10		121
		TOTAL		200	7.52								669	25.14		215	8.08					1577	59.26		2661
	FIFTH				Excluded								105	52.50		49	24.50					46	23.00		200
		TOTAL											774	29.09		264	9.92					1623	60.99		2661
	SIXTH												84	31.82			Excluded					180	68.18		264
		TOTAL											858	32.24								1803	67.76		2661
																						Elected			
																									
Spearwood South                                                																									
	FIRST			164	6.15		27	1.01		8	0.30		617	23.13		110	4.12		116	4.35		1626	60.94		2668
	SECOND			3	37.50		2	25.00			Excluded		1	12.50		2	25.00		0	0.00		0	0.00		8
		TOTAL		167	6.26		29	1.09					618	23.16		112	4.20		116	4.35		1626	60.94		2668
	THIRD			6	20.69			Excluded					6	20.69		7	24.14		5	17.24		5	17.24		29
		TOTAL		173	6.48								624	23.39		119	4.46		121	4.54		1631	61.13		2668
	FOURTH			5	4.13								18	14.88		68	56.20			Excluded		30	24.79		121
		TOTAL		178	6.67								642	24.06		187	7.01					1661	62.26		2668
	FIFTH				Excluded								97	54.49		30	16.85					51	28.65		178
		TOTAL											739	27.70		217	8.13					1712	64.17		2668
	SIXTH												66	30.41			Excluded					151	69.59		217
		TOTAL											805	30.17								1863	69.83		2668
																						Elected			
																									
Spearwood West                                                 																									
	FIRST			214	7.19		45	1.51		18	0.60		677	22.73		195	6.55		117	3.93		1712	57.49		2978
	SECOND			2	11.11		4	22.22			Excluded		3	16.67		8	44.44		0	0.00		1	5.56		18
		TOTAL		216	7.25		49	1.65					680	22.83		203	6.82		117	3.93		1713	57.52		2978
	THIRD			11	22.45			Excluded					15	30.61		8	16.33		5	10.20		10	20.41		49
		TOTAL		227	7.62								695	23.34		211	7.09		122	4.10		1723	57.86		2978
