House of Representatives - 2001 Election: Western Australia																																													
First Preference Votes and TCP 																																													
By Candidate by Polling Place																																													

Hasluck (78418)																																													
		MCLEAN			# JACKSON			DANIELS			RYAN			EDMONDS			MARKHAM			HOPKINSON			HEGARTY			CHAN			FORMAL			INFORMAL			TOTAL										
		Ronnie			Sharryn			Michael			Terry			Luke			Peter			James			Ros			Bethwyn												Two Candidate Preferred							
		CEC			ALP			CLA			CTA			GWA			DEM			HAN			NP			LP												# JACKSON ALP			 CHAN LP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Huntingdale (Hasluck)	17	0.89		807	42.19		25	1.31		55	2.88		87	4.55		111	5.80		133	6.95		11	0.58		667	34.87		1913	94.19		118	5.81		2031	2.72		1076	56.25		837	43.75
	Kalamunda	27	0.91		787	26.60		10	0.34		57	1.93		238	8.04		183	6.18		128	4.33		18	0.61		1511	51.06		2959	95.57		137	4.43		3096	4.15		1170	39.54		1789	60.46
	Kalamunda North	9	0.57		392	24.83		6	0.38		29	1.84		127	8.04		72	4.56		67	4.24		16	1.01		861	54.53		1579	96.46		58	3.54		1637	2.19		588	37.24		991	62.76
	Kenwick	38	1.67		1015	44.69		22	0.97		85	3.74		105	4.62		80	3.52		216	9.51		8	0.35		702	30.91		2271	93.88		148	6.12		2419	3.24		1366	60.15		905	39.85
	Koongamia	8	1.53		269	51.43		8	1.53		9	1.72		45	8.60		19	3.63		34	6.50		1	0.19		130	24.86		523	93.73		35	6.27		558	0.75		360	68.83		163	31.17
	Lesmurdie	11	0.37		751	25.54		8	0.27		79	2.69		172	5.85		153	5.20		175	5.95		35	1.19		1557	52.94		2941	95.30		145	4.70		3086	4.13		1105	37.57		1836	62.43
	Maddington	44	1.65		1300	48.65		11	0.41		68	2.54		135	5.05		98	3.67		204	7.63		10	0.37		802	30.01		2672	92.46		218	7.54		2890	3.87		1634	61.15		1038	38.85
	Maddington East	11	1.20		433	47.37		4	0.44		20	2.19		44	4.81		51	5.58		82	8.97		3	0.33		266	29.10		914	93.84		60	6.16		974	1.30		556	60.83		358	39.17
	Maddington North	10	1.59		285	45.45		2	0.32		2	0.32		24	3.83		16	2.55		44	7.02		2	0.32		242	38.60		627	91.40		59	8.60		686	0.92		357	56.94		270	43.06
	Maida Vale	14	0.58		637	26.56		6	0.25		31	1.29		115	4.80		117	4.88		139	5.80		20	0.83		1319	55.00		2398	94.11		150	5.89		2548	3.41		884	36.86		1514	63.14			
	Middle Swan	27	1.63		838	50.73		14	0.85		18	1.09		73	4.42		78	4.72		102	6.17		6	0.36		496	30.02		1652	92.55		133	7.45		1785	2.39		1049	63.50		603	36.50			
	Midland (Hasluck)	33	1.62		992	48.63		13	0.64		29	1.42		135	6.62		112	5.49		121	5.93		8	0.39		597	29.26		2040	91.36		193	8.64		2233	2.99		1309	64.17		731	35.83			
	Perth (Hasluck)	1	0.89		34	30.36		3	2.68		1	0.89		20	17.86		11	9.82		6	5.36		1	0.89		35	31.25		112	92.56		9	7.44		121	0.16		63	56.25		49	43.75			
	Rottnest (Hasluck)	0	0.00		6	15.38		0	0.00		3	7.69		5	12.82		0	0.00		2	5.13		0	0.00		23	58.97		39	97.50		1	2.50		40	0.05		11	28.21		28	71.79			
	Swan View (Hasluck)	3	1.08		111	39.93		5	1.80		5	1.80		24	8.63		22	7.91		21	7.55		3	1.08		84	30.22		278	92.98		21	7.02		299	0.40		164	58.99		114	41.01			
	Thornlie (Hasluck)	35	1.12		1243	39.70		18	0.57		90	2.87		118	3.77		167	5.33		185	5.91		13	0.42		1262	40.31		3131	93.69		211	6.31		3342	4.48		1611	51.45		1520	48.55			
	Thornlie East	24	0.80		1203	40.05		26	0.87		86	2.86		124	4.13		127	4.23		236	7.86		14	0.47		1164	38.75		3004	92.74		235	7.26		3239	4.34		1577	52.50		1427	47.50			
	Thornlie South (Hasluck)	2	1.05		79	41.58		7	3.68		5	2.63		7	3.68		5	2.63		13	6.84		0	0.00		72	37.89		190	92.23		16	7.77		206	0.28		102	53.68		88	46.32			
	Thornlie West	22	0.95		1057	45.54		17	0.73		68	2.93		106	4.57		96	4.14		146	6.29		7	0.30		802	34.55		2321	92.36		192	7.64		2513	3.37		1318	56.79		1003	43.21			
	Walliston (Hasluck)	10	0.81		347	28.14		4	0.32		36	2.92		61	4.95		61	4.95		84	6.81		11	0.89		619	50.20		1233	93.91		80	6.09		1313	1.76		484	39.25		749	60.75			
	Wattle Grove	5	0.56		219	24.55		6	0.67		15	1.68		56	6.28		44	4.93		58	6.50		12	1.35		477	53.48		892	95.81		39	4.19		931	1.25		330	37.00		562	63.00			
	Special Hospitals	13	3.44		157	41.53		2	0.53		1	0.26		4	1.06		4	1.06		13	3.44		0	0.00		184	48.68		378	89.57		44	10.43		422	0.57		185	48.94		193	51.06			
	Total Ordinary	639	1.07		23212	38.86		389	0.65		1438	2.41		3252	5.44		2822	4.72		4086	6.84		308	0.52		23585	39.49		59731	93.96		3841	6.04		63572	85.14		31041	51.97		28690	48.03			
	ABSENT	126	2.24		1910	34.00		93	1.66		144	2.56		490	8.72		372	6.62		460	8.19		54	0.96		1968	35.04		5617	94.45		330	5.55		5947	7.96		2995	53.32		2622	46.68			
	POSTAL	8	0.38		714	33.54		8	0.38		45	2.11		76	3.57		90	4.23		158	7.42		16	0.75		1014	47.63		2129	97.93		45	2.07		2174	2.91		914	42.93		1215	57.07			
	PRE_POLL	25	1.02		871	35.67		21	0.86		57	2.33		131	5.36		138	5.65		185	7.58		19	0.78		995	40.75		2442	96.56		87	3.44		2529	3.39		1206	49.39		1236	50.61			
	PROVISIONAL	6	1.46		183	44.42		9	2.18		11	2.67		37	8.98		33	8.01		31	7.52		4	0.97		98	23.79		412	93.00		31	7.00		443	0.59		264	64.08		148	35.92			
	Division Summary	804	1.14		26890	38.23		520	0.74		1695	2.41		3986	5.67		3455	4.91		4920	7.00		401	0.57		27660	39.33		70331	94.20		4334	5.80		74665	95.21		36420	51.78		33911	48.22			
																																													
																																													
																																													
																																													
																																													
