House of Representatives - 2001 Election: Western Australia																													
Distribution of Preferences																													
By Polling Place																													
																													
Tangney																													
					GOWEGATI			GRAHAM			STANWIX			INGRAM			LUMSDAINE			WILLIAMS			LUCAS			WATSON			
	SIXTH			9	21.95					27	65.85			Excluded					5	12.20								41	
		TOTAL		241	28.76					73	8.71								524	62.53								838	
	SEVENTH			45	61.64						Excluded								28	38.36								73	
		TOTAL		286	34.13														552	65.87								838	
																			Elected										
																													
Ardross West                                                   																													
	FIRST			321	27.07		16	1.35		73	6.16		61	5.14		30	2.53		664	55.99		14	1.18		7	0.59		1186	
	SECOND			1	7.14		1	7.14		1	7.14		0	0.00		1	7.14		10	71.43			Excluded		0	0.00		14	
		TOTAL		322	27.15		17	1.43		74	6.24		61	5.14		31	2.61		674	56.83					7	0.59		1186	
	THIRD			0	0.00		1	14.29		0	0.00		3	42.86		1	14.29		2	28.57						Excluded		7	
		TOTAL		322	27.15		18	1.52		74	6.24		64	5.40		32	2.70		676	57.00								1186	
	FOURTH			1	5.56			Excluded		6	33.33		5	27.78		2	11.11		4	22.22								18	
		TOTAL		323	27.23					80	6.75		69	5.82		34	2.87		680	57.34								1186	
	FIFTH			10	29.41					4	11.76		2	5.88			Excluded		18	52.94								34	
		TOTAL		333	28.08					84	7.08		71	5.99					698	58.85								1186	
	SIXTH			23	32.39					40	56.34			Excluded					8	11.27								71	
		TOTAL		356	30.02					124	10.46								706	59.53								1186	
	SEVENTH			87	70.16						Excluded								37	29.84								124	
		TOTAL		443	37.35														743	62.65								1186	
																			Elected										
																													
Attadale                                                       																													
	FIRST			566	20.67		36	1.31		119	4.35		113	4.13		79	2.89		1746	63.77		50	1.83		29	1.06		2738	
	SECOND			3	6.00		4	8.00		6	12.00		5	10.00		3	6.00		27	54.00			Excluded		2	4.00		50	
		TOTAL		569	20.78		40	1.46		125	4.57		118	4.31		82	2.99		1773	64.76					31	1.13		2738	
	THIRD			2	6.45		2	6.45		1	3.23		2	6.45		4	12.90		20	64.52						Excluded		31	
		TOTAL		571	20.85		42	1.53		126	4.60		120	4.38		86	3.14		1793	65.49								2738	
	FOURTH			6	14.29			Excluded		10	23.81		11	26.19		3	7.14		12	28.57								42	
		TOTAL		577	21.07					136	4.97		131	4.78		89	3.25		1805	65.92								2738	
	FIFTH			19	21.35					22	24.72		16	17.98			Excluded		32	35.96								89	
		TOTAL		596	21.77					158	5.77		147	5.37					1837	67.09								2738	
	SIXTH			38	25.85					79	53.74			Excluded					30	20.41								147	
		TOTAL		634	23.16					237	8.66								1867	68.19								2738	
	SEVENTH			168	70.89						Excluded								69	29.11								237	
		TOTAL		802	29.29														1936	70.71								2738	
																			Elected										
																													
Bateman                                                        																													
	FIRST			654	33.30		23	1.17		121	6.16		81	4.12		56	2.85		973	49.54		35	1.78		21	1.07		1964	
	SECOND			2	5.71		8	22.86		5	14.29		1	2.86		2	5.71		16	45.71			Excluded		1	2.86		35	
		TOTAL		656	33.40		31	1.58		126	6.42		82	4.18		58	2.95		989	50.36					22	1.12		1964	
	THIRD			2	9.09		0	0.00		0	0.00		3	13.64		5	22.73		12	54.55						Excluded		22	
		TOTAL		658	33.50		31	1.58		126	6.42		85	4.33		63	3.21		1001	50.97								1964	
	FOURTH			7	22.58			Excluded		6	19.35		4	12.90		4	12.90		10	32.26								31	
		TOTAL		665	33.86					132	6.72		89	4.53		67	3.41		1011	51.48								1964	
	FIFTH			20	29.85					14	20.90		8	11.94			Excluded		25	37.31								67	
		TOTAL		685	34.88					146	7.43		97	4.94					1036	52.75								1964	
	SIXTH			28	28.87					48	49.48			Excluded					21	21.65								97	
		TOTAL		713	36.30					194	9.88								1057	53.82								1964	
	SEVENTH			133	68.56						Excluded								61	31.44								194	
		TOTAL		846	43.08														1118	56.92								1964	
																			Elected										
																													
Booragoon                                                      																													
	FIRST			663	26.40		68	2.71		132	5.26		117	4.66		77	3.07		1389	55.32		46	1.83		19	0.76		2511	
	SECOND			3	6.52		2	4.35		7	15.22		4	8.70		0	0.00		28	60.87			Excluded		2	4.35		46	
		TOTAL		666	26.52		70	2.79		139	5.54		121	4.82		77	3.07		1417	56.43					21	0.84		2511	
	THIRD			2	9.52		1	4.76		6	28.57		3	14.29		2	9.52		7	33.33						Excluded		21	
		TOTAL		668	26.60		71	2.83		145	5.77		124	4.94		79	3.15		1424	56.71								2511	
	FOURTH			12	16.90			Excluded		34	47.89		7	9.86		7	9.86		11	15.49								71	
		TOTAL		680	27.08					179	7.13		131	5.22		86	3.42		1435	57.15								2511	
	FIFTH			17	19.77					18	20.93		14	16.28			Excluded		37	43.02								86	
		TOTAL		697	27.76					197	7.85		145	5.77					1472	58.62								2511	
	SIXTH			37	25.52					78	53.79			Excluded					30	20.69								145	
		TOTAL		734	29.23					275	10.95								1502	59.82								2511	
	SEVENTH			193	70.18						Excluded								82	29.82								275	
		TOTAL		927	36.92														1584	63.08								2511	
																			Elected										
																													
Brentwood                                                      																													
	FIRST			717	25.49		46	1.64		175	6.22		140	4.98		71	2.52		1563	55.56		63	2.24		38	1.35		2813	
	SECOND			3	4.76		11	17.46		15	23.81		9	14.29		1	1.59		22	34.92			Excluded		2	3.17		63	
		TOTAL		720	25.60		57	2.03		190	6.75		149	5.30		72	2.56		1585	56.35					40	1.42		2813	
	THIRD			8	20.00		4	10.00		2	5.00		6	15.00		6	15.00		14	35.00						Excluded		40	
		TOTAL		728	25.88		61	2.17		192	6.83		155	5.51		78	2.77		1599	56.84								2813	
	FOURTH			13	21.31			Excluded		15	24.59		12	19.67		5	8.20		16	26.23								61	
		TOTAL		741	26.34					207	7.36		167	5.94		83	2.95		1615	57.41								2813	
	FIFTH			17	20.48					14	16.87		8	9.64			Excluded		44	53.01								83	
		TOTAL		758	26.95					221	7.86		175	6.22					1659	58.98								2813	
	SIXTH			39	22.29					106	60.57			Excluded					30	17.14								175	
		TOTAL		797	28.33					327	11.62								1689	60.04								2813	
	SEVENTH			215	65.75						Excluded								112	34.25								327	
		TOTAL		1012	35.98														1801	64.02								2813	
																			Elected										
																													
Bull Creek                                                     																													
	FIRST			586	31.99		29	1.58		92	5.02		96	5.24		43	2.35		944	51.53		15	0.82		27	1.47		1832	
	SECOND			1	6.67		0	0.00		3	20.00		3	20.00		0	0.00		8	53.33			Excluded		0	0.00		15	
		TOTAL		587	32.04		29	1.58		95	5.19		99	5.40		43	2.35		952	51.97					27	1.47		1832	
	THIRD			5	18.52		1	3.70		0	0.00		2	7.41		4	14.81		15	55.56						Excluded		27	
		TOTAL		592	32.31		30	1.64		95	5.19		101	5.51		47	2.57		967	52.78								1832	
	FOURTH			5	16.67			Excluded		10	33.33		7	23.33		4	13.33		4	13.33								30	
		TOTAL		597	32.59					105	5.73		108	5.90		51	2.78		971	53.00								1832	
	FIFTH			8	15.69					6	11.76		9	17.65			Excluded		28	54.90								51	
		TOTAL		605	33.02					111	6.06		117	6.39					999	54.53								1832	
	SIXTH			30	25.64					66	56.41			Excluded					21	17.95								117	
		TOTAL		635	34.66					177	9.66								1020	55.68								1832	
	SEVENTH			114	64.41						Excluded								63	35.59								177	
		TOTAL		749	40.88														1083	59.12								1832	
																			Elected										
																													
Bull Creek East                                                																													
	FIRST			438	30.17		26	1.79		59	4.06		82	5.65		30	2.07		771	53.10		11	0.76		35	2.41		1452	
	SECOND			0	0.00		2	18.18		3	27.27		1	9.09		0	0.00		5	45.45			Excluded		0	0.00		11	
		TOTAL		438	30.17		28	1.93		62	4.27		83	5.72		30	2.07		776	53.44					35	2.41		1452	
	THIRD			5	14.29		4	11.43		2	5.71		2	5.71		7	20.00		15	42.86						Excluded		35	
		TOTAL		443	30.51		32	2.20		64	4.41		85	5.85		37	2.55		791	54.48								1452	
	FOURTH			7	21.88			Excluded		8	25.00		6	18.75		6	18.75		5	15.63								32	
		TOTAL		450	30.99					72	4.96		91	6.27		43	2.96		796	54.82								1452	
	FIFTH			8	18.60					6	13.95		9	20.93			Excluded		20	46.51								43	
		TOTAL		458	31.54					78	5.37		100	6.89					816	56.20								1452	
	SIXTH			29	29.00					52	52.00			Excluded					19	19.00								100	
		TOTAL		487	33.54					130	8.95								835	57.51								1452	
	SEVENTH			83	63.85						Excluded								47	36.15								130	
		TOTAL		570	39.26														882	60.74								1452	
																			Elected										
																													
Bull Creek North                                               																													
	FIRST			360	28.75		9	0.72		42	3.35		47	3.75		51	4.07		718	57.35		11	0.88		14	1.12		1252	
	SECOND			3	27.27		0	0.00		1	9.09		2	18.18		0	0.00		5	45.45			Excluded		0	0.00		11	
		TOTAL		363	28.99		9	0.72		43	3.43		49	3.91		51	4.07		723	57.75					14	1.12		1252	
	THIRD			1	7.14		0	0.00		3	21.43		1	7.14		1	7.14		8	57.14						Excluded		14	
		TOTAL		364	29.07		9	0.72		46	3.67		50	3.99		52	4.15		731	58.39								1252	
	FOURTH			4	44.44			Excluded		0	0.00		0	0.00		3	33.33		2	22.22								9	
		TOTAL		368	29.39					46	3.67		50	3.99		55	4.39		733	58.55								1252	
	FIFTH			14	25.45					12	21.82		8	14.55			Excluded		21	38.18								55	
		TOTAL		382	30.51					58	4.63		58	4.63					754	60.22								1252	
	SIXTH			27	46.55					24	41.38			Excluded					7	12.07								58	
		TOTAL		409	32.67					82	6.55								761	60.78								1252	
	SEVENTH			57	69.51						Excluded								25	30.49								82	
		TOTAL		466	37.22														786	62.78								1252	
																			Elected										
																													
Ferndale                                                       																													
	FIRST			381	41.55		22	2.40		38	4.14		55	6.00		53	5.78		348	37.95		8	0.87		12	1.31		917	
	SECOND			0	0.00		1	12.50		4	50.00		0	0.00		2	25.00		1	12.50			Excluded		0	0.00		8	
		TOTAL		381	41.55		23	2.51		42	4.58		55	6.00		55	6.00		349	38.06					12	1.31		917	
	THIRD			1	8.33		2	16.67		1	8.33		1	8.33		2	16.67		5	41.67						Excluded		12	
		TOTAL		382	41.66		25	2.73		43	4.69		56	6.11		57	6.22		354	38.60								917	
	FOURTH			6	24.00			Excluded		8	32.00		3	12.00		1	4.00		7	28.00								25	
		TOTAL		388	42.31					51	5.56		59	6.43		58	6.32		361	39.37								917	
	FIFTH			17	29.31					12	20.69		12	20.69			Excluded		17	29.31								58	
		TOTAL		405	44.17					63	6.87		71	7.74					378	41.22								917	
	SIXTH			17	23.94					44	61.97			Excluded					10	14.08								71	
		TOTAL		422	46.02					107	11.67								388	42.31								917	
	SEVENTH			66	61.68						Excluded								41	38.32								107	
		TOTAL		488	53.22														429	46.78								917	
																			Elected										
																													
Ferndale East                                                  																													
	FIRST			649	42.01		20	1.29		70	4.53		94	6.08		69	4.47		602	38.96		20	1.29		21	1.36		1545	
	SECOND			2	10.00		0	0.00		4	20.00		1	5.00		2	10.00		10	50.00			Excluded		1	5.00		20	
		TOTAL		651	42.14		20	1.29		74	4.79		95	6.15		71	4.60		612	39.61					22	1.42		1545	
	THIRD			1	4.55		2	9.09		1	4.55		2	9.09		4	18.18		12	54.55						Excluded		22	
		TOTAL		652	42.20		22	1.42		75	4.85		97	6.28		75	4.85		624	40.39								1545	
	FOURTH			4	18.18			Excluded		10	45.45		1	4.55		3	13.64		4	18.18								22	
		TOTAL		656	42.46					85	5.50		98	6.34		78	5.05		628	40.65								1545	
	FIFTH			24	30.77					17	21.79		10	12.82			Excluded		27	34.62								78	
		TOTAL		680	44.01					102	6.60		108	6.99					655	42.39								1545	
	SIXTH			26	24.07					64	59.26			Excluded					18	16.67								108	
		TOTAL		706	45.70					166	10.74								673	43.56								1545	
	SEVENTH			109	65.66						Excluded								57	34.34								166	
		TOTAL		815	52.75														730	47.25								1545	
																			Elected										
																													
Kardinya (Tangney)                                             																													
	FIRST			700	42.07		32	1.92		91	5.47		76	4.57		53	3.19		656	39.42		33	1.98		23	1.38		1664	
	SECOND			2	6.06		9	27.27		4	12.12		2	6.06		2	6.06		13	39.39			Excluded		1	3.03		33	
		TOTAL		702	42.19		41	2.46		95	5.71		78	4.69		55	3.31		669	40.20					24	1.44		1664	
	THIRD			3	12.50		2	8.33		4	16.67		0	0.00		4	16.67		11	45.83						Excluded		24	
		TOTAL		705	42.37		43	2.58		99	5.95		78	4.69		59	3.55		680	40.87								1664	
	FOURTH			11	25.58			Excluded		11	25.58		6	13.95		1	2.33		14	32.56								43	
		TOTAL		716	43.03					110	6.61		84	5.05		60	3.61		694	41.71								1664	
	FIFTH			23	38.33					12	20.00		5	8.33			Excluded		20	33.33								60	
		TOTAL		739	44.41					122	7.33		89	5.35					714	42.91								1664	
	SIXTH			20	22.47					51	57.30			Excluded					18	20.22								89	
		TOTAL		759	45.61					173	10.40								732	43.99								1664	
	SEVENTH			110	63.58						Excluded								63	36.42								173	
		TOTAL		869	52.22														795	47.78								1664	
																			Elected										
																													
Langford                                                       																													
	FIRST			1110	58.27		12	0.63		89	4.67		85	4.46		127	6.67		417	21.89		17	0.89		48	2.52		1905	
	SECOND			2	11.76		0	0.00		3	17.65		1	5.88		1	5.88		7	41.18			Excluded		3	17.65		17	
		TOTAL		1112	58.37		12	0.63		92	4.83		86	4.51		128	6.72		424	22.26					51	2.68		1905	
	THIRD			11	21.57		1	1.96		2	3.92		3	5.88		17	33.33		17	33.33						Excluded		51	
		TOTAL		1123	58.95		13	0.68		94	4.93		89	4.67		145	7.61		441	23.15								1905	
	FOURTH			5	38.46			Excluded		3	23.08		1	7.69		4	30.77		0	0.00								13	
		TOTAL		1128	59.21					97	5.09		90	4.72		149	7.82		441	23.15								1905	
	FIFTH			33	22.15					35	23.49		26	17.45			Excluded		55	36.91								149	
		TOTAL		1161	60.94					132	6.93		116	6.09					496	26.04								1905	
	SIXTH			43	37.07					59	50.86			Excluded					14	12.07								116	
		TOTAL		1204	63.20					191	10.03								510	26.77								1905	
	SEVENTH			135	70.68						Excluded								56	29.32								191	
		TOTAL		1339	70.29														566	29.71								1905	
																			Elected										
																													
Leeming                                                        																													
	FIRST			741	32.34		31	1.35		105	4.58		140	6.11		72	3.14		1157	50.50		19	0.83		26	1.13		2291	
	SECOND			3	15.79		0	0.00		4	21.05		1	5.26		1	5.26		9	47.37			Excluded		1	5.26		19	
		TOTAL		744	32.47		31	1.35		109	4.76		141	6.15		73	3.19		1166	50.89					27	1.18		2291	
	THIRD			7	25.93		2	7.41		0	0.00		3	11.11		2	7.41		13	48.15						Excluded		27	
		TOTAL		751	32.78		33	1.44		109	4.76		144	6.29		75	3.27		1179	51.46								2291	
	FOURTH			10	30.30			Excluded		8	24.24		6	18.18		2	6.06		7	21.21								33	
		TOTAL		761	33.22					117	5.11		150	6.55		77	3.36		1186	51.77								2291	
	FIFTH			13	16.88					21	27.27		9	11.69			Excluded		34	44.16								77	
		TOTAL		774	33.78					138	6.02		159	6.94					1220	53.25								2291	
	SIXTH			28	17.61					102	64.15			Excluded					29	18.24								159	
		TOTAL		802	35.01					240	10.48								1249	54.52								2291	
	SEVENTH			154	64.17						Excluded								86	35.83								240	
		TOTAL		956	41.73														1335	58.27								2291	
																			Elected										
																													
Leeming East                                                   																													
	FIRST			491	27.23		32	1.77		65	3.61		120	6.66		52	2.88		980	54.35		21	1.16		42	2.33		1803	
	SECOND			5	23.81		1	4.76		4	19.05		2	9.52		1	4.76		7	33.33			Excluded		1	4.76		21	
		TOTAL		496	27.51		33	1.83		69	3.83		122	6.77		53	2.94		987	54.74					43	2.38		1803	
	THIRD			4	9.30		3	6.98		3	6.98		3	6.98		2	4.65		28	65.12						Excluded		43	
		TOTAL		500	27.73		36	2.00		72	3.99		125	6.93		55	3.05		1015	56.30								1803	
	FOURTH			7	19.44			Excluded		4	11.11		6	16.67		2	5.56		17	47.22								36	
		TOTAL		507	28.12					76	4.22		131	7.27		57	3.16		1032	57.24								1803	
	FIFTH			10	17.54					17	29.82		6	10.53			Excluded		24	42.11								57	
		TOTAL		517	28.67					93	5.16		137	7.60					1056	58.57								1803	
	SIXTH			31	22.63					77	56.20			Excluded					29	21.17								137	
		TOTAL		548	30.39					170	9.43								1085	60.18								1803	
	SEVENTH			101	59.41						Excluded								69	40.59								170	
		TOTAL		649	36.00														1154	64.00								1803	
																			Elected										
																													
Leeming West                                                   																													
	FIRST			646	31.13		17	0.82		83	4.00		122	5.88		40	1.93		1113	53.64		20	0.96		34	1.64		2075	
	SECOND			1	5.00		1	5.00		3	15.00		4	20.00		3	15.00		8	40.00			Excluded		0	0.00		20	
		TOTAL		647	31.18		18	0.87		86	4.14		126	6.07		43	2.07		1121	54.02					34	1.64		2075	
	THIRD			5	14.71		2	5.88		1	2.94		1	2.94		4	11.76		21	61.76						Excluded		34	
		TOTAL		652	31.42		20	0.96		87	4.19		127	6.12		47	2.27		1142	55.04								2075	
	FOURTH			5	25.00			Excluded		7	35.00		3	15.00		3	15.00		2	10.00								20	
		TOTAL		657	31.66					94	4.53		130	6.27		50	2.41		1144	55.13								2075	
	FIFTH			13	26.00					6	12.00		6	12.00			Excluded		25	50.00								50	
		TOTAL		670	32.29					100	4.82		136	6.55					1169	56.34								2075	
	SIXTH			30	22.06					88	64.71			Excluded					18	13.24								136	
		TOTAL		700	33.73					188	9.06								1187	57.20								2075	
	SEVENTH			122	64.89						Excluded								66	35.11								188	
		TOTAL		822	39.61														1253	60.39								2075	
																			Elected										
																													
Lynwood                                                        																													
	FIRST			516	40.57		10	0.79		57	4.48		83	6.53		71	5.58		495	38.92		17	1.34		23	1.81		1272	
	SECOND			0	0.00		1	5.88		3	17.65		0	0.00		0	0.00		11	64.71			Excluded		2	11.76		17	
		TOTAL		516	40.57		11	0.86		60	4.72		83	6.53		71	5.58		506	39.78					25	1.97		1272	
	THIRD			2	8.00		4	16.00		3	12.00		1	4.00		3	12.00		12	48.00						Excluded		25	
		TOTAL		518	40.72		15	1.18		63	4.95		84	6.60		74	5.82		518	40.72								1272	
	FOURTH			1	6.67			Excluded		5	33.33		4	26.67		0	0.00		5	33.33								15	
		TOTAL		519	40.80					68	5.35		88	6.92		74	5.82		523	41.12								1272	
	FIFTH			26	35.14					14	18.92		6	8.11			Excluded		28	37.84								74	
		TOTAL		545	42.85					82	6.45		94	7.39					551	43.32								1272	
	SIXTH			21	22.34					54	57.45			Excluded					19	20.21								94	
		TOTAL		566	44.50					136	10.69								570	44.81								1272	
	SEVENTH			90	66.18						Excluded								46	33.82								136	
		TOTAL		656	51.57														616	48.43								1272	
																			Elected										
																													
Melville (Tangney)                                             																													
	FIRST			281	31.64		7	0.79		58	6.53		60	6.76		32	3.60		418	47.07		18	2.03		14	1.58		888	
	SECOND			1	5.56		2	11.11		3	16.67		2	11.11		0	0.00		10	55.56			Excluded		0	0.00		18	
		TOTAL		282	31.76		9	1.01		61	6.87		62	6.98		32	3.60		428	48.20					14	1.58		888	
	THIRD			3	21.43		2	14.29		1	7.14		0	0.00		0	0.00		8	57.14						Excluded		14	
		TOTAL		285	32.09		11	1.24		62	6.98		62	6.98		32	3.60		436	49.10								888	
	FOURTH			3	27.27			Excluded		3	27.27		3	27.27		1	9.09		1	9.09								11	
		TOTAL		288	32.43					65	7.32		65	7.32		33	3.72		437	49.21								888	
	FIFTH			15	45.45					2	6.06		3	9.09			Excluded		13	39.39								33	
		TOTAL		303	34.12					67	7.55		68	7.66					450	50.68								888	
	SIXTH			15	22.06					46	67.65			Excluded					7	10.29								68	
		TOTAL		318	35.81					113	12.73								457	51.46								888	
	SEVENTH			76	67.26						Excluded								37	32.74								113	
		TOTAL		394	44.37														494	55.63								888	
																			Elected										
																													
Melville East                                                  																													
	FIRST			697	32.55		23	1.07		157	7.33		126	5.89		85	3.97		1007	47.03		33	1.54		13	0.61		2141	
	SECOND			1	3.03		11	33.33		5	15.15		4	12.12		4	12.12		8	24.24			Excluded		0	0.00		33	
		TOTAL		698	32.60		34	1.59		162	7.57		130	6.07		89	4.16		1015	47.41					13	0.61		2141	
	THIRD			1	7.69		0	0.00		0	0.00		1	7.69		3	23.08		8	61.54						Excluded		13	
		TOTAL		699	32.65		34	1.59		162	7.57		131	6.12		92	4.30		1023	47.78								2141	
	FOURTH			6	17.65			Excluded		10	29.41		4	11.76		4	11.76		10	29.41								34	
		TOTAL		705	32.93					172	8.03		135	6.31		96	4.48		1033	48.25								2141	
	FIFTH			45	46.88					12	12.50		6	6.25			Excluded		33	34.38								96	
		TOTAL		750	35.03					184	8.59		141	6.59					1066	49.79								2141	
	SIXTH			35	24.82					78	55.32			Excluded					28	19.86								141	
		TOTAL		785	36.67					262	12.24								1094	51.10								2141	
	SEVENTH			194	74.05						Excluded								68	25.95								262	
		TOTAL		979	45.73														1162	54.27								2141	
																			Elected										
																													
Melville South                                                 																													
	FIRST			336	34.50		11	1.13		40	4.11		57	5.85		39	4.00		467	47.95		15	1.54		9	0.92		974	
	SECOND			1	6.67		1	6.67		2	13.33		1	6.67		2	13.33		7	46.67			Excluded		1	6.67		15	
		TOTAL		337	34.60		12	1.23		42	4.31		58	5.95		41	4.21		474	48.67					10	1.03		974	
	THIRD			1	10.00		2	20.00		0	0.00		0	0.00		1	10.00		6	60.00						Excluded		10	
		TOTAL		338	34.70		14	1.44		42	4.31		58	5.95		42	4.31		480	49.28								974	
	FOURTH			4	28.57			Excluded		4	28.57		2	14.29		0	0.00		4	28.57								14	
		TOTAL		342	35.11					46	4.72		60	6.16		42	4.31		484	49.69								974	
	FIFTH			14	33.33					8	19.05		3	7.14			Excluded		17	40.48								42	
		TOTAL		356	36.55					54	5.54		63	6.47					501	51.44								974	
	SIXTH			12	19.05					43	68.25			Excluded					8	12.70								63	
		TOTAL		368	37.78					97	9.96								509	52.26								974	
	SEVENTH			71	73.20						Excluded								26	26.80								97	
		TOTAL		439	45.07														535	54.93								974	
																			Elected										
																													
Mt Pleasant                                                    																													
	FIRST			608	22.27		33	1.21		157	5.75		114	4.18		71	2.60		1661	60.84		63	2.31		23	0.84		2730	
	SECOND			5	7.94		6	9.52		19	30.16		5	7.94		2	3.17		25	39.68			Excluded		1	1.59		63	
		TOTAL		613	22.45		39	1.43		176	6.45		119	4.36		73	2.67		1686	61.76					24	0.88		2730	
	THIRD			8	33.33		0	0.00		1	4.17		1	4.17		4	16.67		10	41.67						Excluded		24	
		TOTAL		621	22.75		39	1.43		177	6.48		120	4.40		77	2.82		1696	62.12								2730	
	FOURTH			5	12.82			Excluded		15	38.46		4	10.26		4	10.26		11	28.21								39	
		TOTAL		626	22.93					192	7.03		124	4.54		81	2.97		1707	62.53								2730	
	FIFTH			17	20.99					18	22.22		10	12.35			Excluded		36	44.44								81	
		TOTAL		643	23.55					210	7.69		134	4.91					1743	63.85								2730	
	SIXTH			29	21.64					71	52.99			Excluded					34	25.37								134	
		TOTAL		672	24.62					281	10.29								1777	65.09								2730	
	SEVENTH			196	69.75						Excluded								85	30.25								281	
		TOTAL		868	31.79														1862	68.21								2730	
																			Elected										
																													
Parkwood                                                       																													
	FIRST			1770	46.08		50	1.30		164	4.27		247	6.43		140	3.64		1374	35.77		23	0.60		73	1.90		3841	
	SECOND			3	13.04		1	4.35		3	13.04		2	8.70		1	4.35		12	52.17			Excluded		1	4.35		23	
		TOTAL		1773	46.16		51	1.33		167	4.35		249	6.48		141	3.67		1386	36.08					74	1.93		3841	
	THIRD			10	13.51		7	9.46		6	8.11		8	10.81		9	12.16		34	45.95						Excluded		74	
		TOTAL		1783	46.42		58	1.51		173	4.50		257	6.69		150	3.91		1420	36.97								3841	
	FOURTH			20	34.48			Excluded		16	27.59		7	12.07		5	8.62		10	17.24								58	
		TOTAL		1803	46.94					189	4.92		264	6.87		155	4.04		1430	37.23								3841	
	FIFTH			36	23.23					47	30.32		18	11.61			Excluded		54	34.84								155	
		TOTAL		1839	47.88					236	6.14		282	7.34					1484	38.64								3841	
	SIXTH			63	22.34					185	65.60			Excluded					34	12.06								282	
		TOTAL		1902	49.52					421	10.96								1518	39.52								3841	
	SEVENTH			283	67.22						Excluded								138	32.78								421	
		TOTAL		2185	56.89														1656	43.11								3841	
																			Elected										
																													
Perth (Tangney)                                                																													
	FIRST			36	32.14		0	0.00		8	7.14		11	9.82		2	1.79		50	44.64		0	0.00		5	4.46		112	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		36	32.14		0	0.00		8	7.14		11	9.82		2	1.79		50	44.64					5	4.46		112	
	THIRD			0	0.00		1	20.00		0	0.00		1	20.00		1	20.00		2	40.00						Excluded		5	
		TOTAL		36	32.14		1	0.89		8	7.14		12	10.71		3	2.68		52	46.43								112	
	FOURTH			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00								1	
		TOTAL		37	33.04					8	7.14		12	10.71		3	2.68		52	46.43								112	
	FIFTH			0	0.00					2	66.67		1	33.33			Excluded		0	0.00								3	
		TOTAL		37	33.04					10	8.93		13	11.61					52	46.43								112	
	SIXTH			4	30.77					5	38.46			Excluded					4	30.77								13	
		TOTAL		41	36.61					15	13.39								56	50.00								112	
	SEVENTH			12	80.00						Excluded								3	20.00								15	
		TOTAL		53	47.32														59	52.68								112	
																			Elected										
																													
Riverton                                                       																													
	FIRST			695	33.80		27	1.31		111	5.40		82	3.99		83	4.04		995	48.39		17	0.83		46	2.24		2056	
	SECOND			1	5.88		0	0.00		5	29.41		3	17.65		2	11.76		6	35.29			Excluded		0	0.00		17	
