House of Representatives - 2001 Election: Western Australia																									
Distribution of Preferences 																									
By Polling Place																									
																									
Canning																									
					MACDONALD			BROWN			GERICK			DACHEFF			RANDALL			KENNEDY			READ		
	THIRD						3	20.00		2	13.33		2	13.33		6	40.00			Excluded		2	13.33		15
		TOTAL					45	3.18		496	35.00		139	9.81		661	46.65					76	5.36		1417
	FOURTH							Excluded		21	46.67		4	8.89		6	13.33					14	31.11		45
		TOTAL								517	36.49		143	10.09		667	47.07					90	6.35		1417
	FIFTH									46	51.11		19	21.11		25	27.78						Excluded		90
		TOTAL								563	39.73		162	11.43		692	48.84								1417
	SIXTH									94	58.02			Excluded		68	41.98								162
		TOTAL								657	46.37					760	53.63								1417
																Elected									
																									
Bedfordale                                                     																									
	FIRST			4	0.89		10	2.23		122	27.23		29	6.47		233	52.01		20	4.46		30	6.70		448
	SECOND				Excluded		3	75.00		1	25.00		0	0.00		0	0.00		0	0.00		0	0.00		4
		TOTAL					13	2.90		123	27.46		29	6.47		233	52.01		20	4.46		30	6.70		448
	THIRD						0	0.00		0	0.00		4	20.00		15	75.00			Excluded		1	5.00		20
		TOTAL					13	2.90		123	27.46		33	7.37		248	55.36					31	6.92		448
	FOURTH							Excluded		6	46.15		1	7.69		1	7.69					5	38.46		13
		TOTAL								129	28.79		34	7.59		249	55.58					36	8.04		448
	FIFTH									28	77.78		3	8.33		5	13.89						Excluded		36
		TOTAL								157	35.04		37	8.26		254	56.70								448
	SIXTH									18	48.65			Excluded		19	51.35								37
		TOTAL								175	39.06					273	60.94								448
																Elected									
																									
Brookdale                                                      																									
	FIRST			10	1.23		32	3.93		423	51.97		58	7.13		220	27.03		23	2.83		48	5.90		814
	SECOND				Excluded		3	30.00		1	10.00		2	20.00		2	20.00		1	10.00		1	10.00		10
		TOTAL					35	4.30		424	52.09		60	7.37		222	27.27		24	2.95		49	6.02		814
	THIRD						2	8.33		2	8.33		0	0.00		18	75.00			Excluded		2	8.33		24
		TOTAL					37	4.55		426	52.33		60	7.37		240	29.48					51	6.27		814
	FOURTH							Excluded		15	40.54		4	10.81		5	13.51					13	35.14		37
		TOTAL								441	54.18		64	7.86		245	30.10					64	7.86		814
	FIFTH									35	54.69		14	21.88		15	23.44						Excluded		64
		TOTAL								476	58.48		78	9.58		260	31.94								814
	SIXTH									46	58.97			Excluded		32	41.03								78
		TOTAL								522	64.13					292	35.87								814
																Elected									
																									
Byford                                                         																									
	FIRST			25	1.09		69	3.00		764	33.19		188	8.17		1039	45.13		104	4.52		113	4.91		2302
	SECOND				Excluded		16	64.00		4	16.00		0	0.00		2	8.00		1	4.00		2	8.00		25
		TOTAL					85	3.69		768	33.36		188	8.17		1041	45.22		105	4.56		115	5.00		2302
	THIRD						6	5.71		5	4.76		3	2.86		84	80.00			Excluded		7	6.67		105
		TOTAL					91	3.95		773	33.58		191	8.30		1125	48.87					122	5.30		2302
	FOURTH							Excluded		37	40.66		2	2.20		11	12.09					41	45.05		91
		TOTAL								810	35.19		193	8.38		1136	49.35					163	7.08		2302
	FIFTH									93	57.06		31	19.02		39	23.93						Excluded		163
		TOTAL								903	39.23		224	9.73		1175	51.04								2302
	SIXTH									118	52.68			Excluded		106	47.32								224
		TOTAL								1021	44.35					1281	55.65								2302
																Elected									
																									
Canning Vale                                                   																									
	FIRST			12	0.34		149	4.19		1230	34.58		120	3.37		1846	51.90		87	2.45		113	3.18		3557
	SECOND				Excluded		6	50.00		1	8.33		1	8.33		2	16.67		0	0.00		2	16.67		12
		TOTAL					155	4.36		1231	34.61		121	3.40		1848	51.95		87	2.45		115	3.23		3557
	THIRD						4	4.60		19	21.84		2	2.30		56	64.37			Excluded		6	6.90		87
		TOTAL					159	4.47		1250	35.14		123	3.46		1904	53.53					121	3.40		3557
	FOURTH							Excluded		52	32.70		6	3.77		33	20.75					68	42.77		159
		TOTAL								1302	36.60		129	3.63		1937	54.46					189	5.31		3557
	FIFTH									98	51.85		30	15.87		61	32.28						Excluded		189
		TOTAL								1400	39.36		159	4.47		1998	56.17								3557
	SIXTH									88	55.35			Excluded		71	44.65								159
		TOTAL								1488	41.83					2069	58.17								3557
																Elected									
																									
Canning Vale South                                             																									
	FIRST			8	0.39		77	3.78		789	38.75		60	2.95		991	48.67		54	2.65		57	2.80		2036
	SECOND				Excluded		5	62.50		0	0.00		2	25.00		0	0.00		1	12.50		0	0.00		8
		TOTAL					82	4.03		789	38.75		62	3.05		991	48.67		55	2.70		57	2.80		2036
	THIRD						5	9.09		6	10.91		3	5.45		36	65.45			Excluded		5	9.09		55
		TOTAL					87	4.27		795	39.05		65	3.19		1027	50.44					62	3.05		2036
	FOURTH							Excluded		20	22.99		17	19.54		22	25.29					28	32.18		87
		TOTAL								815	40.03		82	4.03		1049	51.52					90	4.42		2036
	FIFTH									46	51.11		12	13.33		32	35.56						Excluded		90
		TOTAL								861	42.29		94	4.62		1081	53.09								2036
	SIXTH									49	52.13			Excluded		45	47.87								94
		TOTAL								910	44.70					1126	55.30								2036
																Elected									
																									
Carcoola                                                       																									
	FIRST			5	1.02		12	2.45		233	47.65		60	12.27		136	27.81		16	3.27		27	5.52		489
	SECOND				Excluded		1	20.00		2	40.00		1	20.00		1	20.00		0	0.00		0	0.00		5
		TOTAL					13	2.66		235	48.06		61	12.47		137	28.02		16	3.27		27	5.52		489
	THIRD						2	12.50		1	6.25		2	12.50		10	62.50			Excluded		1	6.25		16
		TOTAL					15	3.07		236	48.26		63	12.88		147	30.06					28	5.73		489
	FOURTH							Excluded		7	46.67		3	20.00		0	0.00					5	33.33		15
		TOTAL								243	49.69		66	13.50		147	30.06					33	6.75		489
	FIFTH									14	42.42		7	21.21		12	36.36						Excluded		33
		TOTAL								257	52.56		73	14.93		159	32.52								489
	SIXTH									29	39.73			Excluded		44	60.27								73
		TOTAL								286	58.49					203	41.51								489
																Elected									
																									
Coolup                                                         																									
	FIRST			2	0.81		5	2.02		57	23.08		32	12.96		134	54.25		2	0.81		15	6.07		247
	SECOND				Excluded		0	0.00		0	0.00		2	100.00		0	0.00		0	0.00		0	0.00		2
		TOTAL					5	2.02		57	23.08		34	13.77		134	54.25		2	0.81		15	6.07		247
	THIRD						0	0.00		0	0.00		2	100.00		0	0.00			Excluded		0	0.00		2
		TOTAL					5	2.02		57	23.08		36	14.57		134	54.25					15	6.07		247
	FOURTH							Excluded		2	40.00		0	0.00		0	0.00					3	60.00		5
		TOTAL								59	23.89		36	14.57		134	54.25					18	7.29		247
	FIFTH									9	50.00		5	27.78		4	22.22						Excluded		18
		TOTAL								68	27.53		41	16.60		138	55.87								247
	SIXTH									18	43.90			Excluded		23	56.10								41
		TOTAL								86	34.82					161	65.18								247
																Elected									
																									
Dawesville                                                     																									
	FIRST			7	0.59		19	1.61		417	35.34		70	5.93		573	48.56		11	0.93		83	7.03		1180
	SECOND				Excluded		5	71.43		1	14.29		1	14.29		0	0.00		0	0.00		0	0.00		7
		TOTAL					24	2.03		418	35.42		71	6.02		573	48.56		11	0.93		83	7.03		1180
	THIRD						2	18.18		0	0.00		1	9.09		7	63.64			Excluded		1	9.09		11
		TOTAL					26	2.20		418	35.42		72	6.10		580	49.15					84	7.12		1180
	FOURTH							Excluded		10	38.46		2	7.69		2	7.69					12	46.15		26
		TOTAL								428	36.27		74	6.27		582	49.32					96	8.14		1180
	FIFTH									69	71.88		6	6.25		21	21.88						Excluded		96
		TOTAL								497	42.12		80	6.78		603	51.10								1180
	SIXTH									37	46.25			Excluded		43	53.75								80
		TOTAL								534	45.25					646	54.75								1180
																Elected									
																									
Dwellingup                                                     																									
	FIRST			5	1.34		22	5.90		127	34.05		38	10.19		151	40.48		4	1.07		26	6.97		373
	SECOND				Excluded		0	0.00		2	40.00		1	20.00		1	20.00		1	20.00		0	0.00		5
		TOTAL					22	5.90		129	34.58		39	10.46		152	40.75		5	1.34		26	6.97		373
	THIRD						0	0.00		0	0.00		0	0.00		4	80.00			Excluded		1	20.00		5
		TOTAL					22	5.90		129	34.58		39	10.46		156	41.82					27	7.24		373
	FOURTH							Excluded		5	22.73		0	0.00		2	9.09					15	68.18		22
		TOTAL								134	35.92		39	10.46		158	42.36					42	11.26		373
	FIFTH									29	69.05		6	14.29		7	16.67						Excluded		42
		TOTAL								163	43.70		45	12.06		165	44.24								373
	SIXTH									34	75.56			Excluded		11	24.44								45
		TOTAL								197	52.82					176	47.18								373
																Elected									
																									
Falcon                                                         																									
	FIRST			11	0.45		86	3.52		893	36.51		163	6.66		1055	43.13		30	1.23		208	8.50		2446
	SECOND				Excluded		6	54.55		3	27.27		1	9.09		0	0.00		1	9.09		0	0.00		11
		TOTAL					92	3.76		896	36.63		164	6.70		1055	43.13		31	1.27		208	8.50		2446
	THIRD						2	6.45		8	25.81		4	12.90		15	48.39			Excluded		2	6.45		31
		TOTAL					94	3.84		904	36.96		168	6.87		1070	43.74					210	8.59		2446
	FOURTH							Excluded		29	30.85		5	5.32		9	9.57					51	54.26		94
		TOTAL								933	38.14		173	7.07		1079	44.11					261	10.67		2446
	FIFTH									155	59.39		24	9.20		82	31.42						Excluded		261
		TOTAL								1088	44.48		197	8.05		1161	47.47								2446
	SIXTH									108	54.82			Excluded		89	45.18								197
		TOTAL								1196	48.90					1250	51.10								2446
																Elected									
																									
Forrestdale                                                    																									
	FIRST			6	0.64		34	3.64		321	34.33		67	7.17		438	46.84		14	1.50		55	5.88		935
	SECOND				Excluded		1	16.67		2	33.33		1	16.67		0	0.00		0	0.00		2	33.33		6
		TOTAL					35	3.74		323	34.55		68	7.27		438	46.84		14	1.50		57	6.10		935
	THIRD						0	0.00		2	14.29		2	14.29		7	50.00			Excluded		3	21.43		14
		TOTAL					35	3.74		325	34.76		70	7.49		445	47.59					60	6.42		935
	FOURTH							Excluded		7	20.00		3	8.57		6	17.14					19	54.29		35
		TOTAL								332	35.51		73	7.81		451	48.24					79	8.45		935
	FIFTH									47	59.49		8	10.13		24	30.38						Excluded		79
		TOTAL								379	40.53		81	8.66		475	50.80								935
	SIXTH									53	65.43			Excluded		28	34.57								81
		TOTAL								432	46.20					503	53.80								935
																Elected									
																									
Gosnells South (Canning)                                       																									
	FIRST			9	1.69		24	4.50		206	38.65		36	6.75		222	41.65		17	3.19		19	3.56		533
	SECOND				Excluded		6	66.67		2	22.22		0	0.00		0	0.00		0	0.00		1	11.11		9
		TOTAL					30	5.63		208	39.02		36	6.75		222	41.65		17	3.19		20	3.75		533
	THIRD						0	0.00		2	11.76		0	0.00		12	70.59			Excluded		3	17.65		17
		TOTAL					30	5.63		210	39.40		36	6.75		234	43.90					23	4.32		533
	FOURTH							Excluded		14	46.67		3	10.00		5	16.67					8	26.67		30
		TOTAL								224	42.03		39	7.32		239	44.84					31	5.82		533
	FIFTH									20	64.52		6	19.35		5	16.13						Excluded		31
		TOTAL								244	45.78		45	8.44		244	45.78								533
	SIXTH									23	51.11			Excluded		22	48.89								45
		TOTAL								267	50.09					266	49.91								533
																Elected									
																									
Halls Head                                                     																									
	FIRST			20	0.55		111	3.05		1085	29.77		179	4.91		2065	56.65		31	0.85		154	4.22		3645
	SECOND				Excluded		10	50.00		5	25.00		4	20.00		0	0.00		0	0.00		1	5.00		20
		TOTAL					121	3.32		1090	29.90		183	5.02		2065	56.65		31	0.85		155	4.25		3645
	THIRD						6	19.35		4	12.90		3	9.68		10	32.26			Excluded		8	25.81		31
		TOTAL					127	3.48		1094	30.01		186	5.10		2075	56.93					163	4.47		3645
	FOURTH							Excluded		33	25.98		7	5.51		8	6.30					79	62.20		127
		TOTAL								1127	30.92		193	5.29		2083	57.15					242	6.64		3645
	FIFTH									132	54.55		32	13.22		78	32.23						Excluded		242
		TOTAL								1259	34.54		225	6.17		2161	59.29								3645
	SIXTH									108	48.00			Excluded		117	52.00								225
		TOTAL								1367	37.50					2278	62.50								3645
																Elected									
																									
Halls Head South                                               																									
	FIRST			6	0.31		57	2.98		754	39.39		102	5.33		869	45.40		19	0.99		107	5.59		1914
	SECOND				Excluded		4	66.67		1	16.67		0	0.00		0	0.00		0	0.00		1	16.67		6
		TOTAL					61	3.19		755	39.45		102	5.33		869	45.40		19	0.99		108	5.64		1914
	THIRD						1	5.26		2	10.53		1	5.26		12	63.16			Excluded		3	15.79		19
		TOTAL					62	3.24		757	39.55		103	5.38		881	46.03					111	5.80		1914
	FOURTH							Excluded		30	48.39		5	8.06		9	14.52					18	29.03		62
		TOTAL								787	41.12		108	5.64		890	46.50					129	6.74		1914
	FIFTH									63	48.84		25	19.38		41	31.78						Excluded		129
		TOTAL								850	44.41		133	6.95		931	48.64								1914
	SIXTH									65	48.87			Excluded		68	51.13								133
		TOTAL								915	47.81					999	52.19								1914
																Elected									
																									
Huntingdale (Canning)                                          																									
	FIRST			20	1.27		75	4.76		682	43.30		95	6.03		587	37.27		52	3.30		64	4.06		1575
	SECOND				Excluded		13	65.00		3	15.00		2	10.00		2	10.00		0	0.00		0	0.00		20
		TOTAL					88	5.59		685	43.49		97	6.16		589	37.40		52	3.30		64	4.06		1575
	THIRD						7	13.46		5	9.62		2	3.85		35	67.31			Excluded		3	5.77		52
		TOTAL					95	6.03		690	43.81		99	6.29		624	39.62					67	4.25		1575
	FOURTH							Excluded		47	49.47		10	10.53		14	14.74					24	25.26		95
		TOTAL								737	46.79		109	6.92		638	40.51					91	5.78		1575
	FIFTH									44	48.35		14	15.38		33	36.26						Excluded		91
		TOTAL								781	49.59		123	7.81		671	42.60								1575
	SIXTH									69	56.10			Excluded		54	43.90								123
		TOTAL								850	53.97					725	46.03								1575
																Elected									
																									
Jarrahdale                                                     																									
	FIRST			3	0.80		15	4.00		133	35.47		31	8.27		145	38.67		12	3.20		36	9.60		375
	SECOND				Excluded		1	33.33		1	33.33		1	33.33		0	0.00		0	0.00		0	0.00		3
		TOTAL					16	4.27		134	35.73		32	8.53		145	38.67		12	3.20		36	9.60		375
	THIRD						1	8.33		2	16.67		2	16.67		4	33.33			Excluded		3	25.00		12
		TOTAL					17	4.53		136	36.27		34	9.07		149	39.73					39	10.40		375
	FOURTH							Excluded		6	35.29		1	5.88		2	11.76					8	47.06		17
		TOTAL								142	37.87		35	9.33		151	40.27					47	12.53		375
	FIFTH									33	70.21		5	10.64		9	19.15						Excluded		47
		TOTAL								175	46.67		40	10.67		160	42.67								375
	SIXTH									25	62.50			Excluded		15	37.50								40
		TOTAL								200	53.33					175	46.67								375
																Elected									
																									
Karragullen                                                    																									
	FIRST			6	2.47		11	4.53		54	22.22		10	4.12		142	58.44		4	1.65		16	6.58		243
	SECOND				Excluded		4	66.67		2	33.33		0	0.00		0	0.00		0	0.00		0	0.00		6
		TOTAL					15	6.17		56	23.05		10	4.12		142	58.44		4	1.65		16	6.58		243
	THIRD						0	0.00		0	0.00		2	50.00		2	50.00			Excluded		0	0.00		4
		TOTAL					15	6.17		56	23.05		12	4.94		144	59.26					16	6.58		243
	FOURTH							Excluded		7	46.67		1	6.67		2	13.33					5	33.33		15
		TOTAL								63	25.93		13	5.35		146	60.08					21	8.64		243
	FIFTH									12	57.14		1	4.76		8	38.10						Excluded		21
		TOTAL								75	30.86		14	5.76		154	63.37								243
	SIXTH									7	50.00			Excluded		7	50.00								14
		TOTAL								82	33.74					161	66.26								243
																Elected									
																									
Kelmscott                                                      																									
	FIRST			16	0.83		84	4.35		937	48.50		134	6.94		611	31.63		64	3.31		86	4.45		1932
	SECOND				Excluded		10	62.50		2	12.50		1	6.25		1	6.25		1	6.25		1	6.25		16
		TOTAL					94	4.87		939	48.60		135	6.99		612	31.68		65	3.36		87	4.50		1932
	THIRD						6	9.23		6	9.23		10	15.38		38	58.46			Excluded		5	7.69		65
		TOTAL					100	5.18		945	48.91		145	7.51		650	33.64					92	4.76		1932
	FOURTH							Excluded		41	41.00		10	10.00		9	9.00					40	40.00		100
		TOTAL								986	51.04		155	8.02		659	34.11					132	6.83		1932
	FIFTH									79	59.85		25	18.94		28	21.21						Excluded		132
		TOTAL								1065	55.12		180	9.32		687	35.56								1932
	SIXTH									114	63.33			Excluded		66	36.67								180
		TOTAL								1179	61.02					753	38.98								1932
																Elected									
																									
Kelmscott East                                                 																									
	FIRST			8	0.39		101	4.88		669	32.30		136	6.57		926	44.71		99	4.78		132	6.37		2071
	SECOND				Excluded		3	37.50		1	12.50		2	25.00		1	12.50		0	0.00		1	12.50		8
		TOTAL					104	5.02		670	32.35		138	6.66		927	44.76		99	4.78		133	6.42		2071
	THIRD						7	7.07		2	2.02		3	3.03		79	79.80			Excluded		8	8.08		99
		TOTAL					111	5.36		672	32.45		141	6.81		1006	48.58					141	6.81		2071
	FOURTH							Excluded		33	29.73		7	6.31		22	19.82					49	44.14		111
		TOTAL								705	34.04		148	7.15		1028	49.64					190	9.17		2071
	FIFTH									122	64.21		30	15.79		38	20.00						Excluded		190
		TOTAL								827	39.93		178	8.59		1066	51.47								2071
	SIXTH									101	56.74			Excluded		77	43.26								178
		TOTAL								928	44.81					1143	55.19								2071
																Elected									
																									
Kelmscott North                                                																									
	FIRST			13	0.95		55	4.02		570	41.67		101	7.38		515	37.65		37	2.70		77	5.63		1368
	SECOND				Excluded		7	53.85		4	30.77		2	15.38		0	0.00		0	0.00		0	0.00		13
		TOTAL					62	4.53		574	41.96		103	7.53		515	37.65		37	2.70		77	5.63		1368
	THIRD						2	5.41		4	10.81		3	8.11		27	72.97			Excluded		1	2.70		37
		TOTAL					64	4.68		578	42.25		106	7.75		542	39.62					78	5.70		1368
	FOURTH							Excluded		26	40.63		4	6.25		11	17.19					23	35.94		64
		TOTAL								604	44.15		110	8.04		553	40.42					101	7.38		1368
	FIFTH									66	65.35		12	11.88		23	22.77						Excluded		101
		TOTAL								670	48.98		122	8.92		576	42.11								1368
	SIXTH									69	56.56			Excluded		53	43.44								122
		TOTAL								739	54.02					629	45.98								1368
																Elected									
																									
Lake Clifton                                                   																									
	FIRST			1	0.38		7	2.66		99	37.64		16	6.08		108	41.06		2	0.76		30	11.41		263
	SECOND				Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL					8	3.04		99	37.64		16	6.08		108	41.06		2	0.76		30	11.41		263
	THIRD						0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		2
		TOTAL					8	3.04		99	37.64		16	6.08		109	41.44					31	11.79		263
	FOURTH							Excluded		3	37.50		1	12.50		1	12.50					3	37.50		8
		TOTAL								102	38.78		17	6.46		110	41.83					34	12.93		263
	FIFTH									25	73.53		7	20.59		2	5.88						Excluded		34
		TOTAL								127	48.29		24	9.13		112	42.59								263
	SIXTH									16	66.67			Excluded		8	33.33								24
		TOTAL								143	54.37					120	45.63								263
																Elected									
																									
Mundijong                                                      																									
	FIRST			8	0.84		30	3.13		304	31.77		100	10.45		447	46.71		14	1.46		54	5.64		957
	SECOND				Excluded		3	37.50		2	25.00		0	0.00		3	37.50		0	0.00		0	0.00		8
		TOTAL					33	3.45		306	31.97		100	10.45		450	47.02		14	1.46		54	5.64		957
	THIRD						0	0.00		0	0.00		1	7.14		12	85.71			Excluded		1	7.14		14
		TOTAL					33	3.45		306	31.97		101	10.55		462	48.28					55	5.75		957
	FOURTH							Excluded		14	42.42		4	12.12		5	15.15					10	30.30		33
		TOTAL								320	33.44		105	10.97		467	48.80					65	6.79		957
	FIFTH									46	70.77		10	15.38		9	13.85						Excluded		65
		TOTAL								366	38.24		115	12.02		476	49.74								957
	SIXTH									67	58.26			Excluded		48	41.74								115
		TOTAL								433	45.25					524	54.75								957
																Elected									
																									
North Dandalup                                                 																									
	FIRST			4	1.22		8	2.44		100	30.49		29	8.84		164	50.00		2	0.61		21	6.40		328
	SECOND				Excluded		1	25.00		1	25.00		0	0.00		0	0.00		0	0.00		2	50.00		4
		TOTAL					9	2.74		101	30.79		29	8.84		164	50.00		2	0.61		23	7.01		328
	THIRD						0	0.00		1	50.00		1	50.00		0	0.00			Excluded		0	0.00		2
		TOTAL					9	2.74		102	31.10		30	9.15		164	50.00					23	7.01		328
	FOURTH							Excluded		3	33.33		0	0.00		3	33.33					3	33.33		9
		TOTAL								105	32.01		30	9.15		167	50.91					26	7.93		328
	FIFTH									11	42.31		10	38.46		5	19.23						Excluded		26
		TOTAL								116	35.37		40	12.20		172	52.44								328
	SIXTH									25	62.50			Excluded		15	37.50								40
		TOTAL								141	42.99					187	57.01								328
																Elected									
																									
Oakford                                                        																									
	FIRST			4	0.52		15	1.96		240	31.33		59	7.70		394	51.44		7	0.91		47	6.14		766
	SECOND				Excluded		2	50.00		0	0.00		0	0.00		1	25.00		1	25.00		0	0.00		4
		TOTAL					17	2.22		240	31.33		59	7.70		395	51.57		8	1.04		47	6.14		766
	THIRD						1	12.50		3	37.50		0	0.00		3	37.50			Excluded		1	12.50		8
		TOTAL					18	2.35		243	31.72		59	7.70		398	51.96					48	6.27		766
	FOURTH							Excluded		5	27.78		4	22.22		2	11.11					7	38.89		18
		TOTAL								248	32.38		63	8.22		400	52.22					55	7.18		766
	FIFTH									33	60.00		11	20.00		11	20.00						Excluded		55
		TOTAL								281	36.68		74	9.66		411	53.66								766
	SIXTH									28	37.84			Excluded		46	62.16								74
		TOTAL								309	40.34					457	59.66								766
																Elected									
																									
Perth (Canning)                                                																									
	FIRST			1	1.30		5	6.49		31	40.26		2	2.60		27	35.06		2	2.60		9	11.69		77
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		1
		TOTAL					5	6.49		31	40.26		2	2.60		27	35.06		2	2.60		10	12.99		77
	THIRD						0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		2
		TOTAL					5	6.49		31	40.26		2	2.60		29	37.66					10	12.99		77
	FOURTH							Excluded		1	20.00		0	0.00		1	20.00					3	60.00		5
		TOTAL								32	41.56		2	2.60		30	38.96					13	16.88		77
	FIFTH									5	38.46		2	15.38		6	46.15						Excluded		13
		TOTAL								37	48.05		4	5.19		36	46.75								77
	SIXTH									3	75.00			Excluded		1	25.00								4
		TOTAL								40	51.95					37	48.05								77
																Elected									
																									
Pinjarra                                                       																									
	FIRST			14	0.92		23	1.51		564	36.96		169	11.07		664	43.51		32	2.10		60	3.93		1526
	SECOND				Excluded		4	28.57		3	21.43		5	35.71		1	7.14		0	0.00		1	7.14		14
		TOTAL					27	1.77		567	37.16		174	11.40		665	43.58		32	2.10		61	4.00		1526
	THIRD						7	21.88		2	6.25		2	6.25		20	62.50			Excluded		1	3.13		32
		TOTAL					34	2.23		569	37.29		176	11.53		685	44.89					62	4.06		1526
	FOURTH							Excluded		16	47.06		4	11.76		7	20.59					7	20.59		34
		TOTAL								585	38.34		180	11.80		692	45.35					69	4.52		1526
	FIFTH									38	55.07		13	18.84		18	26.09						Excluded		69
		TOTAL								623	40.83		193	12.65		710	46.53								1526
