Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Fremantle (80927)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
	Fremantle		3	0.18		1	0.06		2	0.12		11	0.67		0	0.00		368	22.52		24	1.47		0	0.00		50	3.06		31	1.90		0	0.00		3	0.18		10	0.61		14	0.86		153	9.36		625	38.25		338	20.69		1	0.06		1634	96.52		59	3.48		1693	2.19
	Hamilton Hill East		12	0.78		1	0.06		1	0.06		9	0.58		2	0.13		334	21.69		10	0.65		0	0.00		95	6.17		22	1.43		0	0.00		8	0.52		3	0.19		14	0.91		96	6.23		787	51.10		145	9.42		1	0.06		1540	93.11		114	6.89		1654	2.14
	Hamilton Hill North		18	0.98		4	0.22		1	0.05		13	0.70		3	0.16		442	23.94		9	0.49		1	0.05		98	5.31		17	0.92		0	0.00		17	0.92		3	0.16		25	1.35		78	4.23		972	52.65		144	7.80		1	0.05		1846	90.53		193	9.47		2039	2.64
	Hamilton Hill South		11	0.90		0	0.00		1	0.08		11	0.90		1	0.08		245	20.03		6	0.49		2	0.16		80	6.54		13	1.06		1	0.08		12	0.98		0	0.00		19	1.55		49	4.01		707	57.81		64	5.23		1	0.08		1223	92.58		98	7.42		1321	1.71
	Hilton		10	0.59		2	0.12		2	0.12		30	1.77		0	0.00		292	17.21		6	0.35		1	0.06		83	4.89		8	0.47		0	0.00		14	0.82		5	0.29		31	1.83		96	5.66		834	49.15		283	16.68		0	0.00		1697	95.82		74	4.18		1771	2.30
	Jandakot		6	0.49		0	0.00		1	0.08		19	1.54		0	0.00		470	38.15		13	1.06		2	0.16		81	6.57		7	0.57		0	0.00		3	0.24		0	0.00		8	0.65		89	7.22		487	39.53		44	3.57		2	0.16		1232	96.25		48	3.75		1280	1.66
	Kardinya (Fremantle)		5	0.43		6	0.51		2	0.17		14	1.19		0	0.00		529	45.02		11	0.94		2	0.17		65	5.53		14	1.19		0	0.00		2	0.17		0	0.00		4	0.34		81	6.89		385	32.77		55	4.68		0	0.00		1175	95.76		52	4.24		1227	1.59
	Kardinya West		9	0.62		6	0.41		0	0.00		17	1.16		0	0.00		571	39.06		19	1.30		1	0.07		72	4.92		10	0.68		0	0.00		4	0.27		0	0.00		10	0.68		89	6.09		534	36.53		119	8.14		1	0.07		1462	96.37		55	3.63		1517	1.97
	Lakeland		4	0.22		2	0.11		1	0.06		29	1.61		0	0.00		699	38.83		19	1.06		1	0.06		97	5.39		18	1.00		0	0.00		4	0.22		0	0.00		8	0.44		140	7.78		688	38.22		89	4.94		1	0.06		1800	96.98		56	3.02		1856	2.41
	Melville (Fremantle)		4	0.70		1	0.17		0	0.00		5	0.87		1	0.17		229	40.03		5	0.87		0	0.00		27	4.72		5	0.87		0	0.00		0	0.00		0	0.00		2	0.35		46	8.04		196	34.27		51	8.92		0	0.00		572	96.46		21	3.54		593	0.77
	Munster		7	0.75		1	0.11		1	0.11		9	0.96		0	0.00		317	33.80		6	0.64		0	0.00		64	6.82		5	0.53		0	0.00		1	0.11		0	0.00		4	0.43		30	3.20		439	46.80		54	5.76		0	0.00		938	92.50		76	7.50		1014	1.31
	North Fremantle		5	0.44		0	0.00		0	0.00		5	0.44		2	0.18		412	36.46		38	3.36		0	0.00		33	2.92		14	1.24		0	0.00		4	0.35		0	0.00		8	0.71		121	10.71		313	27.70		175	15.49		0	0.00		1130	97.16		33	2.84		1163	1.51
	Palmyra		26	1.01		2	0.08		2	0.08		15	0.58		0	0.00		809	31.44		24	0.93		3	0.12		137	5.32		34	1.32		2	0.08		10	0.39		0	0.00		24	0.93		203	7.89		1022	39.72		259	10.07		1	0.04		2573	95.37		125	4.63		2698	3.50
	Palmyra North		5	0.97		3	0.58		0	0.00		10	1.93		0	0.00		174	33.59		8	1.54		0	0.00		23	4.44		8	1.54		0	0.00		1	0.19		0	0.00		3	0.58		42	8.11		189	36.49		52	10.04		0	0.00		518	95.57		24	4.43		542	0.70
	Perth (Fremantle)		0	0.00		0	0.00		0	0.00		1	1.08		0	0.00		26	27.96		0	0.00		0	0.00		1	1.08		1	1.08		0	0.00		1	1.08		0	0.00		0	0.00		7	7.53		38	40.86		18	19.35		0	0.00		93	98.94		1	1.06		94	0.12
	Richmond		15	0.58		8	0.31		0	0.00		13	0.50		3	0.12		1092	42.15		63	2.43		2	0.08		86	3.32		54	2.08		0	0.00		6	0.23		2	0.08		11	0.42		200	7.72		719	27.75		317	12.23		0	0.00		2591	96.32		99	3.68		2690	3.49
	Rottnest (Fremantle)		0	0.00		1	0.46		1	0.46		1	0.46		0	0.00		70	32.11		1	0.46		0	0.00		4	1.83		4	1.83		0	0.00		0	0.00		1	0.46		0	0.00		30	13.76		77	35.32		28	12.84		0	0.00		218	96.89		7	3.11		225	0.29
	Samson		13	0.66		1	0.05		1	0.05		23	1.17		1	0.05		672	34.16		14	0.71		1	0.05		105	5.34		27	1.37		2	0.10		5	0.25		0	0.00		21	1.07		115	5.85		855	43.47		108	5.49		3	0.15		1967	94.43		116	5.57		2083	2.70
	South Fremantle		9	0.58		2	0.13		1	0.06		5	0.32		2	0.13		384	24.68		15	0.96		1	0.06		41	2.63		21	1.35		1	0.06		3	0.19		5	0.32		8	0.51		164	10.54		523	33.61		367	23.59		4	0.26		1556	95.58		72	4.42		1628	2.11
	South Lake		3	0.16		1	0.05		1	0.05		31	1.67		0	0.00		497	26.76		14	0.75		2	0.11		121	6.52		19	1.02		1	0.05		9	0.48		0	0.00		23	1.24		106	5.71		953	51.32		74	3.98		2	0.11		1857	95.57		86	4.43		1943	2.52
	Spearwood		13	0.49		4	0.15		2	0.08		23	0.86		3	0.11		653	24.50		22	0.83		1	0.04		164	6.15		19	0.71		0	0.00		19	0.71		5	0.19		48	1.80		148	5.55		1410	52.91		131	4.92		0	0.00		2665	93.21		194	6.79		2859	3.71
	Spearwood South		14	0.51		8	0.29		3	0.11		25	0.91		2	0.07		691	25.22		11	0.40		2	0.07		145	5.29		18	0.66		3	0.11		9	0.33		0	0.00		56	2.04		144	5.26		1503	54.85		105	3.83		1	0.04		2740	93.01		206	6.99		2946	3.82
	Spearwood West		24	0.80		8	0.27		1	0.03		28	0.93		1	0.03		720	23.94		25	0.83		2	0.07		179	5.95		26	0.86		2	0.07		18	0.60		3	0.10		40	1.33		152	5.05		1611	53.57		166	5.52		1	0.03		3007	91.59		276	8.41		3283	4.26
	Wattleup		2	0.40		1	0.20		0	0.00		5	1.01		1	0.20		109	21.98		7	1.41		1	0.20		49	9.88		9	1.81		1	0.20		3	0.60		0	0.00		7	1.41		12	2.42		258	52.02		31	6.25		0	0.00		496	92.54		40	7.46		536	0.69
	White Gum Valley		12	0.71		1	0.06		0	0.00		11	0.65		1	0.06		365	21.46		13	0.76		0	0.00		52	3.06		19	1.12		0	0.00		15	0.88		0	0.00		18	1.06		131	7.70		726	42.68		336	19.75		1	0.06		1701	94.03		108	5.97		1809	2.34
	Willagee		5	0.36		0	0.00		0	0.00		19	1.38		1	0.07		334	24.26		12	0.87		0	0.00		71	5.16		12	0.87		1	0.07		12	0.87		0	0.00		7	0.51		88	6.39		716	52.00		99	7.19		0	0.00		1377	95.10		71	4.90		1448	1.88
	Willagee East		7	0.44		0	0.00		2	0.12		13	0.81		1	0.06		591	36.73		11	0.68		3	0.19		85	5.28		12	0.75		1	0.06		8	0.50		0	0.00		12	0.75		78	4.85		676	42.01		109	6.77		0	0.00		1609	95.83		70	4.17		1679	2.18
	Yangebup		9	0.32		1	0.04		4	0.14		37	1.33		4	0.14		765	27.48		25	0.90		3	0.11		229	8.23		25	0.90		1	0.04		14	0.50		0	0.00		32	1.15		193	6.93		1294	46.48		147	5.28		1	0.04		2784	96.17		111	3.83		2895	3.75
	Yangebup South		3	0.56		2	0.37		0	0.00		9	1.67		0	0.00		178	32.96		4	0.74		0	0.00		32	5.93		2	0.37		0	0.00		2	0.37		0	0.00		2	0.37		37	6.85		243	45.00		26	4.81		0	0.00		540	96.60		19	3.40		559	0.72
	Special Hospitals		3	0.73		0	0.00		0	0.00		3	0.73		0	0.00		136	32.93		2	0.48		1	0.24		16	3.87		5	1.21		0	0.00		3	0.73		0	0.00		6	1.45		9	2.18		218	52.78		11	2.66		0	0.00		413	96.27		16	3.73		429	0.56
	Total Ordinary		352	0.56		111	0.18		43	0.07		616	0.98		43	0.07		19267	30.62		616	0.98		37	0.06		3308	5.26		689	1.09		21	0.03		279	0.44		46	0.07		609	0.97		4246	6.75		27010	42.92		5606	8.91		34	0.05		62933	95.02		3296	4.98		66229	85.84
	ABSENT		18	0.32		9	0.16		2	0.04		63	1.13		4	0.07		1881	33.70		68	1.22		5	0.09		293	5.25		96	1.72		2	0.04		13	0.23		7	0.13		60	1.07		428	7.67		1958	35.08		672	12.04		3	0.05		5582	97.79		126	2.21		5708	7.40
	POSTAL		4	0.22		3	0.17		1	0.06		16	0.89		1	0.06		532	29.47		20	1.11		3	0.17		115	6.37		22	1.22		1	0.06		10	0.55		2	0.11		8	0.44		103	5.71		834	46.20		128	7.09		2	0.11		1805	98.90		20	1.10		1825	2.37
	PRE_POLL		11	0.39		4	0.14		2	0.07		21	0.75		5	0.18		932	33.07		41	1.45		1	0.04		146	5.18		46	1.63		4	0.14		6	0.21		1	0.04		19	0.67		219	7.77		1044	37.05		313	11.11		3	0.11		2818	98.63		39	1.37		2857	3.70
	PROVISIONAL		1	0.20		1	0.20		0	0.00		2	0.39		0	0.00		150	29.47		3	0.59		0	0.00		25	4.91		5	0.98		0	0.00		3	0.59		0	0.00		8	1.57		29	5.70		233	45.78		49	9.63		0	0.00		509	95.86		22	4.14		531	0.69
	Division Summary		386	0.52		128	0.17		48	0.07		718	0.97		53	0.07		22762	30.91		748	1.02		46	0.06		3887	5.28		858	1.17		28	0.04		311	0.42		56	0.08		704	0.96		5025	6.82		31079	42.2		6768	9.19		42	0.06		73647	95.46		3503	4.54		77150	95.33
