House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Pearce																													
					NELSON			FOX			HILL			MOYLAN			COSTELLO			COLLINS			SMITH			MILLER			
	SIXTH												54	27.55		77	39.29			Excluded					65	33.16		196	
		TOTAL											893	54.85		515	31.63								220	13.51		1628	
	SEVENTH												87	39.55		133	60.45									Excluded		220	
		TOTAL											980	60.20		648	39.80											1628	
													Elected																
																													
Carmel                                                         																													
	FIRST			6	1.72		12	3.45		8	2.30		212	60.92		69	19.83		16	4.60		0	0.00		25	7.18		348	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		6	1.72		12	3.45		8	2.30		212	60.92		69	19.83		16	4.60					25	7.18		348	
	THIRD			0	0.00		2	25.00			Excluded		4	50.00		0	0.00		1	12.50					1	12.50		8	
		TOTAL		6	1.72		14	4.02					216	62.07		69	19.83		17	4.89					26	7.47		348	
	FOURTH				Excluded		2	33.33					2	33.33		1	16.67		0	0.00					1	16.67		6	
		TOTAL					16	4.60					218	62.64		70	20.11		17	4.89					27	7.76		348	
	FIFTH							Excluded					4	25.00		4	25.00		1	6.25					7	43.75		16	
		TOTAL											222	63.79		74	21.26		18	5.17					34	9.77		348	
	SIXTH												6	33.33		4	22.22			Excluded					8	44.44		18	
		TOTAL											228	65.52		78	22.41								42	12.07		348	
	SEVENTH												14	33.33		28	66.67									Excluded		42	
		TOTAL											242	69.54		106	30.46											348	
													Elected																
																													
Chidlow                                                        																													
	FIRST			17	1.95		42	4.82		22	2.52		361	41.40		271	31.08		65	7.45		2	0.23		92	10.55		872	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		18	2.06		42	4.82		22	2.52		361	41.40		271	31.08		66	7.57					92	10.55		872	
	THIRD			2	9.09		4	18.18			Excluded		8	36.36		1	4.55		2	9.09					5	22.73		22	
		TOTAL		20	2.29		46	5.28					369	42.32		272	31.19		68	7.80					97	11.12		872	
	FOURTH				Excluded		2	10.00					14	70.00		0	0.00		1	5.00					3	15.00		20	
		TOTAL					48	5.50					383	43.92		272	31.19		69	7.91					100	11.47		872	
	FIFTH							Excluded					11	22.92		9	18.75		1	2.08					27	56.25		48	
		TOTAL											394	45.18		281	32.22		70	8.03					127	14.56		872	
	SIXTH												33	47.14		11	15.71			Excluded					26	37.14		70	
		TOTAL											427	48.97		292	33.49								153	17.55		872	
	SEVENTH												57	37.25		96	62.75									Excluded		153	
		TOTAL											484	55.50		388	44.50											872	
													Elected																
																													
Clarkson                                                       																													
	FIRST			19	0.94		103	5.12		28	1.39		603	29.97		956	47.51		148	7.36		11	0.55		144	7.16		2012	
	SECOND			1	9.09		0	0.00		0	0.00		1	9.09		1	9.09		4	36.36			Excluded		4	36.36		11	
		TOTAL		20	0.99		103	5.12		28	1.39		604	30.02		957	47.56		152	7.55					148	7.36		2012	
	THIRD			1	3.57		9	32.14			Excluded		10	35.71		3	10.71		2	7.14					3	10.71		28	
		TOTAL		21	1.04		112	5.57					614	30.52		960	47.71		154	7.65					151	7.50		2012	
	FOURTH				Excluded		13	61.90					6	28.57		1	4.76		0	0.00					1	4.76		21	
		TOTAL					125	6.21					620	30.82		961	47.76		154	7.65					152	7.55		2012	
	FIFTH							Excluded					23	18.40		34	27.20		5	4.00					63	50.40		125	
		TOTAL											643	31.96		995	49.45		159	7.90					215	10.69		2012	
	SIXTH												39	24.53		63	39.62			Excluded					57	35.85		159	
		TOTAL											682	33.90		1058	52.58								272	13.52		2012	
	SEVENTH												115	42.28		157	57.72									Excluded		272	
		TOTAL											797	39.61		1215	60.39											2012	
													Elected																
																													
Cuballing                                                      																													
	FIRST			59	23.32		10	3.95		1	0.40		92	36.36		37	14.62		38	15.02		0	0.00		16	6.32		253	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		59	23.32		10	3.95		1	0.40		92	36.36		37	14.62		38	15.02					16	6.32		253	
	THIRD			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		59	23.32		11	4.35					92	36.36		37	14.62		38	15.02					16	6.32		253	
	FOURTH				Excluded		6	10.17					47	79.66		3	5.08		1	1.69					2	3.39		59	
		TOTAL					17	6.72					139	54.94		40	15.81		39	15.42					18	7.11		253	
	FIFTH							Excluded					6	35.29		4	23.53		1	5.88					6	35.29		17	
		TOTAL											145	57.31		44	17.39		40	15.81					24	9.49		253	
	SIXTH												14	35.00		18	45.00			Excluded					8	20.00		40	
		TOTAL											159	62.85		62	24.51								32	12.65		253	
	SEVENTH												11	34.38		21	65.63									Excluded		32	
		TOTAL											170	67.19		83	32.81											253	
													Elected																
																													
Darlington                                                     																													
	FIRST			7	0.36		149	7.62		26	1.33		925	47.29		502	25.66		84	4.29		3	0.15		260	13.29		1956	
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00			Excluded		2	66.67		3	
		TOTAL		7	0.36		149	7.62		26	1.33		926	47.34		502	25.66		84	4.29					262	13.39		1956	
	THIRD			2	7.69		5	19.23			Excluded		10	38.46		2	7.69		2	7.69					5	19.23		26	
		TOTAL		9	0.46		154	7.87					936	47.85		504	25.77		86	4.40					267	13.65		1956	
	FOURTH				Excluded		6	66.67					2	22.22		0	0.00		0	0.00					1	11.11		9	
		TOTAL					160	8.18					938	47.96		504	25.77		86	4.40					268	13.70		1956	
	FIFTH							Excluded					27	16.88		21	13.13		4	2.50					108	67.50		160	
		TOTAL											965	49.34		525	26.84		90	4.60					376	19.22		1956	
	SIXTH												33	36.67		26	28.89			Excluded					31	34.44		90	
		TOTAL											998	51.02		551	28.17								407	20.81		1956	
	SEVENTH												129	31.70		278	68.30									Excluded		407	
		TOTAL											1127	57.62		829	42.38											1956	
													Elected																
																													
Ellenbrook                                                     																													
	FIRST			29	1.22		138	5.82		57	2.40		1032	43.53		851	35.89		158	6.66		5	0.21		101	4.26		2371	
	SECOND			0	0.00		1	20.00		1	20.00		0	0.00		0	0.00		1	20.00			Excluded		2	40.00		5	
		TOTAL		29	1.22		139	5.86		58	2.45		1032	43.53		851	35.89		159	6.71					103	4.34		2371	
	THIRD			4	6.90		4	6.90			Excluded		38	65.52		5	8.62		4	6.90					3	5.17		58	
		TOTAL		33	1.39		143	6.03					1070	45.13		856	36.10		163	6.87					106	4.47		2371	
	FOURTH				Excluded		16	48.48					10	30.30		3	9.09		2	6.06					2	6.06		33	
		TOTAL					159	6.71					1080	45.55		859	36.23		165	6.96					108	4.56		2371	
	FIFTH							Excluded					41	25.79		46	28.93		15	9.43					57	35.85		159	
		TOTAL											1121	47.28		905	38.17		180	7.59					165	6.96		2371	
	SIXTH												47	26.11		63	35.00			Excluded					70	38.89		180	
		TOTAL											1168	49.26		968	40.83								235	9.91		2371	
	SEVENTH												102	43.40		133	56.60									Excluded		235	
		TOTAL											1270	53.56		1101	46.44											2371	
													Elected																
																													
Gidgegannup                                                    																													
	FIRST			17	1.44		47	3.99		14	1.19		604	51.32		300	25.49		105	8.92		8	0.68		82	6.97		1177	
	SECOND			1	12.50		0	0.00		0	0.00		0	0.00		1	12.50		1	12.50			Excluded		5	62.50		8	
		TOTAL		18	1.53		47	3.99		14	1.19		604	51.32		301	25.57		106	9.01					87	7.39		1177	
	THIRD			3	21.43		1	7.14			Excluded		7	50.00		0	0.00		3	21.43					0	0.00		14	
		TOTAL		21	1.78		48	4.08					611	51.91		301	25.57		109	9.26					87	7.39		1177	
	FOURTH				Excluded		6	28.57					9	42.86		2	9.52		2	9.52					2	9.52		21	
		TOTAL					54	4.59					620	52.68		303	25.74		111	9.43					89	7.56		1177	
	FIFTH							Excluded					7	12.96		15	27.78		5	9.26					27	50.00		54	
		TOTAL											627	53.27		318	27.02		116	9.86					116	9.86		1177	
	SIXTH												40	34.48		39	33.62			Excluded					37	31.90		116	
		TOTAL											667	56.67		357	30.33								153	13.00		1177	
	SEVENTH												65	42.48		88	57.52									Excluded		153	
		TOTAL											732	62.19		445	37.81											1177	
													Elected																
																													
Gingin                                                         																													
	FIRST			11	1.67		6	0.91		4	0.61		400	60.61		120	18.18		93	14.09		1	0.15		25	3.79		660	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		11	1.67		6	0.91		4	0.61		400	60.61		121	18.33		93	14.09					25	3.79		660	
	THIRD			1	25.00		0	0.00			Excluded		1	25.00		0	0.00		1	25.00					1	25.00		4	
		TOTAL		12	1.82		6	0.91					401	60.76		121	18.33		94	14.24					26	3.94		660	
	FOURTH				Excluded		5	41.67					5	41.67		2	16.67		0	0.00					0	0.00		12	
		TOTAL					11	1.67					406	61.52		123	18.64		94	14.24					26	3.94		660	
	FIFTH							Excluded					4	36.36		3	27.27		1	9.09					3	27.27		11	
		TOTAL											410	62.12		126	19.09		95	14.39					29	4.39		660	
	SIXTH												28	29.47		46	48.42			Excluded					21	22.11		95	
		TOTAL											438	66.36		172	26.06								50	7.58		660	
	SEVENTH												20	40.00		30	60.00									Excluded		50	
		TOTAL											458	69.39		202	30.61											660	
													Elected																
																													
Glen Forrest                                                   																													
	FIRST			12	0.75		103	6.43		22	1.37		760	47.44		432	26.97		89	5.56		3	0.19		181	11.30		1602	
	SECOND			0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		3	
		TOTAL		12	0.75		103	6.43		23	1.44		760	47.44		432	26.97		90	5.62					182	11.36		1602	
	THIRD			3	13.04		1	4.35			Excluded		16	69.57		2	8.70		1	4.35					0	0.00		23	
		TOTAL		15	0.94		104	6.49					776	48.44		434	27.09		91	5.68					182	11.36		1602	
	FOURTH				Excluded		4	26.67					4	26.67		3	20.00		3	20.00					1	6.67		15	
		TOTAL					108	6.74					780	48.69		437	27.28		94	5.87					183	11.42		1602	
	FIFTH							Excluded					17	15.74		21	19.44		7	6.48					63	58.33		108	
		TOTAL											797	49.75		458	28.59		101	6.30					246	15.36		1602	
	SIXTH												39	38.61		28	27.72			Excluded					34	33.66		101	
		TOTAL											836	52.18		486	30.34								280	17.48		1602	
	SEVENTH												96	34.29		184	65.71									Excluded		280	
		TOTAL											932	58.18		670	41.82											1602	
													Elected																
																													
Grass Valley                                                   																													
	FIRST			12	7.14		8	4.76		0	0.00		84	50.00		30	17.86		25	14.88		0	0.00		9	5.36		168	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		12	7.14		8	4.76		0	0.00		84	50.00		30	17.86		25	14.88					9	5.36		168	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		12	7.14		8	4.76					84	50.00		30	17.86		25	14.88					9	5.36		168	
	FOURTH				Excluded		3	25.00					8	66.67		0	0.00		1	8.33					0	0.00		12	
		TOTAL					11	6.55					92	54.76		30	17.86		26	15.48					9	5.36		168	
	FIFTH							Excluded					3	27.27		2	18.18		3	27.27					3	27.27		11	
		TOTAL											95	56.55		32	19.05		29	17.26					12	7.14		168	
	SIXTH												17	58.62		5	17.24			Excluded					7	24.14		29	
		TOTAL											112	66.67		37	22.02								19	11.31		168	
	SEVENTH												12	63.16		7	36.84									Excluded		19	
		TOTAL											124	73.81		44	26.19											168	
													Elected																
																													
Greenhills                                                     																													
	FIRST			1	1.06		0	0.00		0	0.00		62	65.96		8	8.51		21	22.34		0	0.00		2	2.13		94	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	1.06		0	0.00		0	0.00		62	65.96		8	8.51		21	22.34					2	2.13		94	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	1.06		0	0.00					62	65.96		8	8.51		21	22.34					2	2.13		94	
	FOURTH				Excluded		0	0.00					1	100.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					0	0.00					63	67.02		8	8.51		21	22.34					2	2.13		94	
	FIFTH							Excluded					0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL											63	67.02		8	8.51		21	22.34					2	2.13		94	
	SIXTH												13	61.90		6	28.57			Excluded					2	9.52		21	
		TOTAL											76	80.85		14	14.89								4	4.26		94	
	SEVENTH												1	25.00		3	75.00									Excluded		4	
		TOTAL											77	81.91		17	18.09											94	
													Elected																
																													
Greenmount                                                     																													
	FIRST			14	0.85		88	5.37		25	1.53		728	44.42		540	32.95		102	6.22		8	0.49		134	8.18		1639	
	SECOND			0	0.00		1	12.50		0	0.00		0	0.00		2	25.00		4	50.00			Excluded		1	12.50		8	
		TOTAL		14	0.85		89	5.43		25	1.53		728	44.42		542	33.07		106	6.47					135	8.24		1639	
	THIRD			1	4.00		1	4.00			Excluded		14	56.00		0	0.00		4	16.00					5	20.00		25	
		TOTAL		15	0.92		90	5.49					742	45.27		542	33.07		110	6.71					140	8.54		1639	
	FOURTH				Excluded		6	40.00					3	20.00		4	26.67		0	0.00					2	13.33		15	
		TOTAL					96	5.86					745	45.45		546	33.31		110	6.71					142	8.66		1639	
	FIFTH							Excluded					21	21.88		15	15.63		1	1.04					59	61.46		96	
		TOTAL											766	46.74		561	34.23		111	6.77					201	12.26		1639	
	SIXTH												47	42.34		40	36.04			Excluded					24	21.62		111	
		TOTAL											813	49.60		601	36.67								225	13.73		1639	
	SEVENTH												72	32.00		153	68.00									Excluded		225	
		TOTAL											885	54.00		754	46.00											1639	
													Elected																
																													
Guilderton                                                     																													
	FIRST			3	1.17		4	1.56		3	1.17		123	47.86		72	28.02		32	12.45		0	0.00		20	7.78		257	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	1.17		4	1.56		3	1.17		123	47.86		72	28.02		32	12.45					20	7.78		257	
	THIRD			0	0.00		0	0.00			Excluded		2	66.67		0	0.00		1	33.33					0	0.00		3	
		TOTAL		3	1.17		4	1.56					125	48.64		72	28.02		33	12.84					20	7.78		257	
	FOURTH				Excluded		1	33.33					1	33.33		0	0.00		0	0.00					1	33.33		3	
		TOTAL					5	1.95					126	49.03		72	28.02		33	12.84					21	8.17		257	
	FIFTH							Excluded					2	40.00		1	20.00		0	0.00					2	40.00		5	
		TOTAL											128	49.81		73	28.40		33	12.84					23	8.95		257	
	SIXTH												15	45.45		11	33.33			Excluded					7	21.21		33	
		TOTAL											143	55.64		84	32.68								30	11.67		257	
	SEVENTH												12	40.00		18	60.00									Excluded		30	
		TOTAL											155	60.31		102	39.69											257	
													Elected																
																													
Helena Valley (Pearce)                                         																													
	FIRST			0	0.00		28	6.19		6	1.33		210	46.46		131	28.98		22	4.87		3	0.66		52	11.50		452	
	SECOND			0	0.00		1	33.33		1	33.33		0	0.00		0	0.00		0	0.00			Excluded		1	33.33		3	
		TOTAL		0	0.00		29	6.42		7	1.55		210	46.46		131	28.98		22	4.87					53	11.73		452	
	THIRD			1	14.29		1	14.29			Excluded		2	28.57		1	14.29		0	0.00					2	28.57		7	
		TOTAL		1	0.22		30	6.64					212	46.90		132	29.20		22	4.87					55	12.17		452	
	FOURTH				Excluded		0	0.00					1	100.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					30	6.64					213	47.12		132	29.20		22	4.87					55	12.17		452	
	FIFTH							Excluded					3	10.00		8	26.67		1	3.33					18	60.00		30	
		TOTAL											216	47.79		140	30.97		23	5.09					73	16.15		452	
	SIXTH												8	34.78		6	26.09			Excluded					9	39.13		23	
		TOTAL											224	49.56		146	32.30								82	18.14		452	
	SEVENTH												23	28.05		59	71.95									Excluded		82	
		TOTAL											247	54.65		205	45.35											452	
													Elected																
																													
Henley Brook                                                   																													
	FIRST			5	0.49		37	3.65		9	0.89		579	57.16		238	23.49		78	7.70		1	0.10		66	6.52		1013	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		5	0.49		38	3.75		9	0.89		579	57.16		238	23.49		78	7.70					66	6.52		1013	
	THIRD			0	0.00		1	11.11			Excluded		6	66.67		1	11.11		1	11.11					0	0.00		9	
		TOTAL		5	0.49		39	3.85					585	57.75		239	23.59		79	7.80					66	6.52		1013	
	FOURTH				Excluded		0	0.00					3	60.00		1	20.00		0	0.00					1	20.00		5	
		TOTAL					39	3.85					588	58.05		240	23.69		79	7.80					67	6.61		1013	
	FIFTH							Excluded					14	35.90		5	12.82		4	10.26					16	41.03		39	
		TOTAL											602	59.43		245	24.19		83	8.19					83	8.19		1013	
	SIXTH												23	27.71		20	24.10			Excluded					40	48.19		83	
		TOTAL											625	61.70		265	26.16								123	12.14		1013	
	SEVENTH												62	50.41		61	49.59									Excluded		123	
		TOTAL											687	67.82		326	32.18											1013	
													Elected																
																													
Herne Hill                                                     																													
	FIRST			25	2.12		45	3.81		17	1.44		524	44.37		411	34.80		110	9.31		3	0.25		46	3.90		1181	
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		1	33.33			Excluded		1	33.33		3	
		TOTAL		25	2.12		45	3.81		17	1.44		525	44.45		411	34.80		111	9.40					47	3.98		1181	
	THIRD			3	17.65		1	5.88			Excluded		4	23.53		0	0.00		4	23.53					5	29.41		17	
		TOTAL		28	2.37		46	3.90					529	44.79		411	34.80		115	9.74					52	4.40		1181	
	FOURTH				Excluded		12	42.86					8	28.57		3	10.71		0	0.00					5	17.86		28	
		TOTAL					58	4.91					537	45.47		414	35.06		115	9.74					57	4.83		1181	
	FIFTH							Excluded					20	34.48		8	13.79		7	12.07					23	39.66		58	
		TOTAL											557	47.16		422	35.73		122	10.33					80	6.77		1181	
	SIXTH												40	32.79		47	38.52			Excluded					35	28.69		122	
		TOTAL											597	50.55		469	39.71								115	9.74		1181	
	SEVENTH												38	33.04		77	66.96									Excluded		115	
		TOTAL											635	53.77		546	46.23											1181	
													Elected																
																													
Highbury                                                       																													
	FIRST			24	19.51		2	1.63		0	0.00		55	44.72		11	8.94		27	21.95		0	0.00		4	3.25		123	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		24	19.51		2	1.63		0	0.00		55	44.72		11	8.94		27	21.95					4	3.25		123	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		24	19.51		2	1.63					55	44.72		11	8.94		27	21.95					4	3.25		123	
	FOURTH				Excluded		2	8.33					20	83.33		0	0.00		1	4.17					1	4.17		24	
		TOTAL					4	3.25					75	60.98		11	8.94		28	22.76					5	4.07		123	
	FIFTH							Excluded					3	75.00		0	0.00		1	25.00					0	0.00		4	
		TOTAL											78	63.41		11	8.94		29	23.58					5	4.07		123	
	SIXTH												8	27.59		5	17.24			Excluded					16	55.17		29	
		TOTAL											86	69.92		16	13.01								21	17.07		123	
	SEVENTH												11	52.38		10	47.62									Excluded		21	
		TOTAL											97	78.86		26	21.14											123	
													Elected																
																													
Lancelin                                                       																													
	FIRST			10	1.73		16	2.77		2	0.35		268	46.37		163	28.20		92	15.92		1	0.17		26	4.50		578	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		10	1.73		16	2.77		3	0.52		268	46.37		163	28.20		92	15.92					26	4.50		578	
	THIRD			0	0.00		0	0.00			Excluded		2	66.67		0	0.00		0	0.00					1	33.33		3	
		TOTAL		10	1.73		16	2.77					270	46.71		163	28.20		92	15.92					27	4.67		578	
	FOURTH				Excluded		3	30.00					5	50.00		1	10.00		0	0.00					1	10.00		10	
		TOTAL					19	3.29					275	47.58		164	28.37		92	15.92					28	4.84		578	
	FIFTH							Excluded					4	21.05		2	10.53		2	10.53					11	57.89		19	
		TOTAL											279	48.27		166	28.72		94	16.26					39	6.75		578	
	SIXTH												26	27.66		43	45.74			Excluded					25	26.60		94	
		TOTAL											305	52.77		209	36.16								64	11.07		578	
	SEVENTH												30	46.88		34	53.13									Excluded		64	
		TOTAL											335	57.96		243	42.04											578	
													Elected																
																													
Ledge Point                                                    																													
	FIRST			2	1.67		2	1.67		0	0.00		85	70.83		21	17.50		6	5.00		0	0.00		4	3.33		120	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	1.67		2	1.67		0	0.00		85	70.83		21	17.50		6	5.00					4	3.33		120	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	1.67		2	1.67					85	70.83		21	17.50		6	5.00					4	3.33		120	
	FOURTH				Excluded		1	50.00					1	50.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					3	2.50					86	71.67		21	17.50		6	5.00					4	3.33		120	
