House of Representatives - 2001 Election: Western Australia																																										
First Preference Votes and TCP 																																										
By Candidate by Polling Place																																										

Tangney (82972)																																										
		GOWEGATI			GRAHAM			STANWIX			INGRAM			LUMSDAINE			# WILLIAMS			LUCAS			WATSON			FORMAL			INFORMAL			TOTAL										
		Sam			Gordon A			Ben			Andrew			Aaron			Daryl			Michael			Craig												Two Candidate Preferred							
		ALP			IND			GWA			DEM			HAN			LP			LFF			CTA												 GOWEGATI ALP			# WILLIAMS LP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Ferndale	381	41.55		22	2.40		38	4.14		55	6.00		53	5.78		348	37.95		8	0.87		12	1.31		917	93.76		61	6.24		978	1.24		488	53.22		429	46.78
	Ferndale East	649	42.01		20	1.29		70	4.53		94	6.08		69	4.47		602	38.96		20	1.29		21	1.36		1545	94.90		83	5.10		1628	2.06		815	52.75		730	47.25
	Kardinya (Tangney)	700	42.07		32	1.92		91	5.47		76	4.57		53	3.19		656	39.42		33	1.98		23	1.38		1664	95.74		74	4.26		1738	2.19		869	52.22		795	47.78
	Langford	1110	58.27		12	0.63		89	4.67		85	4.46		127	6.67		417	21.89		17	0.89		48	2.52		1905	92.84		147	7.16		2052	2.59		1339	70.29		566	29.71
	Leeming	741	32.34		31	1.35		105	4.58		140	6.11		72	3.14		1157	50.50		19	0.83		26	1.13		2291	96.63		80	3.37		2371	2.99		956	41.73		1335	58.27
	Leeming East	491	27.23		32	1.77		65	3.61		120	6.66		52	2.88		980	54.35		21	1.16		42	2.33		1803	95.50		85	4.50		1888	2.38		649	36.00		1154	64.00
	Leeming West	646	31.13		17	0.82		83	4.00		122	5.88		40	1.93		1113	53.64		20	0.96		34	1.64		2075	95.40		100	4.60		2175	2.75		822	39.61		1253	60.39
	Lynwood	516	40.57		10	0.79		57	4.48		83	6.53		71	5.58		495	38.92		17	1.34		23	1.81		1272	94.85		69	5.15		1341	1.69		656	51.57		616	48.43
	Melville (Tangney)	281	31.64		7	0.79		58	6.53		60	6.76		32	3.60		418	47.07		18	2.03		14	1.58		888	96.42		33	3.58		921	1.16		394	44.37		494	55.63
	Melville East	697	32.55		23	1.07		157	7.33		126	5.89		85	3.97		1007	47.03		33	1.54		13	0.61		2141	96.57		76	3.43		2217	2.80		979	45.73		1162	54.27
	Melville South	336	34.50		11	1.13		40	4.11		57	5.85		39	4.00		467	47.95		15	1.54		9	0.92		974	96.15		39	3.85		1013	1.28		439	45.07		535	54.93
	Mt Pleasant	608	22.27		33	1.21		157	5.75		114	4.18		71	2.60		1661	60.84		63	2.31		23	0.84		2730	96.88		88	3.12		2818	3.56		868	31.79		1862	68.21
	Parkwood	1770	46.08		50	1.30		164	4.27		247	6.43		140	3.64		1374	35.77		23	0.60		73	1.90		3841	95.38		186	4.62		4027	5.09		2185	56.89		1656	43.11
	Perth (Tangney)	36	32.14		0	0.00		8	7.14		11	9.82		2	1.79		50	44.64		0	0.00		5	4.46		112	94.92		6	5.08		118	0.15		53	47.32		59	52.68			
	Riverton	695	33.80		27	1.31		111	5.40		82	3.99		83	4.04		995	48.39		17	0.83		46	2.24		2056	95.32		101	4.68		2157	2.72		905	44.02		1151	55.98			
	Rossmoyne	498	25.64		32	1.65		99	5.10		86	4.43		45	2.32		1123	57.83		25	1.29		34	1.75		1942	96.52		70	3.48		2012	2.54		685	35.27		1257	64.73			
	Rottnest (Tangney)	42	25.15		3	1.80		8	4.79		6	3.59		1	0.60		100	59.88		5	2.99		2	1.20		167	93.82		11	6.18		178	0.22		54	32.34		113	67.66			
	Shelley	385	24.58		44	2.81		66	4.21		89	5.68		55	3.51		902	57.60		9	0.57		16	1.02		1566	95.84		68	4.16		1634	2.06		539	34.42		1027	65.58			
	Willetton	906	32.50		63	2.26		139	4.99		164	5.88		77	2.76		1351	48.46		24	0.86		64	2.30		2788	95.81		122	4.19		2910	3.68		1177	42.22		1611	57.78			
	Willetton East	1319	39.87		59	1.78		133	4.02		209	6.32		105	3.17		1382	41.78		19	0.57		82	2.48		3308	94.98		175	5.02		3483	4.40		1645	49.73		1663	50.27			
	Willetton North	483	35.54		21	1.55		42	3.09		62	4.56		60	4.42		652	47.98		16	1.18		23	1.69		1359	94.84		74	5.16		1433	1.81		606	44.59		753	55.41			
	Willetton South	1128	35.90		50	1.59		155	4.93		193	6.14		97	3.09		1428	45.45		30	0.95		61	1.94		3142	96.71		107	3.29		3249	4.10		1473	46.88		1669	53.12			
	Winthrop	1184	31.21		80	2.11		169	4.45		184	4.85		57	1.50		2006	52.87		48	1.27		66	1.74		3794	95.98		159	4.02		3953	4.99		1524	40.17		2270	59.83			
	Special Hospitals	140	25.09		5	0.90		8	1.43		13	2.33		18	3.23		367	65.77		4	0.72		3	0.54		558	94.90		30	5.10		588	0.74		165	29.57		393	70.43			
	Total Ordinary	20853	32.23		1005	1.55		3082	4.76		3400	5.26		2048	3.17		32469	50.19		853	1.32		988	1.53		64698	95.79		2840	4.21		67538	85.30		27229	42.09		37469	57.91			
	ABSENT	1634	29.41		138	2.48		472	8.50		366	6.59		270	4.86		2408	43.35		159	2.86		108	1.94		5555	95.66		252	4.34		5807	7.33		2441	43.94		3114	56.06			
	POSTAL	579	27.03		28	1.31		75	3.50		72	3.36		104	4.86		1229	57.38		28	1.31		27	1.26		2142	98.35		36	1.65		2178	2.75		760	35.48		1382	64.52			
	PRE_POLL	994	30.41		57	1.74		169	5.17		177	5.41		137	4.19		1619	49.53		73	2.23		43	1.32		3269	98.37		54	1.63		3323	4.20		1346	41.17		1923	58.83			
	PROVISIONAL	121	38.17		3	0.95		22	6.94		18	5.68		17	5.36		122	38.49		9	2.84		5	1.58		317	94.63		18	5.37		335	0.42		158	49.84		159	50.16			
	Division Summary	24181	31.83		1231	1.62		3820	5.03		4033	5.31		2576	3.39		37847	49.81		1122	1.48		1171	1.54		75981	95.96		3200	4.04		79181	95.43		31934	42.03		44047	57.97			
																																										
																																										
																																										
																																										
																																										
