House of Representatives - 2001 Election: Western Australia																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
O'Connor																																			
					TUCKEY			MCNABB			PESTANA			GYORGY			BROWN			DAVIS			ITURBIDE			MCLEAN			SELBY			PENDLEBURY			
	EIGHTH			42	42.86												Excluded								22	22.45					34	34.69		98	
		TOTAL		523	46.86																				166	14.87					427	38.26		1116	
	NINTH			102	61.45																					Excluded					64	38.55		166	
		TOTAL		625	56.00																										491	44.00		1116	
				Elected																															
																																			
Albany Central                                                 																																			
	FIRST			495	40.88		32	2.64		30	2.48		9	0.74		58	4.79		153	12.63		9	0.74		111	9.17		34	2.81		280	23.12		1211	
	SECOND			0	0.00		1	11.11		2	22.22		0	0.00		0	0.00		0	0.00			Excluded		3	33.33		1	11.11		2	22.22		9	
		TOTAL		495	40.88		33	2.73		32	2.64		9	0.74		58	4.79		153	12.63					114	9.41		35	2.89		282	23.29		1211	
	THIRD			1	11.11		0	0.00		2	22.22			Excluded		0	0.00		1	11.11					4	44.44		0	0.00		1	11.11		9	
		TOTAL		496	40.96		33	2.73		34	2.81					58	4.79		154	12.72					118	9.74		35	2.89		283	23.37		1211	
	FOURTH			6	17.14		2	5.71		3	8.57					2	5.71		13	37.14					0	0.00			Excluded		9	25.71		35	
		TOTAL		502	41.45		35	2.89		37	3.06					60	4.95		167	13.79					118	9.74					292	24.11		1211	
	FIFTH			3	8.11		0	0.00			Excluded					7	18.92		15	40.54					2	5.41					10	27.03		37	
		TOTAL		505	41.70		35	2.89								67	5.53		182	15.03					120	9.91					302	24.94		1211	
	SIXTH			22	62.86			Excluded								6	17.14		1	2.86					3	8.57					3	8.57		35	
		TOTAL		527	43.52											73	6.03		183	15.11					123	10.16					305	25.19		1211	
	SEVENTH			26	14.21											44	24.04			Excluded					16	8.74					97	53.01		183	
		TOTAL		553	45.66											117	9.66								139	11.48					402	33.20		1211	
	EIGHTH			61	52.14												Excluded								22	18.80					34	29.06		117	
		TOTAL		614	50.70																				161	13.29					436	36.00		1211	
	NINTH			81	50.31																					Excluded					80	49.69		161	
		TOTAL		695	57.39																										516	42.61		1211	
				Elected																															
																																			
Albany Regional Hospital                                       																																			
	FIRST			173	38.53		29	6.46		19	4.23		6	1.34		14	3.12		32	7.13		5	1.11		61	13.59		7	1.56		103	22.94		449	
	SECOND			0	0.00		1	20.00		0	0.00		0	0.00		0	0.00		2	40.00			Excluded		1	20.00		0	0.00		1	20.00		5	
		TOTAL		173	38.53		30	6.68		19	4.23		6	1.34		14	3.12		34	7.57					62	13.81		7	1.56		104	23.16		449	
	THIRD			1	16.67		1	16.67		2	33.33			Excluded		1	16.67		1	16.67					0	0.00		0	0.00		0	0.00		6	
		TOTAL		174	38.75		31	6.90		21	4.68					15	3.34		35	7.80					62	13.81		7	1.56		104	23.16		449	
	FOURTH			1	14.29		0	0.00		1	14.29					0	0.00		2	28.57					3	42.86			Excluded		0	0.00		7	
		TOTAL		175	38.98		31	6.90		22	4.90					15	3.34		37	8.24					65	14.48					104	23.16		449	
	FIFTH			7	31.82		2	9.09			Excluded					3	13.64		4	18.18					0	0.00					6	27.27		22	
		TOTAL		182	40.53		33	7.35								18	4.01		41	9.13					65	14.48					110	24.50		449	
	SIXTH			20	60.61			Excluded								6	18.18		2	6.06					3	9.09					2	6.06		33	
		TOTAL		202	44.99											24	5.35		43	9.58					68	15.14					112	24.94		449	
	SEVENTH			2	4.65											14	32.56			Excluded					9	20.93					18	41.86		43	
		TOTAL		204	45.43											38	8.46								77	17.15					130	28.95		449	
	EIGHTH			15	39.47												Excluded								9	23.68					14	36.84		38	
		TOTAL		219	48.78																				86	19.15					144	32.07		449	
	NINTH			46	53.49																					Excluded					40	46.51		86	
		TOTAL		265	59.02																										184	40.98		449	
				Elected																															
																																			
Ardath                                                         																																			
	FIRST			35	62.50		0	0.00		0	0.00		1	1.79		10	17.86		0	0.00		0	0.00		8	14.29		0	0.00		2	3.57		56	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		35	62.50		0	0.00		0	0.00		1	1.79		10	17.86		0	0.00					8	14.29		0	0.00		2	3.57		56	
	THIRD			1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL		36	64.29		0	0.00		0	0.00					10	17.86		0	0.00					8	14.29		0	0.00		2	3.57		56	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		36	64.29		0	0.00		0	0.00					10	17.86		0	0.00					8	14.29					2	3.57		56	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		36	64.29		0	0.00								10	17.86		0	0.00					8	14.29					2	3.57		56	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		36	64.29											10	17.86		0	0.00					8	14.29					2	3.57		56	
	SEVENTH			0	0.00											0	0.00			Excluded					0	0.00					0	0.00		0	
		TOTAL		36	64.29											10	17.86								8	14.29					2	3.57		56	
	EIGHTH			9	90.00												Excluded								1	10.00					0	0.00		10	
		TOTAL		45	80.36																				9	16.07					2	3.57		56	
	NINTH			8	88.89																					Excluded					1	11.11		9	
		TOTAL		53	94.64																										3	5.36		56	
				Elected																															
																																			
Arthur River                                                   																																			
	FIRST			78	57.35		3	2.21		1	0.74		2	1.47		26	19.12		3	2.21		0	0.00		9	6.62		4	2.94		10	7.35		136	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		78	57.35		3	2.21		1	0.74		2	1.47		26	19.12		3	2.21					9	6.62		4	2.94		10	7.35		136	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00					1	50.00		0	0.00		0	0.00		2	
		TOTAL		78	57.35		3	2.21		1	0.74					26	19.12		4	2.94					10	7.35		4	2.94		10	7.35		136	
	FOURTH			2	50.00		0	0.00		0	0.00					1	25.00		1	25.00					0	0.00			Excluded		0	0.00		4	
		TOTAL		80	58.82		3	2.21		1	0.74					27	19.85		5	3.68					10	7.35					10	7.35		136	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		1	100.00					0	0.00					0	0.00		1	
		TOTAL		80	58.82		3	2.21								27	19.85		6	4.41					10	7.35					10	7.35		136	
	SIXTH			2	66.67			Excluded								1	33.33		0	0.00					0	0.00					0	0.00		3	
		TOTAL		82	60.29											28	20.59		6	4.41					10	7.35					10	7.35		136	
	SEVENTH			1	16.67											2	33.33			Excluded					1	16.67					2	33.33		6	
		TOTAL		83	61.03											30	22.06								11	8.09					12	8.82		136	
	EIGHTH			28	93.33												Excluded								1	3.33					1	3.33		30	
		TOTAL		111	81.62																				12	8.82					13	9.56		136	
	NINTH			10	83.33																					Excluded					2	16.67		12	
		TOTAL		121	88.97																										15	11.03		136	
				Elected																															
																																			
Badgebup                                                       																																			
	FIRST			33	55.93		2	3.39		0	0.00		0	0.00		8	13.56		0	0.00		0	0.00		12	20.34		0	0.00		4	6.78		59	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		33	55.93		2	3.39		0	0.00		0	0.00		8	13.56		0	0.00					12	20.34		0	0.00		4	6.78		59	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		33	55.93		2	3.39		0	0.00					8	13.56		0	0.00					12	20.34		0	0.00		4	6.78		59	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		33	55.93		2	3.39		0	0.00					8	13.56		0	0.00					12	20.34					4	6.78		59	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		33	55.93		2	3.39								8	13.56		0	0.00					12	20.34					4	6.78		59	
	SIXTH			2	100.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		2	
		TOTAL		35	59.32											8	13.56		0	0.00					12	20.34					4	6.78		59	
	SEVENTH			0	0.00											0	0.00			Excluded					0	0.00					0	0.00		0	
		TOTAL		35	59.32											8	13.56								12	20.34					4	6.78		59	
	EIGHTH			6	75.00												Excluded								1	12.50					1	12.50		8	
		TOTAL		41	69.49																				13	22.03					5	8.47		59	
	NINTH			12	92.31																					Excluded					1	7.69		13	
		TOTAL		53	89.83																										6	10.17		59	
				Elected																															
																																			
Badgingarra                                                    																																			
	FIRST			130	73.45		3	1.69		1	0.56		0	0.00		13	7.34		4	2.26		2	1.13		12	6.78		0	0.00		12	6.78		177	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		131	74.01		3	1.69		1	0.56		0	0.00		14	7.91		4	2.26					12	6.78		0	0.00		12	6.78		177	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		131	74.01		3	1.69		1	0.56					14	7.91		4	2.26					12	6.78		0	0.00		12	6.78		177	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		131	74.01		3	1.69		1	0.56					14	7.91		4	2.26					12	6.78					12	6.78		177	
	FIFTH			1	100.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		1	
		TOTAL		132	74.58		3	1.69								14	7.91		4	2.26					12	6.78					12	6.78		177	
	SIXTH			2	66.67			Excluded								0	0.00		0	0.00					1	33.33					0	0.00		3	
		TOTAL		134	75.71											14	7.91		4	2.26					13	7.34					12	6.78		177	
	SEVENTH			1	25.00											1	25.00			Excluded					1	25.00					1	25.00		4	
		TOTAL		135	76.27											15	8.47								14	7.91					13	7.34		177	
	EIGHTH			10	66.67												Excluded								1	6.67					4	26.67		15	
		TOTAL		145	81.92																				15	8.47					17	9.60		177	
	NINTH			13	86.67																					Excluded					2	13.33		15	
		TOTAL		158	89.27																										19	10.73		177	
				Elected																															
																																			
Ballidu                                                        																																			
	FIRST			116	72.96		4	2.52		1	0.63		0	0.00		12	7.55		4	2.52		0	0.00		14	8.81		1	0.63		7	4.40		159	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		116	72.96		4	2.52		1	0.63		0	0.00		12	7.55		4	2.52					14	8.81		1	0.63		7	4.40		159	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		116	72.96		4	2.52		1	0.63					12	7.55		4	2.52					14	8.81		1	0.63		7	4.40		159	
	FOURTH			0	0.00		1	100.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		116	72.96		5	3.14		1	0.63					12	7.55		4	2.52					14	8.81					7	4.40		159	
	FIFTH			1	100.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		1	
		TOTAL		117	73.58		5	3.14								12	7.55		4	2.52					14	8.81					7	4.40		159	
	SIXTH			0	0.00			Excluded								2	40.00		1	20.00					2	40.00					0	0.00		5	
		TOTAL		117	73.58											14	8.81		5	3.14					16	10.06					7	4.40		159	
	SEVENTH			1	20.00											1	20.00			Excluded					1	20.00					2	40.00		5	
		TOTAL		118	74.21											15	9.43								17	10.69					9	5.66		159	
	EIGHTH			13	86.67												Excluded								2	13.33					0	0.00		15	
		TOTAL		131	82.39																				19	11.95					9	5.66		159	
	NINTH			11	57.89																					Excluded					8	42.11		19	
		TOTAL		142	89.31																										17	10.69		159	
				Elected																															
																																			
Bayonet Head                                                   																																			
	FIRST			440	45.08		41	4.20		17	1.74		4	0.41		69	7.07		51	5.23		3	0.31		101	10.35		15	1.54		235	24.08		976	
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		0	0.00		0	0.00		1	33.33		3	
		TOTAL		441	45.18		41	4.20		17	1.74		4	0.41		69	7.07		52	5.33					101	10.35		15	1.54		236	24.18		976	
	THIRD			1	25.00		0	0.00		0	0.00			Excluded		1	25.00		2	50.00					0	0.00		0	0.00		0	0.00		4	
		TOTAL		442	45.29		41	4.20		17	1.74					70	7.17		54	5.53					101	10.35		15	1.54		236	24.18		976	
	FOURTH			4	26.67		0	0.00		1	6.67					2	13.33		7	46.67					1	6.67			Excluded		0	0.00		15	
		TOTAL		446	45.70		41	4.20		18	1.84					72	7.38		61	6.25					102	10.45					236	24.18		976	
	FIFTH			4	22.22		1	5.56			Excluded					4	22.22		3	16.67					1	5.56					5	27.78		18	
		TOTAL		450	46.11		42	4.30								76	7.79		64	6.56					103	10.55					241	24.69		976	
	SIXTH			30	71.43			Excluded								5	11.90		0	0.00					7	16.67					0	0.00		42	
		TOTAL		480	49.18											81	8.30		64	6.56					110	11.27					241	24.69		976	
	SEVENTH			5	7.81											19	29.69			Excluded					9	14.06					31	48.44		64	
		TOTAL		485	49.69											100	10.25								119	12.19					272	27.87		976	
	EIGHTH			66	66.00												Excluded								15	15.00					19	19.00		100	
		TOTAL		551	56.45																				134	13.73					291	29.82		976	
	NINTH			93	69.40																					Excluded					41	30.60		134	
		TOTAL		644	65.98																										332	34.02		976	
				Elected																															
																																			
Beachlands                                                     																																			
	FIRST			301	39.30		11	1.44		7	0.91		11	1.44		10	1.31		42	5.48		2	0.26		79	10.31		11	1.44		292	38.12		766	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		301	39.30		11	1.44		7	0.91		11	1.44		10	1.31		44	5.74					79	10.31		11	1.44		292	38.12		766	
	THIRD			0	0.00		2	18.18		1	9.09			Excluded		2	18.18		1	9.09					3	27.27		0	0.00		2	18.18		11	
		TOTAL		301	39.30		13	1.70		8	1.04					12	1.57		45	5.87					82	10.70		11	1.44		294	38.38		766	
	FOURTH			3	27.27		0	0.00		2	18.18					0	0.00		3	27.27					0	0.00			Excluded		3	27.27		11	
		TOTAL		304	39.69		13	1.70		10	1.31					12	1.57		48	6.27					82	10.70					297	38.77		766	
	FIFTH			0	0.00		2	20.00			Excluded					2	20.00		4	40.00					0	0.00					2	20.00		10	
		TOTAL		304	39.69		15	1.96								14	1.83		52	6.79					82	10.70					299	39.03		766	
	SIXTH			7	46.67			Excluded								1	6.67		2	13.33					3	20.00					2	13.33		15	
		TOTAL		311	40.60											15	1.96		54	7.05					85	11.10					301	39.30		766	
	SEVENTH			8	14.81											15	27.78			Excluded					6	11.11					25	46.30		54	
		TOTAL		319	41.64											30	3.92								91	11.88					326	42.56		766	
	EIGHTH			11	36.67												Excluded								10	33.33					9	30.00		30	
		TOTAL		330	43.08																				101	13.19					335	43.73		766	
	NINTH			46	45.54																					Excluded					55	54.46		101	
		TOTAL		376	49.09																										390	50.91		766	
				Elected																															
																																			
Beacon                                                         																																			
	FIRST			101	66.89		2	1.32		3	1.99		2	1.32		18	11.92		2	1.32		0	0.00		15	9.93		1	0.66		7	4.64		151	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		101	66.89		2	1.32		3	1.99		2	1.32		18	11.92		2	1.32					15	9.93		1	0.66		7	4.64		151	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00					1	50.00		0	0.00		0	0.00		2	
		TOTAL		101	66.89		2	1.32		3	1.99					18	11.92		3	1.99					16	10.60		1	0.66		7	4.64		151	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		1	100.00		1	
		TOTAL		101	66.89		2	1.32		3	1.99					18	11.92		3	1.99					16	10.60					8	5.30		151	
	FIFTH			0	0.00		0	0.00			Excluded					2	66.67		1	33.33					0	0.00					0	0.00		3	
		TOTAL		101	66.89		2	1.32								20	13.25		4	2.65					16	10.60					8	5.30		151	
	SIXTH			2	100.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		2	
		TOTAL		103	68.21											20	13.25		4	2.65					16	10.60					8	5.30		151	
	SEVENTH			1	25.00											2	50.00			Excluded					0	0.00					1	25.00		4	
		TOTAL		104	68.87											22	14.57								16	10.60					9	5.96		151	
	EIGHTH			17	77.27												Excluded								3	13.64					2	9.09		22	
		TOTAL		121	80.13																				19	12.58					11	7.28		151	
	NINTH			16	84.21																					Excluded					3	15.79		19	
		TOTAL		137	90.73																										14	9.27		151	
				Elected																															
																																			
Bencubbin                                                      																																			
	FIRST			105	63.64		0	0.00		2	1.21		2	1.21		14	8.48		4	2.42		0	0.00		20	12.12		4	2.42		14	8.48		165	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		105	63.64		0	0.00		2	1.21		2	1.21		14	8.48		4	2.42					20	12.12		4	2.42		14	8.48		165	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					2	100.00		0	0.00		0	0.00		2	
		TOTAL		105	63.64		0	0.00		2	1.21					14	8.48		4	2.42					22	13.33		4	2.42		14	8.48		165	
	FOURTH			1	25.00		0	0.00		0	0.00					0	0.00		3	75.00					0	0.00			Excluded		0	0.00		4	
		TOTAL		106	64.24		0	0.00		2	1.21					14	8.48		7	4.24					22	13.33					14	8.48		165	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		1	50.00					0	0.00					1	50.00		2	
		TOTAL		106	64.24		0	0.00								14	8.48		8	4.85					22	13.33					15	9.09		165	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		106	64.24											14	8.48		8	4.85					22	13.33					15	9.09		165	
	SEVENTH			1	12.50											4	50.00			Excluded					1	12.50					2	25.00		8	
		TOTAL		107	64.85											18	10.91								23	13.94					17	10.30		165	
	EIGHTH			16	88.89												Excluded								1	5.56					1	5.56		18	
		TOTAL		123	74.55																				24	14.55					18	10.91		165	
	NINTH			17	70.83																					Excluded					7	29.17		24	
		TOTAL		140	84.85																										25	15.15		165	
				Elected																															
																																			
Bindi Bindi                                                    																																			
	FIRST			40	72.73		0	0.00		0	0.00		1	1.82		7	12.73		0	0.00		0	0.00		3	5.45		1	1.82		3	5.45		55	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		40	72.73		0	0.00		0	0.00		1	1.82		7	12.73		0	0.00					3	5.45		1	1.82		3	5.45		55	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					1	100.00		0	0.00		0	0.00		1	
		TOTAL		40	72.73		0	0.00		0	0.00					7	12.73		0	0.00					4	7.27		1	1.82		3	5.45		55	
	FOURTH			1	100.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		41	74.55		0	0.00		0	0.00					7	12.73		0	0.00					4	7.27					3	5.45		55	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		41	74.55		0	0.00								7	12.73		0	0.00					4	7.27					3	5.45		55	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		41	74.55											7	12.73		0	0.00					4	7.27					3	5.45		55	
	SEVENTH			0	0.00											0	0.00			Excluded					0	0.00					0	0.00		0	
		TOTAL		41	74.55											7	12.73								4	7.27					3	5.45		55	
	EIGHTH			5	71.43												Excluded								1	14.29					1	14.29		7	
		TOTAL		46	83.64																				5	9.09					4	7.27		55	
	NINTH			3	60.00																					Excluded					2	40.00		5	
		TOTAL		49	89.09																										6	10.91		55	
				Elected																															
																																			
Bluff Point                                                    																																			
	FIRST			993	51.03		28	1.44		42	2.16		12	0.62		44	2.26		79	4.06		5	0.26		233	11.97		27	1.39		483	24.82		1946	
	SECOND			1	20.00		0	0.00		0	0.00		1	20.00		1	20.00		2	40.00			Excluded		0	0.00		0	0.00		0	0.00		5	
		TOTAL		994	51.08		28	1.44		42	2.16		13	0.67		45	2.31		81	4.16					233	11.97		27	1.39		483	24.82		1946	
	THIRD			4	30.77		0	0.00		1	7.69			Excluded		6	46.15		1	7.69					0	0.00		0	0.00		1	7.69		13	
		TOTAL		998	51.28		28	1.44		43	2.21					51	2.62		82	4.21					233	11.97		27	1.39		484	24.87		1946	
	FOURTH			9	33.33		0	0.00		1	3.70					3	11.11		8	29.63					1	3.70			Excluded		5	18.52		27	
		TOTAL		1007	51.75		28	1.44		44	2.26					54	2.77		90	4.62					234	12.02					489	25.13		1946	
	FIFTH			5	11.36		1	2.27			Excluded					5	11.36		23	52.27					6	13.64					4	9.09		44	
		TOTAL		1012	52.00		29	1.49								59	3.03		113	5.81					240	12.33					493	25.33		1946	
	SIXTH			17	58.62			Excluded								0	0.00		7	24.14					1	3.45					4	13.79		29	
		TOTAL		1029	52.88											59	3.03		120	6.17					241	12.38					497	25.54		1946	
	SEVENTH			18	15.00											31	25.83			Excluded					23	19.17					48	40.00		120	
		TOTAL		1047	53.80											90	4.62								264	13.57					545	28.01		1946	
	EIGHTH			47	52.22												Excluded								18	20.00					25	27.78		90	
		TOTAL		1094	56.22																				282	14.49					570	29.29		1946	
	NINTH			186	65.96																					Excluded					96	34.04		282	
		TOTAL		1280	65.78																										666	34.22		1946	
				Elected																															
																																			
Bolgart                                                        																																			
	FIRST			76	64.41		1	0.85		1	0.85		1	0.85		3	2.54		5	4.24		0	0.00		22	18.64		1	0.85		8	6.78		118	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		76	64.41		1	0.85		1	0.85		1	0.85		3	2.54		5	4.24					22	18.64		1	0.85		8	6.78		118	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL		76	64.41		1	0.85		1	0.85					4	3.39		5	4.24					22	18.64		1	0.85		8	6.78		118	
	FOURTH			0	0.00		0	0.00		0	0.00					1	100.00		0	0.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		76	64.41		1	0.85		1	0.85					5	4.24		5	4.24					22	18.64					8	6.78		118	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		1	100.00					0	0.00					0	0.00		1	
		TOTAL		76	64.41		1	0.85								5	4.24		6	5.08					22	18.64					8	6.78		118	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					1	100.00					0	0.00		1	
		TOTAL		76	64.41											5	4.24		6	5.08					23	19.49					8	6.78		118	
	SEVENTH			0	0.00											1	16.67			Excluded					4	66.67					1	16.67		6	
		TOTAL		76	64.41											6	5.08								27	22.88					9	7.63		118	
	EIGHTH			2	33.33												Excluded								0	0.00					4	66.67		6	
		TOTAL		78	66.10																				27	22.88					13	11.02		118	
	NINTH			22	81.48																					Excluded					5	18.52		27	
		TOTAL		100	84.75																										18	15.25		118	
				Elected																															
																																			
Borden                                                         																																			
	FIRST			77	60.63		1	0.79		7	5.51		1	0.79		17	13.39		4	3.15		1	0.79		11	8.66		0	0.00		8	6.30		127	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		77	60.63		1	0.79		7	5.51		1	0.79		17	13.39		4	3.15					12	9.45		0	0.00		8	6.30		127	
	THIRD			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL		77	60.63		1	0.79		8	6.30					17	13.39		4	3.15					12	9.45		0	0.00		8	6.30		127	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		77	60.63		1	0.79		8	6.30					17	13.39		4	3.15					12	9.45					8	6.30		127	
	FIFTH			3	37.50		0	0.00			Excluded					3	37.50		1	12.50					0	0.00					1	12.50		8	
		TOTAL		80	62.99		1	0.79								20	15.75		5	3.94					12	9.45					9	7.09		127	
	SIXTH			0	0.00			Excluded								1	100.00		0	0.00					0	0.00					0	0.00		1	
		TOTAL		80	62.99											21	16.54		5	3.94					12	9.45					9	7.09		127	
	SEVENTH			1	20.00											2	40.00			Excluded					1	20.00					1	20.00		5	
		TOTAL		81	63.78											23	18.11								13	10.24					10	7.87		127	
	EIGHTH			18	78.26												Excluded								4	17.39					1	4.35		23	
		TOTAL		99	77.95																				17	13.39					11	8.66		127	
	NINTH			12	70.59																					Excluded					5	29.41		17	
		TOTAL		111	87.40																										16	12.60		127	
				Elected																															
																																			
Bornholm                                                       																																			
	FIRST			153	41.69		10	2.72		4	1.09		2	0.54		21	5.72		61	16.62		3	0.82		45	12.26		13	3.54		55	14.99		367	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	66.67			Excluded		0	0.00		1	33.33		0	0.00		3	
		TOTAL		153	41.69		10	2.72		4	1.09		2	0.54		21	5.72		63	17.17					45	12.26		14	3.81		55	14.99		367	
	THIRD			1	50.00		0	0.00		0	0.00			Excluded		1	50.00		0	0.00					0	0.00		0	0.00		0	0.00		2	
		TOTAL		154	41.96		10	2.72		4	1.09					22	5.99		63	17.17					45	12.26		14	3.81		55	14.99		367	
