House of Representatives - 2001 Election: Western Australia																										
Distribution of Preferences																										
By Polling Place																										
																										
Stirling																										
					OLVER			AQUILINA			JASPER			CRONIN			MCENCROE			MCFARLANE			THOROGOOD			
		TOTAL					329	9.69					2008	59.11					1060	31.20					3397	
	SIXTH							Excluded					143	43.47					186	56.53					329	
		TOTAL											2151	63.32					1246	36.68					3397	
																			Elected							
																										
Deanmore                                                       																										
	FIRST			102	6.78		127	8.44		16	1.06		686	45.61		12	0.80		522	34.71		39	2.59		1504	
	SECOND			0	0.00		2	16.67		1	8.33		5	41.67			Excluded		2	16.67		2	16.67		12	
		TOTAL		102	6.78		129	8.58		17	1.13		691	45.94					524	34.84		41	2.73		1504	
	THIRD			5	29.41		4	23.53			Excluded		7	41.18					0	0.00		1	5.88		17	
		TOTAL		107	7.11		133	8.84					698	46.41					524	34.84		42	2.79		1504	
	FOURTH			8	19.05		11	26.19					12	28.57					11	26.19			Excluded		42	
		TOTAL		115	7.65		144	9.57					710	47.21					535	35.57					1504	
	FIFTH				Excluded		77	66.96					14	12.17					24	20.87					115	
		TOTAL					221	14.69					724	48.14					559	37.17					1504	
	SIXTH							Excluded					80	36.20					141	63.80					221	
		TOTAL											804	53.46					700	46.54					1504	
																			Elected							
																										
Dianella Heights                                               																										
	FIRST			112	6.03		70	3.77		15	0.81		989	53.26		15	0.81		612	32.96		44	2.37		1857	
	SECOND			4	26.67		0	0.00		0	0.00		6	40.00			Excluded		2	13.33		3	20.00		15	
		TOTAL		116	6.25		70	3.77		15	0.81		995	53.58					614	33.06		47	2.53		1857	
	THIRD			1	6.67		3	20.00			Excluded		9	60.00					1	6.67		1	6.67		15	
		TOTAL		117	6.30		73	3.93					1004	54.07					615	33.12		48	2.58		1857	
	FOURTH			4	8.33		8	16.67					15	31.25					21	43.75			Excluded		48	
		TOTAL		121	6.52		81	4.36					1019	54.87					636	34.25					1857	
	FIFTH				Excluded		80	66.12					16	13.22					25	20.66					121	
		TOTAL					161	8.67					1035	55.74					661	35.60					1857	
	SIXTH							Excluded					60	37.27					101	62.73					161	
		TOTAL											1095	58.97					762	41.03					1857	
																			Elected							
																										
Dianella West                                                  																										
	FIRST			53	3.66		62	4.28		10	0.69		747	51.59		24	1.66		524	36.19		28	1.93		1448	
	SECOND			3	12.50		1	4.17		3	12.50		14	58.33			Excluded		1	4.17		2	8.33		24	
		TOTAL		56	3.87		63	4.35		13	0.90		761	52.56					525	36.26		30	2.07		1448	
	THIRD			1	7.69		3	23.08			Excluded		6	46.15					2	15.38		1	7.69		13	
		TOTAL		57	3.94		66	4.56					767	52.97					527	36.40		31	2.14		1448	
	FOURTH			2	6.45		5	16.13					9	29.03					15	48.39			Excluded		31	
		TOTAL		59	4.07		71	4.90					776	53.59					542	37.43					1448	
	FIFTH				Excluded		40	67.80					9	15.25					10	16.95					59	
		TOTAL					111	7.67					785	54.21					552	38.12					1448	
	SIXTH							Excluded					38	34.23					73	65.77					111	
		TOTAL											823	56.84					625	43.16					1448	
																			Elected							
																										
Doubleview (Stirling)                                          																										
	FIRST			243	7.25		244	7.28		52	1.55		1623	48.42		36	1.07		1063	31.71		91	2.71		3352	
	SECOND			6	16.67		2	5.56		1	2.78		20	55.56			Excluded		6	16.67		1	2.78		36	
		TOTAL		249	7.43		246	7.34		53	1.58		1643	49.02					1069	31.89		92	2.74		3352	
	THIRD			6	11.32		17	32.08			Excluded		25	47.17					2	3.77		3	5.66		53	
		TOTAL		255	7.61		263	7.85					1668	49.76					1071	31.95		95	2.83		3352	
	FOURTH			11	11.58		26	27.37					27	28.42					31	32.63			Excluded		95	
		TOTAL		266	7.94		289	8.62					1695	50.57					1102	32.88					3352	
	FIFTH				Excluded		167	62.78					49	18.42					50	18.80					266	
		TOTAL					456	13.60					1744	52.03					1152	34.37					3352	
	SIXTH							Excluded					164	35.96					292	64.04					456	
		TOTAL											1908	56.92					1444	43.08					3352	
																			Elected							
																										
Doubleview North                                               																										
	FIRST			149	7.64		164	8.41		25	1.28		752	38.54		22	1.13		759	38.90		80	4.10		1951	
	SECOND			4	18.18		2	9.09		2	9.09		8	36.36			Excluded		4	18.18		2	9.09		22	
		TOTAL		153	7.84		166	8.51		27	1.38		760	38.95					763	39.11		82	4.20		1951	
	THIRD			3	11.11		2	7.41			Excluded		15	55.56					4	14.81		3	11.11		27	
		TOTAL		156	8.00		168	8.61					775	39.72					767	39.31		85	4.36		1951	
	FOURTH			14	16.47		20	23.53					26	30.59					25	29.41			Excluded		85	
		TOTAL		170	8.71		188	9.64					801	41.06					792	40.59					1951	
	FIFTH				Excluded		122	71.76					21	12.35					27	15.88					170	
		TOTAL					310	15.89					822	42.13					819	41.98					1951	
	SIXTH							Excluded					107	34.52					203	65.48					310	
		TOTAL											929	47.62					1022	52.38					1951	
																			Elected							
																										
Duncraig East (Stirling)                                       																										
	FIRST			17	6.46		12	4.56		9	3.42		148	56.27		4	1.52		65	24.71		8	3.04		263	
	SECOND			1	25.00		0	0.00		1	25.00		1	25.00			Excluded		0	0.00		1	25.00		4	
		TOTAL		18	6.84		12	4.56		10	3.80		149	56.65					65	24.71		9	3.42		263	
	THIRD			0	0.00		3	30.00			Excluded		7	70.00					0	0.00		0	0.00		10	
		TOTAL		18	6.84		15	5.70					156	59.32					65	24.71		9	3.42		263	
	FOURTH			1	11.11		3	33.33					2	22.22					3	33.33			Excluded		9	
		TOTAL		19	7.22		18	6.84					158	60.08					68	25.86					263	
	FIFTH				Excluded		10	52.63					4	21.05					5	26.32					19	
		TOTAL					28	10.65					162	61.60					73	27.76					263	
	SIXTH							Excluded					13	46.43					15	53.57					28	
		TOTAL											175	66.54					88	33.46					263	
																			Elected							
																										
Hamersley                                                      																										
	FIRST			136	6.74		110	5.45		23	1.14		914	45.29		38	1.88		719	35.63		78	3.87		2018	
	SECOND			5	13.16		1	2.63		1	2.63		23	60.53			Excluded		5	13.16		3	7.89		38	
		TOTAL		141	6.99		111	5.50		24	1.19		937	46.43					724	35.88		81	4.01		2018	
	THIRD			3	12.50		8	33.33			Excluded		12	50.00					0	0.00		1	4.17		24	
		TOTAL		144	7.14		119	5.90					949	47.03					724	35.88		82	4.06		2018	
	FOURTH			15	18.29		13	15.85					25	30.49					29	35.37			Excluded		82	
		TOTAL		159	7.88		132	6.54					974	48.27					753	37.31					2018	
	FIFTH				Excluded		97	61.01					18	11.32					44	27.67					159	
		TOTAL					229	11.35					992	49.16					797	39.49					2018	
	SIXTH							Excluded					102	44.54					127	55.46					229	
		TOTAL											1094	54.21					924	45.79					2018	
																			Elected							
																										
Hamersley East                                                 																										
	FIRST			57	5.27		63	5.83		9	0.83		432	39.96		22	2.04		429	39.69		69	6.38		1081	
	SECOND			1	4.55		1	4.55		2	9.09		10	45.45			Excluded		3	13.64		5	22.73		22	
		TOTAL		58	5.37		64	5.92		11	1.02		442	40.89					432	39.96		74	6.85		1081	
	THIRD			1	9.09		3	27.27			Excluded		7	63.64					0	0.00		0	0.00		11	
		TOTAL		59	5.46		67	6.20					449	41.54					432	39.96		74	6.85		1081	
	FOURTH			15	20.27		10	13.51					25	33.78					24	32.43			Excluded		74	
		TOTAL		74	6.85		77	7.12					474	43.85					456	42.18					1081	
	FIFTH				Excluded		43	58.11					14	18.92					17	22.97					74	
		TOTAL					120	11.10					488	45.14					473	43.76					1081	
	SIXTH							Excluded					56	46.67					64	53.33					120	
		TOTAL											544	50.32					537	49.68					1081	
																			Elected							
																										
Innaloo North                                                  																										
	FIRST			154	5.74		197	7.34		37	1.38		1052	39.21		39	1.45		1104	41.15		100	3.73		2683	
	SECOND			5	12.82		5	12.82		1	2.56		20	51.28			Excluded		4	10.26		4	10.26		39	
		TOTAL		159	5.93		202	7.53		38	1.42		1072	39.96					1108	41.30		104	3.88		2683	
	THIRD			1	2.63		11	28.95			Excluded		23	60.53					2	5.26		1	2.63		38	
		TOTAL		160	5.96		213	7.94					1095	40.81					1110	41.37		105	3.91		2683	
	FOURTH			11	10.48		22	20.95					30	28.57					42	40.00			Excluded		105	
		TOTAL		171	6.37		235	8.76					1125	41.93					1152	42.94					2683	
	FIFTH				Excluded		92	53.80					29	16.96					50	29.24					171	
		TOTAL					327	12.19					1154	43.01					1202	44.80					2683	
	SIXTH							Excluded					115	35.17					212	64.83					327	
		TOTAL											1269	47.30					1414	52.70					2683	
																			Elected							
																										
Karrinyup                                                      																										
	FIRST			141	5.99		127	5.40		30	1.27		1277	54.25		30	1.27		677	28.76		72	3.06		2354	
	SECOND			1	3.33		4	13.33		2	6.67		19	63.33			Excluded		3	10.00		1	3.33		30	
		TOTAL		142	6.03		131	5.56		32	1.36		1296	55.06					680	28.89		73	3.10		2354	
	THIRD			3	9.38		6	18.75			Excluded		21	65.63					1	3.13		1	3.13		32	
		TOTAL		145	6.16		137	5.82					1317	55.95					681	28.93		74	3.14		2354	
	FOURTH			6	8.11		15	20.27					29	39.19					24	32.43			Excluded		74	
		TOTAL		151	6.41		152	6.46					1346	57.18					705	29.95					2354	
	FIFTH				Excluded		94	62.25					28	18.54					29	19.21					151	
		TOTAL					246	10.45					1374	58.37					734	31.18					2354	
	SIXTH							Excluded					101	41.06					145	58.94					246	
		TOTAL											1475	62.66					879	37.34					2354	
																			Elected							
																										
Lake Gwelup                                                    																										
	FIRST			93	4.80		132	6.82		35	1.81		977	50.46		16	0.83		618	31.92		65	3.36		1936	
	SECOND			2	12.50		0	0.00		1	6.25		12	75.00			Excluded		1	6.25		0	0.00		16	
		TOTAL		95	4.91		132	6.82		36	1.86		989	51.08					619	31.97		65	3.36		1936	
	THIRD			3	8.33		9	25.00			Excluded		18	50.00					5	13.89		1	2.78		36	
		TOTAL		98	5.06		141	7.28					1007	52.01					624	32.23		66	3.41		1936	
	FOURTH			8	12.12		13	19.70					19	28.79					26	39.39			Excluded		66	
		TOTAL		106	5.48		154	7.95					1026	53.00					650	33.57					1936	
	FIFTH				Excluded		65	61.32					16	15.09					25	23.58					106	
		TOTAL					219	11.31					1042	53.82					675	34.87					1936	
	SIXTH							Excluded					88	40.18					131	59.82					219	
		TOTAL											1130	58.37					806	41.63					1936	
																			Elected							
																										
Mirrabooka                                                     																										
	FIRST			111	5.02		93	4.21		28	1.27		572	25.88		26	1.18		1293	58.51		87	3.94		2210	
	SECOND			6	23.08		5	19.23		0	0.00		5	19.23			Excluded		7	26.92		3	11.54		26	
		TOTAL		117	5.29		98	4.43		28	1.27		577	26.11					1300	58.82		90	4.07		2210	
	THIRD			1	3.57		9	32.14			Excluded		14	50.00					4	14.29		0	0.00		28	
		TOTAL		118	5.34		107	4.84					591	26.74					1304	59.00		90	4.07		2210	
	FOURTH			8	8.89		15	16.67					27	30.00					40	44.44			Excluded		90	
		TOTAL		126	5.70		122	5.52					618	27.96					1344	60.81					2210	
	FIFTH				Excluded		73	57.94					18	14.29					35	27.78					126	
		TOTAL					195	8.82					636	28.78					1379	62.40					2210	
	SIXTH							Excluded					93	47.69					102	52.31					195	
		TOTAL											729	32.99					1481	67.01					2210	
																			Elected							
																										
Mirrabooka Central                                             																										
	FIRST			78	4.69		59	3.55		20	1.20		286	17.19		20	1.20		1108	66.59		93	5.59		1664	
	SECOND			4	20.00		2	10.00		1	5.00		6	30.00			Excluded		6	30.00		1	5.00		20	
		TOTAL		82	4.93		61	3.67		21	1.26		292	17.55					1114	66.95		94	5.65		1664	
	THIRD			1	4.76		4	19.05			Excluded		10	47.62					2	9.52		4	19.05		21	
		TOTAL		83	4.99		65	3.91					302	18.15					1116	67.07		98	5.89		1664	
	FOURTH			11	11.22		16	16.33					19	19.39					52	53.06			Excluded		98	
		TOTAL		94	5.65		81	4.87					321	19.29					1168	70.19					1664	
	FIFTH				Excluded		64	68.09					14	14.89					16	17.02					94	
		TOTAL					145	8.71					335	20.13					1184	71.15					1664	
	SIXTH							Excluded					67	46.21					78	53.79					145	
		TOTAL											402	24.16					1262	75.84					1664	
																			Elected							
																										
Mirrabooka East                                                																										
	FIRST			78	4.74		66	4.01		13	0.79		321	19.51		20	1.22		1090	66.26		57	3.47		1645	
	SECOND			3	15.00		3	15.00		0	0.00		9	45.00			Excluded		4	20.00		1	5.00		20	
		TOTAL		81	4.92		69	4.19		13	0.79		330	20.06					1094	66.50		58	3.53		1645	
	THIRD			2	15.38		4	30.77			Excluded		6	46.15					0	0.00		1	7.69		13	
		TOTAL		83	5.05		73	4.44					336	20.43					1094	66.50		59	3.59		1645	
	FOURTH			5	8.47		16	27.12					13	22.03					25	42.37			Excluded		59	
		TOTAL		88	5.35		89	5.41					349	21.22					1119	68.02					1645	
	FIFTH				Excluded		55	62.50					15	17.05					18	20.45					88	
		TOTAL					144	8.75					364	22.13					1137	69.12					1645	
	SIXTH							Excluded					59	40.97					85	59.03					144	
		TOTAL											423	25.71					1222	74.29					1645	
																			Elected							
																										
Nollamara                                                      																										
	FIRST			143	6.98		118	5.76		13	0.63		578	28.21		30	1.46		1051	51.29		116	5.66		2049	
	SECOND			5	16.67		4	13.33		1	3.33		12	40.00			Excluded		4	13.33		4	13.33		30	
		TOTAL		148	7.22		122	5.95		14	0.68		590	28.79					1055	51.49		120	5.86		2049	
	THIRD			4	28.57		2	14.29			Excluded		5	35.71					1	7.14		2	14.29		14	
		TOTAL		152	7.42		124	6.05					595	29.04					1056	51.54		122	5.95		2049	
	FOURTH			11	9.02		22	18.03					39	31.97					50	40.98			Excluded		122	
		TOTAL		163	7.96		146	7.13					634	30.94					1106	53.98					2049	
	FIFTH				Excluded		111	68.10					18	11.04					34	20.86					163	
		TOTAL					257	12.54					652	31.82					1140	55.64					2049	
	SIXTH							Excluded					104	40.47					153	59.53					257	
		TOTAL											756	36.90					1293	63.10					2049	
																			Elected							
																										
Nollamara North                                                																										
	FIRST			13	2.60		27	5.40		10	2.00		104	20.80		5	1.00		321	64.20		20	4.00		500	
	SECOND			0	0.00		1	20.00		0	0.00		3	60.00			Excluded		0	0.00		1	20.00		5	
		TOTAL		13	2.60		28	5.60		10	2.00		107	21.40					321	64.20		21	4.20		500	
	THIRD			2	20.00		4	40.00			Excluded		4	40.00					0	0.00		0	0.00		10	
		TOTAL		15	3.00		32	6.40					111	22.20					321	64.20		21	4.20		500	
	FOURTH			6	28.57		3	14.29					2	9.52					10	47.62			Excluded		21	
		TOTAL		21	4.20		35	7.00					113	22.60					331	66.20					500	
	FIFTH				Excluded		15	71.43					2	9.52					4	19.05					21	
		TOTAL					50	10.00					115	23.00					335	67.00					500	
	SIXTH							Excluded					27	54.00					23	46.00					50	
		TOTAL											142	28.40					358	71.60					500	
																			Elected							
																										
Noranda West (Stirling)                                        																										
	FIRST			123	5.46		87	3.86		21	0.93		1134	50.33		17	0.75		809	35.91		62	2.75		2253	
	SECOND			3	17.65		3	17.65		0	0.00		6	35.29			Excluded		5	29.41		0	0.00		17	
		TOTAL		126	5.59		90	3.99		21	0.93		1140	50.60					814	36.13		62	2.75		2253	
	THIRD			4	19.05		4	19.05			Excluded		10	47.62					2	9.52		1	4.76		21	
		TOTAL		130	5.77		94	4.17					1150	51.04					816	36.22		63	2.80		2253	
	FOURTH			6	9.52		8	12.70					23	36.51					26	41.27			Excluded		63	
		TOTAL		136	6.04		102	4.53					1173	52.06					842	37.37					2253	
	FIFTH				Excluded		85	62.50					28	20.59					23	16.91					136	
		TOTAL					187	8.30					1201	53.31					865	38.39					2253	
	SIXTH							Excluded					83	44.39					104	55.61					187	
		TOTAL											1284	56.99					969	43.01					2253	
																			Elected							
																										
North Beach                                                    																										
	FIRST			129	6.74		163	8.51		29	1.51		911	47.57		30	1.57		592	30.91		61	3.19		1915	
	SECOND			3	10.00		2	6.67		1	3.33		16	53.33			Excluded		7	23.33		1	3.33		30	
		TOTAL		132	6.89		165	8.62		30	1.57		927	48.41					599	31.28		62	3.24		1915	
	THIRD			2	6.67		6	20.00			Excluded		20	66.67					1	3.33		1	3.33		30	
		TOTAL		134	7.00		171	8.93					947	49.45					600	31.33		63	3.29		1915	
	FOURTH			8	12.70		12	19.05					20	31.75					23	36.51			Excluded		63	
		TOTAL		142	7.42		183	9.56					967	50.50					623	32.53					1915	
	FIFTH				Excluded		105	73.94					12	8.45					25	17.61					142	
		TOTAL					288	15.04					979	51.12					648	33.84					1915	
	SIXTH							Excluded					110	38.19					178	61.81					288	
		TOTAL											1089	56.87					826	43.13					1915	
																			Elected							
																										
North Beach Central (Stirling)                                 																										
	FIRST			21	6.00		24	6.86		4	1.14		189	54.00		4	1.14		96	27.43		12	3.43		350	
	SECOND			0	0.00		0	0.00		0	0.00		3	75.00			Excluded		1	25.00		0	0.00		4	
		TOTAL		21	6.00		24	6.86		4	1.14		192	54.86					97	27.71		12	3.43		350	
	THIRD			1	25.00		2	50.00			Excluded		0	0.00					1	25.00		0	0.00		4	
		TOTAL		22	6.29		26	7.43					192	54.86					98	28.00		12	3.43		350	
	FOURTH			2	16.67		3	25.00					4	33.33					3	25.00			Excluded		12	
		TOTAL		24	6.86		29	8.29					196	56.00					101	28.86					350	
	FIFTH				Excluded		15	62.50					7	29.17					2	8.33					24	
		TOTAL					44	12.57					203	58.00					103	29.43					350	
	SIXTH							Excluded					11	25.00					33	75.00					44	
		TOTAL											214	61.14					136	38.86					350	
																			Elected							
																										
Osborne                                                        																										
	FIRST			100	6.26		86	5.38		15	0.94		560	35.04		24	1.50		752	47.06		61	3.82		1598	
	SECOND			2	8.33		4	16.67		2	8.33		11	45.83			Excluded		2	8.33		3	12.50		24	
		TOTAL		102	6.38		90	5.63		17	1.06		571	35.73					754	47.18		64	4.01		1598	
	THIRD			2	11.76		6	35.29			Excluded		9	52.94					0	0.00		0	0.00		17	
		TOTAL		104	6.51		96	6.01					580	36.30					754	47.18		64	4.01		1598	
	FOURTH			7	10.94		15	23.44					12	18.75					30	46.88			Excluded		64	
		TOTAL		111	6.95		111	6.95					592	37.05					784	49.06					1598	
	FIFTH				Excluded		72	64.86					15	13.51					24	21.62					111	
		TOTAL					183	11.45					607	37.98					808	50.56					1598	
	SIXTH							Excluded					65	35.52					118	64.48					183	
		TOTAL											672	42.05					926	57.95					1598	
																			Elected							
																										
Osborne East                                                   																										
	FIRST			58	6.32		61	6.64		10	1.09		367	39.98		12	1.31		370	40.31		40	4.36		918	
	SECOND			2	16.67		1	8.33		1	8.33		5	41.67			Excluded		2	16.67		1	8.33		12	
		TOTAL		60	6.54		62	6.75		11	1.20		372	40.52					372	40.52		41	4.47		918	
	THIRD			2	18.18		2	18.18			Excluded		5	45.45					1	9.09		1	9.09		11	
		TOTAL		62	6.75		64	6.97					377	41.07					373	40.63		42	4.58		918	
	FOURTH			7	16.67		11	26.19					9	21.43					15	35.71			Excluded		42	
		TOTAL		69	7.52		75	8.17					386	42.05					388	42.27					918	
	FIFTH				Excluded		52	75.36					10	14.49					7	10.14					69	
		TOTAL					127	13.83					396	43.14					395	43.03					918	
	SIXTH							Excluded					52	40.94					75	59.06					127	
		TOTAL											448	48.80					470	51.20					918	
																			Elected							
																										
Osborne Park                                                   																										
	FIRST			46	5.44		38	4.49		5	0.59		347	41.02		8	0.95		379	44.80		23	2.72		846	
	SECOND			1	12.50		0	0.00		3	37.50		3	37.50			Excluded		1	12.50		0	0.00		8	
		TOTAL		47	5.56		38	4.49		8	0.95		350	41.37					380	44.92		23	2.72		846	
	THIRD			2	25.00		1	12.50			Excluded		4	50.00					1	12.50		0	0.00		8	
		TOTAL		49	5.79		39	4.61					354	41.84					381	45.04		23	2.72		846	
	FOURTH			4	17.39		4	17.39					7	30.43					8	34.78			Excluded		23	
		TOTAL		53	6.26		43	5.08					361	42.67					389	45.98					846	
	FIFTH				Excluded		35	66.04					10	18.87					8	15.09					53	
		TOTAL					78	9.22					371	43.85					397	46.93					846	
	SIXTH							Excluded					32	41.03					46	58.97					78	
		TOTAL											403	47.64					443	52.36					846	
																			Elected							
																										
Perth (Stirling)                                               																										
	FIRST			13	7.14		18	9.89		8	4.40		62	34.07		4	2.20		75	41.21		2	1.10		182	
	SECOND			1	25.00		0	0.00		0	0.00		2	50.00			Excluded		1	25.00		0	0.00		4	
		TOTAL		14	7.69		18	9.89		8	4.40		64	35.16					76	41.76		2	1.10		182	
	THIRD			2	25.00		5	62.50			Excluded		1	12.50					0	0.00		0	0.00		8	
		TOTAL		16	8.79		23	12.64					65	35.71					76	41.76		2	1.10		182	
	FOURTH			0	0.00		1	50.00					1	50.00					0	0.00			Excluded		2	
		TOTAL		16	8.79		24	13.19					66	36.26					76	41.76					182	
	FIFTH				Excluded		12	75.00					1	6.25					3	18.75					16	
		TOTAL					36	19.78					67	36.81					79	43.41					182	
	SIXTH							Excluded					16	44.44					20	55.56					36	
		TOTAL											83	45.60					99	54.40					182	
																			Elected							
																										
Rottnest (Stirling)                                            																										
	FIRST			4	3.42		11	9.40		3	2.56		58	49.57		1	0.85		33	28.21		7	5.98		117	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		5	4.27		11	9.40		3	2.56		58	49.57					33	28.21		7	5.98		117	
	THIRD			0	0.00		0	0.00			Excluded		3	100.00					0	0.00		0	0.00		3	
		TOTAL		5	4.27		11	9.40					61	52.14					33	28.21		7	5.98		117	
	FOURTH			1	14.29		2	28.57					2	28.57					2	28.57			Excluded		7	
		TOTAL		6	5.13		13	11.11					63	53.85					35	29.91					117	
