General Information - 2001 Election: Western Australia				
Polling Places				
				
Brand				
Polling Place Name	Premises	Address	Suburb	
Baldivis	Tranby College	Tranby Road	BALDIVIS	
Calista	Calista Primary School	Chilcott Street	CALISTA	
Coodanup	Coodanup Community College	Wanjeep Street	COODANUP	
Cooloongup	Cooloongup Primary School	Westerly Way	COOLOONGUP	
Golden Bay	Coastal Community Centre	Tangadee Road	GOLDEN BAY	
Greenfields	Bortolo Pavilion	Murdoch Dr	GREENFIELDS	
Greenfields East	Riverside Primary School	Teranca Rd	GREENFIELDS	
Hillman	Hillman Primary School	Unnaro Street	HILLMAN	
Hope Valley	Hope Valley Primary School	McLaren Ave	HOPE VALLEY	
Leda	Leda Primary School	Feilman Dr	LEDA	
Madora	Ron Christian Memorial Hall	Orelia Street	MADORA	
Woodvale North	North Woodvale Primary School	Chichester Dve	WOODVALE


Curtin			
Polling Place Name	Premises	Address	Suburb
Churchlands	Churchlands Primary School	Cromarty Road	CHURCHLANDS
City Beach	City Beach Primary School	Marapana Rd	CITY BEACH
City Beach North	Holy Spirit School	Brompton Rd	CITY BEACH
Claremont	Claremont Primary School	Bay View Tce	CLAREMONT
Claremont East	St Andrews Church	cnr Napier St & Stirling Hwy	NEDLANDS
Cottesloe	Cottesloe Civic centre	109 Broome Street	COTTESLOE
Cottesloe East	North Cottesloe Primary School	100 Eric Street	COTTESLOE
Cottesloe South	Cottesloe School for Deaf and Hearing Impaired Children	Johnston Street	PEPPERMINT GROVE
Dalkeith	Dalkeith Primary School	Circe Circle	DALKEITH
Doubleview (Curtin)	Doubleview Primary School	St Brigid's Tce	DOUBLEVIEW
Floreat	Floreat Primary School	Chandler Ave	FLOREAT
Floreat East	Floreat Park Pre-Primary Centre	cnr Birkdale & Newry Street	FLOREAT
Graylands	Graylands Primary School	cnr Alfred Rd & Montgomery Ave	MT CLAREMONT
Jolimont	Jolimont Primary School	657 Hay Street	JOLIMONT
Joondanna	St Denis Primary School	157 Powell Street	JOONDANNA
King Edward Memorial Hospital	King Edward Memorial Hospital	Bagot Rd	SUBIACO
Leederville	Leederville College of TAFE	Cnr Oxford & Richmond Streets	LEEDERVILLE
Leederville North	Aranmore College Hall	cnr Oxford & Franklin Street	LEEDERVILLE
Leederville West	West Leederville Primary School	Northwood Street	LEEDERVILLE
Mosman Park	Mosman Park Memorial Hall	16 Lochee Street	MOSMAN PARK
Mosman Park South	All Saints Anglican Church	Jameson Street	MOSMAN PARK
Mount Hawthorn	Mt Hawthorn Primary School	Matlock Street	MOUNT HAWTHORN
Mount Hawthorn East	Mt Hawthorn Baptist Church Hall	cnr Edinboro and Hobart Streets	MOUNT HAWTHORN
Mount Hawthorn West	Mt Hawthorn Scout Hall	cnr East & Berryman Street	MOUNT HAWTHORN
Nedlands Central	UWA Nedlands Campus	Clifton St	NEDLANDS
Nedlands East	Drabble House	2 Webster Street	NEDLANDS
Nedlands North	Hollywood Primary School	Monash Ave	NEDLANDS
Nedlands South	Nedlands Primary School	35 Kingsway	NEDLANDS
Peppermint Grove	Star of the Sea Parish Hall	Cnr McNeil & Stirling Hwy	PEPPERMINT GROVE
Perth (Curtin)	Perth GPO	Forrest Place	PERTH
Rottnest (Curtin)	Rottnest Primary School		ROTTNEST ISLAND
Shenton Park East	St Aloysius Catholic Church	Cnr Henry St & Keightley Rd West	SHENTON PARK
Shenton Park West	Rosalie Pre-Primary School (Off-site)	334 Onslow Rd	SHENTON PARK
Sir Charles Gairdner Hospital	Sir Charles Gairdner Hospital	Outpatients Centre	NEDLANDS
Subiaco	Subiaco Community Centre	203 Bagot Rd	SUBIACO
Subiaco North	Perth Modern School	Roberts Rd	SUBIACO
Swanbourne	Swanbourne Primary School	Derby Street	SWANBOURNE
Tuart Hill (Curtin)	Tuart Hill Primary School	Banksia St	TUART HILL
Wembley Central	Wembley Church of Christ	Nanson Street	WEMBLEY
Wembley Downs	Wembley Downs Primary School	Bournemouth Cres	WEMBLEY DOWNS
Wembley North	Lake Monger Primary School	Dodd Street	WEMBLEY
Wembley South	Subiaco College of TAFE	133 Salvado Rd	SUBIACO
Wembley West	Wembley Primary School	cnr Grantham & Alexander Street	WEMBLEY
West Perth (Curtin)	Greek Orthodox Church	Cnr Charles & Carr Streets	WEST PERTH
West Perth Central	Ross Memorial Uniting Church	Cnr Hay & Colin Street	WEST PERTH
Woodlands	Woodlands Primary School	Bentwood Ave	WOODLANDS
Woodlands North	Teakwood Community Kindergarten	16 Tamarisk Way	WOODLANDS


Forrest			
Polling Place Name	Premises	Address	Suburb
Acton Park	Acton Park Hall		ACTON PARK
Alexandra Bridge	Alexandra Bridge Hall		ALEXANDRA BRIDGE
Allanson	Allanson Primary School	Cameron St	ALLANSON
Augusta	Augusta Civic Centre	Allnutt Tce	AUGUSTA
Australind	Australind Community Hall	Paris Rd	AUSTRALIND
Australind East	Riverlinks Community Centre	Paris Rd	AUSTRALIND
Australind North	Parkfield Primary School	Garfield Drive	AUSTRALIND
Balingup	Balingup Primary School	Brockman Street	BALINGUP
Binningup	Binningup Community Hall	Driftwood Way	BINNINGUP
Boyanup	Boyanup Primary School		BOYANUP
Bridgetown	St Brigid's Hall	Roe St	BRIDGETOWN
Brookhampton	Brookhampton Hall		BROOKHAMPTON
Brunswick	Brunswick Primary School	Vincent Street	BRUNSWICK
Bunbury	Bunbury Pre-primary Centre	Lovegrove Ave	BUNBURY
Bunbury Central	Good News Family Church	Cnr Symmons and Wittenoom Sts	BUNBURY
Bunbury East	Cooinda Primary School	Trott Street	BUNBURY
Burekup	River Valley Primary School	Russell Rd	BUREKUP
Busselton	Churchill Park Pavilion	Adelaide St	BUSSELTON
Busselton East	Busselton Primary School	Avocet Blvd	BUSSELTON
Busselton South	Busselton Senior High School	Bussell Hwy	BUSSELTON
Busselton West	West Busselton Primary School	Bower Rd	BUSSELTON
Capel	Capel Hall		CAPEL
Carbunup River	Carbunup River Hall	Wildwood Rd	CARBUNUP RIVER
Carey Park	Carey Park Primary School	Frankel Street	BUNBURY
Carey Park South	Milligan House	Milligan Street	BUNBURY
Clifton Park	Clifton Park Primary School	Lucy Victoria Ave	CLIFTON PARK
Collie	Collie Senior High School	Wittenoom St	COLLIE
Collie Central	Margaretta Wilson Centre	Forrest St	COLLIE
Collie East	Fairview Primary School	Vernon St	COLLIE
Collie North	North Collie Hall	Princep St	COLLIE
Coral Park	Newton Moore Senior High School	Hotchin Street	BUNBURY
Cowaramup	Cowaramup Primary School	Waverley Rd	COWARAMUP
Dardanup	Dardanup Hall		DARDANUP
Deanmill	Deanmill Football Clubroom		DEANMILL
Donnybrook	Donnybrook Memorial Hall		DONNYBROOK
Dunsborough	Dunsborough Progress Assoc Hall	Gifford Rd	DUNSBOROUGH
Eaton	Eaton Hall	Pratt Rd	EATON
Eaton East	Glen Huon Primary School	Monash Blvd	EATON
Elgin	Elgin Hall		ELGIN
Ferguson	Ferguson Hall		FERGUSON
Gelorup	Bunbury Cathedral Grammar Primary School	Jenour Ct	GELORUP
Greenbushes	Greenbushes Primary School		GREENBUSHES
Harvey	St Anne's Primary School	Young Street	HARVEY
Karridale	Karridale Primary School	Bussell Hwy	KARRIDALE
Kirup	Kirup Hall	South Western Hwy	KIRUP
Kudardup	Kudardup Hall		KUDARDUP
Leschenault	Settlers' Hall	Marine Drive	AUSTRALIND
Lowden	Yabberup Hall		LOWDEN
Manjimup	Manjimup Town Hall	Rose Street	MANJIMUP
Manjimup East	East Manjimup Primary School	O'Connor Street	MANJIMUP
Margaret River	Margaret River Senior High School	Bussell Hwy	MARGARET RIVER
Middlesex	Middlesex Hall		MIDDLESEX
Nannup	Nannup Shire Office Function Room	Adam Rd	NANNUP
Northcliffe	Northcliffe Ambulance Hall		NORTHCLIFFE
Pemberton	Pemberton Community Centre	Club St	PEMBERTON
Perth (Forrest)	Perth GPO	Forrest Place	PERTH
Picton	Picton Primary School	Jeffery Rd	BUNBURY
Quinninup	Quinninup Primary School		QUINNINUP
Rosa Brook	Rosa Brook Hall		ROSA BROOK
Rottnest (Forrest)	Rottnest Primary School		ROTTNEST ISLAND
Sealinks	Sealinks Pre-primary Centre	Hastie Street	BUNBURY
South Bunbury	South Bunbury Pre-primary Centre	Queen Street	BUNBURY
South West Health Campus	South West Health Campus	Bussell Hwy	BUNBURY
Vasse	Vasse Primary School		VASSE
Villa Maria	Ray Village Nursing Home	Bussell Hwy	BUSSELTON
Walpole	Walpole Primary School	Swan Street	WALPOLE
Wilson Park	Wilson Park Primary School	Porter Street	COLLIE
Witchcliffe	Witchcliffe Hall		WITCHCLIFFE
Withers	Withers Primary School	Westwood St	BUNBURY
Wollaston	Bunbury Catholic College	Rodsted Street	BUNBURY
Yallingup	Yallingup Hall		YALLINGUP
Yarloop	Yarloop Hall	Station Street	YARLOOP
Yoongarillup	Yoongarillup Hall		YOONGARILUP
Yornup	Yornup Hall	South Western Hwy	YORNUP


Fremantle			
Polling Place Name	Premises	Address	Suburb
Atwell	Atwell Primary School	Lydon Blvd	ATWELL
Beaconsfield	Beaconsfield Primary School	Hale St	BEACONSFIELD
Beeliar	St Lukes Primary School	The Grange	BEELIAR
Bibra Lake	Bibra Lake Primary School	Annois Rd	BIBRA LAKE
Bicton	Bicton Primary School	View Tce	BICTON
Coogee Beach	Coogee Beach Community Hall	Arlington Loop	COOGEE
Coolbellup	Coolbellup Primary School	Hilory St	COOLBELLUP
Coolbellup East	North Lake Primary School	Montague Way	COOLBELLUP
East Fremantle	East Fremantle Primary School	Forrest St	FREMANTLE
Fremantle	Victoria Pavillion - Fremantle Oval	Fremantle Oval	FREMANTLE
Hamilton Hill East	East Hamilton Hill Primary School	Bradbury Rd	HAMILTON HILL
Hamilton Hill North	Winterfold Primary School	Annie St	BEACONSFIELD
Hamilton Hill South	Southwell Primary School	Grandpre Cres	HAMILTON HILL
Hilton	Hilton Primary School	Rennie Cres	HILTON
Jandakot	Jandakot Primary School	Baningan Ave	SUCCESS
Kardinya (Fremantle)	Kardinya Primary School	Ochiltree Way	KARDINYA
Kardinya West	North Lake Senior Campus	Winterfold Rd	KARDINYA
Lakeland	Lakeland Senior High School	South Lake Dr	SOUTH LAKE
Melville (Fremantle)	Melville Recreation Centre	Cnr Canning Hwy & Stock Rd	MELVILLE
Munster	South Coogee Primary School	Russell Rd	MUNSTER
North Fremantle	North Fremantle Community Centre	2 Thompson Rd	NORTH FREMANTLE
Palmyra	Palmyra Primary School	McKimmie Rd	PALMYRA
Palmyra North	Anglican Church Hall	2 Hammad St	PALMYRA
Perth (Fremantle)	Perth GPO	Forrest Place	PERTH
Richmond	Richmond Primary School	Windsor Rd	EAST FREMANTLE
Rottnest (Fremantle)	Rottnest Primary School		ROTTNEST ISLAND
Samson	Samson Primary School	Lawrence Way	SAMSON
South Fremantle	Fremantle Primary School	Alma St	FREMANTLE
South Lake	South Lake Primary School	Mason Ct	SOUTH LAKE
Spearwood	Spearwood Primary School	Gerald St	SPEARWOOD
Spearwood South	Newton Primary School	Marvell Ave	SPEARWOOD
Spearwood West	Phoenix Primary School	Phoenix Rd	SPEARWOOD
Wattleup	Wattleup Primary School	Hitchcock Pl	WATTLEUP
White Gum Valley	White Gum Valley Primary School	Hope St	WHITE GUM VALLEY
Willagee	Willagee Primary School	Drury St	WILLAGEE
Willagee East	Carawatha Primary School	North Lake Rd	WILLAGEE
Yangebup	Yangebup Primary School	Moorhen Dr	YANGEBUP
Yangebup South	Mater Christi Catholic Primary School	340 Yangebup Rd	YANGEBUP


Hasluck			
Polling Place Name	Premises	Address	Suburb
Bellevue	Bellevue Hall	Helen St	BELLEVUE
Caversham	Old Caversham School	West Swan Rd	CAVERSHAM
Forrestfield	Forrestfield Primary School	Sussex Rd	FORRESTFIELD
Forrestfield North	Forrestfield Senior High School	Berkshire Rd	FORRESTFIELD
Gooseberry Hill	Gooseberry Hill Primary School	Ledger Rd	GOOSEBERRY HILL
Gosnells	Gosnells Primary School	Cnr May & Hicks Sts	GOSNELLS
Gosnells Central	Gosnells Civic Centre	2242 Albany Hwy	GOSNELLS
Gosnells South (Hasluck)	Gosnells Senior High School	Southern River Rd	GOSNELLS
Gosnells West	Wirrabirra Primary School	Cnr Corfield & Jenkinson Sts	GOSNELLS
Guildford	Guildford Mechanics Institute	Meadow St	GUILDFORD
Hazelmere	Hazelmere Community Hall	Bushmead Road	HAZELMERE
Helena Valley (Hasluck)	Helena Valley Recreation Hall	Cnr Scott St & Clayton Rd	HELENA VALLEY
High Wycombe	Cyril Road Hall	Cyril Road	HIGH WYCOMBE
High Wycombe South	High Wycombe Sport and Recreation Hall	Newburn Rd	HIGH WYCOMBE
Huntingdale (Hasluck)	Huntingdale Primary School	Matilda St	HUNTINGDALE
Kalamunda	Kalamunda Senior High School	Canning Rd	KALAMUNDA
Kalamunda North	Kalamunda Primary School	Heath Rd	KALAMUNDA
Kenwick	Kenwick Community Centre	Cnr Kenwick Rd/Brixton St	KENWICK
Koongamia	Koongamia Hall	Banjine Rd	KOONGAMIA
Lesmurdie	Lesmurdie Primary School	Sanderson Rd	LESMURDIE
Maddington	East Maddington Primary School	Pitchford Ave	MADDINGTON
Maddington East	Yule Brook College	Dellar Rd	MADDINGTON
Maddington North	Bramfield Park Primary School	Yule St	MADDINGTON
Maida Vale	Maida Vale Primary School	Kalamunda Rd	MAIDA VALE
Middle Swan	Midland TAFE College	Lloyd Street	MIDDLE SWAN
Midland (Hasluck)	Midland Town Hall	Cnr Gt Eastern Hwy & Gt Northern Hwy	MIDLAND
Perth (Hasluck)	Perth GPO	Forrest Place	PERTH
Rottnest (Hasluck)	Rottnest Primary School		ROTTNEST ISLAND
Swan View (Hasluck)	Swan View High School	Weld Rd	SWAN VIEW
Thornlie (Hasluck)	Thornlie Senior High School	Ovens Rd	THORNLIE
Thornlie East	Thornlie Primary School	Thornlie Ave	THORNLIE
Thornlie South (Hasluck)	Forest Crescent Primary School	Forest Cres	THORNLIE
Thornlie West	Yale Primary School	Cnr Yale & Sage Rds	THORNLIE
Walliston (Hasluck)	Walliston Primary School	Dianella Rd	WALLISTON
Wattle Grove	Wattle Grove Primary School	Welshpool Rd	WATTLE GROVE


Kalgoorlie			
Polling Place Name	Premises	Address	Suburb
Ajana	Ajana Hall	Kalbarri Road	AJANA
Argyle	Argyle SMQ	Argyle Village	ARGYLE
Balgo	Balgo Catholic School	Balgo PMB 2 Via	HALLS CREEK
Bodallin	Bodallin Primary School	Great Eastern Hwy	BODALLIN
Boulder	Boulder Primary School	Lane Street	BOULDER
Broome	Broome Shire Hall	Weld St	BROOME
Broome West	Cable Beach Primary School	Lot 2439 Dakas St	BROOME
Bullfinch	Bullfinch CWA Hall	Dorothy Street	BULLFINCH
Burracoppin	Burracoppin Sports Pavilion	Burracoppin North West Road	BURRACOPPIN
Carnarvon	Carnarvon High School Recreation Centre	Cleaver Street	CARNARVON
Carnarvon East	East Carnarvon Primary School	Marmion Street	CARNARVON
Cascade	Cascade Primary School	Asha Court	CASCADE
Castletown	Castletown Primary School	Easton Rd	ESPERANCE
Condingup	Condingup Primary School	Sutcliffe Street	CONDINGUP
Cooke Point	Port Hedland Primary School	Cnr Athol & Corney Sts	PORT HEDLAND
Coolgardie	Coolgardie Recreation Centre	Sylvester Street	COOLGARDIE
Coral Bay	Coral Bay Shopping Centre	Rear Reef Cafe	CORAL BAY
Cue	Cue Primary School	Simpson Street	CUE
Dalyup	Dalyup Progress Assoc Hall	South Coast Hwy	DALYUP
Dampier	Dampier Primary School	Church Rd	DAMPIER
Denham	Denham Primary School (Shark Bay)	Hughes Street	DENHAM
Derby	Derby District High School	Stanley Street	DERBY
Esperance	Esperance Civic Centre	Council Place	ESPERANCE
Exmouth	Exmouth Shire Hall	Maidestone Cres	EXMOUTH
Fitzroy Crossing	Fitzroy Crossing District High School	Forrest Rd	FITZROY CROSSING
Gascoyne Junction	Gascoyne Junction Shire Office	Scott Street	GASCOYNE JUNCTION
Gibson	Gibson Football Club	Starr Street	GIBSON
Grass Patch	Grass Patch Community Hall	Shepherd Street	GRASS PATCH
Halls Creek	Halls Creek District High School	Thomas Street	HALLS CREEK
Horrocks	Horrocks Community Centre	Mitchell Street	HORROCKS
Jigalong	Wintamarra Training Centre	Wintamarra Training Centre	NEWMAN
Kalbarri	Kalbarri Community Centre	Grey Street	KALBARRI
Kalgoorlie	Kalgoorlie Town Hall	Hannan Street	KALGOORLIE
Kalgoorlie East	Kalgoorlie East Primary School	Mafeking Street	KALGOORLIE
Kalgoorlie Eastern Goldfields	Kalgoorlie District Education Office	Federal Road	KALGOORLIE
Kalgoorlie Halfway	John Paul College	Lionel Street	KALGOORLIE
Kalgoorlie Hannans	Hannans Primary School	Nankiville Rd	KALGOORLIE
Kalgoorlie North	Kalgoorlie North Primary School	Campbell Street	KALGOORLIE
Kalgoorlie Regional Hospital	Kalgoorlie Regional Hospital	Piccadilly Street	KALGOORLIE
Kalgoorlie Somerville	O'Connor Primary School	Johnston Street	SOMERVILLE
Kalgoorlie Wallace Park	Wallace Park Pre-Primary School	Bourke Street	KALGOORLIE
Kambalda	Kambalda Primary School	Larkin Street	KAMBALDA
Kambalda West	Kambalda West District High School	Salmon Gum Rd	KAMBALDA WEST
Karratha	Karratha Senior High School	Searipple Rd	KARRATHA
Karratha West	Karratha College	Millstream Rd	KARRATHA
Kununurra	Kununurra District High School	Cnr Mangaloo St & Coolibah Dr	KUNUNURRA
Laverton	Laverton Lesser Hall	MacPherson Place	LAVERTON
Leinster	Leinster Community Hall	Link Road	LEINSTER
Leonora	Leonora Recreation Centre	Tower Street	LEONORA
Looma	Looma District High School	Looma District High School	DERBY
Marble Bar	Marble Bar Shire Office	Francis St	MARBLE BAR
Marvel Loch	Marvel Loch Primary School	Cheney Street	MARVEL LOCH
Meekatharra	Meekatharra Shire Hall	Savage Street	MEEKATHARRA
Menzies	Menzies Shire Hall	Shenton Street	MENZIES
Merredin	Merredin Court House	Mitchell St	MERREDIN
Merredin District Hospital	Merredin District Hospital	Kitchener Rd	MERREDIN
Merredin South	Merredin High School	Woolgar Ave	MERREDIN
Moorine Rock	Moorine Rock Primary School	Moorine South Rd	MOORINE ROCK
Mount Magnet	Mt Magnet Court House	Richardson Street	MOUNT MAGNET
Mowanjum	Mowanjum Community Building	Mowanjum Community	DERBY
Mullewa	Mullewa District High School	Jose Street	MULLEWA
Munglinup (Kalgoorlie)	Munglinup Hall	Tallarack Street	MUNGLINUP
Muntadgin	Muntadgin Primary School	Crossland Street	MUNTADGIN
Nabawa	Nabawa Community Centre	Chapman Valley Rd	NABAWA
Newman	Newman High school	Gregory Ave	NEWMAN
Newman North	Newman Primary School	Hilditch Ave	NEWMAN
Noonkanbah	Kulkarriya Community School (Noonkanbah)	Noonkanbah Community	FITZROY CROSSING
Norseman	Norseman Court House	Prinsep Street	NORSEMAN
Northampton	Northampton District Bowling Club	Hampton Rd	NORTHAMPTON
Nullagine	Nullagine Telecentre	Clementson St	NULLAGINE
Nulsen	Nulsen Primary School	Victoria Street	ESPERANCE
Onslow	Onslow Shire Hall	Second Ave	ONSLOW
Pannawonica	Pannawonica Primary School	Sports Way	PANNAWONICA
Paraburdoo	Paraburdoo Primary School	De Grey Rd	PARABURDOO
Perth (Kalgoorlie)	Perth GPO	Forrest Place	PERTH
Port Hedland	Port Hedland Town Hall	McGregor St	PORT HEDLAND
Roebourne	Roebourne Shire Hall	Cnr Scholl & Frazer Sts	ROEBOURNE
Rottnest (Kalgoorlie)	Rottnest Primary School		ROTTNEST ISLAND
Salmon Gums	Salmon Gums Primary School	Rogers Street	SALMON GUMS
Sandstone	Sandstone Community Centre	Rowe St	SANDSTONE
Scaddan	Scaddan Primary School	Kendall Rd	SCADDAN
Southern Cross	Southern Cross Community Centre	Antares Street	SOUTHERN CROSS
South Hedland	South Hedland Primary School	Weaver Pl	SOUTH HEDLAND
South Hedland Baler	South Hedland Baler Primary School	Baler Close	SOUTH HEDLAND
Tardun	Tardun Store	Railway Parade	TARDUN
Telfer	Telfer Messing Facilities	Newcrest Mining Limited	TELFER
Tom Price	Tom Price Primary School	Wattle Street	TOM PRICE
Useless Loop	Useless Loop Primary School	Wilsons Rise	USELESS LOOP
