Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Pearce (77880)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
	Cuballing		1	0.39		0	0.00		0	0.00		2	0.79		1	0.39		91	35.83		56	22.05		0	0.00		44	17.32		6	2.36		0	0.00		0	0.00		0	0.00		0	0.00		10	3.94		33	12.99		10	3.94		0	0.00		254	96.58		9	3.42		263	0.35
	Darlington		4	0.20		1	0.05		1	0.05		26	1.31		2	0.10		852	42.99		43	2.17		0	0.00		86	4.34		41	2.07		2	0.10		1	0.05		0	0.00		7	0.35		199	10.04		447	22.55		269	13.57		1	0.05		1982	97.73		46	2.27		2028	2.72
	Ellenbrook		8	0.33		2	0.08		1	0.04		58	2.38		1	0.04		1040	42.71		13	0.53		2	0.08		155	6.37		18	0.74		1	0.04		8	0.33		0	0.00		13	0.53		168	6.90		855	35.11		89	3.66		3	0.12		2435	97.48		63	2.52		2498	3.36
	Gidgegannup		3	0.25		2	0.17		1	0.08		17	1.41		0	0.00		564	46.84		29	2.41		0	0.00		114	9.47		33	2.74		2	0.17		1	0.08		1	0.08		4	0.33		80	6.64		267	22.18		84	6.98		2	0.17		1204	97.41		32	2.59		1236	1.66
	Gingin		9	1.37		0	0.00		0	0.00		4	0.61		0	0.00		357	54.26		18	2.74		0	0.00		106	16.11		8	1.22		0	0.00		3	0.46		0	0.00		4	0.61		10	1.52		115	17.48		24	3.65		0	0.00		658	94.27		40	5.73		698	0.94
	Glen Forrest		3	0.18		7	0.43		1	0.06		22	1.35		3	0.18		702	43.17		37	2.28		1	0.06		102	6.27		27	1.66		0	0.00		0	0.00		0	0.00		3	0.18		135	8.30		425	26.14		156	9.59		2	0.12		1626	97.72		38	2.28		1664	2.24
	Grass Valley		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		67	41.10		24	14.72		0	0.00		29	17.79		0	0.00		0	0.00		0	0.00		0	0.00		2	1.23		9	5.52		28	17.18		4	2.45		0	0.00		163	91.57		15	8.43		178	0.24
	Greenhills		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		52	55.91		5	5.38		0	0.00		23	24.73		3	3.23		0	0.00		0	0.00		0	0.00		1	1.08		0	0.00		8	8.60		1	1.08		0	0.00		93	97.89		2	2.11		95	0.13
	Greenmount		7	0.42		3	0.18		2	0.12		20	1.20		3	0.18		692	41.64		23	1.38		0	0.00		129	7.76		23	1.38		0	0.00		3	0.18		1	0.06		10	0.60		110	6.62		502	30.20		134	8.06		0	0.00		1662	96.24		65	3.76		1727	2.32
	Guilderton		1	0.38		0	0.00		0	0.00		5	1.90		0	0.00		117	44.49		2	0.76		0	0.00		34	12.93		6	2.28		0	0.00		1	0.38		0	0.00		2	0.76		5	1.90		72	27.38		18	6.84		0	0.00		263	95.99		11	4.01		274	0.37
	Helena Valley (Pearce)		3	0.66		1	0.22		0	0.00		5	1.10		2	0.44		181	39.87		12	2.64		0	0.00		32	7.05		8	1.76		1	0.22		0	0.00		2	0.44		1	0.22		35	7.71		119	26.21		52	11.45		0	0.00		454	96.19		18	3.81		472	0.63
	Henley Brook		5	0.48		7	0.67		0	0.00		13	1.25		0	0.00		549	52.84		22	2.12		0	0.00		84	8.08		14	1.35		2	0.19		1	0.10		0	0.00		6	0.58		31	2.98		243	23.39		62	5.97		0	0.00		1039	96.11		42	3.89		1081	1.45
	Herne Hill		11	0.93		0	0.00		3	0.25		10	0.84		2	0.17		492	41.41		21	1.77		1	0.08		131	11.03		6	0.51		0	0.00		2	0.17		0	0.00		10	0.84		60	5.05		398	33.50		40	3.37		1	0.08		1188	93.91		77	6.09		1265	1.70
	Highbury		0	0.00		0	0.00		0	0.00		1	0.79		1	0.79		46	36.51		31	24.60		0	0.00		24	19.05		2	1.59		0	0.00		0	0.00		0	0.00		0	0.00		3	2.38		14	11.11		4	3.17		0	0.00		126	95.45		6	4.55		132	0.18
	Lancelin		3	0.50		0	0.00		0	0.00		1	0.17		2	0.33		267	44.65		20	3.34		0	0.00		102	17.06		3	0.50		0	0.00		2	0.33		0	0.00		2	0.33		22	3.68		153	25.59		21	3.51		0	0.00		598	96.30		23	3.70		621	0.83
	Ledge Point		0	0.00		0	0.00		1	0.81		0	0.00		0	0.00		83	67.48		2	1.63		0	0.00		5	4.07		2	1.63		0	0.00		1	0.81		0	0.00		1	0.81		3	2.44		22	17.89		3	2.44		0	0.00		123	95.35		6	4.65		129	0.17
	Lower Chittering		1	0.44		0	0.00		0	0.00		3	1.33		1	0.44		110	48.89		4	1.78		0	0.00		28	12.44		2	0.89		0	0.00		0	0.00		0	0.00		0	0.00		8	3.56		51	22.67		16	7.11		1	0.44		225	97.40		6	2.60		231	0.31
	Mahogany Creek		2	0.33		0	0.00		1	0.17		7	1.17		0	0.00		257	42.98		9	1.51		0	0.00		42	7.02		10	1.67		0	0.00		0	0.00		0	0.00		1	0.17		25	4.18		176	29.43		67	11.20		1	0.17		598	96.76		20	3.24		618	0.83
	Merriwa		12	0.46		4	0.15		2	0.08		28	1.07		5	0.19		1043	39.81		23	0.88		3	0.11		184	7.02		30	1.15		1	0.04		12	0.46		0	0.00		31	1.18		112	4.27		1024	39.08		105	4.01		1	0.04		2620	95.69		118	4.31		2738	3.68
	Midland (Pearce)		4	0.93		0	0.00		0	0.00		5	1.17		1	0.23		151	35.20		9	2.10		0	0.00		33	7.69		8	1.86		2	0.47		0	0.00		1	0.23		2	0.47		17	3.96		163	38.00		32	7.46		1	0.23		429	97.28		12	2.72		441	0.59
	Mindarie		5	0.25		5	0.25		1	0.05		16	0.80		0	0.00		1051	52.52		12	0.60		3	0.15		108	5.40		13	0.65		1	0.05		2	0.10		0	0.00		10	0.50		91	4.55		608	30.38		74	3.70		1	0.05		2001	97.51		51	2.49		2052	2.76
	Mount Helena		2	0.15		1	0.08		0	0.00		21	1.58		2	0.15		537	40.44		22	1.66		1	0.08		123	9.26		8	0.60		2	0.15		1	0.08		0	0.00		6	0.45		95	7.15		356	26.81		151	11.37		0	0.00		1328	97.22		38	2.78		1366	1.83
	Muchea		1	0.27		0	0.00		0	0.00		6	1.60		0	0.00		173	46.01		6	1.60		0	0.00		81	21.54		5	1.33		0	0.00		0	0.00		0	0.00		3	0.80		12	3.19		76	20.21		13	3.46		0	0.00		376	95.92		16	4.08		392	0.53
	Mundaring		8	0.38		1	0.05		0	0.00		35	1.66		3	0.14		830	39.34		38	1.80		2	0.09		169	8.01		53	2.51		0	0.00		4	0.19		0	0.00		5	0.24		182	8.63		585	27.73		192	9.10		3	0.14		2110	97.50		54	2.50		2164	2.91
	Narrogin		9	0.44		0	0.00		2	0.10		22	1.08		7	0.34		863	42.32		218	10.69		2	0.10		264	12.95		22	1.08		3	0.15		14	0.69		0	0.00		20	0.98		52	2.55		457	22.41		83	4.07		1	0.05		2039	94.53		118	5.47		2157	2.90
	Narrogin Regional Hospital		2	0.68		0	0.00		1	0.34		6	2.05		2	0.68		110	37.54		32	10.92		0	0.00		28	9.56		0	0.00		1	0.34		2	0.68		0	0.00		4	1.37		9	3.07		80	27.30		16	5.46		0	0.00		293	97.99		6	2.01		299	0.40
	Northam		5	0.27		0	0.00		0	0.00		20	1.08		5	0.27		733	39.64		80	4.33		1	0.05		248	13.41		24	1.30		0	0.00		10	0.54		0	0.00		17	0.92		58	3.14		589	31.86		58	3.14		1	0.05		1849	95.85		80	4.15		1929	2.59
	Northam East		1	0.10		1	0.10		2	0.21		13	1.36		1	0.10		334	34.83		70	7.30		2	0.21		130	13.56		16	1.67		0	0.00		4	0.42		0	0.00		8	0.83		41	4.28		298	31.07		38	3.96		0	0.00		959	95.04		50	4.96		1009	1.36
	Northam North		3	0.50		0	0.00		0	0.00		4	0.67		1	0.17		156	26.09		18	3.01		1	0.17		82	13.71		3	0.50		1	0.17		1	0.17		0	0.00		16	2.68		19	3.18		273	45.65		19	3.18		1	0.17		598	93.00		45	7.00		643	0.86
	Parkerville		3	0.30		0	0.00		1	0.10		13	1.30		0	0.00		425	42.59		15	1.50		0	0.00		69	6.91		35	3.51		1	0.10		3	0.30		2	0.20		1	0.10		78	7.82		230	23.05		122	12.22		0	0.00		998	97.65		24	2.35		1022	1.37
	Perth (Pearce)		0	0.00		0	0.00		0	0.00		1	0.95		0	0.00		32	30.48		6	5.71		0	0.00		8	7.62		0	0.00		0	0.00		1	0.95		1	0.95		2	1.90		11	10.48		27	25.71		15	14.29		1	0.95		105	99.06		1	0.94		106	0.14
	Pickering Brook		0	0.00		1	0.30		1	0.30		4	1.19		0	0.00		180	53.41		6	1.78		1	0.30		23	6.82		9	2.67		0	0.00		0	0.00		0	0.00		1	0.30		14	4.15		69	20.47		28	8.31		0	0.00		337	94.40		20	5.60		357	0.48
	Pingelly		3	0.50		0	0.00		1	0.17		5	0.84		8	1.34		258	43.22		90	15.08		0	0.00		64	10.72		12	2.01		1	0.17		3	0.50		0	0.00		2	0.34		9	1.51		131	21.94		10	1.68		0	0.00		597	95.83		26	4.17		623	0.84
	Popanyinning		0	0.00		1	0.81		0	0.00		1	0.81		2	1.63		55	44.72		25	20.33		0	0.00		8	6.50		3	2.44		0	0.00		0	0.00		0	0.00		4	3.25		2	1.63		22	17.89		0	0.00		0	0.00		123	97.62		3	2.38		126	0.17
	Quindanning		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		54	52.43		11	10.68		0	0.00		15	14.56		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	5.83		12	11.65		5	4.85		0	0.00		103	98.10		2	1.90		105	0.14
	Quinns Rock		5	0.18		1	0.04		1	0.04		27	0.99		7	0.26		1142	41.77		19	0.69		1	0.04		215	7.86		23	0.84		0	0.00		6	0.22		0	0.00		15	0.55		152	5.56		940	34.38		180	6.58		0	0.00		2734	97.19		79	2.81		2813	3.78
	Rottnest (Pearce)		0	0.00		0	0.00		0	0.00		1	2.63		0	0.00		19	50.00		1	2.63		0	0.00		1	2.63		0	0.00		0	0.00		1	2.63		0	0.00		0	0.00		1	2.63		9	23.68		5	13.16		0	0.00		38	100.00		0	0.00		38	0.05
	Sawyers Valley		0	0.00		0	0.00		0	0.00		9	1.77		2	0.39		212	41.73		6	1.18		0	0.00		37	7.28		7	1.38		1	0.20		0	0.00		0	0.00		1	0.20		30	5.91		162	31.89		41	8.07		0	0.00		508	96.58		18	3.42		526	0.71
	Seabird		0	0.00		0	0.00		0	0.00		1	1.41		0	0.00		34	47.89		1	1.41		0	0.00		13	18.31		1	1.41		0	0.00		2	2.82		0	0.00		1	1.41		1	1.41		17	23.94		0	0.00		0	0.00		71	100.00		0	0.00		71	0.10
	Stoneville		2	0.20		4	0.40		0	0.00		26	2.63		1	0.10		418	42.22		23	2.32		0	0.00		109	11.01		18	1.82		0	0.00		5	0.51		0	0.00		4	0.40		72	7.27		226	22.83		82	8.28		0	0.00		990	97.15		29	2.85		1019	1.37
	Stratton		6	0.28		2	0.09		1	0.05		19	0.89		1	0.05		698	32.82		31	1.46		1	0.05		176	8.27		15	0.71		0	0.00		6	0.28		1	0.05		17	0.80		152	7.15		884	41.56		114	5.36		3	0.14		2127	97.21		61	2.79		2188	2.94
	Swan View (Pearce)		16	0.38		2	0.05		3	0.07		38	0.91		4	0.10		1509	36.12		39	0.93		0	0.00		341	8.16		32	0.77		5	0.12		14	0.34		0	0.00		26	0.62		305	7.30		1627	38.94		215	5.15		2	0.05		4178	95.21		210	4.79		4388	5.89
	Toodyay		4	0.26		0	0.00		0	0.00		21	1.39		2	0.13		614	40.66		57	3.77		0	0.00		177	11.72		12	0.79		2	0.13		5	0.33		0	0.00		9	0.60		87	5.76		394	26.09		126	8.34		0	0.00		1510	96.30		58	3.70		1568	2.11
	Two Rocks		3	0.33		3	0.33		0	0.00		5	0.56		0	0.00		349	38.78		10	1.11		0	0.00		103	11.44		12	1.33		0	0.00		6	0.67		0	0.00		5	0.56		45	5.00		314	34.89		43	4.78		2	0.22		900	96.05		37	3.95		937	1.26
	Upper Swan		4	0.24		4	0.24		0	0.00		13	0.79		1	0.06		901	54.64		19	1.15		0	0.00		119	7.22		22	1.33		3	0.18		5	0.30		0	0.00		9	0.55		83	5.03		381	23.10		83	5.03		2	0.12		1649	96.66		57	3.34		1706	2.29
	Walliston (Pearce)		0	0.00		1	0.23		0	0.00		6	1.36		0	0.00		224	50.68		11	2.49		0	0.00		35	7.92		7	1.58		0	0.00		0	0.00		0	0.00		3	0.68		22	4.98		86	19.46		46	10.41		1	0.23		442	96.51		16	3.49		458	0.62
	Wandering		0	0.00		0	0.00		0	0.00		1	0.55		1	0.55		104	57.46		24	13.26		0	0.00		22	12.15		1	0.55		0	0.00		0	0.00		0	0.00		0	0.00		4	2.21		23	12.71		1	0.55		0	0.00		181	97.31		5	2.69		186	0.25
	West Dale		2	1.71		0	0.00		0	0.00		0	0.00		1	0.85		75	64.10		19	16.24		0	0.00		17	14.53		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.71		1	0.85		0	0.00		117	94.35		7	5.65		124	0.17
	Williams		0	0.00		0	0.00		0	0.00		2	0.48		4	0.96		203	48.68		89	21.34		0	0.00		61	14.63		7	1.68		0	0.00		2	0.48		0	0.00		1	0.24		4	0.96		33	7.91		10	2.40		1	0.24		417	94.34		25	5.66		442	0.59
	Woodridge		0	0.00		1	0.26		0	0.00		5	1.30		0	0.00		165	42.97		3	0.78		0	0.00		67	17.45		3	0.78		0	0.00		2	0.52		0	0.00		5	1.30		12	3.13		103	26.82		18	4.69		0	0.00		384	95.52		18	4.48		402	0.54
	Wooroloo		2	0.54		0	0.00		0	0.00		1	0.27		1	0.27		154	41.51		5	1.35		0	0.00		45	12.13		2	0.54		0	0.00		1	0.27		0	0.00		4	1.08		21	5.66		99	26.68		34	9.16		2	0.54		371	96.61		13	3.39		384	0.52
	Wundowie		4	0.73		0	0.00		0	0.00		5	0.91		1	0.18		163	29.80		16	2.93		1	0.18		67	12.25		8	1.46		0	0.00		1	0.18		0	0.00		3	0.55		20	3.66		230	42.05		28	5.12		0	0.00		547	95.30		27	4.70		574	0.77
	Yanchep		10	0.94		3	0.28		0	0.00		12	1.13		0	0.00		426	40.15		11	1.04		1	0.09		103	9.71		10	0.94		0	0.00		8	0.75		0	0.00		7	0.66		54	5.09		325	30.63		91	8.58		0	0.00		1061	96.45		39	3.55		1100	1.48
	York		6	0.41		0	0.00		1	0.07		15	1.01		1	0.07		643	43.48		98	6.63		1	0.07		208	14.06		17	1.15		1	0.07		5	0.34		0	0.00		7	0.47		46	3.11		342	23.12		88	5.95		0	0.00		1479	94.99		78	5.01		1557	2.09
	Special Hospitals		2	1.26		0	0.00		0	0.00		1	0.63		0	0.00		70	44.03		11	6.92		0	0.00		6	3.77		1	0.63		1	0.63		3	1.89		0	0.00		1	0.63		2	1.26		57	35.85		4	2.52		0	0.00		159	94.64		9	5.36		168	0.23
	Prison Mobiles		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00
	Total Ordinary		212	0.36		61	0.10		32	0.05		696	1.17		105	0.18		25015	41.97		1931	3.24		28	0.05		5733	9.62		733	1.23		38	0.06		174	0.29		9	0.02		363	0.61		3204	5.38		17557	29.46		3667	6.15		45	0.08		59603	96.26		2314	3.74		61917	83.17
	ABSENT		13	0.18		11	0.15		3	0.04		80	1.09		16	0.22		2928	40.02		276	3.77		3	0.04		703	9.61		100	1.37		5	0.07		21	0.29		1	0.01		61	0.83		459	6.27		2081	28.44		555	7.59		0	0.00		7316	97.60		180	2.40		7496	10.07
	POSTAL		3	0.15		0	0.00		0	0.00		29	1.42		4	0.20		953	46.67		84	4.11		0	0.00		228	11.17		24	1.18		0	0.00		0	0.00		2	0.10		6	0.29		90	4.41		502	24.58		114	5.58		3	0.15		2042	98.60		29	1.40		2071	2.78
	PRE_POLL		2	0.09		5	0.21		2	0.09		24	1.03		3	0.13		994	42.64		65	2.79		1	0.04		199	8.54		27	1.16		1	0.04		4	0.17		0	0.00		12	0.51		143	6.13		683	29.30		166	7.12		0	0.00		2331	98.40		38	1.60		2369	3.18
	PROVISIONAL		1	0.17		0	0.00		0	0.00		6	1.05		2	0.35		219	38.29		9	1.57		1	0.17		50	8.74		4	0.70		0	0.00		1	0.17		0	0.00		6	1.05		28	4.90		209	36.54		35	6.12		1	0.17		572	95.81		25	4.19		597	0.80
	Division Summary		231	0.32		77	0.11		37	0.05		835	1.16		130	0.18		30109	41.9		2365	3.29		33	0.05		6913	9.62		888	1.24		44	0.06		200	0.28		12	0.02		448	0.62		3924	5.46		21032	29.27		4537	6.31		49	0.07		71864	96.53		2586	3.47		74450	95.60
