House of Representatives - 2001 Election: Western Australia																												
Distribution of Preferences																												
By Polling Place																												
																												
Brand																												
					BEAZLEY			ROBBIE			DAVIS			MCCARTHY			IREDALE			HUBBARD			THOMAS			WOOLLARD		
	FIRST			963	54.41		128	7.23		71	4.01		8	0.45		15	0.85		22	1.24		423	23.90		140	7.91		1770
	SECOND			0	0.00		0	0.00		1	12.50			Excluded		3	37.50		2	25.00		1	12.50		1	12.50		8
		TOTAL		963	54.41		128	7.23		72	4.07					18	1.02		24	1.36		424	23.95		141	7.97		1770
	THIRD			2	11.11		1	5.56		3	16.67						Excluded		6	33.33		6	33.33		0	0.00		18
		TOTAL		965	54.52		129	7.29		75	4.24								30	1.69		430	24.29		141	7.97		1770
	FOURTH			10	33.33		1	3.33		12	40.00									Excluded		2	6.67		5	16.67		30
		TOTAL		975	55.08		130	7.34		87	4.92											432	24.41		146	8.25		1770
	FIFTH			45	51.72		19	21.84			Excluded											8	9.20		15	17.24		87
		TOTAL		1020	57.63		149	8.42														440	24.86		161	9.10		1770
	SIXTH			56	37.58			Excluded														70	46.98		23	15.44		149
		TOTAL		1076	60.79																	510	28.81		184	10.40		1770
	SEVENTH			34	18.48																	150	81.52			Excluded		184
		TOTAL		1110	62.71																	660	37.29					1770
				Elected																								
																												
Cooloongup                                                     																												
	FIRST			2538	62.33		241	5.92		126	3.09		11	0.27		18	0.44		74	1.82		671	16.48		393	9.65		4072
	SECOND			4	36.36		1	9.09		3	27.27			Excluded		1	9.09		0	0.00		2	18.18		0	0.00		11
		TOTAL		2542	62.43		242	5.94		129	3.17					19	0.47		74	1.82		673	16.53		393	9.65		4072
	THIRD			4	21.05		2	10.53		1	5.26						Excluded		2	10.53		8	42.11		2	10.53		19
		TOTAL		2546	62.52		244	5.99		130	3.19								76	1.87		681	16.72		395	9.70		4072
	FOURTH			24	31.58		6	7.89		30	39.47									Excluded		7	9.21		9	11.84		76
		TOTAL		2570	63.11		250	6.14		160	3.93											688	16.90		404	9.92		4072
	FIFTH			72	45.00		23	14.38			Excluded											15	9.38		50	31.25		160
		TOTAL		2642	64.88		273	6.70														703	17.26		454	11.15		4072
	SIXTH			101	37.00			Excluded														108	39.56		64	23.44		273
		TOTAL		2743	67.36																	811	19.92		518	12.72		4072
	SEVENTH			129	24.90																	389	75.10			Excluded		518
		TOTAL		2872	70.53																	1200	29.47					4072
				Elected																								
																												
Golden Bay                                                     																												
	FIRST			365	43.14		57	6.74		50	5.91		2	0.24		13	1.54		27	3.19		231	27.30		101	11.94		846
	SECOND			0	0.00		0	0.00		1	50.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		365	43.14		57	6.74		51	6.03					14	1.65		27	3.19		231	27.30		101	11.94		846
	THIRD			0	0.00		5	35.71		2	14.29						Excluded		1	7.14		5	35.71		1	7.14		14
		TOTAL		365	43.14		62	7.33		53	6.26								28	3.31		236	27.90		102	12.06		846
	FOURTH			6	21.43		2	7.14		13	46.43									Excluded		3	10.71		4	14.29		28
		TOTAL		371	43.85		64	7.57		66	7.80											239	28.25		106	12.53		846
	FIFTH			34	51.52		15	22.73			Excluded											4	6.06		13	19.70		66
		TOTAL		405	47.87		79	9.34														243	28.72		119	14.07		846
	SIXTH			41	51.90			Excluded														21	26.58		17	21.52		79
		TOTAL		446	52.72																	264	31.21		136	16.08		846
	SEVENTH			26	19.12																	110	80.88			Excluded		136
		TOTAL		472	55.79																	374	44.21					846
				Elected																								
																												
Greenfields                                                    																												
	FIRST			1332	52.84		194	7.70		57	2.26		4	0.16		27	1.07		65	2.58		632	25.07		210	8.33		2521
	SECOND			1	25.00		1	25.00		1	25.00			Excluded		1	25.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		1333	52.88		195	7.74		58	2.30					28	1.11		65	2.58		632	25.07		210	8.33		2521
	THIRD			4	14.29		2	7.14		4	14.29						Excluded		3	10.71		11	39.29		4	14.29		28
		TOTAL		1337	53.03		197	7.81		62	2.46								68	2.70		643	25.51		214	8.49		2521
	FOURTH			12	17.65		4	5.88		28	41.18									Excluded		19	27.94		5	7.35		68
		TOTAL		1349	53.51		201	7.97		90	3.57											662	26.26		219	8.69		2521
	FIFTH			31	34.44		17	18.89			Excluded											12	13.33		30	33.33		90
		TOTAL		1380	54.74		218	8.65														674	26.74		249	9.88		2521
	SIXTH			84	38.53			Excluded														95	43.58		39	17.89		218
		TOTAL		1464	58.07																	769	30.50		288	11.42		2521
	SEVENTH			49	17.01																	239	82.99			Excluded		288
		TOTAL		1513	60.02																	1008	39.98					2521
				Elected																								
																												
Greenfields East                                               																												
	FIRST			659	50.73		84	6.47		43	3.31		8	0.62		20	1.54		32	2.46		315	24.25		138	10.62		1299
	SECOND			2	25.00		0	0.00		2	25.00			Excluded		4	50.00		0	0.00		0	0.00		0	0.00		8
		TOTAL		661	50.89		84	6.47		45	3.46					24	1.85		32	2.46		315	24.25		138	10.62		1299
	THIRD			2	8.33		2	8.33		4	16.67						Excluded		1	4.17		11	45.83		4	16.67		24
		TOTAL		663	51.04		86	6.62		49	3.77								33	2.54		326	25.10		142	10.93		1299
	FOURTH			9	27.27		1	3.03		17	51.52									Excluded		5	15.15		1	3.03		33
		TOTAL		672	51.73		87	6.70		66	5.08											331	25.48		143	11.01		1299
	FIFTH			25	37.88		19	28.79			Excluded											7	10.61		15	22.73		66
		TOTAL		697	53.66		106	8.16														338	26.02		158	12.16		1299
	SIXTH			28	26.42			Excluded														48	45.28		30	28.30		106
		TOTAL		725	55.81																	386	29.72		188	14.47		1299
	SEVENTH			32	17.02																	156	82.98			Excluded		188
		TOTAL		757	58.28																	542	41.72					1299
				Elected																								
																												
Hillman                                                        																												
	FIRST			1175	60.16		101	5.17		68	3.48		5	0.26		16	0.82		37	1.89		342	17.51		209	10.70		1953
	SECOND			0	0.00		2	40.00		1	20.00			Excluded		1	20.00		0	0.00		1	20.00		0	0.00		5
		TOTAL		1175	60.16		103	5.27		69	3.53					17	0.87		37	1.89		343	17.56		209	10.70		1953
	THIRD			3	17.65		2	11.76		4	23.53						Excluded		2	11.76		5	29.41		1	5.88		17
		TOTAL		1178	60.32		105	5.38		73	3.74								39	2.00		348	17.82		210	10.75		1953
	FOURTH			3	7.69		1	2.56		26	66.67									Excluded		7	17.95		2	5.13		39
		TOTAL		1181	60.47		106	5.43		99	5.07											355	18.18		212	10.86		1953
	FIFTH			49	49.49		12	12.12			Excluded											7	7.07		31	31.31		99
		TOTAL		1230	62.98		118	6.04														362	18.54		243	12.44		1953
	SIXTH			56	47.46			Excluded														34	28.81		28	23.73		118
		TOTAL		1286	65.85																	396	20.28		271	13.88		1953
	SEVENTH			44	16.24																	227	83.76			Excluded		271
		TOTAL		1330	68.10																	623	31.90					1953
				Elected																								
																												
Hope Valley                                                    																												
	FIRST			210	44.21		34	7.16		24	5.05		0	0.00		0	0.00		8	1.68		138	29.05		61	12.84		475
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		210	44.21		34	7.16		24	5.05					0	0.00		8	1.68		138	29.05		61	12.84		475
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		210	44.21		34	7.16		24	5.05								8	1.68		138	29.05		61	12.84		475
	FOURTH			2	25.00		0	0.00		3	37.50									Excluded		1	12.50		2	25.00		8
		TOTAL		212	44.63		34	7.16		27	5.68											139	29.26		63	13.26		475
	FIFTH			6	22.22		6	22.22			Excluded											3	11.11		12	44.44		27
		TOTAL		218	45.89		40	8.42														142	29.89		75	15.79		475
	SIXTH			13	32.50			Excluded														8	20.00		19	47.50		40
		TOTAL		231	48.63																	150	31.58		94	19.79		475
	SEVENTH			22	23.40																	72	76.60			Excluded		94
		TOTAL		253	53.26																	222	46.74					475
				Elected																								
																												
Leda                                                           																												
	FIRST			952	58.91		103	6.37		72	4.46		5	0.31		11	0.68		60	3.71		269	16.65		144	8.91		1616
	SECOND			1	20.00		1	20.00		2	40.00			Excluded		0	0.00		1	20.00		0	0.00		0	0.00		5
		TOTAL		953	58.97		104	6.44		74	4.58					11	0.68		61	3.77		269	16.65		144	8.91		1616
	THIRD			2	18.18		1	9.09		0	0.00						Excluded		3	27.27		3	27.27		2	18.18		11
		TOTAL		955	59.10		105	6.50		74	4.58								64	3.96		272	16.83		146	9.03		1616
	FOURTH			13	20.31		0	0.00		36	56.25									Excluded		7	10.94		8	12.50		64
		TOTAL		968	59.90		105	6.50		110	6.81											279	17.26		154	9.53		1616
	FIFTH			56	50.91		13	11.82			Excluded											11	10.00		30	27.27		110
		TOTAL		1024	63.37		118	7.30														290	17.95		184	11.39		1616
	SIXTH			57	48.31			Excluded														37	31.36		24	20.34		118
		TOTAL		1081	66.89																	327	20.24		208	12.87		1616
	SEVENTH			54	25.96																	154	74.04			Excluded		208
		TOTAL		1135	70.24																	481	29.76					1616
				Elected																								
																												
Madora                                                         																												
	FIRST			150	38.86		17	4.40		22	5.70		1	0.26		2	0.52		10	2.59		123	31.87		61	15.80		386
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		150	38.86		18	4.66		22	5.70					2	0.52		10	2.59		123	31.87		61	15.80		386
	THIRD			1	50.00		1	50.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL		151	39.12		19	4.92		22	5.70								10	2.59		123	31.87		61	15.80		386
	FOURTH			3	30.00		1	10.00		3	30.00									Excluded		0	0.00		3	30.00		10
		TOTAL		154	39.90		20	5.18		25	6.48											123	31.87		64	16.58		386
	FIFTH			8	32.00		9	36.00			Excluded											1	4.00		7	28.00		25
		TOTAL		162	41.97		29	7.51														124	32.12		71	18.39		386
	SIXTH			12	41.38			Excluded														9	31.03		8	27.59		29
		TOTAL		174	45.08																	133	34.46		79	20.47		386
	SEVENTH			17	21.52																	62	78.48			Excluded		79
		TOTAL		191	49.48																	195	50.52					386
				Elected																								
																												
Mandurah                                                       																												
	FIRST			736	48.52		78	5.14		33	2.18		4	0.26		11	0.73		18	1.19		438	28.87		199	13.12		1517
	SECOND			1	25.00		1	25.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		2	50.00		4
		TOTAL		737	48.58		79	5.21		33	2.18					11	0.73		18	1.19		438	28.87		201	13.25		1517
	THIRD			1	9.09		2	18.18		1	9.09						Excluded		2	18.18		3	27.27		2	18.18		11
		TOTAL		738	48.65		81	5.34		34	2.24								20	1.32		441	29.07		203	13.38		1517
	FOURTH			3	15.00		1	5.00		12	60.00									Excluded		4	20.00		0	0.00		20
		TOTAL		741	48.85		82	5.41		46	3.03											445	29.33		203	13.38		1517
	FIFTH			19	41.30		7	15.22			Excluded											4	8.70		16	34.78		46
		TOTAL		760	50.10		89	5.87														449	29.60		219	14.44		1517
	SIXTH			25	28.09			Excluded														45	50.56		19	21.35		89
		TOTAL		785	51.75																	494	32.56		238	15.69		1517
	SEVENTH			35	14.71																	203	85.29			Excluded		238
		TOTAL		820	54.05																	697	45.95					1517
				Elected																								
																												
Mandurah Central                                               																												
	FIRST			666	48.86		80	5.87		35	2.57		4	0.29		11	0.81		14	1.03		420	30.81		133	9.76		1363
	SECOND			1	25.00		0	0.00		1	25.00			Excluded		0	0.00		0	0.00		0	0.00		2	50.00		4
		TOTAL		667	48.94		80	5.87		36	2.64					11	0.81		14	1.03		420	30.81		135	9.90		1363
	THIRD			3	27.27		2	18.18		0	0.00						Excluded		0	0.00		3	27.27		3	27.27		11
		TOTAL		670	49.16		82	6.02		36	2.64								14	1.03		423	31.03		138	10.12		1363
	FOURTH			4	28.57		0	0.00		9	64.29									Excluded		1	7.14		0	0.00		14
		TOTAL		674	49.45		82	6.02		45	3.30											424	31.11		138	10.12		1363
	FIFTH			14	31.11		13	28.89			Excluded											5	11.11		13	28.89		45
		TOTAL		688	50.48		95	6.97														429	31.47		151	11.08		1363
	SIXTH			33	34.74			Excluded														39	41.05		23	24.21		95
		TOTAL		721	52.90																	468	34.34		174	12.77		1363
	SEVENTH			21	12.07																	153	87.93			Excluded		174
		TOTAL		742	54.44																	621	45.56					1363
				Elected																								
																												
Mandurah East                                                  																												
	FIRST			587	51.95		88	7.79		36	3.19		3	0.27		6	0.53		24	2.12		278	24.60		108	9.56		1130
	SECOND			0	0.00		1	33.33		1	33.33			Excluded		0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL		587	51.95		89	7.88		37	3.27					6	0.53		25	2.21		278	24.60		108	9.56		1130
	THIRD			2	33.33		2	33.33		0	0.00						Excluded		0	0.00		1	16.67		1	16.67		6
		TOTAL		589	52.12		91	8.05		37	3.27								25	2.21		279	24.69		109	9.65		1130
	FOURTH			3	12.00		2	8.00		15	60.00									Excluded		4	16.00		1	4.00		25
		TOTAL		592	52.39		93	8.23		52	4.60											283	25.04		110	9.73		1130
	FIFTH			22	42.31		5	9.62			Excluded											4	7.69		21	40.38		52
		TOTAL		614	54.34		98	8.67														287	25.40		131	11.59		1130
	SIXTH			31	31.63			Excluded														43	43.88		24	24.49		98
		TOTAL		645	57.08																	330	29.20		155	13.72		1130
	SEVENTH			29	18.71																	126	81.29			Excluded		155
		TOTAL		674	59.65																	456	40.35					1130
				Elected																								
																												
Mandurah South                                                 																												
	FIRST			899	42.15		149	6.99		46	2.16		4	0.19		13	0.61		38	1.78		744	34.88		240	11.25		2133
	SECOND			0	0.00		2	50.00		1	25.00			Excluded		0	0.00		0	0.00		0	0.00		1	25.00		4
		TOTAL		899	42.15		151	7.08		47	2.20					13	0.61		38	1.78		744	34.88		241	11.30		2133
	THIRD			2	15.38		1	7.69		2	15.38						Excluded		0	0.00		5	38.46		3	23.08		13
		TOTAL		901	42.24		152	7.13		49	2.30								38	1.78		749	35.11		244	11.44		2133
	FOURTH			14	36.84		2	5.26		15	39.47									Excluded		5	13.16		2	5.26		38
		TOTAL		915	42.90		154	7.22		64	3.00											754	35.35		246	11.53		2133
	FIFTH			24	37.50		11	17.19			Excluded											6	9.38		23	35.94		64
		TOTAL		939	44.02		165	7.74														760	35.63		269	12.61		2133
	SIXTH			51	30.91			Excluded														84	50.91		30	18.18		165
		TOTAL		990	46.41																	844	39.57		299	14.02		2133
	SEVENTH			46	15.38																	253	84.62			Excluded		299
		TOTAL		1036	48.57																	1097	51.43					2133
				Elected																								
																												
Meadow Springs                                                 																												
	FIRST			709	38.41		103	5.58		64	3.47		3	0.16		24	1.30		43	2.33		657	35.59		243	13.16		1846
	SECOND			0	0.00		1	33.33		1	33.33			Excluded		0	0.00		0	0.00		0	0.00		1	33.33		3
		TOTAL		709	38.41		104	5.63		65	3.52					24	1.30		43	2.33		657	35.59		244	13.22		1846
	THIRD			4	16.67		3	12.50		1	4.17						Excluded		2	8.33		11	45.83		3	12.50		24
		TOTAL		713	38.62		107	5.80		66	3.58								45	2.44		668	36.19		247	13.38		1846
	FOURTH			11	24.44		1	2.22		23	51.11									Excluded		4	8.89		6	13.33		45
		TOTAL		724	39.22		108	5.85		89	4.82											672	36.40		253	13.71		1846
	FIFTH			41	46.07		16	17.98			Excluded											4	4.49		28	31.46		89
		TOTAL		765	41.44		124	6.72														676	36.62		281	15.22		1846
	SIXTH			43	34.68			Excluded														56	45.16		25	20.16		124
		TOTAL		808	43.77																	732	39.65		306	16.58		1846
	SEVENTH			50	16.34																	256	83.66			Excluded		306
		TOTAL		858	46.48																	988	53.52					1846
				Elected																								
																												
Meadow Springs North                                           																												
	FIRST			242	31.59		32	4.18		15	1.96		0	0.00		3	0.39		8	1.04		358	46.74		108	14.10		766
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		242	31.59		32	4.18		15	1.96					3	0.39		8	1.04		358	46.74		108	14.10		766
	THIRD			0	0.00		2	66.67		0	0.00						Excluded		0	0.00		0	0.00		1	33.33		3
		TOTAL		242	31.59		34	4.44		15	1.96								8	1.04		358	46.74		109	14.23		766
	FOURTH			1	12.50		1	12.50		2	25.00									Excluded		4	50.00		0	0.00		8
		TOTAL		243	31.72		35	4.57		17	2.22											362	47.26		109	14.23		766
	FIFTH			7	41.18		2	11.76			Excluded											2	11.76		6	35.29		17
		TOTAL		250	32.64		37	4.83														364	47.52		115	15.01		766
	SIXTH			12	32.43			Excluded														15	40.54		10	27.03		37
		TOTAL		262	34.20																	379	49.48		125	16.32		766
	SEVENTH			17	13.60																	108	86.40			Excluded		125
		TOTAL		279	36.42																	487	63.58					766
				Elected																								
																												
Medina                                                         																												
	FIRST			1535	64.15		179	7.48		74	3.09		4	0.17		29	1.21		44	1.84		312	13.04		216	9.03		2393
	SECOND			0	0.00		0	0.00		2	50.00			Excluded		1	25.00		1	25.00		0	0.00		0	0.00		4
		TOTAL		1535	64.15		179	7.48		76	3.18					30	1.25		45	1.88		312	13.04		216	9.03		2393
	THIRD			5	16.67		5	16.67		1	3.33						Excluded		3	10.00		16	53.33		0	0.00		30
		TOTAL		1540	64.35		184	7.69		77	3.22								48	2.01		328	13.71		216	9.03		2393
	FOURTH			7	14.58		9	18.75		22	45.83									Excluded		4	8.33		6	12.50		48
		TOTAL		1547	64.65		193	8.07		99	4.14											332	13.87		222	9.28		2393
	FIFTH			52	52.53		14	14.14			Excluded											6	6.06		27	27.27		99
		TOTAL		1599	66.82		207	8.65														338	14.12		249	10.41		2393
	SIXTH			80	38.65			Excluded														82	39.61		45	21.74		207
		TOTAL		1679	70.16																	420	17.55		294	12.29		2393
	SEVENTH			63	21.43																	231	78.57			Excluded		294
		TOTAL		1742	72.80																	651	27.20					2393
				Elected																								
																												
Parmelia                                                       																												
	FIRST			1328	62.88		138	6.53		59	2.79		6	0.28		25	1.18		61	2.89		302	14.30		193	9.14		2112
	SECOND			0	0.00		1	16.67		1	16.67			Excluded		2	33.33		1	16.67		1	16.67		0	0.00		6
		TOTAL		1328	62.88		139	6.58		60	2.84					27	1.28		62	2.94		303	14.35		193	9.14		2112
	THIRD			6	22.22		1	3.70		6	22.22						Excluded		1	3.70		9	33.33		4	14.81		27
		TOTAL		1334	63.16		140	6.63		66	3.13								63	2.98		312	14.77		197	9.33		2112
	FOURTH			19	30.16		6	9.52		24	38.10									Excluded		9	14.29		5	7.94		63
		TOTAL		1353	64.06		146	6.91		90	4.26											321	15.20		202	9.56		2112
	FIFTH			44	48.89		17	18.89			Excluded											11	12.22		18	20.00		90
		TOTAL		1397	66.15		163	7.72														332	15.72		220	10.42		2112
	SIXTH			64	39.26			Excluded														61	37.42		38	23.31		163
		TOTAL		1461	69.18																	393	18.61		258	12.22		2112
	SEVENTH			63	24.42																	195	75.58			Excluded		258
		TOTAL		1524	72.16																	588	27.84					2112
				Elected																								
																												
Perth (Brand)                                                  																												
	FIRST			21	52.50		3	7.50		1	2.50		0	0.00		0	0.00		2	5.00		8	20.00		5	12.50		40
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		21	52.50		3	7.50		1	2.50					0	0.00		2	5.00		8	20.00		5	12.50		40
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		21	52.50		3	7.50		1	2.50								2	5.00		8	20.00		5	12.50		40
	FOURTH			0	0.00		1	50.00		0	0.00									Excluded		1	50.00		0	0.00		2
		TOTAL		21	52.50		4	10.00		1	2.50											9	22.50		5	12.50		40
	FIFTH			1	100.00		0	0.00			Excluded											0	0.00		0	0.00		1
		TOTAL		22	55.00		4	10.00														9	22.50		5	12.50		40
	SIXTH			3	75.00			Excluded														0	0.00		1	25.00		4
		TOTAL		25	62.50																	9	22.50		6	15.00		40
	SEVENTH			1	16.67																	5	83.33			Excluded		6
		TOTAL		26	65.00																	14	35.00					40
				Elected																								
																												
Port Kennedy                                                   																												
	FIRST			1302	54.66		114	4.79		69	2.90		3	0.13		14	0.59		76	3.19		533	22.38		271	11.38		2382
	SECOND			1	33.33		0	0.00		1	33.33			Excluded		0	0.00		0	0.00		0	0.00		1	33.33		3
		TOTAL		1303	54.70		114	4.79		70	2.94					14	0.59		76	3.19		533	22.38		272	11.42		2382
	THIRD			1	7.14		5	35.71		1	7.14						Excluded		0	0.00		6	42.86		1	7.14		14
		TOTAL		1304	54.74		119	5.00		71	2.98								76	3.19		539	22.63		273	11.46		2382
	FOURTH			21	27.63		2	2.63		38	50.00									Excluded		9	11.84		6	7.89		76
		TOTAL		1325	55.63		121	5.08		109	4.58											548	23.01		279	11.71		2382
	FIFTH			50	45.87		16	14.68			Excluded											10	9.17		33	30.28		109
		TOTAL		1375	57.72		137	5.75														558	23.43		312	13.10		2382
	SIXTH			55	40.15			Excluded														58	42.34		24	17.52		137
		TOTAL		1430	60.03																	616	25.86		336	14.11		2382
	SEVENTH			55	16.37																	281	83.63			Excluded		336
		TOTAL		1485	62.34																	897	37.66					2382
				Elected																								
																												
Rockingham                                                     																												
	FIRST			2407	53.82		228	5.10		141	3.15		8	0.18		31	0.69		91	2.03		874	19.54		692	15.47		4472
	SECOND			0	0.00		2	25.00		0	0.00			Excluded		1	12.50		2	25.00		1	12.50		2	25.00		8
		TOTAL		2407	53.82		230	5.14		141	3.15					32	0.72		93	2.08		875	19.57		694	15.52		4472
	THIRD			7	21.88		2	6.25		3	9.38						Excluded		7	21.88		9	28.13		4	12.50		32
		TOTAL		2414	53.98		232	5.19		144	3.22								100	2.24		884	19.77		698	15.61		4472
	FOURTH			27	27.00		7	7.00		37	37.00									Excluded		9	9.00		20	20.00		100
		TOTAL		2441	54.58		239	5.34		181	4.05											893	19.97		718	16.06		4472
	FIFTH			99	54.70		23	12.71			Excluded											9	4.97		50	27.62		181
		TOTAL		2540	56.80		262	5.86														902	20.17		768	17.17		4472
	SIXTH			99	37.79			Excluded														86	32.82		77	29.39		262
		TOTAL		2639	59.01																	988	22.09		845	18.90		4472
	SEVENTH			157	18.58																	688	81.42			Excluded		845
		TOTAL		2796	62.52																	1676	37.48					4472
				Elected																								
																												
Rockingham Beach                                               																												
	FIRST			870	48.47		94	5.24		60	3.34		3	0.17		11	0.61		40	2.23		466	25.96		251	13.98		1795
	SECOND			1	33.33		0	0.00		1	33.33			Excluded		1	33.33		0	0.00		0	0.00		0	0.00		3
		TOTAL		871	48.52		94	5.24		61	3.40					12	0.67		40	2.23		466	25.96		251	13.98		1795
	THIRD			3	25.00		1	8.33		0	0.00						Excluded		3	25.00		3	25.00		2	16.67		12
		TOTAL		874	48.69		95	5.29		61	3.40								43	2.40		469	26.13		253	14.09		1795
	FOURTH			8	18.60		3	6.98		23	53.49									Excluded		6	13.95		3	6.98		43
		TOTAL		882	49.14		98	5.46		84	4.68											475	26.46		256	14.26		1795
	FIFTH			42	50.00		12	14.29			Excluded											9	10.71		21	25.00		84
		TOTAL		924	51.48		110	6.13														484	26.96		277	15.43		1795
	SIXTH			42	38.18			Excluded														42	38.18		26	23.64		110
		TOTAL		966	53.82																	526	29.30		303	16.88		1795
	SEVENTH			49	16.17																	254	83.83			Excluded		303
		TOTAL		1015	56.55																	780	43.45					1795
				Elected																								
																												
Rottnest (Brand)                                               																												
	FIRST			12	52.17		1	4.35		2	8.70		1	4.35		1	4.35		0	0.00		6	26.09		0	0.00		23
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		12	52.17		2	8.70		2	8.70					1	4.35		0	0.00		6	26.09		0	0.00		23
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		0	0.00		0	0.00		1	100.00		1
		TOTAL		12	52.17		2	8.70		2	8.70								0	0.00		6	26.09		1	4.35		23
	FOURTH			0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0
		TOTAL		12	52.17		2	8.70		2	8.70											6	26.09		1	4.35		23
	FIFTH			0	0.00		0	0.00			Excluded											2	100.00		0	0.00		2
		TOTAL		12	52.17		2	8.70														8	34.78		1	4.35		23
	SIXTH			1	50.00			Excluded														1	50.00		0	0.00		2
		TOTAL		13	56.52																	9	39.13		1	4.35		23
	SEVENTH			0	0.00																	1	100.00			Excluded		1
		TOTAL		13	56.52																	10	43.48					23
				Elected																								
																												
Safety Bay                                                     																												
	FIRST			1756	45.46		254	6.58		187	4.84		3	0.08		35	0.91		102	2.64		933	24.15		593	15.35		3863
	SECOND			0	0.00		1	33.33		0	0.00			Excluded		1	33.33		0	0.00		1	33.33		0	0.00		3
		TOTAL		1756	45.46		255	6.60		187	4.84					36	0.93		102	2.64		934	24.18		593	15.35		3863
	THIRD			1	2.78		1	2.78		8	22.22						Excluded		6	16.67		17	47.22		3	8.33		36
		TOTAL		1757	45.48		256	6.63		195	5.05								108	2.80		951	24.62		596	15.43		3863
	FOURTH			27	25.00		9	8.33		52	48.15									Excluded		13	12.04		7	6.48		108
		TOTAL		1784	46.18		265	6.86		247	6.39											964	24.95		603	15.61		3863
	FIFTH			109	44.13		44	17.81			Excluded											22	8.91		72	29.15		247
		TOTAL		1893	49.00		309	8.00														986	25.52		675	17.47		3863
