House of Representatives - 2001 Election: Western Australia																									
Distribution of Preferences																									
By Polling Place																									
																									
Cowan																									
					HOLT			METCALF			CHALONER			FORT			SHANNON			SALMON			EDWARDS		
	FOURTH			19	8.88					114	53.27			Excluded		24	11.21					57	26.64		214
		TOTAL		216	6.18					324	9.27					1425	40.78					1529	43.76		3494
	FIFTH			29	8.95						Excluded					100	30.86					195	60.19		324
		TOTAL		245	7.01											1525	43.65					1724	49.34		3494
	SIXTH				Excluded											163	66.53					82	33.47		245
		TOTAL														1688	48.31					1806	51.69		3494
																						Elected			
																									
Greenwood East                                                 																									
	FIRST			33	4.65		2	0.28		36	5.07		30	4.23		227	31.97		10	1.41		372	52.39		710
	SECOND			0	0.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		1	50.00		2
		TOTAL		33	4.65					37	5.21		30	4.23		227	31.97		10	1.41		373	52.54		710
	THIRD			1	10.00					1	10.00		2	20.00		5	50.00			Excluded		1	10.00		10
		TOTAL		34	4.79					38	5.35		32	4.51		232	32.68					374	52.68		710
	FOURTH			4	12.50					9	28.13			Excluded		5	15.63					14	43.75		32
		TOTAL		38	5.35					47	6.62					237	33.38					388	54.65		710
	FIFTH			6	12.77						Excluded					10	21.28					31	65.96		47
		TOTAL		44	6.20											247	34.79					419	59.01		710
	SIXTH				Excluded											23	52.27					21	47.73		44
		TOTAL														270	38.03					440	61.97		710
																						Elected			
																									
Greenwood West                                                 																									
	FIRST			108	5.69		15	0.79		107	5.64		112	5.90		698	36.79		30	1.58		827	43.60		1897
	SECOND			2	13.33			Excluded		1	6.67		2	13.33		7	46.67		2	13.33		1	6.67		15
		TOTAL		110	5.80					108	5.69		114	6.01		705	37.16		32	1.69		828	43.65		1897
	THIRD			6	18.75					4	12.50		6	18.75		13	40.63			Excluded		3	9.38		32
		TOTAL		116	6.11					112	5.90		120	6.33		718	37.85					831	43.81		1897
	FOURTH			13	10.83					62	51.67			Excluded		13	10.83					32	26.67		120
		TOTAL		129	6.80					174	9.17					731	38.53					863	45.49		1897
	FIFTH			15	8.62						Excluded					59	33.91					100	57.47		174
		TOTAL		144	7.59											790	41.64					963	50.76		1897
	SIXTH				Excluded											92	63.89					52	36.11		144
		TOTAL														882	46.49					1015	53.51		1897
																						Elected			
																									
Kingsley                                                       																									
	FIRST			177	4.84		17	0.46		172	4.70		133	3.64		1596	43.63		50	1.37		1513	41.36		3658
	SECOND			3	17.65			Excluded		2	11.76		1	5.88		11	64.71		0	0.00		0	0.00		17
		TOTAL		180	4.92					174	4.76		134	3.66		1607	43.93		50	1.37		1513	41.36		3658
	THIRD			9	18.00					3	6.00		4	8.00		18	36.00			Excluded		16	32.00		50
		TOTAL		189	5.17					177	4.84		138	3.77		1625	44.42					1529	41.80		3658
	FOURTH			12	8.70					59	42.75			Excluded		26	18.84					41	29.71		138
		TOTAL		201	5.49					236	6.45					1651	45.13					1570	42.92		3658
	FIFTH			20	8.47						Excluded					82	34.75					134	56.78		236
		TOTAL		221	6.04											1733	47.38					1704	46.58		3658
	SIXTH				Excluded											168	76.02					53	23.98		221
		TOTAL														1901	51.97					1757	48.03		3658
																						Elected			
																									
Kingsley East                                                  																									
	FIRST			60	4.08		10	0.68		84	5.71		67	4.55		673	45.72		15	1.02		563	38.25		1472
	SECOND			1	10.00			Excluded		1	10.00		0	0.00		5	50.00		0	0.00		3	30.00		10
		TOTAL		61	4.14					85	5.77		67	4.55		678	46.06		15	1.02		566	38.45		1472
	THIRD			4	26.67					1	6.67		1	6.67		6	40.00			Excluded		3	20.00		15
		TOTAL		65	4.42					86	5.84		68	4.62		684	46.47					569	38.65		1472
	FOURTH			5	7.35					41	60.29			Excluded		7	10.29					15	22.06		68
		TOTAL		70	4.76					127	8.63					691	46.94					584	39.67		1472
	FIFTH			9	7.09						Excluded					42	33.07					76	59.84		127
		TOTAL		79	5.37											733	49.80					660	44.84		1472
	SIXTH				Excluded											52	65.82					27	34.18		79
		TOTAL														785	53.33					687	46.67		1472
																						Elected			
																									
Kingsley South                                                 																									
	FIRST			117	4.94		17	0.72		105	4.44		97	4.10		1041	43.98		35	1.48		955	40.35		2367
	SECOND			3	17.65			Excluded		4	23.53		1	5.88		7	41.18		1	5.88		1	5.88		17
		TOTAL		120	5.07					109	4.60		98	4.14		1048	44.28		36	1.52		956	40.39		2367
	THIRD			9	25.00					5	13.89		4	11.11		16	44.44			Excluded		2	5.56		36
		TOTAL		129	5.45					114	4.82		102	4.31		1064	44.95					958	40.47		2367
	FOURTH			9	8.82					44	43.14			Excluded		23	22.55					26	25.49		102
		TOTAL		138	5.83					158	6.68					1087	45.92					984	41.57		2367
	FIFTH			19	12.03						Excluded					50	31.65					89	56.33		158
		TOTAL		157	6.63											1137	48.04					1073	45.33		2367
	SIXTH				Excluded											110	70.06					47	29.94		157
		TOTAL														1247	52.68					1120	47.32		2367
																						Elected			
																									
Koondoola                                                      																									
	FIRST			120	5.93		4	0.20		63	3.12		79	3.91		342	16.91		31	1.53		1383	68.40		2022
	SECOND			2	50.00			Excluded		2	50.00		0	0.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		122	6.03					65	3.21		79	3.91		342	16.91		31	1.53		1383	68.40		2022
	THIRD			3	9.68					4	12.90		6	19.35		10	32.26			Excluded		8	25.81		31
		TOTAL		125	6.18					69	3.41		85	4.20		352	17.41					1391	68.79		2022
	FOURTH			13	15.29					34	40.00			Excluded		9	10.59					29	34.12		85
		TOTAL		138	6.82					103	5.09					361	17.85					1420	70.23		2022
	FIFTH			18	17.48						Excluded					36	34.95					49	47.57		103
		TOTAL		156	7.72											397	19.63					1469	72.65		2022
	SIXTH				Excluded											94	60.26					62	39.74		156
		TOTAL														491	24.28					1531	75.72		2022
																						Elected			
																									
Landsdale                                                      																									
	FIRST			95	4.98		8	0.42		94	4.93		56	2.94		783	41.06		41	2.15		830	43.52		1907
	SECOND			0	0.00			Excluded		2	25.00		1	12.50		5	62.50		0	0.00		0	0.00		8
		TOTAL		95	4.98					96	5.03		57	2.99		788	41.32		41	2.15		830	43.52		1907
	THIRD			10	24.39					3	7.32		3	7.32		21	51.22			Excluded		4	9.76		41
		TOTAL		105	5.51					99	5.19		60	3.15		809	42.42					834	43.73		1907
	FOURTH			9	15.00					27	45.00			Excluded		10	16.67					14	23.33		60
		TOTAL		114	5.98					126	6.61					819	42.95					848	44.47		1907
	FIFTH			17	13.49						Excluded					34	26.98					75	59.52		126
		TOTAL		131	6.87											853	44.73					923	48.40		1907
	SIXTH				Excluded											82	62.60					49	37.40		131
		TOTAL														935	49.03					972	50.97		1907
																						Elected			
																									
Marangaroo                                                     																									
	FIRST			171	6.90		19	0.77		63	2.54		86	3.47		667	26.93		40	1.61		1431	57.77		2477
	SECOND			4	21.05			Excluded		5	26.32		1	5.26		7	36.84		0	0.00		2	10.53		19
		TOTAL		175	7.06					68	2.75		87	3.51		674	27.21		40	1.61		1433	57.85		2477
	THIRD			5	12.50					6	15.00		9	22.50		13	32.50			Excluded		7	17.50		40
		TOTAL		180	7.27					74	2.99		96	3.88		687	27.74					1440	58.13		2477
	FOURTH			13	13.54					45	46.88			Excluded		15	15.63					23	23.96		96
		TOTAL		193	7.79					119	4.80					702	28.34					1463	59.06		2477
	FIFTH			16	13.45						Excluded					24	20.17					79	66.39		119
		TOTAL		209	8.44											726	29.31					1542	62.25		2477
	SIXTH				Excluded											150	71.77					59	28.23		209
		TOTAL														876	35.37					1601	64.63		2477
																						Elected			
																									
Marangaroo Central                                             																									
	FIRST			173	5.95		22	0.76		100	3.44		90	3.09		699	24.04		44	1.51		1780	61.21		2908
	SECOND			5	22.73			Excluded		7	31.82		4	18.18		3	13.64		2	9.09		1	4.55		22
		TOTAL		178	6.12					107	3.68		94	3.23		702	24.14		46	1.58		1781	61.24		2908
	THIRD			6	13.04					3	6.52		6	13.04		26	56.52			Excluded		5	10.87		46
		TOTAL		184	6.33					110	3.78		100	3.44		728	25.03					1786	61.42		2908
	FOURTH			10	10.00					52	52.00			Excluded		13	13.00					25	25.00		100
		TOTAL		194	6.67					162	5.57					741	25.48					1811	62.28		2908
	FIFTH			32	19.75						Excluded					45	27.78					85	52.47		162
		TOTAL		226	7.77											786	27.03					1896	65.20		2908
	SIXTH				Excluded											144	63.72					82	36.28		226
		TOTAL														930	31.98					1978	68.02		2908
																						Elected			
																									
Noranda                                                        																									
	FIRST			61	3.34		9	0.49		65	3.56		40	2.19		729	39.90		22	1.20		901	49.32		1827
	SECOND			0	0.00			Excluded		3	33.33		1	11.11		4	44.44		1	11.11		0	0.00		9
		TOTAL		61	3.34					68	3.72		41	2.24		733	40.12		23	1.26		901	49.32		1827
	THIRD			2	8.70					3	13.04		3	13.04		9	39.13			Excluded		6	26.09		23
		TOTAL		63	3.45					71	3.89		44	2.41		742	40.61					907	49.64		1827
	FOURTH			0	0.00					17	38.64			Excluded		9	20.45					18	40.91		44
		TOTAL		63	3.45					88	4.82					751	41.11					925	50.63		1827
	FIFTH			18	20.45						Excluded					21	23.86					49	55.68		88
		TOTAL		81	4.43											772	42.26					974	53.31		1827
	SIXTH				Excluded											57	70.37					24	29.63		81
		TOTAL														829	45.37					998	54.63		1827
																						Elected			
																									
Noranda West (Cowan)                                           																									
	FIRST			28	3.21		0	0.00		37	4.24		37	4.24		406	46.51		17	1.95		348	39.86		873
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		28	3.21					37	4.24		37	4.24		406	46.51		17	1.95		348	39.86		873
	THIRD			7	41.18					0	0.00		0	0.00		8	47.06			Excluded		2	11.76		17
		TOTAL		35	4.01					37	4.24		37	4.24		414	47.42					350	40.09		873
	FOURTH			3	8.11					9	24.32			Excluded		13	35.14					12	32.43		37
		TOTAL		38	4.35					46	5.27					427	48.91					362	41.47		873
	FIFTH			4	8.70						Excluded					16	34.78					26	56.52		46
		TOTAL		42	4.81											443	50.74					388	44.44		873
	SIXTH				Excluded											26	61.90					16	38.10		42
		TOTAL														469	53.72					404	46.28		873
																						Elected			
																									
Perth (Cowan)                                                  																									
	FIRST			3	2.46		2	1.64		5	4.10		13	10.66		49	40.16		1	0.82		49	40.16		122
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00		2
		TOTAL		3	2.46					5	4.10		13	10.66		50	40.98		1	0.82		50	40.98		122
	THIRD			0	0.00					0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1
		TOTAL		3	2.46					5	4.10		13	10.66		51	41.80					50	40.98		122
	FOURTH			0	0.00					5	38.46			Excluded		0	0.00					8	61.54		13
		TOTAL		3	2.46					10	8.20					51	41.80					58	47.54		122
	FIFTH			1	10.00						Excluded					0	0.00					9	90.00		10
		TOTAL		4	3.28											51	41.80					67	54.92		122
	SIXTH				Excluded											4	100.00					0	0.00		4
		TOTAL														55	45.08					67	54.92		122
																						Elected			
																									
Rottnest (Cowan)                                               																									
	FIRST			4	5.56		0	0.00		5	6.94		1	1.39		34	47.22		0	0.00		28	38.89		72
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		4	5.56					5	6.94		1	1.39		34	47.22		0	0.00		28	38.89		72
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		4	5.56					5	6.94		1	1.39		34	47.22					28	38.89		72
	FOURTH			0	0.00					0	0.00			Excluded		0	0.00					1	100.00		1
		TOTAL		4	5.56					5	6.94					34	47.22					29	40.28		72
	FIFTH			1	20.00						Excluded					0	0.00					4	80.00		5
		TOTAL		5	6.94											34	47.22					33	45.83		72
	SIXTH				Excluded											3	60.00					2	40.00		5
		TOTAL														37	51.39					35	48.61		72
																						Elected			
																									
Tapping                                                        																									
	FIRST			48	5.08		9	0.95		38	4.02		31	3.28		425	44.97		12	1.27		382	40.42		945
	SECOND			2	22.22			Excluded		3	33.33		0	0.00		1	11.11		1	11.11		2	22.22		9
		TOTAL		50	5.29					41	4.34		31	3.28		426	45.08		13	1.38		384	40.63		945
	THIRD			4	30.77					1	7.69		1	7.69		6	46.15			Excluded		1	7.69		13
		TOTAL		54	5.71					42	4.44		32	3.39		432	45.71					385	40.74		945
	FOURTH			6	18.75					14	43.75			Excluded		7	21.88					5	15.63		32
		TOTAL		60	6.35					56	5.93					439	46.46					390	41.27		945
	FIFTH			7	12.50						Excluded					17	30.36					32	57.14		56
		TOTAL		67	7.09											456	48.25					422	44.66		945
	SIXTH				Excluded											41	61.19					26	38.81		67
		TOTAL														497	52.59					448	47.41		945
																						Elected			
																									
Wanneroo                                                       																									
	FIRST			309	7.97		19	0.49		175	4.51		181	4.67		1525	39.32		48	1.24		1621	41.80		3878
	SECOND			6	31.58			Excluded		4	21.05		0	0.00		6	31.58		0	0.00		3	15.79		19
		TOTAL		315	8.12					179	4.62		181	4.67		1531	39.48		48	1.24		1624	41.88		3878
	THIRD			12	25.00					2	4.17		6	12.50		19	39.58			Excluded		9	18.75		48
		TOTAL		327	8.43					181	4.67		187	4.82		1550	39.97					1633	42.11		3878
	FOURTH			25	13.37					87	46.52			Excluded		30	16.04					45	24.06		187
		TOTAL		352	9.08					268	6.91					1580	40.74					1678	43.27		3878
	FIFTH			36	13.43						Excluded					74	27.61					158	58.96		268
		TOTAL		388	10.01											1654	42.65					1836	47.34		3878
	SIXTH				Excluded											256	65.98					132	34.02		388
		TOTAL														1910	49.25					1968	50.75		3878
																						Elected			
																									
Wanneroo East                                                  																									
	FIRST			238	7.44		12	0.38		114	3.56		136	4.25		1297	40.56		44	1.38		1357	42.43		3198
	SECOND			6	50.00			Excluded		0	0.00		1	8.33		4	33.33		1	8.33		0	0.00		12
		TOTAL		244	7.63					114	3.56		137	4.28		1301	40.68		45	1.41		1357	42.43		3198
	THIRD			10	22.22					5	11.11		7	15.56		18	40.00			Excluded		5	11.11		45
		TOTAL		254	7.94					119	3.72		144	4.50		1319	41.24					1362	42.59		3198
	FOURTH			18	12.50					73	50.69			Excluded		21	14.58					32	22.22		144
		TOTAL		272	8.51					192	6.00					1340	41.90					1394	43.59		3198
	FIFTH			45	23.44						Excluded					52	27.08					95	49.48		192
		TOTAL		317	9.91											1392	43.53					1489	46.56		3198
	SIXTH				Excluded											207	65.30					110	34.70		317
		TOTAL														1599	50.00					1599	50.00		3198
																						Elected			
																									
Wanneroo West                                                  																									
	FIRST			33	5.44		1	0.16		27	4.45		23	3.79		251	41.35		17	2.80		255	42.01		607
	SECOND			0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		33	5.44					28	4.61		23	3.79		251	41.35		17	2.80		255	42.01		607
	THIRD			4	23.53					3	17.65		1	5.88		9	52.94			Excluded		0	0.00		17
		TOTAL		37	6.10					31	5.11		24	3.95		260	42.83					255	42.01		607
	FOURTH			4	16.67					10	41.67			Excluded		1	4.17					9	37.50		24
		TOTAL		41	6.75					41	6.75					261	43.00					264	43.49		607
	FIFTH			5	12.20						Excluded					14	34.15					22	53.66		41
		TOTAL		46	7.58											275	45.30					286	47.12		607
	SIXTH				Excluded											29	63.04					17	36.96		46
		TOTAL														304	50.08					303	49.92		607
																						Elected			
																									
Warwick                                                        																									
	FIRST			67	5.39		14	1.13		51	4.10		54	4.34		487	39.15		16	1.29		555	44.61		1244
	SECOND			4	28.57			Excluded		2	14.29		0	0.00		7	50.00		0	0.00		1	7.14		14
		TOTAL		71	5.71					53	4.26		54	4.34		494	39.71		16	1.29		556	44.69		1244
	THIRD			1	6.25					0	0.00		2	12.50		8	50.00			Excluded		5	31.25		16
		TOTAL		72	5.79					53	4.26		56	4.50		502	40.35					561	45.10		1244
	FOURTH			4	7.14					29	51.79			Excluded		9	16.07					14	25.00		56
		TOTAL		76	6.11					82	6.59					511	41.08					575	46.22		1244
	FIFTH			7	8.54						Excluded					12	14.63					63	76.83		82
		TOTAL		83	6.67											523	42.04					638	51.29		1244
	SIXTH				Excluded											50	60.24					33	39.76		83
		TOTAL														573	46.06					671	53.94		1244
																						Elected			
																									
Warwick West                                                   																									
	FIRST			41	4.20		3	0.31		36	3.68		53	5.42		435	44.52		9	0.92		400	40.94		977
	SECOND			0	0.00			Excluded		2	66.67		0	0.00		0	0.00		0	0.00		1	33.33		3
		TOTAL		41	4.20					38	3.89		53	5.42		435	44.52		9	0.92		401	41.04		977
	THIRD			2	22.22					1	11.11		0	0.00		6	66.67			Excluded		0	0.00		9
		TOTAL		43	4.40					39	3.99		53	5.42		441	45.14					401	41.04		977
	FOURTH			2	3.77					27	50.94			Excluded		5	9.43					19	35.85		53
		TOTAL		45	4.61					66	6.76					446	45.65					420	42.99		977
	FIFTH			5	7.58						Excluded					24	36.36					37	56.06		66
		TOTAL		50	5.12											470	48.11					457	46.78		977
	SIXTH				Excluded											32	64.00					18	36.00		50
		TOTAL														502	51.38					475	48.62		977
																						Elected			
																									
Woodvale                                                       																									
	FIRST			95	4.67		7	0.34		76	3.74		94	4.62		964	47.39		43	2.11		755	37.12		2034
	SECOND			1	14.29			Excluded		0	0.00		1	14.29		3	42.86		1	14.29		1	14.29		7
		TOTAL		96	4.72					76	3.74		95	4.67		967	47.54		44	2.16		756	37.17		2034
	THIRD			10	22.73					4	9.09		4	9.09		19	43.18			Excluded		7	15.91		44
