Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Perth (82049)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
	Beechboro West		2	0.12		5	0.30		1	0.06		36	2.16		0	0.00		456	27.32		17	1.02		0	0.00		86	5.15		11	0.66		1	0.06		5	0.30		0	0.00		17	1.02		92	5.51		891	53.39		49	2.94		0	0.00		1669	95.92		71	4.08		1740	2.22
	Coolbinia		2	0.21		2	0.21		0	0.00		8	0.84		0	0.00		457	47.70		11	1.15		0	0.00		25	2.61		4	0.42		0	0.00		2	0.21		0	0.00		10	1.04		68	7.10		280	29.23		88	9.19		1	0.10		958	96.38		36	3.62		994	1.27
	Dianella		4	0.41		0	0.00		3	0.31		15	1.55		0	0.00		365	37.75		9	0.93		0	0.00		51	5.27		15	1.55		0	0.00		1	0.10		0	0.00		8	0.83		76	7.86		380	39.30		40	4.14		0	0.00		967	96.31		37	3.69		1004	1.28
	Dianella Central		19	0.97		1	0.05		1	0.05		22	1.12		2	0.10		770	39.35		27	1.38		0	0.00		100	5.11		21	1.07		2	0.10		11	0.56		1	0.05		15	0.77		102	5.21		784	40.06		77	3.93		2	0.10		1957	94.13		122	5.87		2079	2.66
	Dianella North		14	1.11		5	0.40		2	0.16		10	0.79		2	0.16		448	35.47		14	1.11		2	0.16		66	5.23		8	0.63		2	0.16		5	0.40		0	0.00		8	0.63		100	7.92		510	40.38		66	5.23		1	0.08		1263	95.25		63	4.75		1326	1.70
	East Perth		5	0.58		0	0.00		0	0.00		21	2.46		0	0.00		371	43.39		18	2.11		4	0.47		39	4.56		8	0.94		0	0.00		2	0.23		0	0.00		7	0.82		71	8.30		259	30.29		48	5.61		2	0.23		855	96.28		33	3.72		888	1.14
	Eden Hill		19	0.70		1	0.04		1	0.04		47	1.74		3	0.11		759	28.07		24	0.89		0	0.00		172	6.36		12	0.44		1	0.04		15	0.55		2	0.07		21	0.78		159	5.88		1345	49.74		119	4.40		4	0.15		2704	94.88		146	5.12		2850	3.64
	Embleton		7	0.41		1	0.06		0	0.00		18	1.07		1	0.06		496	29.38		15	0.89		0	0.00		111	6.58		27	1.60		0	0.00		3	0.18		1	0.06		12	0.71		91	5.39		805	47.69		99	5.86		1	0.06		1688	94.83		92	5.17		1780	2.28
	Hampton Park		8	0.38		0	0.00		0	0.00		26	1.23		4	0.19		773	36.58		24	1.14		3	0.14		140	6.63		11	0.52		0	0.00		12	0.57		0	0.00		20	0.95		113	5.35		896	42.40		82	3.88		1	0.05		2113	94.04		134	5.96		2247	2.87
	Highgate		7	0.33		2	0.10		1	0.05		13	0.62		1	0.05		494	23.52		29	1.38		1	0.05		39	1.86		25	1.19		2	0.10		6	0.29		11	0.52		23	1.10		237	11.29		904	43.05		301	14.33		4	0.19		2100	94.42		124	5.58		2224	2.84
	Inglewood		4	0.33		1	0.08		1	0.08		9	0.74		1	0.08		383	31.34		12	0.98		1	0.08		48	3.93		8	0.65		3	0.25		6	0.49		2	0.16		13	1.06		118	9.66		486	39.77		123	10.07		3	0.25		1222	95.02		64	4.98		1286	1.64
	Inglewood North		11	0.49		4	0.18		0	0.00		17	0.75		5	0.22		773	34.31		25	1.11		1	0.04		67	2.97		26	1.15		0	0.00		7	0.31		2	0.09		11	0.49		256	11.36		837	37.15		208	9.23		3	0.13		2253	95.87		97	4.13		2350	3.00
	Kiara		7	0.47		1	0.07		0	0.00		32	2.15		0	0.00		421	28.33		11	0.74		3	0.20		93	6.26		16	1.08		0	0.00		6	0.40		0	0.00		17	1.14		80	5.38		743	50.00		55	3.70		1	0.07		1486	96.24		58	3.76		1544	1.97
	Lockridge		8	0.46		0	0.00		1	0.06		25	1.43		4	0.23		310	17.74		8	0.46		2	0.11		121	6.93		15	0.86		0	0.00		11	0.63		1	0.06		30	1.72		124	7.10		1022	58.50		65	3.72		0	0.00		1747	95.62		80	4.38		1827	2.34
	Maylands		18	0.60		1	0.03		1	0.03		29	0.97		7	0.23		928	30.95		29	0.97		3	0.10		128	4.27		16	0.53		1	0.03		14	0.47		6	0.20		26	0.87		297	9.91		1273	42.46		217	7.24		4	0.13		2998	94.48		175	5.52		3173	4.06
	Maylands East		3	0.20		0	0.00		1	0.07		13	0.86		0	0.00		513	34.00		7	0.46		0	0.00		85	5.63		20	1.33		1	0.07		4	0.27		1	0.07		8	0.53		112	7.42		602	39.89		138	9.15		1	0.07		1509	95.75		67	4.25		1576	2.01
	Menora		9	2.49		0	0.00		0	0.00		4	1.11		0	0.00		167	46.26		6	1.66		0	0.00		14	3.88		3	0.83		0	0.00		3	0.83		0	0.00		3	0.83		13	3.60		132	36.57		7	1.94		0	0.00		361	91.86		32	8.14		393	0.50
	Menora South		3	0.36		3	0.36		1	0.12		6	0.73		1	0.12		441	53.52		25	3.03		2	0.24		13	1.58		11	1.33		0	0.00		0	0.00		0	0.00		2	0.24		56	6.80		209	25.36		50	6.07		1	0.12		824	95.59		38	4.41		862	1.10
	Mercy Hospital		1	0.24		2	0.47		0	0.00		5	1.18		1	0.24		177	41.75		5	1.18		0	0.00		13	3.07		5	1.18		1	0.24		1	0.24		0	0.00		0	0.00		34	8.02		127	29.95		52	12.26		0	0.00		424	95.50		20	4.50		444	0.57
	Morley		10	0.45		0	0.00		4	0.18		22	0.99		1	0.05		761	34.31		40	1.80		2	0.09		112	5.05		11	0.50		1	0.05		9	0.41		0	0.00		17	0.77		135	6.09		977	44.05		113	5.09		3	0.14		2218	93.78		147	6.22		2365	3.02
	Morley North		3	0.33		0	0.00		0	0.00		14	1.55		0	0.00		358	39.65		7	0.78		1	0.11		52	5.76		11	1.22		2	0.22		3	0.33		0	0.00		4	0.44		64	7.09		348	38.54		36	3.99		0	0.00		903	96.58		32	3.42		935	1.20
	Morley South		22	0.74		6	0.20		0	0.00		45	1.52		2	0.07		981	33.18		50	1.69		1	0.03		151	5.11		13	0.44		1	0.03		8	0.27		0	0.00		41	1.39		177	5.99		1360	45.99		98	3.31		1	0.03		2957	95.42		142	4.58		3099	3.96
	Mount Lawley		14	0.55		5	0.20		0	0.00		14	0.55		1	0.04		983	38.43		70	2.74		2	0.08		65	2.54		52	2.03		1	0.04		8	0.31		6	0.23		10	0.39		287	11.22		756	29.55		282	11.02		2	0.08		2558	96.06		105	3.94		2663	3.40
	Mount Lawley East		3	0.41		1	0.14		0	0.00		11	1.52		1	0.14		289	39.92		10	1.38		0	0.00		16	2.21		13	1.80		0	0.00		4	0.55		1	0.14		5	0.69		69	9.53		217	29.97		82	11.33		2	0.28		724	99.18		6	0.82		730	0.93
	Mount Lawley South		1	0.16		0	0.00		0	0.00		7	1.11		0	0.00		178	28.25		9	1.43		1	0.16		19	3.02		4	0.63		0	0.00		1	0.16		2	0.32		6	0.95		82	13.02		248	39.37		72	11.43		0	0.00		630	96.18		25	3.82		655	0.84
	Mount Lawley West		5	0.87		1	0.17		0	0.00		5	0.87		1	0.17		174	30.16		7	1.21		0	0.00		8	1.39		5	0.87		1	0.17		6	1.04		0	0.00		6	1.04		56	9.71		226	39.17		75	13.00		1	0.17		577	92.47		47	7.53		624	0.80
	Noranda West (Perth)		1	0.20		3	0.59		0	0.00		5	0.99		0	0.00		195	38.54		2	0.40		0	0.00		16	3.16		7	1.38		2	0.40		0	0.00		0	0.00		2	0.40		32	6.32		221	43.68		20	3.95		0	0.00		506	94.58		29	5.42		535	0.68
	Northbridge		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		49	27.22		5	2.78		3	1.67		7	3.89		0	0.00		1	0.56		0	0.00		0	0.00		0	0.00		15	8.33		66	36.67		32	17.78		2	1.11		180	96.77		6	3.23		186	0.24
	North Perth		3	0.38		1	0.13		2	0.25		4	0.51		0	0.00		298	37.72		18	2.28		1	0.13		17	2.15		4	0.51		0	0.00		0	0.00		0	0.00		9	1.14		73	9.24		302	38.23		57	7.22		1	0.13		790	95.07		41	4.93		831	1.06
	North Perth Central		8	0.41		4	0.21		6	0.31		11	0.57		1	0.05		582	30.17		26	1.35		2	0.10		36	1.87		20	1.04		5	0.26		9	0.47		6	0.31		27	1.40		193	10.01		797	41.32		196	10.16		0	0.00		1929	93.10		143	6.90		2072	2.65
	Perth (Perth)		2	0.28		0	0.00		2	0.28		14	1.96		1	0.14		208	29.09		15	2.10		1	0.14		27	3.78		7	0.98		0	0.00		4	0.56		4	0.56		4	0.56		85	11.89		260	36.36		79	11.05		2	0.28		715	96.10		29	3.90		744	0.95
	Rottnest (Perth)		0	0.00		0	0.00		1	1.45		0	0.00		0	0.00		33	47.83		1	1.45		0	0.00		2	2.90		1	1.45		0	0.00		0	0.00		0	0.00		0	0.00		5	7.25		16	23.19		10	14.49		0	0.00		69	98.57		1	1.43		70	0.09
	Royal Perth Hospital		0	0.00		0	0.00		0	0.00		12	4.82		0	0.00		72	28.92		5	2.01		0	0.00		5	2.01		3	1.20		0	0.00		0	0.00		0	0.00		6	2.41		24	9.64		110	44.18		12	4.82		0	0.00		249	95.40		12	4.60		261	0.33
	West Perth (Perth)		0	0.00		2	0.66		0	0.00		4	1.32		0	0.00		106	34.98		6	1.98		1	0.33		10	3.30		1	0.33		0	0.00		0	0.00		0	0.00		1	0.33		27	8.91		117	38.61		27	8.91		1	0.33		303	95.58		14	4.42		317	0.41
	Special Hospitals		2	0.35		1	0.18		0	0.00		9	1.58		0	0.00		249	43.76		9	1.58		0	0.00		29	5.10		7	1.23		0	0.00		0	0.00		0	0.00		3	0.53		10	1.76		244	42.88		6	1.05		0	0.00		569	94.36		34	5.64		603	0.77
	Total Ordinary		307	0.49		73	0.12		43	0.07		760	1.22		56	0.09		20036	32.23		752	1.21		50	0.08		3026	4.87		581	0.93		33	0.05		242	0.39		57	0.09		547	0.88		4772	7.68		26503	42.63		4274	6.87		58	0.09		62170	95.19		3141	4.81		65311	83.49
	ABSENT		19	0.26		13	0.18		8	0.11		91	1.27		10	0.14		2420	33.68		100	1.39		11	0.15		378	5.26		94	1.31		2	0.03		30	0.42		6	0.08		82	1.14		593	8.25		2603	36.23		719	10.01		6	0.08		7185	97.94		151	2.06		7336	9.38
	POSTAL		6	0.26		0	0.00		1	0.04		17	0.72		1	0.04		882	37.55		28	1.19		3	0.13		138	5.87		30	1.28		0	0.00		5	0.21		0	0.00		8	0.34		129	5.49		995	42.36		105	4.47		1	0.04		2349	98.45		37	1.55		2386	3.05
	PRE_POLL		4	0.16		2	0.08		0	0.00		14	0.56		3	0.12		916	36.92		29	1.17		5	0.20		111	4.47		38	1.53		0	0.00		4	0.16		0	0.00		28	1.13		216	8.71		899	36.24		210	8.46		2	0.08		2481	98.61		35	1.39		2516	3.22
	PROVISIONAL		0	0.00		2	0.31		0	0.00		10	1.54		0	0.00		179	27.50		4	0.61		0	0.00		29	4.45		6	0.92		0	0.00		4	0.61		1	0.15		9	1.38		71	10.91		274	42.09		62	9.52		0	0.00		651	95.74		29	4.26		680	0.87
	Division Summary		336	0.45		90	0.12		52	0.07		892	1.19		70	0.09		24433	32.65		913	1.22		69	0.09		3682	4.92		749	1		35	0.05		285	0.38		64	0.09		674	0.9		5781	7.72		31274	41.79		5370	7.18		67	0.09		74836	95.66		3393	4.34		78229	95.34
