House of Representatives - 2001 Election: Western Australia 																																										
First Preference Votes and TCP																																										
By Candidate by Polling Place																																										

Brand (78366)																																										
		# BEAZLEY			ROBBIE			DAVIS			MCCARTHY			IREDALE			HUBBARD			THOMAS			WOOLLARD			FORMAL			INFORMAL			TOTAL										
		Kim			Steve			Kate			Brian			Terry			Paul			Margaret			Keith												Two Candidate Preferred							
		ALP			HAN			GWA			CEC			CTA			DEM			LP			LFF												# BEAZLEY ALP			 THOMAS LP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Wellard	245	45.37		37	6.85		9	1.67		0	0.00		12	2.22		10	1.85		156	28.89		71	13.15		540	94.08		34	5.92		574	0.77		282	52.22		258	47.78			
	Special Hospitals	203	55.01		12	3.25		3	0.81		3	0.81		1	0.27		5	1.36		117	31.71		25	6.78		369	92.48		30	7.52		399	0.53		220	59.62		149	40.38			
	Prison Mobiles	2	66.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		3	100.00		0	0.00		3	0.00		2	66.67		1	33.33			
	Total Ordinary	31093	52.07		3539	5.93		2006	3.36		123	0.21		529	0.89		1379	2.31		13982	23.41		7064	11.83		59715	95.51		2805	4.49		62520	83.80		35984	60.26		23731	39.74			
	ABSENT	2269	49.01		337	7.28		283	6.11		20	0.43		51	1.10		158	3.41		1163	25.12		349	7.54		4630	95.44		221	4.56		4851	6.50		2778	60.00		1852	40.00			
	POSTAL	981	51.31		140	7.32		49	2.56		4	0.21		6	0.31		44	2.30		513	26.83		175	9.15		1912	98.10		37	1.90		1949	2.61		1118	58.47		794	41.53			
	PRE_POLL	2149	48.50		317	7.15		124	2.80		15	0.34		26	0.59		105	2.37		1322	29.84		373	8.42		4431	97.56		111	2.44		4542	6.09		2507	56.58		1924	43.42			
	PROVISIONAL	425	60.54		47	6.70		24	3.42		2	0.28		9	1.28		20	2.85		130	18.52		45	6.41		702	94.61		40	5.39		742	0.99		482	68.66		220	31.34			
	Division Summary	36917	51.71		4380	6.14		2486	3.48		164	0.23		621	0.87		1706	2.39		17110	23.97		8006	11.21		71390	95.69		3214	4.31		74604	95.20		42869	60.05		28521	39.95			
																																										
																																										
																																										
																																										
																																										
