House of Representatives - 2001 Election: Western Australia																																
Distribution of Preferences																																
By Polling Place																																
Hasluck																																
				MCLEAN			JACKSON			DANIELS			RYAN			EDMONDS			MARKHAM			HOPKINSON			HEGARTY			CHAN				
		TOTAL		8	1.04		322	42.04		4	0.52		5	0.65		45	5.87		36	4.70		67	8.75					279	36.42		766	
	THIRD			0	0.00		2	50.00			Excluded		0	0.00		1	25.00		1	25.00		0	0.00					0	0.00		4	
		TOTAL		8	1.04		324	42.30					5	0.65		46	6.01		37	4.83		67	8.75					279	36.42		766	
	FOURTH				Excluded		5	62.50					0	0.00		1	12.50		1	12.50		0	0.00					1	12.50		8	
		TOTAL					329	42.95					5	0.65		47	6.14		38	4.96		67	8.75					280	36.55		766	
	FIFTH						1	20.00						Excluded		1	20.00		0	0.00		0	0.00					3	60.00		5	
		TOTAL					330	43.08								48	6.27		38	4.96		67	8.75					283	36.95		766	
	SIXTH						9	23.68								20	52.63			Excluded		6	15.79					3	7.89		38	
		TOTAL					339	44.26								68	8.88					73	9.53					286	37.34		766	
	SEVENTH						17	23.29								29	39.73						Excluded					27	36.99		73	
		TOTAL					356	46.48								97	12.66											313	40.86		766	
	EIGHTH						71	73.20									Excluded											26	26.80		97	
		TOTAL					427	55.74																				339	44.26		766	
							Elected																									
																																
Forrestfield                                                   																																
	FIRST			27	1.01		1109	41.61		14	0.53		64	2.40		135	5.07		100	3.75		255	9.57		13	0.49		948	35.57		2665	
	SECOND			0	0.00		0	0.00		0	0.00		1	7.69		2	15.38		0	0.00		1	7.69			Excluded		9	69.23		13	
		TOTAL		27	1.01		1109	41.61		14	0.53		65	2.44		137	5.14		100	3.75		256	9.61					957	35.91		2665	
	THIRD			1	7.14		4	28.57			Excluded		1	7.14		3	21.43		2	14.29		1	7.14					2	14.29		14	
		TOTAL		28	1.05		1113	41.76					66	2.48		140	5.25		102	3.83		257	9.64					959	35.98		2665	
	FOURTH				Excluded		19	67.86					2	7.14		3	10.71		2	7.14		1	3.57					1	3.57		28	
		TOTAL					1132	42.48					68	2.55		143	5.37		104	3.90		258	9.68					960	36.02		2665	
	FIFTH						9	13.24						Excluded		5	7.35		4	5.88		9	13.24					41	60.29		68	
		TOTAL					1141	42.81								148	5.55		108	4.05		267	10.02					1001	37.56		2665	
	SIXTH						32	29.63								56	51.85			Excluded		3	2.78					17	15.74		108	
		TOTAL					1173	44.02								204	7.65					270	10.13					1018	38.20		2665	
	SEVENTH						136	50.37								69	25.56						Excluded					65	24.07		270	
		TOTAL					1309	49.12								273	10.24											1083	40.64		2665	
	EIGHTH						193	70.70									Excluded											80	29.30		273	
		TOTAL					1502	56.36																				1163	43.64		2665	
							Elected																									
																																
Forrestfield North                                             																																
	FIRST			31	0.92		1232	36.37		26	0.77		98	2.89		179	5.28		166	4.90		254	7.50		10	0.30		1391	41.07		3387	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		3	30.00		3	30.00		0	0.00			Excluded		4	40.00		10	
		TOTAL		31	0.92		1232	36.37		26	0.77		98	2.89		182	5.37		169	4.99		254	7.50					1395	41.19		3387	
	THIRD			1	3.85		10	38.46			Excluded		3	11.54		8	30.77		0	0.00		3	11.54					1	3.85		26	
		TOTAL		32	0.94		1242	36.67					101	2.98		190	5.61		169	4.99		257	7.59					1396	41.22		3387	
	FOURTH				Excluded		16	50.00					2	6.25		6	18.75		0	0.00		3	9.38					5	15.63		32	
		TOTAL					1258	37.14					103	3.04		196	5.79		169	4.99		260	7.68					1401	41.36		3387	
	FIFTH						13	12.62						Excluded		9	8.74		3	2.91		10	9.71					68	66.02		103	
		TOTAL					1271	37.53								205	6.05		172	5.08		270	7.97					1469	43.37		3387	
	SIXTH						37	21.51								100	58.14			Excluded		11	6.40					24	13.95		172	
		TOTAL					1308	38.62								305	9.01					281	8.30					1493	44.08		3387	
	SEVENTH						123	43.77								85	30.25						Excluded					73	25.98		281	
		TOTAL					1431	42.25								390	11.51											1566	46.24		3387	
	EIGHTH						250	64.10									Excluded											140	35.90		390	
		TOTAL					1681	49.63																				1706	50.37		3387	
							Elected																									
																																
Gooseberry Hill                                                																																
	FIRST			8	0.58		368	26.51		3	0.22		14	1.01		115	8.29		80	5.76		52	3.75		10	0.72		738	53.17		1388	
	SECOND			1	10.00		0	0.00		0	0.00		0	0.00		1	10.00		1	10.00		0	0.00			Excluded		7	70.00		10	
		TOTAL		9	0.65		368	26.51		3	0.22		14	1.01		116	8.36		81	5.84		52	3.75					745	53.67		1388	
	THIRD			0	0.00		0	0.00			Excluded		1	33.33		2	66.67		0	0.00		0	0.00					0	0.00		3	
		TOTAL		9	0.65		368	26.51					15	1.08		118	8.50		81	5.84		52	3.75					745	53.67		1388	
	FOURTH				Excluded		4	44.44					1	11.11		3	33.33		0	0.00		0	0.00					1	11.11		9	
		TOTAL					372	26.80					16	1.15		121	8.72		81	5.84		52	3.75					746	53.75		1388	
	FIFTH						1	6.25						Excluded		2	12.50		3	18.75		1	6.25					9	56.25		16	
		TOTAL					373	26.87								123	8.86		84	6.05		53	3.82					755	54.39		1388	
	SIXTH						18	21.43								54	64.29			Excluded		4	4.76					8	9.52		84	
		TOTAL					391	28.17								177	12.75					57	4.11					763	54.97		1388	
	SEVENTH						13	22.81								13	22.81						Excluded					31	54.39		57	
		TOTAL					404	29.11								190	13.69											794	57.20		1388	
	EIGHTH						129	67.89									Excluded											61	32.11		190	
		TOTAL					533	38.40																				855	61.60		1388	
							Elected																									
																																
Gosnells                                                       																																
	FIRST			17	0.98		718	41.55		14	0.81		49	2.84		87	5.03		77	4.46		138	7.99		6	0.35		622	36.00		1728	
	SECOND			3	50.00		1	16.67		0	0.00		0	0.00		0	0.00		0	0.00		1	16.67			Excluded		1	16.67		6	
		TOTAL		20	1.16		719	41.61		14	0.81		49	2.84		87	5.03		77	4.46		139	8.04					623	36.05		1728	
	THIRD			0	0.00		6	42.86			Excluded		2	14.29		2	14.29		2	14.29		1	7.14					1	7.14		14	
		TOTAL		20	1.16		725	41.96					51	2.95		89	5.15		79	4.57		140	8.10					624	36.11		1728	
	FOURTH				Excluded		13	65.00					1	5.00		2	10.00		1	5.00		1	5.00					2	10.00		20	
		TOTAL					738	42.71					52	3.01		91	5.27		80	4.63		141	8.16					626	36.23		1728	
	FIFTH						5	9.62						Excluded		6	11.54		4	7.69		1	1.92					36	69.23		52	
		TOTAL					743	43.00								97	5.61		84	4.86		142	8.22					662	38.31		1728	
	SIXTH						26	30.95								37	44.05			Excluded		14	16.67					7	8.33		84	
		TOTAL					769	44.50								134	7.75					156	9.03					669	38.72		1728	
	SEVENTH						66	42.31								47	30.13						Excluded					43	27.56		156	
		TOTAL					835	48.32								181	10.47											712	41.20		1728	
	EIGHTH						123	67.96									Excluded											58	32.04		181	
		TOTAL					958	55.44																				770	44.56		1728	
							Elected																									
																																
Gosnells Central                                               																																
	FIRST			24	1.19		760	37.70		16	0.79		93	4.61		79	3.92		75	3.72		159	7.89		1	0.05		809	40.13		2016	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		25	1.24		760	37.70		16	0.79		93	4.61		79	3.92		75	3.72		159	7.89					809	40.13		2016	
	THIRD			0	0.00		5	31.25			Excluded		0	0.00		5	31.25		2	12.50		3	18.75					1	6.25		16	
		TOTAL		25	1.24		765	37.95					93	4.61		84	4.17		77	3.82		162	8.04					810	40.18		2016	
	FOURTH				Excluded		13	52.00					2	8.00		5	20.00		1	4.00		4	16.00					0	0.00		25	
		TOTAL					778	38.59					95	4.71		89	4.41		78	3.87		166	8.23					810	40.18		2016	
	FIFTH						9	9.47						Excluded		7	7.37		6	6.32		8	8.42					65	68.42		95	
		TOTAL					787	39.04								96	4.76		84	4.17		174	8.63					875	43.40		2016	
	SIXTH						18	21.43								44	52.38			Excluded		14	16.67					8	9.52		84	
		TOTAL					805	39.93								140	6.94					188	9.33					883	43.80		2016	
	SEVENTH						69	36.70								49	26.06						Excluded					70	37.23		188	
		TOTAL					874	43.35								189	9.38											953	47.27		2016	
	EIGHTH						148	78.31									Excluded											41	21.69		189	
		TOTAL					1022	50.69																				994	49.31		2016	
							Elected																									
																																
Gosnells South (Hasluck)                                       																																
	FIRST			37	1.56		1167	49.22		24	1.01		61	2.57		112	4.72		103	4.34		196	8.27		6	0.25		665	28.05		2371	
	SECOND			1	16.67		2	33.33		0	0.00		0	0.00		1	16.67		2	33.33		0	0.00			Excluded		0	0.00		6	
		TOTAL		38	1.60		1169	49.30		24	1.01		61	2.57		113	4.77		105	4.43		196	8.27					665	28.05		2371	
	THIRD			0	0.00		12	50.00			Excluded		0	0.00		2	8.33		3	12.50		3	12.50					4	16.67		24	
		TOTAL		38	1.60		1181	49.81					61	2.57		115	4.85		108	4.56		199	8.39					669	28.22		2371	
	FOURTH				Excluded		25	65.79					4	10.53		2	5.26		1	2.63		4	10.53					2	5.26		38	
		TOTAL					1206	50.86					65	2.74		117	4.93		109	4.60		203	8.56					671	28.30		2371	
	FIFTH						11	16.92						Excluded		13	20.00		11	16.92		3	4.62					27	41.54		65	
		TOTAL					1217	51.33								130	5.48		120	5.06		206	8.69					698	29.44		2371	
	SIXTH						28	23.33								62	51.67			Excluded		14	11.67					16	13.33		120	
		TOTAL					1245	52.51								192	8.10					220	9.28					714	30.11		2371	
	SEVENTH						101	45.91								61	27.73						Excluded					58	26.36		220	
		TOTAL					1346	56.77								253	10.67											772	32.56		2371	
	EIGHTH						160	63.24									Excluded											93	36.76		253	
		TOTAL					1506	63.52																				865	36.48		2371	
							Elected																									
																																
Gosnells West                                                  																																
	FIRST			29	1.13		1160	45.19		16	0.62		106	4.13		122	4.75		102	3.97		183	7.13		17	0.66		832	32.41		2567	
	SECOND			1	5.88		1	5.88		0	0.00		2	11.76		3	17.65		2	11.76		1	5.88			Excluded		7	41.18		17	
		TOTAL		30	1.17		1161	45.23		16	0.62		108	4.21		125	4.87		104	4.05		184	7.17					839	32.68		2567	
	THIRD			1	6.25		6	37.50			Excluded		0	0.00		2	12.50		2	12.50		4	25.00					1	6.25		16	
		TOTAL		31	1.21		1167	45.46					108	4.21		127	4.95		106	4.13		188	7.32					840	32.72		2567	
	FOURTH				Excluded		22	70.97					1	3.23		4	12.90		2	6.45		1	3.23					1	3.23		31	
		TOTAL					1189	46.32					109	4.25		131	5.10		108	4.21		189	7.36					841	32.76		2567	
	FIFTH						8	7.34						Excluded		17	15.60		6	5.50		8	7.34					70	64.22		109	
		TOTAL					1197	46.63								148	5.77		114	4.44		197	7.67					911	35.49		2567	
	SIXTH						36	31.58								34	29.82			Excluded		20	17.54					24	21.05		114	
		TOTAL					1233	48.03								182	7.09					217	8.45					935	36.42		2567	
	SEVENTH						87	40.09								75	34.56						Excluded					55	25.35		217	
		TOTAL					1320	51.42								257	10.01											990	38.57		2567	
	EIGHTH						182	70.82									Excluded											75	29.18		257	
		TOTAL					1502	58.51																				1065	41.49		2567	
							Elected																									
																																
Guildford                                                      																																
	FIRST			13	1.09		426	35.59		5	0.42		8	0.67		109	9.11		85	7.10		50	4.18		8	0.67		493	41.19		1197	
	SECOND			1	12.50		0	0.00		0	0.00		0	0.00		0	0.00		1	12.50		1	12.50			Excluded		5	62.50		8	
		TOTAL		14	1.17		426	35.59		5	0.42		8	0.67		109	9.11		86	7.18		51	4.26					498	41.60		1197	
	THIRD			1	20.00		1	20.00			Excluded		0	0.00		0	0.00		1	20.00		1	20.00					1	20.00		5	
		TOTAL		15	1.25		427	35.67					8	0.67		109	9.11		87	7.27		52	4.34					499	41.69		1197	
	FOURTH				Excluded		9	60.00					1	6.67		2	13.33		1	6.67		2	13.33					0	0.00		15	
		TOTAL					436	36.42					9	0.75		111	9.27		88	7.35		54	4.51					499	41.69		1197	
	FIFTH						2	22.22						Excluded		2	22.22		1	11.11		0	0.00					4	44.44		9	
		TOTAL					438	36.59								113	9.44		89	7.44		54	4.51					503	42.02		1197	
	SIXTH						18	20.22								56	62.92			Excluded		4	4.49					11	12.36		89	
		TOTAL					456	38.10								169	14.12					58	4.85					514	42.94		1197	
	SEVENTH						15	25.86								21	36.21						Excluded					22	37.93		58	
		TOTAL					471	39.35								190	15.87											536	44.78		1197	
	EIGHTH						137	72.11									Excluded											53	27.89		190	
		TOTAL					608	50.79																				589	49.21		1197	
							Elected																									
																																
Hazelmere                                                      																																
	FIRST			18	1.51		467	39.08		8	0.67		20	1.67		82	6.86		66	5.52		79	6.61		8	0.67		447	37.41		1195	
	SECOND			0	0.00		1	12.50		0	0.00		0	0.00		0	0.00		2	25.00		2	25.00			Excluded		3	37.50		8	
		TOTAL		18	1.51		468	39.16		8	0.67		20	1.67		82	6.86		68	5.69		81	6.78					450	37.66		1195	
	THIRD			0	0.00		3	37.50			Excluded		2	25.00		3	37.50		0	0.00		0	0.00					0	0.00		8	
		TOTAL		18	1.51		471	39.41					22	1.84		85	7.11		68	5.69		81	6.78					450	37.66		1195	
	FOURTH				Excluded		8	44.44					2	11.11		4	22.22		2	11.11		1	5.56					1	5.56		18	
		TOTAL					479	40.08					24	2.01		89	7.45		70	5.86		82	6.86					451	37.74		1195	
	FIFTH						4	16.67						Excluded		6	25.00		1	4.17		4	16.67					9	37.50		24	
		TOTAL					483	40.42								95	7.95		71	5.94		86	7.20					460	38.49		1195	
	SIXTH						22	30.99								32	45.07			Excluded		2	2.82					15	21.13		71	
		TOTAL					505	42.26								127	10.63					88	7.36					475	39.75		1195	
	SEVENTH						24	27.27								36	40.91						Excluded					28	31.82		88	
		TOTAL					529	44.27								163	13.64											503	42.09		1195	
	EIGHTH						120	73.62									Excluded											43	26.38		163	
		TOTAL					649	54.31																				546	45.69		1195	
							Elected																									
																																
Helena Valley (Hasluck)                                        																																
	FIRST			10	0.86		369	31.89		5	0.43		27	2.33		72	6.22		64	5.53		73	6.31		8	0.69		529	45.72		1157	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	12.50		1	12.50			Excluded		6	75.00		8	
		TOTAL		10	0.86		369	31.89		5	0.43		27	2.33		72	6.22		65	5.62		74	6.40					535	46.24		1157	
	THIRD			0	0.00		3	60.00			Excluded		0	0.00		1	20.00		1	20.00		0	0.00					0	0.00		5	
		TOTAL		10	0.86		372	32.15					27	2.33		73	6.31		66	5.70		74	6.40					535	46.24		1157	
	FOURTH				Excluded		7	70.00					0	0.00		1	10.00		2	20.00		0	0.00					0	0.00		10	
		TOTAL					379	32.76					27	2.33		74	6.40		68	5.88		74	6.40					535	46.24		1157	
	FIFTH						5	18.52						Excluded		1	3.70		0	0.00		3	11.11					18	66.67		27	
		TOTAL					384	33.19								75	6.48		68	5.88		77	6.66					553	47.80		1157	
	SIXTH						18	26.47								37	54.41			Excluded		3	4.41					10	14.71		68	
		TOTAL					402	34.75								112	9.68					80	6.91					563	48.66		1157	
	SEVENTH						31	38.75								15	18.75						Excluded					34	42.50		80	
		TOTAL					433	37.42								127	10.98											597	51.60		1157	
	EIGHTH						85	66.93									Excluded											42	33.07		127	
		TOTAL					518	44.77																				639	55.23		1157	
							Elected																									
																																
High Wycombe                                                   																																
	FIRST			23	0.97		993	41.85		15	0.63		54	2.28		123	5.18		79	3.33		163	6.87		9	0.38		914	38.52		2373	
	SECOND			0	0.00		1	11.11		0	0.00		0	0.00		0	0.00		6	66.67		1	11.11			Excluded		1	11.11		9	
		TOTAL		23	0.97		994	41.89		15	0.63		54	2.28		123	5.18		85	3.58		164	6.91					915	38.56		2373	
	THIRD			1	6.67		13	86.67			Excluded		0	0.00		0	0.00		1	6.67		0	0.00					0	0.00		15	
		TOTAL		24	1.01		1007	42.44					54	2.28		123	5.18		86	3.62		164	6.91					915	38.56		2373	
	FOURTH				Excluded		16	66.67					3	12.50		4	16.67		0	0.00		1	4.17					0	0.00		24	
		TOTAL					1023	43.11					57	2.40		127	5.35		86	3.62		165	6.95					915	38.56		2373	
	FIFTH						11	19.30						Excluded		4	7.02		3	5.26		2	3.51					37	64.91		57	
		TOTAL					1034	43.57								131	5.52		89	3.75		167	7.04					952	40.12		2373	
	SIXTH						33	37.08								35	39.33			Excluded		8	8.99					13	14.61		89	
		TOTAL					1067	44.96								166	7.00					175	7.37					965	40.67		2373	
	SEVENTH						56	32.00								49	28.00						Excluded					70	40.00		175	
		TOTAL					1123	47.32								215	9.06											1035	43.62		2373	
	EIGHTH						150	69.77									Excluded											65	30.23		215	
		TOTAL					1273	53.65																				1100	46.35		2373	
							Elected																									
																																
High Wycombe South                                             																																
	FIRST			23	1.09		845	39.97		18	0.85		33	1.56		116	5.49		124	5.87		149	7.05		5	0.24		801	37.89		2114	
	SECOND			0	0.00		0	0.00		0	0.00		2	40.00		1	20.00		0	0.00		1	20.00			Excluded		1	20.00		5	
		TOTAL		23	1.09		845	39.97		18	0.85		35	1.66		117	5.53		124	5.87		150	7.10					802	37.94		2114	
	THIRD			4	22.22		8	44.44			Excluded		0	0.00		4	22.22		0	0.00		0	0.00					2	11.11		18	
		TOTAL		27	1.28		853	40.35					35	1.66		121	5.72		124	5.87		150	7.10					804	38.03		2114	
	FOURTH				Excluded		11	40.74					3	11.11		6	22.22		2	7.41		2	7.41					3	11.11		27	
		TOTAL					864	40.87					38	1.80		127	6.01		126	5.96		152	7.19					807	38.17		2114	
	FIFTH						3	7.89						Excluded		14	36.84		1	2.63		8	21.05					12	31.58		38	
		TOTAL					867	41.01								141	6.67		127	6.01		160	7.57					819	38.74		2114	
	SIXTH						24	18.90								77	60.63			Excluded		10	7.87					16	12.60		127	
		TOTAL					891	42.15								218	10.31					170	8.04					835	39.50		2114	
	SEVENTH						54	31.76								66	38.82						Excluded					50	29.41		170	
		TOTAL					945	44.70								284	13.43											885	41.86		2114	
	EIGHTH						190	66.90									Excluded											94	33.10		284	
		TOTAL					1135	53.69																				979	46.31		2114	
							Elected																									
																																
Huntingdale (Hasluck)                                          																																
	FIRST			17	0.89		807	42.19		25	1.31		55	2.88		87	4.55		111	5.80		133	6.95		11	0.58		667	34.87		1913	
	SECOND			0	0.00		1	9.09		0	0.00		0	0.00		1	9.09		0	0.00		0	0.00			Excluded		9	81.82		11	
		TOTAL		17	0.89		808	42.24		25	1.31		55	2.88		88	4.60		111	5.80		133	6.95					676	35.34		1913	
	THIRD			5	20.00		9	36.00			Excluded		2	8.00		4	16.00		3	12.00		0	0.00					2	8.00		25	
		TOTAL		22	1.15		817	42.71					57	2.98		92	4.81		114	5.96		133	6.95					678	35.44		1913	
	FOURTH				Excluded		15	68.18					0	0.00		4	18.18		1	4.55		0	0.00					2	9.09		22	
		TOTAL					832	43.49					57	2.98		96	5.02		115	6.01		133	6.95					680	35.55		1913	
	FIFTH						8	14.04						Excluded		2	3.51		11	19.30		0	0.00					36	63.16		57	
		TOTAL					840	43.91								98	5.12		126	6.59		133	6.95					716	37.43		1913	
	SIXTH						40	31.75								63	50.00			Excluded		10	7.94					13	10.32		126	
		TOTAL					880	46.00								161	8.42					143	7.48					729	38.11		1913	
	SEVENTH						53	37.06								41	28.67						Excluded					49	34.27		143	
		TOTAL					933	48.77								202	10.56											778	40.67		1913	
	EIGHTH						143	70.79									Excluded											59	29.21		202	
		TOTAL					1076	56.25																				837	43.75		1913	
							Elected																									
																																
Kalamunda                                                      																																
	FIRST			27	0.91		787	26.60		10	0.34		57	1.93		238	8.04		183	6.18		128	4.33		18	0.61		1511	51.06		2959	
	SECOND			0	0.00		0	0.00		0	0.00		1	5.56		1	5.56		1	5.56		1	5.56			Excluded		14	77.78		18	
		TOTAL		27	0.91		787	26.60		10	0.34		58	1.96		239	8.08		184	6.22		129	4.36					1525	51.54		2959	
	THIRD			1	10.00		6	60.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					3	30.00		10	
		TOTAL		28	0.95		793	26.80					58	1.96		239	8.08		184	6.22		129	4.36					1528	51.64		2959	
	FOURTH				Excluded		14	50.00					0	0.00		6	21.43		2	7.14		3	10.71					3	10.71		28	
		TOTAL					807	27.27					58	1.96		245	8.28		186	6.29		132	4.46					1531	51.74		2959	
	FIFTH						7	12.07						Excluded		5	8.62		2	3.45		4	6.90					40	68.97		58	
		TOTAL					814	27.51								250	8.45		188	6.35		136	4.60					1571	53.09		2959	
	SIXTH						41	21.81								105	55.85			Excluded		11	5.85					31	16.49		188	
		TOTAL					855	28.89								355	12.00					147	4.97					1602	54.14		2959	
	SEVENTH						32	21.77								57	38.78						Excluded					58	39.46		147	
		TOTAL					887	29.98								412	13.92											1660	56.10		2959	
	EIGHTH						283	68.69									Excluded											129	31.31		412	
		TOTAL					1170	39.54																				1789	60.46		2959	
							Elected																									
																																
Kalamunda North                                                																																
	FIRST			9	0.57		392	24.83		6	0.38		29	1.84		127	8.04		72	4.56		67	4.24		16	1.01		861	54.53		1579	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		2	12.50		0	0.00		2	12.50			Excluded		12	75.00		16	
		TOTAL		9	0.57		392	24.83		6	0.38		29	1.84		129	8.17		72	4.56		69	4.37					873	55.29		1579	
	THIRD			1	16.67		4	66.67			Excluded		1	16.67		0	0.00		0	0.00		0	0.00					0	0.00		6	
		TOTAL		10	0.63		396	25.08					30	1.90		129	8.17		72	4.56		69	4.37					873	55.29		1579	
	FOURTH				Excluded		7	70.00					1	10.00		0	0.00		0	0.00		1	10.00					1	10.00		10	
		TOTAL					403	25.52					31	1.96		129	8.17		72	4.56		70	4.43					874	55.35		1579	
	FIFTH						4	12.90						Excluded		8	25.81		2	6.45		4	12.90					13	41.94		31	
		TOTAL					407	25.78								137	8.68		74	4.69		74	4.69					887	56.17		1579	
	SIXTH						15	20.27								47	63.51			Excluded		1	1.35					11	14.86		74	
		TOTAL					422	26.73								184	11.65					75	4.75					898	56.87		1579	
	SEVENTH						13	17.33								27	36.00						Excluded					35	46.67		75	
		TOTAL					435	27.55								211	13.36											933	59.09		1579	
	EIGHTH						153	72.51									Excluded											58	27.49		211	
		TOTAL					588	37.24																				991	62.76		1579	
							Elected																									
																																
Kenwick                                                        																																
	FIRST			38	1.67		1015	44.69		22	0.97		85	3.74		105	4.62		80	3.52		216	9.51		8	0.35		702	30.91		2271	
	SECOND			1	12.50		3	37.50		1	12.50		0	0.00		0	0.00		0	0.00		3	37.50			Excluded		0	0.00		8	
		TOTAL		39	1.72		1018	44.83		23	1.01		85	3.74		105	4.62		80	3.52		219	9.64					702	30.91		2271	
	THIRD			2	8.70		13	56.52			Excluded		1	4.35		5	21.74		1	4.35		1	4.35					0	0.00		23	
		TOTAL		41	1.81		1031	45.40					86	3.79		110	4.84		81	3.57		220	9.69					702	30.91		2271	
	FOURTH				Excluded		23	56.10					3	7.32		5	12.20		5	12.20		3	7.32					2	4.88		41	
		TOTAL					1054	46.41					89	3.92		115	5.06		86	3.79		223	9.82					704	31.00		2271	
	FIFTH						11	12.36						Excluded		7	7.87		6	6.74		14	15.73					51	57.30		89	
		TOTAL					1065	46.90								122	5.37		92	4.05		237	10.44					755	33.25		2271	
	SIXTH						27	29.35								42	45.65			Excluded		8	8.70					15	16.30		92	
		TOTAL					1092	48.08								164	7.22					245	10.79					770	33.91		2271	
	SEVENTH						109	44.49								71	28.98						Excluded					65	26.53		245	
		TOTAL					1201	52.88								235	10.35											835	36.77		2271	
	EIGHTH						165	70.21									Excluded											70	29.79		235	
		TOTAL					1366	60.15																				905	39.85		2271	
							Elected																									
																																
Koongamia                                                      																																
	FIRST			8	1.53		269	51.43		8	1.53		9	1.72		45	8.60		19	3.63		34	6.50		1	0.19		130	24.86		523	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		8	1.53		269	51.43		8	1.53		9	1.72		45	8.60		19	3.63		35	6.69					130	24.86		523	
	THIRD			0	0.00		3	37.50			Excluded		1	12.50		1	12.50		2	25.00		1	12.50					0	0.00		8	
		TOTAL		8	1.53		272	52.01					10	1.91		46	8.80		21	4.02		36	6.88					130	24.86		523	
	FOURTH				Excluded		4	50.00					0	0.00		1	12.50		2	25.00		1	12.50					0	0.00		8	
		TOTAL					276	52.77					10	1.91		47	8.99		23	4.40		37	7.07					130	24.86		523	
	FIFTH						1	10.00						Excluded		3	30.00		1	10.00		0	0.00					5	50.00		10	
		TOTAL					277	52.96								50	9.56		24	4.59		37	7.07					135	25.81		523	
	SIXTH						6	25.00								12	50.00			Excluded		2	8.33					4	16.67		24	
		TOTAL					283	54.11								62	11.85					39	7.46					139	26.58		523	
	SEVENTH						14	35.90								13	33.33						Excluded					12	30.77		39	
		TOTAL					297	56.79								75	14.34											151	28.87		523	
	EIGHTH						63	84.00									Excluded											12	16.00		75	
		TOTAL					360	68.83																				163	31.17		523	
							Elected																									
																																
Lesmurdie                                                      																																
	FIRST			11	0.37		751	25.54		8	0.27		79	2.69		172	5.85		153	5.20		175	5.95		35	1.19		1557	52.94		2941	
	SECOND			1	2.86		0	0.00		1	2.86		0	0.00		3	8.57		1	2.86		2	5.71			Excluded		27	77.14		35	
		TOTAL		12	0.41		751	25.54		9	0.31		79	2.69		175	5.95		154	5.24		177	6.02					1584	53.86		2941	
	THIRD			2	22.22		4	44.44			Excluded		1	11.11		2	22.22		0	0.00		0	0.00					0	0.00		9	
		TOTAL		14	0.48		755	25.67					80	2.72		177	6.02		154	5.24		177	6.02					1584	53.86		2941	
	FOURTH				Excluded		7	50.00					3	21.43		2	14.29		0	0.00		1	7.14					1	7.14		14	
		TOTAL					762	25.91					83	2.82		179	6.09		154	5.24		178	6.05					1585	53.89		2941	
	FIFTH						12	14.46						Excluded		9	10.84		13	15.66		3	3.61					46	55.42		83	
