House of Representatives - 2001 Election: Western Australia																							
Distribution of Preferences																							
By Polling Place																							
																							
Moore																							
					HENDERSON			OLIVER			ROY			EVANS			YOUNG			WASHER			
		TOTAL					158	5.41		148	5.07		137	4.69		977	33.45		1501	51.39		2921	
	THIRD						22	16.06		24	17.52			Excluded		22	16.06		69	50.36		137	
		TOTAL					180	6.16		172	5.89					999	34.20		1570	53.75		2921	
	FOURTH							Excluded		114	63.33					28	15.56		38	21.11		180	
		TOTAL								286	9.79					1027	35.16		1608	55.05		2921	
	FIFTH										Excluded					192	67.13		94	32.87		286	
		TOTAL														1219	41.73		1702	58.27		2921	
																			Elected				
																							
Ocean Reef North                                               																							
	FIRST			40	1.77		87	3.86		74	3.28		92	4.08		761	33.75		1201	53.26		2255	
	SECOND				Excluded		10	25.00		9	22.50		5	12.50		3	7.50		13	32.50		40	
		TOTAL					97	4.30		83	3.68		97	4.30		764	33.88		1214	53.84		2255	
	THIRD						10	10.31		23	23.71			Excluded		16	16.49		48	49.48		97	
		TOTAL					107	4.75		106	4.70					780	34.59		1262	55.96		2255	
	FOURTH							Excluded		70	65.42					17	15.89		20	18.69		107	
		TOTAL								176	7.80					797	35.34		1282	56.85		2255	
	FIFTH										Excluded					116	65.91		60	34.09		176	
		TOTAL														913	40.49		1342	59.51		2255	
																			Elected				
																							
Padbury                                                        																							
	FIRST			78	3.07		141	5.56		144	5.68		150	5.91		1070	42.18		954	37.60		2537	
	SECOND				Excluded		21	26.92		32	41.03		8	10.26		8	10.26		9	11.54		78	
		TOTAL					162	6.39		176	6.94		158	6.23		1078	42.49		963	37.96		2537	
	THIRD						19	12.03		39	24.68			Excluded		35	22.15		65	41.14		158	
		TOTAL					181	7.13		215	8.47					1113	43.87		1028	40.52		2537	
	FOURTH							Excluded		110	60.77					40	22.10		31	17.13		181	
		TOTAL								325	12.81					1153	45.45		1059	41.74		2537	
	FIFTH										Excluded					229	70.46		96	29.54		325	
		TOTAL														1382	54.47		1155	45.53		2537	
																			Elected				
																							
Padbury South                                                  																							
	FIRST			48	1.91		132	5.24		144	5.72		109	4.33		961	38.15		1125	44.66		2519	
	SECOND				Excluded		16	33.33		16	33.33		2	4.17		7	14.58		7	14.58		48	
		TOTAL					148	5.88		160	6.35		111	4.41		968	38.43		1132	44.94		2519	
	THIRD						11	9.91		26	23.42			Excluded		18	16.22		56	50.45		111	
		TOTAL					159	6.31		186	7.38					986	39.14		1188	47.16		2519	
	FOURTH							Excluded		94	59.12					41	25.79		24	15.09		159	
		TOTAL								280	11.12					1027	40.77		1212	48.11		2519	
	FIFTH										Excluded					177	63.21		103	36.79		280	
		TOTAL														1204	47.80		1315	52.20		2519	
																			Elected				
																							
Perth (Moore)                                                  																							
	FIRST			4	3.13		11	8.59		8	6.25		8	6.25		54	42.19		43	33.59		128	
	SECOND				Excluded		2	50.00		0	0.00		0	0.00		1	25.00		1	25.00		4	
		TOTAL					13	10.16		8	6.25		8	6.25		55	42.97		44	34.38		128	
	THIRD						2	25.00		4	50.00			Excluded		1	12.50		1	12.50		8	
		TOTAL					15	11.72		12	9.38					56	43.75		45	35.16		128	
	FOURTH							Excluded		13	86.67					1	6.67		1	6.67		15	
		TOTAL								25	19.53					57	44.53		46	35.94		128	
	FIFTH										Excluded					17	68.00		8	32.00		25	
		TOTAL														74	57.81		54	42.19		128	
																			Elected				
																							
Rottnest (Moore)                                               																							
	FIRST			4	3.42		12	10.26		4	3.42		2	1.71		34	29.06		61	52.14		117	
	SECOND				Excluded		2	50.00		2	50.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL					14	11.97		6	5.13		2	1.71		34	29.06		61	52.14		117	
	THIRD						0	0.00		0	0.00			Excluded		1	50.00		1	50.00		2	
		TOTAL					14	11.97		6	5.13					35	29.91		62	52.99		117	
	FOURTH							Excluded		8	57.14					4	28.57		2	14.29		14	
		TOTAL								14	11.97					39	33.33		64	54.70		117	
	FIFTH										Excluded					10	71.43		4	28.57		14	
		TOTAL														49	41.88		68	58.12		117	
																			Elected				
																							
Sorrento                                                       																							
	FIRST			41	3.01		72	5.28		68	4.99		52	3.82		378	27.73		752	55.17		1363	
	SECOND				Excluded		11	26.83		13	31.71		2	4.88		4	9.76		11	26.83		41	
		TOTAL					83	6.09		81	5.94		54	3.96		382	28.03		763	55.98		1363	
	THIRD						6	11.11		8	14.81			Excluded		12	22.22		28	51.85		54	
		TOTAL					89	6.53		89	6.53					394	28.91		791	58.03		1363	
	FOURTH							Excluded		54	60.67					18	20.22		17	19.10		89	
		TOTAL								143	10.49					412	30.23		808	59.28		1363	
	FIFTH										Excluded					88	61.54		55	38.46		143	
		TOTAL														500	36.68		863	63.32		1363	
																			Elected				
																							
Sorrento Beach                                                 																							
	FIRST			56	2.10		96	3.60		142	5.32		86	3.22		600	22.47		1690	63.30		2670	
	SECOND				Excluded		19	33.93		8	14.29		6	10.71		9	16.07		14	25.00		56	
		TOTAL					115	4.31		150	5.62		92	3.45		609	22.81		1704	63.82		2670	
	THIRD						6	6.52		24	26.09			Excluded		17	18.48		45	48.91		92	
		TOTAL					121	4.53		174	6.52					626	23.45		1749	65.51		2670	
	FOURTH							Excluded		58	47.93					27	22.31		36	29.75		121	
		TOTAL								232	8.69					653	24.46		1785	66.85		2670	
	FIFTH										Excluded					145	62.50		87	37.50		232	
		TOTAL														798	29.89		1872	70.11		2670	
																			Elected				
																							
Special Hospital Team 1                                        																							
	FIRST			3	2.19		3	2.19		3	2.19		4	2.92		55	40.15		69	50.36		137	
	SECOND				Excluded		2	66.67		0	0.00		0	0.00		0	0.00		1	33.33		3	
		TOTAL					5	3.65		3	2.19		4	2.92		55	40.15		70	51.09		137	
	THIRD						0	0.00		1	25.00			Excluded		0	0.00		3	75.00		4	
		TOTAL					5	3.65		4	2.92					55	40.15		73	53.28		137	
	FOURTH							Excluded		5	100.00					0	0.00		0	0.00		5	
		TOTAL								9	6.57					55	40.15		73	53.28		137	
	FIFTH										Excluded					9	100.00		0	0.00		9	
		TOTAL														64	46.72		73	53.28		137	
																			Elected				
																							
ABSENT																							
	FIRST			183	3.53		365	7.04		460	8.87		285	5.50		1625	31.35		2266	43.71		5184	
	SECOND				Excluded		65	35.52		43	23.50		25	13.66		28	15.30		22	12.02		183	
		TOTAL					430	8.29		503	9.70		310	5.98		1653	31.89		2288	44.14		5184	
	THIRD						48	15.48		91	29.35			Excluded		63	20.32		108	34.84		310	
		TOTAL					478	9.22		594	11.46					1716	33.10		2396	46.22		5184	
	FOURTH							Excluded		282	59.00					110	23.01		86	17.99		478	
		TOTAL								876	16.90					1826	35.22		2482	47.88		5184	
	FIFTH										Excluded					586	66.89		290	33.11		876	
		TOTAL														2412	46.53		2772	53.47		5184	
																			Elected				
																							
POSTAL																							
	FIRST			41	2.05		86	4.30		85	4.25		127	6.35		520	26.00		1141	57.05		2000	
	SECOND				Excluded		12	29.27		8	19.51		8	19.51		9	21.95		4	9.76		41	
		TOTAL					98	4.90		93	4.65		135	6.75		529	26.45		1145	57.25		2000	
	THIRD						23	17.04		26	19.26			Excluded		27	20.00		59	43.70		135	
		TOTAL					121	6.05		119	5.95					556	27.80		1204	60.20		2000	
	FOURTH							Excluded		66	54.55					31	25.62		24	19.83		121	
		TOTAL								185	9.25					587	29.35		1228	61.40		2000	
	FIFTH										Excluded					142	76.76		43	23.24		185	
		TOTAL														729	36.45		1271	63.55		2000	
																			Elected				
																							
PRE POLL																							
	FIRST			68	2.54		132	4.93		161	6.01		158	5.90		797	29.77		1361	50.84		2677	
	SECOND				Excluded		21	30.88		17	25.00		11	16.18		6	8.82		13	19.12		68	
		TOTAL					153	5.72		178	6.65		169	6.31		803	30.00		1374	51.33		2677	
	THIRD						20	11.83		39	23.08			Excluded		37	21.89		73	43.20		169	
		TOTAL					173	6.46		217	8.11					840	31.38		1447	54.05		2677	
	FOURTH							Excluded		94	54.34					48	27.75		31	17.92		173	
		TOTAL								311	11.62					888	33.17		1478	55.21		2677	
	FIFTH										Excluded					220	70.74		91	29.26		311	
		TOTAL														1108	41.39		1569	58.61		2677	
																			Elected				
																							
PROVISIONAL																							
	FIRST			4	1.43		14	5.02		17	6.09		21	7.53		108	38.71		115	41.22		279	
	SECOND				Excluded		2	50.00		0	0.00		1	25.00		1	25.00		0	0.00		4	
		TOTAL					16	5.73		17	6.09		22	7.89		109	39.07		115	41.22		279	
	THIRD						1	4.55		3	13.64			Excluded		10	45.45		8	36.36		22	
		TOTAL					17	6.09		20	7.17					119	42.65		123	44.09		279	
	FOURTH							Excluded		10	58.82					6	35.29		1	5.88		17	
		TOTAL								30	10.75					125	44.80		124	44.44		279	
	FIFTH										Excluded					23	76.67		7	23.33		30	
		TOTAL														148	53.05		131	46.95		279	
																			Elected				
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
